LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
45.70836,13.73364,T2M,1981,   -0.79,    1.15,    7.05,   10.05,   14.11,   18.29,   19.87,   20.07,   16.71,   12.72,    5.62,    2.49,   10.67
45.70836,13.73364,T2M,1982,    0.38,    0.34,    4.76,    8.45,   14.86,   19.25,   21.47,   20.74,   18.86,   12.42,    7.66,    4.26,   11.18
45.70836,13.73364,T2M,1983,    3.76,   -0.38,    6.29,   10.20,   14.53,   17.99,   23.34,   21.22,   17.34,   11.99,    4.72,    2.31,   11.19
45.70836,13.73364,T2M,1984,    1.58,    1.32,    4.17,    8.84,   11.87,   16.56,   19.54,   19.29,   16.06,   12.56,    6.84,    3.34,   10.19
45.70836,13.73364,T2M,1985,   -2.22,   -0.29,    4.69,    9.15,   14.70,   16.94,   21.26,   20.86,   18.70,   12.23,    4.36,    4.73,   10.49
45.70836,13.73364,T2M,1986,    1.11,   -2.92,    4.04,    9.50,   17.05,   17.92,   20.00,   21.35,   16.05,   12.16,    7.16,    1.66,   10.51
45.70836,13.73364,T2M,1987,   -2.48,    1.26,    1.82,    9.73,   13.05,   17.28,   21.45,   19.81,   19.55,   12.06,    6.79,    2.99,   10.32
45.70836,13.73364,T2M,1988,    4.05,    3.66,    5.12,   10.10,   14.74,   17.42,   21.83,   21.48,   16.73,   12.75,    3.19,    2.93,   11.20
45.70836,13.73364,T2M,1989,    1.79,    4.45,    8.35,   10.52,   14.43,   17.31,   20.71,   20.41,   16.34,   11.62,    5.11,    3.00,   11.21
45.70836,13.73364,T2M,1990,    1.96,    5.59,    8.58,    9.09,   15.99,   18.17,   20.66,   20.97,   16.02,   12.66,    6.97,    1.16,   11.52
45.70836,13.73364,T2M,1991,    0.85,    0.34,    7.97,    8.65,   11.42,   17.38,   21.64,   21.50,   18.19,   10.42,    6.02,    0.57,   10.47
45.70836,13.73364,T2M,1992,    1.38,    3.25,    6.01,    9.49,   15.41,   17.69,   20.88,   23.98,   17.54,   11.37,    8.14,    1.95,   11.45
45.70836,13.73364,T2M,1993,    1.61,    1.63,    4.53,   10.09,   16.55,   19.29,   20.24,   22.10,   15.88,   12.12,    3.81,    4.10,   11.06
