LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
45.03686,9.13784,T2M,1981,    0.77,    2.40,    9.20,   12.45,   15.55,   20.67,   21.40,   22.39,   18.32,   12.68,    6.64,    1.32,   12.03
45.03686,9.13784,T2M,1982,    1.91,    2.54,    6.35,   10.79,   16.44,   21.60,   24.30,   22.13,   20.07,   12.66,    7.99,    4.26,   12.64
45.03686,9.13784,T2M,1983,    4.87,    1.29,    7.97,   11.33,   15.01,   19.71,   25.35,   22.15,   19.28,   13.77,    5.82,    2.52,   12.50
45.03686,9.13784,T2M,1984,    2.11,    2.18,    5.85,   10.53,   12.60,   18.61,   22.55,   21.20,   16.93,   13.08,    7.34,    3.68,   11.42
45.03686,9.13784,T2M,1985,   -3.02,    2.42,    5.84,   11.32,   15.14,   18.88,   23.50,   22.68,   20.70,   14.01,    4.74,    4.82,   11.81
45.03686,9.13784,T2M,1986,    1.19,   -0.22,    6.31,   10.47,   17.95,   19.51,   21.83,   23.04,   18.84,   14.26,    7.75,    2.60,   12.04
45.03686,9.13784,T2M,1987,   -0.26,    2.82,    4.46,   11.77,   14.61,   19.49,   24.04,   23.40,   21.71,   12.92,    7.56,    4.05,   12.26
45.03686,9.13784,T2M,1988,    3.98,    4.36,    7.32,   11.64,   16.09,   18.39,   23.47,   23.53,   19.13,   14.90,    4.39,    3.07,   12.56
45.03686,9.13784,T2M,1989,    3.01,    5.86,   10.43,   10.95,   16.55,   19.58,   23.03,   22.91,   17.86,   13.03,    5.80,    3.14,   12.73
45.03686,9.13784,T2M,1990,    2.64,    7.42,   10.31,   10.55,   17.44,   20.37,   24.09,   23.61,   19.02,   13.88,    6.45,    0.50,   13.06
45.03686,9.13784,T2M,1991,    2.13,    1.20,    9.73,   10.19,   13.42,   19.58,   25.40,   25.30,   20.56,   11.20,    6.23,    1.45,   12.27
45.03686,9.13784,T2M,1992,    2.21,    4.85,    8.43,   11.56,   17.93,   18.47,   23.03,   25.35,   19.09,   11.30,    8.18,    2.88,   12.80
45.03686,9.13784,T2M,1993,    3.05,    3.43,    7.09,   11.60,   17.36,   21.54,   22.34,   24.79,   17.71,   12.07,    5.20,    3.94,   12.57
45.03686,9.13784,T2M,1994,    4.11,    3.34,   10.88,   10.93,   16.59,   20.02,   24.98,   24.98,   17.77,   11.74,    9.54,    4.39,   13.34
45.03686,9.13784,T2M,1995,    1.27,    5.70,    6.24,   11.76,   15.72,   18.36,   24.37,   21.62,   16.24,   14.32,    6.17,    2.67,   12.08
45.03686,9.13784,T2M,1996,    2.26,    1.46,    5.56,   12.09,   15.87,   20.43,   21.58,   21.51,   15.11,   12.26,    7.45,    2.70,   11.55
45.03686,9.13784,T2M,1997,    2.10,    5.66,    9.81,   10.70,   16.78,   19.40,   21.82,   22.83,   20.02,   13.34,    7.17,    3.26,   12.78
