LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
40.98426,16.62101,T2M,1981,    5.54,    7.07,   11.36,   13.67,   17.81,   23.53,   24.32,   25.28,   22.21,   18.73,   10.78,    9.25,   15.85
40.98426,16.62101,T2M,1982,    8.86,    7.31,    9.50,   12.53,   17.57,   24.33,   26.19,   25.29,   23.39,   17.98,   13.08,    9.94,   16.38
40.98426,16.62101,T2M,1983,    8.30,    6.88,   10.35,   14.36,   19.28,   21.12,   26.27,   24.65,   21.77,   16.86,   11.54,    8.85,   15.91
40.98426,16.62101,T2M,1984,    8.17,    7.68,    8.84,   11.86,   16.68,   21.13,   24.95,   23.99,   21.03,   17.28,   13.16,    9.40,   15.37
40.98426,16.62101,T2M,1985,    6.49,    7.12,   10.15,   13.31,   18.58,   22.57,   26.21,   25.88,   22.41,   17.19,   13.00,   10.18,   16.15
40.98426,16.62101,T2M,1986,    7.94,    7.60,   10.79,   13.77,   19.97,   21.85,   24.59,   26.67,   22.30,   17.68,   12.68,    8.22,   16.23
40.98426,16.62101,T2M,1987,    7.60,    8.75,    6.87,   13.09,   16.13,   21.79,   26.82,   25.92,   24.48,   18.76,   12.85,    9.78,   16.11
40.98426,16.62101,T2M,1988,    9.81,    8.39,    9.88,   13.56,   18.84,   22.57,   28.36,   27.13,   21.54,   17.94,   10.04,    8.05,   16.38
40.98426,16.62101,T2M,1989,    7.88,    9.39,   12.25,   14.34,   16.92,   20.80,   25.06,   24.93,   21.65,   15.32,   11.33,    8.99,   15.78
40.98426,16.62101,T2M,1990,    8.02,   10.29,   12.08,   13.47,   18.51,   22.86,   25.93,   24.83,   21.64,   18.99,   13.28,    7.74,   16.51
40.98426,16.62101,T2M,1991,    7.27,    7.15,   11.82,   11.34,   14.59,   22.42,   25.19,   25.30,   22.37,   16.86,   12.42,    5.77,   15.25
40.98426,16.62101,T2M,1992,    7.36,    7.40,   10.20,   13.75,   18.04,   21.30,   24.17,   27.49,   22.43,   18.22,   13.77,    9.05,   16.13
40.98426,16.62101,T2M,1993,    7.24,    6.27,    9.05,   13.21,   18.89,   23.42,   25.67,   27.25,   22.17,   18.67,   12.39,   10.47,   16.29
40.98426,16.62101,T2M,1994,    9.13,    8.58,   11.63,   13.09,   18.84,   22.74,   26.44,   28.30,   24.24,   17.75,   13.38,    9.64,   17.03
40.98426,16.62101,T2M,1995,    7.39,    9.86,    9.21,   12.32,   17.61,   22.46,   26.26,   23.97,   20.32,   16.99,   10.73,   11.02,   15.72
40.98426,16.62101,T2M,1996,    9.02,    6.97,    8.49,   12.51,   17.77,   22.57,   24.59,   25.44,   19.13,   15.50,   13.00,    9.49,   15.40
40.98426,16.62101,T2M,1997,    9.14,    8.43,    9.93,   10.31,   19.07,   24.23,   25.53,   24.39,   22.09,   16.49,   13.12,    9.57,   16.07
40.98426,16.62101,T2M,1998,    8.55,    9.56,    8.36,   13.43,   17.25,   24.25,   27.34,   27.36,   21.62,   17.43,   11.47,    7.49,   16.21
40.98426,16.62101,T2M,1999,    8.22,    6.92,   10.44,   13.38,   19.42,   23.69,   25.03,   27.01,   22.39,   18.46,   12.88,    9.91,   16.54
40.98426,16.62101,T2M,2000,    6.79,    8.21,   10.27,   14.83,   20.28,   23.96,   26.01,   27.07,   22.04,   17.64,   14.44,   10.62,   16.87
40.98426,16.62101,T2M,2001,    9.86,    8.74,   13.41,   12.91,   19.06,   22.38,   26.25,   26.93,   21.29,   19.40,   12.66,    6.55,   16.68
40.98426,16.62101,T2M,2002,    6.67,   10.57,   12.22,   13.73,   18.60,   24.04,   26.15,   24.76,   20.33,   16.96,   14.51,   10.42,   16.61
40.98426,16.62101,T2M,2003,    9.37,    5.69,    9.46,   12.53,   20.17,   25.95,   27.74,   28.14,   21.12,   17.36,   13.72,    9.51,   16.80
40.98426,16.62101,T2M,2004,    7.27,    8.33,    9.83,   13.63,   15.89,   22.05,   26.00,   25.84,   22.11,   19.97,   12.98,   11.16,   16.28
40.98426,16.62101,T2M,2005,    7.22,    6.21,   10.01,   12.89,   18.81,   22.62,   26.34,   24.80,   21.59,   16.60,   12.52,    8.59,   15.74
40.98426,16.62101,T2M,2006,    6.94,    7.76,    9.73,   13.94,   18.34,   22.37,   25.33,   25.00,   21.94,   18.24,   12.15,   10.15,   16.04
40.98426,16.62101,T2M,2007,    9.48,   10.05,   11.42,   14.58,   19.24,   24.39,   27.74,   27.08,   20.54,   16.47,   11.42,    8.26,   16.76
40.98426,16.62101,T2M,2008,    8.92,    8.37,   11.19,   13.58,   18.42,   23.56,   26.78,   27.35,   21.40,   17.83,   13.63,    9.52,   16.74
40.98426,16.62101,T2M,2009,    9.14,    7.09,    9.69,   13.72,   19.26,   22.28,   26.00,   27.06,   22.67,   16.44,   12.56,   10.19,   16.40
40.98426,16.62101,T2M,2010,    7.96,    8.60,   10.28,   13.47,   17.28,   22.15,   25.84,   26.44,   21.22,   16.56,   13.53,    8.64,   16.04
40.98426,16.62101,T2M,2011,    7.97,    8.26,   10.09,   13.83,   17.51,   22.93,   25.75,   27.19,   24.82,   17.02,   13.17,    9.99,   16.59
40.98426,16.62101,T2M,2012,    7.23,    6.92,   11.74,   13.77,   17.91,   25.35,   28.44,   28.16,   23.42,   19.04,   15.11,    8.76,   17.19
40.98426,16.62101,T2M,2013,    8.60,    7.71,   10.65,   14.48,   18.50,   22.52,   25.78,   26.93,   22.51,   18.72,   13.99,    9.66,   16.72
40.98426,16.62101,T2M,2014,   10.01,   10.70,   11.14,   13.44,   16.85,   22.60,   24.47,   26.30,   21.38,   17.85,   14.65,    9.82,   16.63
40.98426,16.62101,T2M,2015,    8.27,    8.17,   10.37,   13.01,   19.08,   22.64,   28.46,   26.99,   23.62,   17.87,   13.35,    9.90,   16.87
40.98426,16.62101,T2M,2016,    8.75,   11.10,   10.65,   15.40,   17.39,   22.58,   26.65,   25.34,   21.09,   17.48,   13.49,    8.80,   16.57
40.98426,16.62101,T2M,2017,    5.85,    9.85,   11.93,   13.84,   18.87,   25.29,   27.57,   28.13,   21.52,   17.27,   12.52,    8.44,   16.80
40.98426,16.62101,T2M,2018,    9.66,    8.18,   10.91,   16.10,   19.86,   23.23,   26.49,   26.23,   23.13,   18.66,   14.16,    9.70,   17.24
40.98426,16.62101,T2M,2019,    6.87,    8.69,   11.91,   14.10,   16.17,   25.42,   27.11,   28.08,   23.71,   19.74,   15.32,   10.97,   17.39
40.98426,16.62101,RH2M,1981,   73.51,   79.68,   79.49,   71.20,   63.03,   52.41,   50.75,   54.19,   64.66,   69.18,   72.20,   80.64,   67.50
40.98426,16.62101,RH2M,1982,   79.56,   77.07,   75.96,   73.75,   68.37,   51.91,   50.35,   57.18,   64.58,   73.38,   79.90,   80.57,   69.34
40.98426,16.62101,RH2M,1983,   79.72,   73.15,   75.70,   65.86,   56.49,   58.05,   50.50,   55.41,   60.60,   67.52,   80.12,   85.91,   67.39
40.98426,16.62101,RH2M,1984,   82.49,   82.58,   77.37,   77.13,   69.67,   55.40,   45.04,   56.65,   61.65,   75.34,   81.17,   82.21,   70.51
40.98426,16.62101,RH2M,1985,   82.94,   77.28,   81.14,   75.14,   67.50,   55.41,   46.90,   48.91,   57.31,   68.83,   79.64,   85.52,   68.83
40.98426,16.62101,RH2M,1986,   80.40,   82.31,   81.59,   72.82,   65.31,   60.25,   55.34,   51.83,   59.27,   68.42,   79.09,   75.75,   69.28
40.98426,16.62101,RH2M,1987,   78.28,   79.70,   71.91,   68.14,   62.68,   56.35,   51.67,   52.89,   59.00,   72.63,   79.27,   84.11,   67.98
40.98426,16.62101,RH2M,1988,   87.40,   75.34,   73.28,   70.21,   65.49,   55.81,   44.01,   47.45,   62.10,   74.22,   74.77,   78.46,   67.35
40.98426,16.62101,RH2M,1989,   81.97,   75.44,   71.01,   66.62,   63.51,   60.84,   58.60,   56.14,   64.38,   72.49,   77.09,   80.85,   69.05
40.98426,16.62101,RH2M,1990,   80.42,   75.59,   67.08,   68.37,   62.06,   53.36,   47.59,   53.71,   60.32,   71.80,   78.63,   83.52,   66.82
40.98426,16.62101,RH2M,1991,   81.16,   80.65,   81.15,   74.87,   66.51,   53.78,   53.37,   53.50,   65.20,   71.06,   79.52,   74.17,   69.50
40.98426,16.62101,RH2M,1992,   81.67,   74.49,   69.73,   71.48,   63.84,   62.26,   58.07,   52.93,   59.58,   74.43,   79.23,   80.23,   68.97
40.98426,16.62101,RH2M,1993,   81.48,   75.39,   72.69,   70.71,   67.23,   55.29,   46.85,   46.69,   61.18,   74.53,   81.58,   84.21,   68.10
