LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
46.22166,13.25838,T2M,1981,   -4.52,   -1.78,    5.13,    8.54,   12.11,   16.53,   17.63,   18.15,   14.73,    9.82,    3.00,   -1.92,    8.17
46.22166,13.25838,T2M,1982,   -2.06,   -2.08,    2.22,    6.82,   13.07,   17.32,   19.71,   18.52,   17.04,    9.64,    5.20,    0.65,    8.90
46.22166,13.25838,T2M,1983,    0.85,   -3.29,    4.18,    8.12,   12.25,   16.27,   22.00,   18.97,   15.25,   10.00,    2.84,   -0.31,    9.01
46.22166,13.25838,T2M,1984,   -1.65,   -2.04,    1.02,    6.59,    9.88,   14.77,   17.64,   17.33,   13.50,   10.27,    4.60,    0.65,    7.74
46.22166,13.25838,T2M,1985,   -5.52,   -2.51,    2.44,    7.26,   12.76,   14.75,   19.40,   18.92,   16.85,   10.27,    1.19,    1.63,    8.18
46.22166,13.25838,T2M,1986,   -2.81,   -5.76,    1.71,    7.18,   15.16,   16.13,   18.19,   19.09,   14.19,   10.30,    4.75,   -0.93,    8.19
46.22166,13.25838,T2M,1987,   -5.37,   -1.03,   -1.24,    7.89,   10.79,   15.22,   19.42,   17.79,   17.55,    9.76,    4.22,    0.19,    7.97
46.22166,13.25838,T2M,1988,    0.76,    0.01,    2.04,    8.18,   13.03,   15.49,   19.78,   19.64,   14.58,   10.90,    0.91,   -0.28,    8.79
46.22166,13.25838,T2M,1989,    0.57,    2.73,    6.46,    8.05,   12.67,   15.18,   18.62,   18.09,   14.26,    9.61,    2.45,    0.49,    9.14
46.22166,13.25838,T2M,1990,    0.12,    3.53,    6.72,    6.88,   14.19,   15.88,   18.70,   18.91,   13.73,   10.24,    4.17,   -2.57,    9.24
46.22166,13.25838,T2M,1991,   -2.14,   -2.72,    6.31,    6.64,    9.31,   15.42,   19.82,   19.78,   16.17,    7.95,    2.95,   -1.96,    8.19
46.22166,13.25838,T2M,1992,   -1.00,    1.03,    3.92,    7.30,   13.82,   15.90,   19.11,   21.90,   15.23,    8.34,    5.21,   -0.97,    9.17
46.22166,13.25838,T2M,1993,   -0.35,    0.39,    2.55,    8.38,   14.63,   17.36,   17.91,   19.80,   13.22,    9.31,    2.12,    0.50,    8.87
46.22166,13.25838,T2M,1994,    0.81,   -0.47,    7.04,    7.15,   12.68,   16.95,   21.37,   21.16,   15.36,    8.73,    6.69,    0.85,    9.93
46.22166,13.25838,T2M,1995,   -2.77,    1.71,    1.92,    7.87,   12.37,   14.91,   20.73,   18.03,   12.71,   11.46,    3.03,   -0.42,    8.50
46.22166,13.25838,T2M,1996,   -1.27,   -3.09,    0.90,    8.07,   12.90,   17.58,   17.63,   17.94,   11.53,    9.27,    5.20,   -1.11,    7.99
46.22166,13.25838,T2M,1997,    0.20,    2.28,    6.16,    5.95,   13.18,   16.39,   17.98,   18.84,   16.31,    8.81,    4.79,    0.36,    9.31
46.22166,13.25838,T2M,1998,    0.05,    3.34,    3.33,    7.62,   13.35,   17.81,   19.68,   20.65,   13.91,    9.64,    1.78,   -1.20,    9.20
46.22166,13.25838,T2M,1999,    0.33,   -1.90,    4.42,    8.64,   13.96,   16.46,   19.04,   18.74,   16.47,   10.44,    2.24,   -1.79,    8.99
46.22166,13.25838,T2M,2000,   -3.30,    1.50,    4.07,   10.07,   14.71,   18.47,   17.38,   20.48,   15.36,   10.85,    6.67,    2.32,    9.90
46.22166,13.25838,T2M,2001,   -0.32,    1.36,    5.67,    7.09,   15.04,   15.92,   19.55,   21.23,   12.40,   12.76,    3.14,   -2.93,    9.30
46.22166,13.25838,T2M,2002,   -1.16,    2.68,    6.14,    7.86,   13.92,   18.87,   19.66,   18.44,   13.48,    9.92,    7.10,    0.99,    9.86
46.22166,13.25838,T2M,2003,   -2.02,   -3.40,    4.99,    6.67,   15.32,   21.41,   20.98,   23.35,   14.56,    7.16,    5.35,    0.71,    9.67
46.22166,13.25838,T2M,2004,   -3.92,   -0.70,    1.59,    8.25,   11.21,   16.52,   19.11,   19.27,   14.87,   11.37,    4.38,    0.97,    8.60
46.22166,13.25838,T2M,2005,   -2.27,   -3.17,    2.93,    7.57,   13.83,   18.01,   19.50,   17.17,   15.13,   10.05,    3.62,   -2.87,    8.36
46.22166,13.25838,T2M,2006,   -3.78,   -1.32,    1.05,    8.59,   12.75,   17.84,   22.63,   16.16,   16.45,   12.17,    5.70,    2.26,    9.26
46.22166,13.25838,T2M,2007,    1.83,    3.10,    5.30,   12.02,   15.01,   18.16,   20.05,   18.70,   13.35,    8.93,    2.89,   -0.23,    9.96
46.22166,13.25838,T2M,2008,    1.03,    1.44,    3.63,    7.94,   13.91,   18.00,   19.29,   19.59,   13.63,   11.26,    4.62,   -0.71,    9.50
46.22166,13.25838,T2M,2009,   -2.60,   -1.28,    2.76,   10.18,   15.16,   16.45,   19.58,   20.93,   16.32,    9.55,    5.59,   -0.59,    9.39
46.22166,13.25838,T2M,2010,   -3.60,   -1.36,    2.52,    8.67,   12.27,   17.29,   20.95,   18.54,   13.63,    7.89,    5.32,   -2.80,    8.32
46.22166,13.25838,T2M,2011,   -1.42,    1.09,    4.41,   10.62,   14.69,   17.58,   18.34,   20.94,   18.18,    9.14,    5.06,    1.14,   10.02
46.22166,13.25838,T2M,2012,   -2.14,   -3.49,    7.24,    7.80,   13.67,   18.73,   20.69,   21.48,   15.65,   10.01,    6.13,   -1.29,    9.58
46.22166,13.25838,T2M,2013,   -1.07,   -2.74,    1.52,    9.16,   11.74,   16.68,   21.05,   20.25,   15.01,   10.73,    4.61,    2.06,    9.16
46.22166,13.25838,T2M,2014,    2.42,    2.47,    6.29,   10.17,   12.37,   17.65,   18.57,   17.45,   14.60,   11.66,    7.80,    1.69,   10.30
46.22166,13.25838,T2M,2015,    0.59,    0.17,    4.53,    8.38,   13.79,   18.10,   22.34,   20.88,   14.38,    9.42,    6.44,    3.53,   10.28
46.22166,13.25838,T2M,2016,   -0.05,    2.19,    3.49,    9.08,   12.32,   17.13,   20.54,   18.91,   17.10,    8.65,    4.82,    1.40,    9.65
46.22166,13.25838,T2M,2017,   -4.12,    2.10,    7.03,    8.85,   13.97,   19.26,   20.43,   21.41,   12.93,   10.44,    3.79,   -0.93,    9.64
46.22166,13.25838,T2M,2018,    1.58,   -3.21,    2.44,   11.73,   15.55,   18.33,   20.58,   21.35,   16.57,   11.98,    6.34,    0.80,   10.42
46.22166,13.25838,T2M,2019,   -2.42,    2.63,    5.92,    9.02,   10.39,   20.60,   20.80,   20.52,   15.66,   11.63,    6.50,    2.06,   10.31
46.22166,13.25838,RH2M,1981,   78.77,   81.75,   87.62,   75.70,   77.55,   73.97,   72.45,   68.86,   81.30,   85.69,   76.55,   88.13,   79.03
46.22166,13.25838,RH2M,1982,   81.79,   82.69,   80.39,   72.00,   75.27,   75.67,   71.90,   71.05,   76.21,   84.90,   86.86,   88.40,   78.91
46.22166,13.25838,RH2M,1983,   79.55,   84.56,   81.08,   83.99,   81.13,   73.91,   62.79,   63.95,   69.43,   73.89,   70.78,   80.16,   75.37
46.22166,13.25838,RH2M,1984,   82.83,   84.81,   82.37,   74.92,   82.98,   77.76,   70.03,   72.98,   78.03,   82.88,   84.84,   85.59,   79.99
46.22166,13.25838,RH2M,1985,   83.41,   83.54,   88.24,   79.87,   79.63,   77.40,   73.46,   65.18,   62.22,   68.58,   84.15,   88.24,   77.80
46.22166,13.25838,RH2M,1986,   84.66,   86.98,   86.12,   86.03,   76.70,   74.71,   69.07,   68.32,   71.27,   73.37,   81.22,   76.84,   77.86
46.22166,13.25838,RH2M,1987,   84.58,   87.54,   81.22,   77.84,   75.00,   75.81,   71.84,   74.06,   76.23,   86.24,   84.79,   84.09,   79.89
46.22166,13.25838,RH2M,1988,   89.43,   83.49,   78.91,   79.51,   80.66,   76.11,   69.24,   65.11,   71.50,   81.29,   76.17,   78.79,   77.50
46.22166,13.25838,RH2M,1989,   73.46,   80.22,   75.23,   82.81,   70.77,   72.89,   76.03,   71.56,   77.06,   71.76,   78.09,   82.99,   76.02
