LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
44.42708,8.78686,T2M,1981,    6.44,    6.71,   10.89,   13.19,   15.59,   20.26,   22.11,   23.30,   20.14,   16.05,   11.17,    7.54,   14.49
44.42708,8.78686,T2M,1982,    7.21,    6.97,    9.07,   11.85,   16.13,   20.62,   24.10,   22.70,   21.37,   15.78,   12.16,    9.40,   14.83
44.42708,8.78686,T2M,1983,    9.76,    6.41,   10.31,   12.26,   15.14,   19.75,   24.83,   23.49,   20.92,   16.62,   11.00,    7.79,   14.91
44.42708,8.78686,T2M,1984,    7.38,    6.39,    8.89,   11.83,   13.29,   17.92,   21.66,   21.85,   18.60,   15.48,   11.99,    8.92,   13.71
44.42708,8.78686,T2M,1985,    3.93,    7.44,    8.67,   12.59,   15.03,   18.52,   23.25,   22.35,   21.35,   16.78,    9.58,    9.77,   14.14
44.42708,8.78686,T2M,1986,    6.98,    4.49,    9.22,   11.68,   17.69,   19.30,   22.49,   23.39,   19.90,   17.16,   11.97,    8.26,   14.44
44.42708,8.78686,T2M,1987,    5.51,    6.99,    7.89,   12.66,   14.58,   18.82,   23.46,   23.29,   21.63,   16.06,   11.67,    8.98,   14.33
44.42708,8.78686,T2M,1988,    8.80,    8.61,   10.02,   12.62,   16.44,   18.73,   23.11,   23.60,   19.63,   17.42,   10.04,    8.50,   14.82
44.42708,8.78686,T2M,1989,    7.96,    9.34,   11.96,   12.12,   16.75,   19.37,   23.09,   23.39,   19.24,   15.75,   10.65,    8.52,   14.89
44.42708,8.78686,T2M,1990,    8.17,   11.13,   11.58,   12.03,   17.47,   19.74,   22.61,   23.24,   20.17,   16.55,   11.15,    6.47,   15.05
44.42708,8.78686,T2M,1991,    7.17,    5.80,   11.48,   11.54,   13.99,   18.44,   23.30,   24.08,   21.41,   14.57,   10.55,    7.31,   14.19
44.42708,8.78686,T2M,1992,    6.97,    8.53,   10.65,   12.33,   17.57,   18.47,   22.34,   24.20,   19.98,   14.84,   12.16,    7.80,   14.68
44.42708,8.78686,T2M,1993,    7.93,    7.36,    9.12,   12.45,   16.87,   20.94,   21.46,   23.93,   19.28,   14.86,    9.54,    9.12,   14.45
44.42708,8.78686,T2M,1994,    8.41,    7.50,   12.13,   12.02,   16.43,   19.39,   25.09,   24.71,   19.50,   15.09,   13.63,    9.68,   15.35
44.42708,8.78686,T2M,1995,    7.03,    9.57,    9.28,   12.30,   15.64,   18.17,   24.29,   23.08,   18.28,   16.91,   11.13,    7.72,   14.49
44.42708,8.78686,T2M,1996,    7.01,    6.35,    8.73,   12.94,   15.88,   20.16,   21.88,   22.54,   17.71,   15.30,   11.49,    7.44,   13.98
44.42708,8.78686,T2M,1997,    6.72,    9.46,   11.81,   12.19,   16.58,   19.27,   21.92,   23.57,   21.04,   16.24,   11.27,    8.59,   14.92
44.42708,8.78686,T2M,1998,    8.01,    9.71,   10.28,   12.26,   16.96,   19.86,   22.51,   23.48,   19.23,   15.39,    9.40,    7.40,   14.57
44.42708,8.78686,T2M,1999,    8.13,    7.64,   10.80,   12.75,   16.80,   20.11,   23.36,   23.15,   21.24,   16.57,   10.52,    8.10,   14.98
44.42708,8.78686,T2M,2000,    7.03,    9.32,   10.70,   12.47,   17.65,   21.26,   21.20,   23.26,   20.32,   16.48,   12.19,    9.72,   15.15
44.42708,8.78686,T2M,2001,    7.54,    8.88,   11.61,   12.08,   17.20,   19.79,   22.46,   24.26,   18.21,   17.96,   11.20,    7.20,   14.91
44.42708,8.78686,T2M,2002,    7.44,    9.18,   11.63,   12.45,   16.00,   21.27,   22.39,   22.34,   19.15,   16.44,   13.41,    8.84,   15.08
44.42708,8.78686,T2M,2003,    7.49,    6.06,   10.69,   12.23,   18.20,   23.83,   24.42,   26.62,   20.42,   14.56,   11.54,    8.81,   15.47
44.42708,8.78686,T2M,2004,    7.34,    7.43,    9.21,   12.33,   15.11,   20.06,   22.14,   23.14,   20.87,   16.89,   12.00,    8.93,   14.64
44.42708,8.78686,T2M,2005,    7.44,    5.87,    9.42,   12.08,   17.44,   21.70,   23.16,   22.02,   20.18,   15.87,   11.15,    6.96,   14.49
44.42708,8.78686,T2M,2006,    5.97,    7.55,    9.31,   13.10,   16.54,   20.42,   26.17,   22.04,   20.53,   17.76,   13.56,   10.02,   15.29
44.42708,8.78686,T2M,2007,   10.04,    9.89,   11.00,   15.48,   17.89,   20.04,   22.39,   21.97,   19.50,   15.84,   10.77,    8.16,   15.28
44.42708,8.78686,T2M,2008,    8.32,    8.48,   10.08,   12.52,   17.03,   20.31,   22.66,   23.31,   19.62,   16.59,   11.71,    7.97,   14.90
44.42708,8.78686,T2M,2009,    6.46,    7.57,   10.29,   13.78,   17.91,   20.55,   23.02,   25.11,   21.55,   16.44,   12.60,    7.54,   15.28
44.42708,8.78686,T2M,2010,    5.24,    7.00,    9.22,   12.95,   15.76,   19.85,   24.98,   22.22,   19.89,   14.95,   11.41,    6.41,   14.20
44.42708,8.78686,T2M,2011,    6.57,    8.16,    9.62,   14.76,   18.21,   20.32,   21.99,   23.58,   21.95,   16.12,   12.46,   10.15,   15.36
44.42708,8.78686,T2M,2012,    8.07,    4.84,   11.77,   12.67,   15.99,   20.91,   22.98,   25.08,   20.66,   16.67,   12.54,    7.95,   15.05
44.42708,8.78686,T2M,2013,    7.10,    6.24,    8.60,   12.98,   15.01,   19.11,   24.16,   23.91,   20.53,   17.00,   11.93,    9.74,   14.74
44.42708,8.78686,T2M,2014,    8.66,    9.21,   11.29,   13.65,   15.86,   20.83,   21.83,   21.72,   20.65,   18.07,   14.17,   10.08,   15.53
44.42708,8.78686,T2M,2015,    8.84,    7.41,   10.82,   13.05,   16.82,   22.00,   26.00,   24.26,   20.37,   15.78,   12.75,   11.03,   15.81
44.42708,8.78686,T2M,2016,    8.58,    9.42,   10.20,   13.93,   15.92,   19.79,   23.49,   23.81,   22.30,   15.96,   12.44,    9.69,   15.48
44.42708,8.78686,T2M,2017,    6.44,    9.29,   12.08,   13.72,   17.35,   22.18,   23.42,   24.41,   19.18,   16.91,   11.82,    8.56,   15.48
44.42708,8.78686,T2M,2018,    9.90,    6.20,    8.90,   14.51,   17.23,   21.43,   24.25,   25.68,   22.14,   18.07,   12.68,   10.13,   15.99
44.42708,8.78686,T2M,2019,    7.46,    9.11,   11.30,   12.93,   14.21,   21.82,   24.64,   24.30,   21.29,   17.81,   12.50,   10.33,   15.68
44.42708,8.78686,RH2M,1981,   65.61,   71.47,   81.94,   75.11,   75.31,   70.80,   67.46,   67.48,   78.52,   78.03,   73.07,   76.35,   73.43
44.42708,8.78686,RH2M,1982,   81.28,   74.20,   72.33,   74.33,   76.93,   74.07,   68.32,   72.83,   74.26,   75.46,   79.44,   77.11,   75.05
44.42708,8.78686,RH2M,1983,   78.29,   69.84,   78.95,   80.93,   83.67,   74.09,   68.74,   64.16,   68.37,   69.61,   71.48,   76.99,   73.79
44.42708,8.78686,RH2M,1984,   74.23,   71.10,   71.21,   75.73,   81.70,   82.48,   70.55,   70.97,   74.02,   80.60,   80.78,   79.08,   76.04
