LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
41.28841,13.98285,T2M,1981,    5.27,    6.81,   10.94,   13.50,   16.39,   21.68,   22.95,   24.45,   21.34,   17.62,   10.49,    9.47,   15.13
41.28841,13.98285,T2M,1982,    9.10,    7.30,    9.14,   12.42,   17.16,   22.41,   25.57,   24.46,   22.52,   16.97,   12.93,    9.85,   15.87
41.28841,13.98285,T2M,1983,    8.59,    6.65,   10.24,   13.19,   17.20,   21.02,   26.41,   24.22,   21.22,   16.56,   12.24,    9.26,   15.63
41.28841,13.98285,T2M,1984,    8.39,    7.40,    8.78,   12.05,   15.58,   19.75,   24.19,   23.19,   19.87,   16.55,   13.74,    9.98,   14.98
41.28841,13.98285,T2M,1985,    6.23,    7.75,    9.58,   12.61,   17.05,   20.88,   25.51,   24.63,   22.81,   17.35,   12.73,   10.55,   15.69
41.28841,13.98285,T2M,1986,    8.16,    7.18,   10.30,   12.70,   18.86,   20.26,   23.69,   25.37,   21.50,   18.02,   12.72,    8.18,   15.63
41.28841,13.98285,T2M,1987,    7.33,    8.06,    6.55,   12.64,   15.26,   20.65,   25.09,   24.97,   24.09,   18.51,   12.95,   10.28,   15.57
41.28841,13.98285,T2M,1988,    9.82,    8.32,    9.57,   13.12,   17.79,   20.93,   26.41,   25.60,   20.68,   18.50,   10.20,    8.13,   15.79
41.28841,13.98285,T2M,1989,    7.87,    9.28,   12.26,   13.20,   16.61,   19.85,   24.20,   24.67,   20.60,   15.81,   11.55,    9.50,   15.49
41.28841,13.98285,T2M,1990,    8.46,   10.79,   11.75,   12.53,   17.67,   21.50,   25.01,   24.20,   20.75,   18.56,   12.45,    7.57,   15.97
41.28841,13.98285,T2M,1991,    7.64,    7.14,   11.71,   11.32,   13.70,   20.38,   24.55,   25.19,   22.23,   16.29,   11.98,    6.02,   14.89
41.28841,13.98285,T2M,1992,    7.85,    7.77,   10.26,   12.54,   17.77,   20.09,   23.70,   26.42,   21.85,   17.32,   14.03,    9.50,   15.79
41.28841,13.98285,T2M,1993,    7.71,    6.76,    8.93,   13.00,   18.41,   22.36,   23.95,   26.23,   21.04,   17.51,   11.77,   10.39,   15.73
41.28841,13.98285,T2M,1994,    9.01,    8.65,   12.06,   12.15,   17.62,   21.52,   26.01,   27.19,   22.40,   17.35,   13.85,   10.31,   16.56
41.28841,13.98285,T2M,1995,    7.14,    9.98,    9.18,   12.12,   16.66,   20.46,   25.51,   23.93,   19.49,   17.49,   10.85,   10.84,   15.34
41.28841,13.98285,T2M,1996,    9.50,    7.33,    8.94,   13.12,   17.14,   21.84,   23.62,   24.63,   18.72,   15.52,   13.08,    9.39,   15.26
41.28841,13.98285,T2M,1997,    9.89,    9.05,   10.72,   10.96,   18.26,   22.55,   24.11,   24.42,   22.52,   17.12,   13.02,    9.98,   16.09
41.28841,13.98285,T2M,1998,    9.01,    9.89,    9.41,   13.30,   17.80,   22.88,   25.86,   25.75,   20.25,   16.62,   11.15,    7.50,   15.82
41.28841,13.98285,T2M,1999,    8.03,    6.73,   10.16,   12.61,   18.25,   21.89,   23.95,   25.33,   22.09,   17.98,   12.21,    8.99,   15.74
41.28841,13.98285,T2M,2000,    6.72,    8.18,    9.98,   13.65,   19.00,   22.55,   23.32,   25.81,   21.14,   17.26,   13.72,   11.05,   16.06
41.28841,13.98285,T2M,2001,    9.67,    8.67,   12.53,   12.25,   18.37,   21.38,   24.62,   25.63,   19.84,   19.18,   12.48,    6.68,   15.99
41.28841,13.98285,T2M,2002,    6.77,   10.20,   11.98,   13.40,   17.88,   23.65,   24.35,   23.71,   19.91,   16.79,   14.30,   10.43,   16.14
41.28841,13.98285,T2M,2003,    8.65,    5.68,    9.84,   12.78,   20.11,   25.41,   26.55,   27.62,   20.85,   16.98,   13.96,    9.50,   16.56
41.28841,13.98285,T2M,2004,    7.22,    8.64,    9.34,   12.89,   15.28,   21.05,   24.56,   24.66,   21.52,   18.96,   13.08,   11.10,   15.71
41.28841,13.98285,T2M,2005,    6.94,    5.49,    9.52,   12.36,   18.27,   22.12,   25.01,   23.30,   21.49,   17.01,   12.44,    8.42,   15.26
41.28841,13.98285,T2M,2006,    6.71,    7.71,    9.22,   13.62,   17.88,   21.51,   25.89,   23.59,   21.65,   18.22,   12.94,   10.46,   15.83
41.28841,13.98285,T2M,2007,   10.12,   10.14,   11.14,   15.14,   18.10,   21.88,   25.17,   24.95,   20.44,   16.71,   11.69,    8.29,   16.18
41.28841,13.98285,T2M,2008,    9.27,    8.62,   10.41,   13.12,   18.07,   22.34,   25.11,   25.82,   20.84,   17.89,   13.34,    9.42,   16.22
41.28841,13.98285,T2M,2009,    8.77,    7.10,   10.02,   13.85,   19.40,   21.47,   25.22,   26.77,   22.12,   16.22,   13.41,    9.77,   16.24
41.28841,13.98285,T2M,2010,    7.53,    8.32,    9.86,   13.59,   16.33,   21.16,   25.56,   24.87,   20.66,   16.47,   13.48,    8.46,   15.56
41.28841,13.98285,T2M,2011,    8.41,    8.35,    9.90,   13.97,   17.40,   22.07,   23.60,   25.34,   23.37,   16.96,   13.03,   10.01,   16.07
41.28841,13.98285,T2M,2012,    7.59,    5.93,   11.78,   13.30,   17.02,   23.31,   25.85,   27.01,   21.49,   18.34,   14.58,    8.77,   16.28
41.28841,13.98285,T2M,2013,    8.54,    7.44,   10.26,   14.40,   16.66,   20.62,   24.81,   25.85,   21.48,   18.64,   13.37,    9.98,   16.06
41.28841,13.98285,T2M,2014,   10.22,   10.75,   10.74,   13.45,   16.34,   21.76,   22.90,   24.21,   21.36,   18.54,   15.11,   10.05,   16.31
41.28841,13.98285,T2M,2015,    8.51,    7.97,   10.28,   12.91,   17.99,   22.59,   27.38,   25.82,   21.82,   17.14,   13.51,   10.44,   16.42
41.28841,13.98285,T2M,2016,    9.10,   10.84,   10.58,   14.97,   16.86,   21.62,   25.43,   24.70,   21.27,   17.19,   13.05,    9.11,   16.24
41.28841,13.98285,T2M,2017,    5.75,   10.05,   11.69,   13.71,   18.44,   23.94,   25.85,   27.16,   20.13,   17.37,   12.61,    8.66,   16.32
41.28841,13.98285,T2M,2018,   10.10,    7.61,   10.09,   15.60,   18.34,   22.24,   25.65,   25.88,   22.53,   18.77,   13.78,   10.00,   16.77
41.28841,13.98285,T2M,2019,    6.70,    8.78,   11.42,   13.45,   14.76,   24.08,   26.27,   27.03,   22.75,   18.92,   14.53,   10.85,   16.67
41.28841,13.98285,RH2M,1981,   74.38,   77.93,   80.75,   75.45,   69.72,   62.71,   58.91,   55.10,   68.57,   72.80,   67.51,   81.75,   70.42
41.28841,13.98285,RH2M,1982,   79.07,   73.94,   73.78,   71.47,   68.31,   62.83,   55.82,   59.17,   66.16,   75.34,   77.25,   79.57,   70.20
41.28841,13.98285,RH2M,1983,   74.33,   75.33,   77.93,   75.46,   68.05,   58.94,   50.77,   59.83,   61.93,   69.86,   75.24,   75.85,   68.58
41.28841,13.98285,RH2M,1984,   75.30,   76.60,   76.41,   75.21,   73.80,   65.36,   53.12,   59.55,   67.07,   78.54,   79.78,   79.98,   71.70
41.28841,13.98285,RH2M,1985,   83.29,   79.70,   81.55,   79.00,   73.80,   64.59,   53.75,   52.99,   57.48,   64.26,   82.71,   80.96,   71.10
41.28841,13.98285,RH2M,1986,   79.72,   83.53,   81.17,   76.95,   71.84,   66.02,   64.62,   57.90,   60.67,   67.05,   75.89,   72.34,   71.39
41.28841,13.98285,RH2M,1987,   79.36,   80.55,   69.98,   70.34,   66.64,   58.67,   61.48,   60.30,   64.28,   75.64,   77.74,   79.80,   70.34
41.28841,13.98285,RH2M,1988,   85.11,   76.04,   75.13,   75.97,   74.59,   65.20,   54.12,   56.43,   63.91,   74.03,   73.02,   74.63,   70.67
41.28841,13.98285,RH2M,1989,   74.31,   74.03,   70.72,   72.96,   64.49,   66.64,   63.00,   60.23,   69.27,   66.81,   75.73,   83.68,   70.11
41.28841,13.98285,RH2M,1990,   78.66,   78.18,   71.88,   73.88,   68.86,   62.63,   55.02,   59.54,   68.43,   79.98,   79.06,   81.08,   71.38
41.28841,13.98285,RH2M,1991,   78.14,   79.77,   79.79,   73.91,   72.72,   67.12,   60.05,   57.84,   67.90,   73.52,   80.68,   72.48,   71.92
41.28841,13.98285,RH2M,1992,   80.05,   76.29,   75.58,   80.27,   67.51,   68.18,   63.19,   57.61,   62.40,   82.25,   80.61,   81.51,   72.94
41.28841,13.98285,RH2M,1993,   78.36,   68.77,   73.93,   72.98,   69.14,   62.13,   55.17,   53.89,   68.81,   79.25,   82.89,   83.50,   70.74
41.28841,13.98285,RH2M,1994,   83.27,   82.02,   78.75,   76.85,   70.59,   62.90,   56.46,   56.19,   66.50,   69.07,   74.84,   79.89,   71.37
41.28841,13.98285,RH2M,1995,   78.10,   77.14,   73.04,   72.46,   69.63,   62.30,   59.54,   63.48,   71.75,   65.89,   75.70,   85.43,   71.16
41.28841,13.98285,RH2M,1996,   80.11,   75.20,   76.17,   72.27,   72.29,   59.47,   58.33,   60.34,   71.09,   76.52,   82.65,   83.67,   72.34
41.28841,13.98285,RH2M,1997,   83.26,   75.94,   67.40,   65.89,   62.67,   64.23,   56.80,   59.72,   60.59,   71.66,   83.78,   79.83,   69.27
41.28841,13.98285,RH2M,1998,   80.16,   72.31,   67.35,   73.96,   65.78,   58.48,   54.70,   60.44,   72.91,   79.76,   79.09,   76.98,   70.13
41.28841,13.98285,RH2M,1999,   77.77,   77.64,   77.74,   79.47,   77.61,   67.85,   62.64,   61.97,   66.77,   72.87,   78.79,   81.88,   73.55
41.28841,13.98285,RH2M,2000,   76.51,   75.52,   77.36,   80.02,   71.11,   60.71,   59.84,   55.66,   67.32,   77.91,   81.45,   83.10,   72.19
41.28841,13.98285,RH2M,2001,   86.73,   79.71,   86.58,   75.80,   72.39,   63.17,   57.11,   57.38,   65.96,   70.02,   73.14,   74.85,   71.86
41.28841,13.98285,RH2M,2002,   73.95,   81.04,   71.31,   73.52,   68.87,   60.57,   63.14,   66.45,   70.84,   78.79,   84.04,   84.94,   73.06
41.28841,13.98285,RH2M,2003,   81.77,   73.89,   72.89,   73.28,   62.97,   61.32,   57.06,   55.70,   65.67,   75.25,   82.42,   80.15,   70.16
41.28841,13.98285,RH2M,2004,   78.95,   80.31,   78.72,   83.02,   75.77,   71.63,   58.91,   62.80,   67.23,   81.43,   79.10,   84.91,   75.20
41.28841,13.98285,RH2M,2005,   77.73,   79.80,   79.86,   78.83,   73.18,   65.57,   58.55,   63.88,   70.97,   76.01,   81.02,   80.95,   73.81
41.28841,13.98285,RH2M,2006,   81.48,   79.97,   83.10,   80.54,   71.12,   60.73,   58.38,   64.38,   66.85,   72.24,   75.83,   80.74,   72.91
41.28841,13.98285,RH2M,2007,   81.36,   80.28,   79.95,   72.83,   72.64,   68.36,   53.72,   58.21,   61.55,   70.16,   75.07,   77.90,   70.94
41.28841,13.98285,RH2M,2008,   80.48,   74.56,   82.88,   77.31,   68.24,   66.82,   58.69,   55.65,   61.97,   72.77,   78.59,   81.12,   71.58
41.28841,13.98285,RH2M,2009,   84.56,   77.76,   78.63,   78.30,   66.14,   70.19,   59.87,   56.04,   66.67,   72.31,   80.73,   84.17,   72.90
41.28841,13.98285,RH2M,2010,   81.76,   83.83,   80.56,   77.12,   77.04,   64.67,   60.11,   59.73,   67.35,   73.87,   83.18,   82.73,   74.26
41.28841,13.98285,RH2M,2011,   82.28,   75.16,   80.96,   74.06,   70.20,   67.10,   63.86,   59.33,   61.34,   67.80,   75.90,   78.42,   71.36
41.28841,13.98285,RH2M,2012,   73.08,   79.26,   71.87,   77.85,   68.52,   61.05,   56.37,   53.55,   69.81,   74.61,   81.94,   79.32,   70.53
41.28841,13.98285,RH2M,2013,   82.15,   76.78,   84.72,   76.51,   73.21,   67.97,   60.48,   58.70,   66.96,   76.29,   81.16,   78.51,   73.60
41.28841,13.98285,RH2M,2014,   84.23,   84.35,   77.74,   78.81,   73.66,   67.63,   67.36,   64.87,   70.86,   70.71,   79.98,   80.08,   74.96
41.28841,13.98285,RH2M,2015,   80.67,   80.33,   80.15,   77.30,   72.12,   61.16,   58.55,   62.44,   65.71,   81.29,   77.53,   75.19,   72.66
41.28841,13.98285,RH2M,2016,   82.18,   82.23,   78.14,   71.40,   71.09,   67.41,   58.80,   59.53,   67.63,   76.16,   82.17,   72.35,   72.37
