LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
57.7812,11.60599,T2M,1981,   -1.62,   -1.00,    0.78,    4.63,   11.64,   13.41,   15.79,   15.44,   13.49,    8.09,    3.96,   -4.97,    6.67
57.7812,11.60599,T2M,1982,   -5.69,   -1.94,    2.36,    5.21,    9.47,   13.94,   17.38,   17.07,   13.12,    9.06,    6.33,    2.68,    7.47
57.7812,11.60599,T2M,1983,    3.95,   -1.55,    2.29,    5.73,   10.30,   13.84,   17.02,   16.65,   12.96,    9.39,    4.07,    1.56,    8.08
57.7812,11.60599,T2M,1984,   -0.81,   -0.92,    0.10,    5.14,   11.56,   13.99,   16.06,   16.97,   11.52,   10.50,    5.17,    2.15,    7.65
57.7812,11.60599,T2M,1985,   -6.47,   -6.32,    0.39,    3.07,   10.25,   13.46,   16.05,   15.33,   11.48,    9.90,    1.33,    0.34,    5.82
57.7812,11.60599,T2M,1986,   -3.10,   -6.44,    0.91,    3.18,   10.38,   14.63,   15.69,   14.61,   10.67,    8.98,    6.82,    1.00,    6.52
57.7812,11.60599,T2M,1987,   -8.17,   -1.33,   -2.70,    5.03,    9.09,   11.82,   15.03,   14.02,   11.93,    9.13,    4.01,    2.04,    5.86
57.7812,11.60599,T2M,1988,    2.41,    1.30,    0.69,    4.48,   11.81,   16.96,   16.71,   15.62,   13.64,    8.01,    3.13,    2.20,    8.10
57.7812,11.60599,T2M,1989,    4.46,    4.04,    4.60,    5.53,   10.83,   14.85,   17.08,   14.96,   13.23,    9.54,    4.91,    1.50,    8.82
57.7812,11.60599,T2M,1990,    3.32,    4.72,    5.07,    7.10,   11.83,   15.01,   15.84,   16.56,   11.82,    8.82,    3.48,    1.96,    8.82
57.7812,11.60599,T2M,1991,    1.72,   -2.06,    2.83,    5.56,    9.14,   11.65,   17.21,   16.85,   13.24,    8.38,    4.92,    3.32,    7.80
57.7812,11.60599,T2M,1992,    2.41,    2.34,    3.18,    4.59,   11.99,   16.88,   17.14,   15.57,   12.47,    5.41,    4.09,    2.72,    8.25
57.7812,11.60599,T2M,1993,    1.75,    0.56,    1.82,    6.04,   12.65,   13.57,   14.12,   13.82,   10.04,    6.66,    1.19,    0.79,    6.96
57.7812,11.60599,T2M,1994,    0.47,   -4.34,    1.52,    6.17,   10.47,   12.72,   19.10,   17.32,   12.14,    7.46,    5.28,    3.94,    7.77
57.7812,11.60599,T2M,1995,   -0.35,    2.73,    2.44,    5.09,    9.21,   14.09,   16.88,   18.15,   12.73,   10.84,    2.60,   -1.94,    7.74
57.7812,11.60599,T2M,1996,   -3.70,   -4.81,   -0.64,    5.09,    8.13,   13.42,   14.72,   17.65,   11.15,    9.39,    4.34,   -1.43,    6.14
57.7812,11.60599,T2M,1997,   -2.05,    1.01,    2.74,    4.38,    8.98,   15.35,   17.84,   20.23,   13.86,    7.35,    3.05,    0.26,    7.79
57.7812,11.60599,T2M,1998,    0.95,    3.30,    2.13,    5.34,   11.35,   13.38,   14.96,   14.44,   13.28,    8.04,    0.41,    0.39,    7.36
57.7812,11.60599,T2M,1999,    0.27,    0.35,    2.17,    7.01,    9.67,   13.73,   17.12,   16.79,   15.29,    9.01,    5.65,    1.45,    8.25
57.7812,11.60599,T2M,2000,    2.34,    2.35,    2.42,    7.12,   12.28,   13.27,   15.55,   15.44,   12.27,   10.78,    7.18,    3.42,    8.72
57.7812,11.60599,T2M,2001,    0.79,   -1.75,    0.02,    4.62,   10.75,   13.15,   17.49,   16.51,   12.63,   11.27,    5.20,   -0.19,    7.60
57.7812,11.60599,T2M,2002,    1.98,    3.22,    3.26,    6.84,   12.08,   15.32,   17.07,   19.47,   14.38,    6.13,    2.38,   -2.16,    8.36
57.7812,11.60599,T2M,2003,   -1.23,   -1.93,    1.95,    5.72,   10.40,   15.43,   18.40,   17.52,   14.11,    6.80,    5.54,    3.51,    8.08
57.7812,11.60599,T2M,2004,   -1.73,    0.89,    2.06,    6.89,   11.43,   13.46,   15.27,   17.99,   13.89,    8.85,    4.91,    4.12,    8.19
57.7812,11.60599,T2M,2005,    3.04,   -0.45,    0.07,    6.50,   10.22,   13.83,   17.76,   16.06,   14.16,   10.31,    6.42,    1.65,    8.35
57.7812,11.60599,T2M,2006,   -1.70,   -1.62,   -2.07,    5.03,   10.81,   15.23,   19.51,   17.83,   15.83,   11.88,    7.67,    6.43,    8.80
57.7812,11.60599,T2M,2007,    3.61,   -0.00,    4.51,    7.51,   10.92,   16.13,   15.55,   16.74,   12.74,    8.83,    4.34,    3.19,    8.73
57.7812,11.60599,T2M,2008,    3.13,    3.61,    2.25,    6.80,   12.30,   14.93,   17.85,   16.47,   12.82,    9.88,    5.05,    1.88,    8.93
57.7812,11.60599,T2M,2009,    0.31,   -1.42,    2.13,    8.26,   11.09,   14.21,   17.26,   16.77,   14.09,    6.92,    5.75,   -1.04,    7.91
57.7812,11.60599,T2M,2010,   -6.78,   -5.20,    0.41,    5.70,    9.74,   13.98,   17.93,   16.50,   12.44,    7.87,    1.59,   -6.24,    5.72
57.7812,11.60599,T2M,2011,   -1.02,   -1.81,    1.24,    8.10,   10.55,   15.04,   17.50,   16.41,   13.92,    9.75,    6.76,    3.94,    8.42
57.7812,11.60599,T2M,2012,    0.61,   -1.55,    4.10,    5.18,   11.55,   12.89,   16.03,   16.40,   12.74,    8.16,    5.65,   -2.49,    7.47
57.7812,11.60599,T2M,2013,   -1.84,   -2.17,   -1.63,    4.35,   11.99,   14.57,   17.35,   16.89,   13.12,    9.74,    5.79,    4.71,    7.80
57.7812,11.60599,T2M,2014,   -0.32,    2.23,    4.66,    7.80,   11.74,   15.28,   19.56,   16.35,   14.18,   10.92,    6.44,    2.72,    9.34
57.7812,11.60599,T2M,2015,    2.29,    1.04,    3.48,    6.31,    9.35,   12.92,   15.61,   17.03,   13.38,    8.85,    6.97,    5.40,    8.60
57.7812,11.60599,T2M,2016,   -2.35,    1.21,    2.84,    6.03,   12.39,   16.04,   16.71,   15.93,   16.05,    7.93,    3.62,    4.33,    8.41
57.7812,11.60599,T2M,2017,    1.52,    0.75,    3.34,    5.57,   11.19,   14.60,   16.06,   16.05,   13.35,   10.01,    5.41,    3.31,    8.48
57.7812,11.60599,T2M,2018,    1.25,   -1.86,   -1.12,    6.27,   15.23,   16.98,   20.37,   17.66,   14.44,    9.81,    5.35,    2.34,    8.96
