LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
41.2629,15.90049,T2M,1981,    3.68,    5.40,   10.59,   12.76,   17.28,   22.74,   23.57,   24.64,   21.27,   17.56,    9.22,    7.82,   14.77
41.2629,15.90049,T2M,1982,    7.47,    5.49,    8.28,   11.79,   17.49,   24.20,   26.15,   24.91,   22.55,   16.14,   11.39,    8.34,   15.41
41.2629,15.90049,T2M,1983,    6.83,    5.04,    9.16,   13.59,   18.53,   20.69,   26.14,   24.09,   21.12,   15.80,   10.19,    7.41,   14.95
41.2629,15.90049,T2M,1984,    6.85,    5.85,    7.56,   10.83,   15.97,   20.22,   24.57,   23.18,   19.93,   15.82,   12.02,    7.91,   14.25
41.2629,15.90049,T2M,1985,    4.43,    5.84,    8.61,   12.36,   17.52,   21.41,   25.70,   25.51,   22.10,   16.00,   11.44,    8.81,   15.03
41.2629,15.90049,T2M,1986,    6.45,    5.85,    9.50,   13.15,   19.60,   20.70,   23.94,   26.18,   21.43,   16.67,   11.39,    6.60,   15.18
41.2629,15.90049,T2M,1987,    6.01,    6.97,    5.41,   12.31,   15.51,   21.68,   26.41,   25.63,   24.13,   17.89,   11.41,    8.27,   15.18
41.2629,15.90049,T2M,1988,    8.43,    7.03,    8.71,   12.87,   18.53,   21.96,   28.11,   26.73,   20.63,   17.21,    8.35,    6.57,   15.47
41.2629,15.90049,T2M,1989,    6.51,    8.10,   11.54,   13.68,   16.42,   20.18,   24.59,   24.52,   20.69,   14.11,    9.68,    7.82,   14.86
41.2629,15.90049,T2M,1990,    6.57,    9.29,   11.07,   12.16,   17.94,   22.66,   25.64,   24.06,   20.75,   18.14,   11.47,    6.01,   15.52
41.2629,15.90049,T2M,1991,    5.87,    5.72,   11.09,   10.25,   13.57,   21.91,   25.03,   24.96,   21.95,   15.53,   10.90,    4.14,   14.29
41.2629,15.90049,T2M,1992,    5.92,    6.24,    9.20,   12.91,   17.32,   20.67,   23.54,   27.22,   21.77,   17.14,   12.63,    7.59,   15.21
41.2629,15.90049,T2M,1993,    5.94,    4.71,    7.93,   12.87,   18.49,   23.26,   25.47,   27.08,   21.07,   17.60,   10.81,    9.09,   15.43
41.2629,15.90049,T2M,1994,    7.60,    6.96,   11.03,   11.93,   18.37,   22.09,   25.68,   27.87,   23.45,   16.47,   12.07,    8.29,   16.04
41.2629,15.90049,T2M,1995,    5.89,    8.83,    7.94,   11.56,   17.08,   21.41,   25.74,   23.07,   19.28,   15.98,    9.09,    9.51,   14.65
41.2629,15.90049,T2M,1996,    7.59,    5.44,    7.43,   11.86,   17.40,   22.07,   24.01,   25.07,   17.94,   14.24,   11.75,    7.90,   14.42
41.2629,15.90049,T2M,1997,    8.02,    7.23,    8.85,    9.18,   18.43,   24.36,   25.05,   23.81,   21.49,   15.54,   11.73,    8.21,   15.21
41.2629,15.90049,T2M,1998,    7.20,    8.17,    7.37,   12.90,   16.79,   23.86,   27.04,   26.68,   20.64,   16.31,    9.89,    5.72,   15.25
41.2629,15.90049,T2M,1999,    6.56,    5.52,    9.47,   12.88,   19.63,   23.60,   24.61,   27.11,   21.68,   17.39,   11.27,    8.20,   15.73
41.2629,15.90049,T2M,2000,    5.27,    6.78,    9.35,   14.37,   20.15,   23.68,   25.23,   27.01,   21.22,   16.80,   12.92,    9.42,   16.04
41.2629,15.90049,T2M,2001,    8.43,    7.56,   12.78,   12.10,   19.07,   22.30,   25.84,   26.54,   20.08,   18.73,   11.00,    4.86,   15.83
41.2629,15.90049,T2M,2002,    4.78,    9.41,   11.58,   13.24,   18.52,   23.99,   25.76,   24.05,   19.23,   15.97,   13.36,    8.99,   15.77
41.2629,15.90049,T2M,2003,    7.81,    4.14,    8.48,   11.83,   20.03,   26.00,   27.43,   27.92,   20.13,   16.23,   12.39,    7.69,   15.92
41.2629,15.90049,T2M,2004,    5.88,    7.12,    8.44,   13.05,   15.28,   21.48,   25.46,   25.60,   21.23,   19.05,   11.56,    9.58,   15.34
41.2629,15.90049,T2M,2005,    5.52,    4.42,    8.96,   12.13,   18.55,   22.45,   26.20,   24.16,   20.85,   15.70,   11.10,    7.00,   14.82
41.2629,15.90049,T2M,2006,    5.38,    6.44,    8.54,   13.43,   18.26,   22.05,   24.99,   24.21,   21.42,   17.46,   11.04,    8.62,   15.21
41.2629,15.90049,T2M,2007,    8.70,    8.95,   10.50,   14.43,   19.08,   24.02,   27.58,   26.52,   19.69,   15.27,    9.72,    6.66,   15.97
41.2629,15.90049,T2M,2008,    7.52,    7.21,   10.29,   13.01,   18.54,   23.03,   26.44,   27.22,   20.33,   17.05,   11.98,    7.72,   15.90
41.2629,15.90049,T2M,2009,    7.49,    5.55,    9.00,   13.43,   19.65,   22.36,   26.30,   27.07,   21.63,   15.14,   11.67,    8.67,   15.73
41.2629,15.90049,T2M,2010,    6.15,    7.29,    9.41,   12.94,   17.15,   22.01,   25.73,   25.77,   20.03,   15.21,   12.15,    6.95,   15.11
41.2629,15.90049,T2M,2011,    6.78,    6.94,    8.90,   13.14,   16.85,   22.35,   25.09,   26.93,   24.13,   15.78,   11.69,    8.58,   15.64
41.2629,15.90049,T2M,2012,    5.81,    5.01,   11.06,   13.42,   17.52,   25.67,   27.93,   27.76,   22.18,   17.82,   13.68,    7.33,   16.30
41.2629,15.90049,T2M,2013,    7.01,    6.02,    9.59,   14.29,   17.76,   21.77,   25.20,   26.13,   21.42,   17.88,   12.51,    8.25,   15.71
41.2629,15.90049,T2M,2014,    8.64,    9.81,   10.26,   13.03,   16.58,   22.33,   23.76,   25.73,   20.19,   17.18,   13.48,    8.19,   15.80
41.2629,15.90049,T2M,2015,    6.86,    6.53,    9.28,   12.32,   18.58,   22.07,   28.18,   26.42,   22.34,   16.25,   11.87,    8.51,   15.83
