LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
43.05462,11.36222,T2M,1981,    1.38,    3.18,    9.46,   12.32,   15.40,   20.93,   22.37,   23.21,   19.42,   14.76,    7.35,    6.17,   13.05
43.05462,11.36222,T2M,1982,    5.32,    4.01,    6.64,   10.60,   16.23,   21.93,   25.30,   23.15,   21.13,   13.99,    9.87,    6.67,   13.79
43.05462,11.36222,T2M,1983,    5.55,    2.79,    8.50,   11.48,   15.24,   19.83,   25.95,   22.87,   19.56,   13.98,    8.22,    5.03,   13.32
43.05462,11.36222,T2M,1984,    4.55,    3.38,    6.15,   10.12,   13.17,   18.58,   23.42,   21.96,   17.78,   13.61,   10.00,    5.82,   12.41
43.05462,11.36222,T2M,1985,    1.70,    4.57,    6.97,   11.15,   15.58,   20.05,   25.32,   23.84,   21.59,   14.95,    8.10,    7.02,   13.46
43.05462,11.36222,T2M,1986,    4.28,    2.79,    7.31,   10.86,   17.85,   19.17,   22.77,   23.97,   19.10,   15.16,    8.84,    4.22,   13.09
43.05462,11.36222,T2M,1987,    3.15,    4.56,    4.48,   11.59,   14.55,   20.00,   24.65,   24.25,   22.11,   15.55,    8.92,    6.19,   13.38
43.05462,11.36222,T2M,1988,    6.58,    5.32,    7.59,   11.80,   16.43,   18.86,   24.82,   24.45,   18.89,   16.39,    6.25,    4.56,   13.54
43.05462,11.36222,T2M,1989,    3.78,    6.90,   10.91,   11.80,   16.12,   19.81,   23.29,   23.68,   18.23,   12.95,    7.39,    5.87,   13.44
43.05462,11.36222,T2M,1990,    4.47,    8.31,    9.60,   10.77,   17.14,   21.00,   24.05,   23.39,   19.29,   16.20,    8.48,    3.10,   13.85
43.05462,11.36222,T2M,1991,    4.00,    3.50,   10.02,    9.64,   12.44,   19.49,   25.25,   25.08,   20.49,   12.74,    8.37,    2.21,   12.83
43.05462,11.36222,T2M,1992,    4.26,    5.30,    8.25,   11.48,   17.44,   18.73,   23.19,   25.47,   20.29,   14.46,   10.60,    5.71,   13.79
43.05462,11.36222,T2M,1993,    4.37,    3.72,    6.79,   11.50,   17.27,   21.88,   23.17,   25.79,   18.97,   14.27,    7.42,    6.64,   13.55
43.05462,11.36222,T2M,1994,    5.75,    4.90,   10.75,   10.76,   16.58,   20.75,   26.09,   26.59,   19.98,   13.98,   10.78,    6.60,   14.52
43.05462,11.36222,T2M,1995,    3.56,    7.43,    7.09,   10.94,   15.66,   19.03,   25.45,   22.59,   17.55,   15.30,    8.34,    6.51,   13.33
43.05462,11.36222,T2M,1996,    6.28,    3.48,    6.62,   11.93,   15.81,   21.09,   22.86,   22.87,   16.32,   13.20,   10.04,    5.47,   13.03
43.05462,11.36222,T2M,1997,    6.23,    6.55,    9.01,    9.24,   16.78,   20.66,   23.16,   23.78,   20.91,   14.63,    9.58,    6.36,   13.95
43.05462,11.36222,T2M,1998,    5.32,    6.31,    7.29,   11.52,   16.43,   21.73,   24.93,   24.97,   19.12,   14.04,    7.32,    3.71,   13.60
43.05462,11.36222,T2M,1999,    4.97,    3.89,    8.78,   11.82,   18.23,   21.54,   23.71,   24.74,   20.45,   15.16,    7.97,    5.27,   13.94
43.05462,11.36222,T2M,2000,    3.68,    6.19,    8.77,   12.54,   18.53,   22.03,   22.35,   25.10,   19.94,   15.07,   10.55,    7.70,   14.40
43.05462,11.36222,T2M,2001,    6.39,    5.92,   11.18,   10.55,   17.42,   20.83,   23.97,   25.57,   17.63,   17.07,    8.81,    2.95,   14.09
43.05462,11.36222,T2M,2002,    3.11,    7.68,   10.02,   12.19,   17.05,   23.39,   23.56,   22.57,   17.66,   14.58,   11.34,    6.98,   14.21
43.05462,11.36222,T2M,2003,    4.27,    1.91,    8.01,   10.92,   18.94,   25.42,   26.41,   27.50,   19.13,   13.55,   10.56,    5.74,   14.44
43.05462,11.36222,T2M,2004,    3.68,    6.19,    7.38,   11.51,   14.15,   20.82,   23.95,   24.01,   20.14,   16.80,    9.57,    6.71,   13.76
43.05462,11.36222,T2M,2005,    3.17,    2.09,    7.46,   11.06,   17.81,   22.03,   24.48,   22.54,   19.37,   14.49,    8.73,    4.12,   13.18
43.05462,11.36222,T2M,2006,    2.30,    4.73,    7.10,   12.64,   16.53,   20.84,   26.26,   22.35,   20.29,   15.92,   10.74,    7.17,   13.96
43.05462,11.36222,T2M,2007,    7.50,    7.64,    9.03,   14.76,   17.80,   21.49,   24.78,   23.20,   18.70,   13.93,    8.06,    4.10,   14.29
43.05462,11.36222,T2M,2008,    6.08,    5.82,    8.46,   12.05,   16.90,   21.44,   24.22,   24.74,   18.49,   15.82,    9.63,    5.49,   14.13
43.05462,11.36222,T2M,2009,    4.12,    4.84,    8.44,   12.83,   18.19,   20.56,   24.51,   26.28,   20.62,   13.73,   10.22,    5.53,   14.21
43.05462,11.36222,T2M,2010,    2.84,    5.33,    7.43,   11.81,   15.22,   20.13,   25.38,   22.88,   18.88,   13.23,    9.68,    4.35,   13.14
43.05462,11.36222,T2M,2011,    4.26,    4.82,    7.54,   12.80,   17.07,   21.61,   22.75,   25.02,   22.03,   14.20,    9.23,    6.57,   14.04
43.05462,11.36222,T2M,2012,    4.36,    1.38,   10.54,   12.14,   16.14,   23.10,   25.23,   26.64,   19.56,   15.60,   11.01,    4.68,   14.24
43.05462,11.36222,T2M,2013,    4.96,    3.43,    7.92,   12.91,   14.79,   19.73,   24.56,   24.63,   20.33,   16.57,    9.86,    6.35,   13.90
43.05462,11.36222,T2M,2014,    7.09,    8.51,    9.27,   12.72,   15.92,   21.67,   22.42,   22.36,   19.32,   16.00,   12.31,    6.87,   14.57
43.05462,11.36222,T2M,2015,    5.32,    5.15,    8.44,   11.67,   16.75,   22.30,   27.60,   25.02,   19.67,   14.25,   10.36,    7.28,   14.54
43.05462,11.36222,T2M,2016,    6.19,    8.61,    8.42,   13.21,   15.93,   20.73,   24.93,   23.83,   20.40,   14.05,    9.79,    5.85,   14.34
43.05462,11.36222,T2M,2017,    2.40,    7.60,   10.14,   12.77,   17.62,   23.88,   25.38,   26.69,   18.16,   15.10,    9.18,    5.19,   14.55
43.05462,11.36222,T2M,2018,    7.51,    3.35,    7.21,   14.24,   17.33,   21.25,   25.44,   25.25,   21.26,   16.37,   10.47,    6.36,   14.74
43.05462,11.36222,T2M,2019,    3.18,    6.59,    9.67,   12.15,   13.79,   23.55,   25.80,   25.74,   20.92,   16.56,   11.25,    7.49,   14.77
43.05462,11.36222,RH2M,1981,   81.98,   81.15,   83.07,   69.95,   65.10,   56.58,   55.46,   51.10,   71.38,   77.45,   77.14,   86.86,   71.38
43.05462,11.36222,RH2M,1982,   88.17,   81.57,   76.27,   73.94,   67.21,   57.79,   50.27,   53.13,   63.01,   78.46,   87.40,   89.53,   72.17
43.05462,11.36222,RH2M,1983,   88.27,   83.43,   81.22,   78.44,   71.11,   58.52,   46.45,   57.10,   63.82,   69.48,   76.62,   81.63,   71.26
43.05462,11.36222,RH2M,1984,   83.53,   79.00,   78.07,   75.20,   76.18,   64.98,   46.58,   55.16,   68.02,   84.02,   88.83,   90.73,   74.17
43.05462,11.36222,RH2M,1985,   87.19,   84.18,   82.69,   74.87,   73.90,   58.59,   45.20,   47.80,   51.55,   64.68,   83.76,   92.12,   70.47
