LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
43.05735,11.60892,T2M,1981,    0.62,    2.56,    8.96,   11.81,   15.19,   20.55,   21.97,   22.74,   18.92,   14.22,    6.42,    5.21,   12.49
43.05735,11.60892,T2M,1982,    4.59,    3.18,    5.86,    9.96,   15.67,   21.64,   24.94,   22.83,   20.57,   13.32,    9.21,    5.95,   13.20
43.05735,11.60892,T2M,1983,    4.50,    1.95,    7.77,   10.92,   14.86,   19.35,   25.64,   22.46,   19.06,   13.38,    7.68,    4.32,   12.73
43.05735,11.60892,T2M,1984,    3.89,    2.69,    5.37,    9.40,   12.66,   18.05,   23.26,   21.43,   17.34,   12.94,    9.56,    5.32,   11.86
43.05735,11.60892,T2M,1985,    1.04,    3.65,    6.39,   10.58,   15.29,   19.71,   25.24,   23.85,   21.38,   14.42,    7.49,    6.26,   13.00
43.05735,11.60892,T2M,1986,    3.60,    2.13,    6.49,   10.36,   17.36,   18.37,   22.19,   23.68,   18.56,   14.53,    8.22,    3.34,   12.47
43.05735,11.60892,T2M,1987,    2.24,    3.94,    3.57,   10.78,   14.10,   19.67,   24.36,   23.85,   21.98,   14.98,    8.20,    5.46,   12.81
43.05735,11.60892,T2M,1988,    5.84,    4.55,    6.79,   11.25,   15.77,   18.35,   24.81,   24.33,   18.62,   15.83,    5.40,    3.77,   12.98
43.05735,11.60892,T2M,1989,    3.09,    6.20,   10.24,   11.23,   15.44,   19.19,   22.72,   23.21,   17.93,   12.26,    6.80,    5.45,   12.86
43.05735,11.60892,T2M,1990,    3.86,    7.64,    9.11,   10.09,   16.71,   20.82,   23.82,   23.02,   18.82,   15.71,    7.95,    2.66,   13.39
43.05735,11.60892,T2M,1991,    3.45,    2.73,    9.31,    8.88,   11.68,   19.27,   24.89,   24.72,   20.00,   12.13,    7.76,    1.42,   12.24
43.05735,11.60892,T2M,1992,    3.47,    4.57,    7.55,   10.96,   16.49,   18.12,   22.72,   25.58,   20.06,   13.90,    9.94,    5.15,   13.24
43.05735,11.60892,T2M,1993,    3.66,    3.02,    6.17,   11.02,   16.76,   21.63,   23.06,   25.66,   18.48,   13.69,    6.93,    6.01,   13.07
43.05735,11.60892,T2M,1994,    5.05,    4.21,   10.23,   10.06,   16.14,   20.48,   25.54,   26.46,   19.69,   13.35,   10.11,    5.94,   14.00
43.05735,11.60892,T2M,1995,    2.86,    6.72,    6.25,   10.42,   15.10,   18.56,   25.06,   21.84,   16.90,   14.55,    7.45,    6.04,   12.69
43.05735,11.60892,T2M,1996,    5.58,    2.76,    5.96,   11.36,   15.33,   20.66,   22.36,   22.38,   15.45,   12.46,    9.31,    4.92,   12.41
43.05735,11.60892,T2M,1997,    5.57,    5.74,    8.23,    8.34,   16.12,   20.42,   22.99,   23.24,   20.62,   13.99,    9.05,    5.75,   13.39
43.05735,11.60892,T2M,1998,    4.67,    5.63,    6.57,   10.98,   15.64,   21.63,   24.97,   24.95,   18.52,   13.37,    6.73,    3.13,   13.11
43.05735,11.60892,T2M,1999,    4.09,    2.92,    7.87,   11.12,   17.67,   21.28,   23.12,   24.58,   19.91,   14.57,    7.42,    4.47,   13.32
43.05735,11.60892,T2M,2000,    2.73,    5.24,    7.97,   12.21,   18.18,   21.54,   22.03,   25.14,   19.29,   14.48,    9.87,    7.06,   13.84
43.05735,11.60892,T2M,2001,    5.83,    5.13,   10.60,   10.00,   16.72,   20.32,   23.95,   25.33,   17.07,   16.40,    8.02,    2.08,   13.52
43.05735,11.60892,T2M,2002,    2.21,    7.02,    9.28,   11.51,   16.62,   23.11,   23.34,   22.16,   16.87,   13.80,   10.65,    6.42,   13.61
43.05735,11.60892,T2M,2003,    3.56,    1.23,    7.32,   10.28,   18.43,   25.20,   26.30,   27.27,   18.37,   12.86,    9.94,    5.02,   13.89
43.05735,11.60892,T2M,2004,    2.98,    5.23,    6.67,   10.92,   13.38,   20.01,   23.91,   23.74,   19.52,   16.38,    8.88,    6.09,   13.17
43.05735,11.60892,T2M,2005,    2.23,    1.24,    6.83,   10.40,   16.97,   21.34,   24.32,   21.99,   18.80,   13.74,    8.05,    3.40,   12.51
