LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
44.09335,12.39607,T2M,1981,    3.33,    4.26,    9.73,   12.36,   16.40,   20.81,   22.73,   23.33,   20.14,   15.75,    8.74,    6.79,   13.75
44.09335,12.39607,T2M,1982,    5.51,    4.58,    7.39,   11.13,   16.75,   22.60,   24.79,   23.58,   21.47,   15.35,   11.28,    7.94,   14.42
44.09335,12.39607,T2M,1983,    6.66,    4.03,    8.94,   12.28,   16.57,   20.68,   26.24,   23.48,   20.43,   15.22,    9.27,    6.08,   14.22
44.09335,12.39607,T2M,1984,    5.39,    4.25,    6.76,   10.83,   13.74,   19.23,   23.59,   22.25,   18.86,   14.69,   11.11,    7.24,   13.19
44.09335,12.39607,T2M,1985,    2.83,    4.70,    7.58,   11.53,   16.25,   20.27,   24.96,   24.52,   21.47,   15.94,    9.13,    7.66,   13.96
44.09335,12.39607,T2M,1986,    5.28,    3.39,    7.43,   11.71,   18.71,   19.87,   22.51,   24.36,   19.44,   15.57,    9.76,    5.60,   13.70
44.09335,12.39607,T2M,1987,    3.31,    5.24,    4.93,   12.01,   15.11,   20.34,   24.78,   23.88,   22.77,   16.09,   10.38,    7.13,   13.87
44.09335,12.39607,T2M,1988,    7.58,    6.40,    8.42,   12.31,   16.88,   19.88,   25.34,   24.91,   19.84,   16.66,    7.48,    5.75,   14.33
44.09335,12.39607,T2M,1989,    4.57,    7.03,   10.79,   12.56,   16.69,   19.94,   22.76,   23.13,   18.71,   13.72,    8.67,    7.01,   13.84
44.09335,12.39607,T2M,1990,    5.56,    8.27,   10.57,   11.50,   17.79,   21.16,   23.60,   23.43,   19.69,   16.14,   10.00,    4.88,   14.42
44.09335,12.39607,T2M,1991,    5.06,    3.88,   10.34,   10.67,   13.38,   19.99,   24.65,   24.94,   21.29,   14.06,    9.55,    4.07,   13.55
44.09335,12.39607,T2M,1992,    4.53,    5.59,    8.62,   12.03,   16.91,   19.69,   23.28,   26.26,   20.81,   15.04,   11.14,    6.78,   14.25
44.09335,12.39607,T2M,1993,    4.90,    4.81,    7.45,   11.95,   18.14,   22.10,   23.51,   25.28,   19.47,   15.35,    8.74,    7.60,   14.17
44.09335,12.39607,T2M,1994,    6.86,    5.36,   11.28,   11.39,   17.17,   21.09,   25.45,   26.76,   20.53,   14.42,   11.47,    7.55,   15.01
44.09335,12.39607,T2M,1995,    4.90,    7.78,    7.78,   11.53,   16.33,   19.30,   24.92,   22.63,   18.25,   15.81,    9.53,    7.31,   13.88
44.09335,12.39607,T2M,1996,    6.71,    4.26,    6.61,   12.39,   16.88,   21.54,   22.49,   23.11,   16.99,   14.27,   10.61,    6.64,   13.57
44.09335,12.39607,T2M,1997,    6.13,    7.13,    9.80,   10.07,   17.01,   21.42,   23.62,   23.90,   21.40,   15.32,   10.42,    7.33,   14.51
44.09335,12.39607,T2M,1998,    6.12,    7.41,    8.24,   12.41,   16.85,   22.49,   25.72,   25.72,   19.73,   15.22,    8.90,    5.01,   14.53
44.09335,12.39607,T2M,1999,    5.78,    4.73,    8.92,   12.54,   18.07,   21.59,   23.63,   24.59,   21.05,   15.76,    9.10,    6.06,   14.38
44.09335,12.39607,T2M,2000,    4.52,    6.66,    9.16,   13.45,   19.18,   22.56,   23.06,   25.42,   20.33,   15.98,   11.72,    8.40,   15.06
44.09335,12.39607,T2M,2001,    6.82,    6.85,   11.44,   11.58,   18.06,   20.93,   24.65,   25.85,   18.41,   17.51,    9.51,    4.26,   14.72
44.09335,12.39607,T2M,2002,    3.94,    7.48,   10.37,   12.16,   17.60,   23.19,   23.95,   23.26,   18.74,   15.70,   12.33,    7.71,   14.74
44.09335,12.39607,T2M,2003,    5.06,    3.26,    8.52,   11.30,   19.03,   25.60,   26.41,   27.89,   19.32,   14.19,   11.21,    7.18,   14.99
44.09335,12.39607,T2M,2004,    4.65,    5.85,    7.57,   11.96,   14.96,   20.86,   24.38,   24.79,   20.44,   17.14,   10.75,    7.63,   14.27
44.09335,12.39607,T2M,2005,    4.36,    3.17,    7.81,   11.39,   17.57,   21.99,   24.78,   22.42,   19.95,   14.87,    9.45,    5.10,   13.63
