LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
40.4234,17.9532,T2M,1981,16.09,16.18,16.78,16.75,16.26,16.02,15.74,16.02,16.1,15.93,16.16,16.14,16.18
40.4234,17.9532,T2M,1982,15.93,16.05,16.64,16.53,16.34,16.28,15.76,16.17,15.99,15.51,15.68,16.11,16.08
40.4234,17.9532,T2M,1983,17.34,17.4,17.4,17.06,16.93,16.52,16.49,16.28,16.55,15.75,16.14,15.5,16.61
40.4234,17.9532,T2M,1984,15.46,15.68,16.2,16.29,16.2,15.87,15.18,15.89,15.46,15.53,15.38,15.78,15.74
40.4234,17.9532,T2M,1985,15.72,16.11,16.66,16.56,15.97,15.61,15.2,15.62,15.83,15.52,15.93,15.8,15.87
40.4234,17.9532,T2M,1986,15.9,15.55,15.98,16.43,16.39,15.8,15.52,16.06,16.23,15.58,15.91,16.07,15.95
40.4234,17.9532,T2M,1987,16.54,17.3,16.9,16.98,16.53,16.21,16.36,16.32,16.42,16,16.33,16.79,16.55
40.4234,17.9532,T2M,1988,16.67,17.07,17.05,16.9,16.69,15.93,15.45,15.69,15.82,15.89,15.89,15.67,16.22
40.4234,17.9532,T2M,1989,15.83,15.96,15.58,16.85,16.29,15.92,15.5,15.9,15.77,15.94,16.28,16.2,16
40.4234,17.9532,T2M,1990,16.29,16.49,16.9,17.01,16.45,16.29,15.77,16.04,16.25,15.79,16.2,15.98,16.29
40.4234,17.9532,T2M,1991,16.38,16.94,16.81,16.69,16.71,16.53,15.94,15.78,16.1,15.7,16.05,16.29,16.32
40.4234,17.9532,T2M,1992,16.66,17,17.61,17.2,17.05,16.39,15.44,15.89,15.99,16.14,15.91,16.14,16.45
40.4234,17.9532,T2M,1993,16.03,16.55,16.52,16.84,16.66,16.22,15.94,16.08,15.92,16.11,15.88,16.4,16.26
