LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
40.38567,17.96376,T2M,1981,    7.95,    9.37,   12.88,   15.09,   18.56,   24.03,   25.24,   26.10,   23.62,   20.53,   13.14,   11.86,   17.41
40.38567,17.96376,T2M,1982,   11.05,    9.74,   11.50,   13.95,   18.15,   24.23,   26.65,   26.18,   24.79,   20.24,   15.45,   12.29,   17.90
40.38567,17.96376,T2M,1983,   10.83,    9.33,   12.00,   15.32,   19.70,   21.90,   26.59,   25.74,   22.98,   18.71,   14.07,   11.23,   17.42
40.38567,17.96376,T2M,1984,   10.50,   10.01,   11.07,   13.61,   17.80,   21.70,   25.39,   24.98,   22.65,   19.23,   15.51,   11.84,   17.05
40.38567,17.96376,T2M,1985,    9.37,    9.45,   12.09,   14.74,   19.58,   23.32,   26.41,   26.38,   23.55,   19.12,   15.46,   12.68,   17.73
40.38567,17.96376,T2M,1986,   10.51,   10.06,   12.43,   14.92,   20.18,   22.84,   25.20,   27.36,   23.69,   19.69,   14.96,   10.86,   17.77
40.38567,17.96376,T2M,1987,   10.01,   10.89,    9.02,   14.34,   16.94,   21.92,   27.14,   26.47,   25.33,   20.23,   15.17,   12.20,   17.51
40.38567,17.96376,T2M,1988,   12.05,   10.59,   11.60,   14.50,   19.09,   22.96,   28.27,   27.49,   23.00,   19.65,   12.62,   10.44,   17.72
40.38567,17.96376,T2M,1989,   10.16,   11.46,   13.63,   15.46,   17.80,   21.61,   25.74,   25.64,   22.97,   17.37,   13.89,   11.51,   17.30
40.38567,17.96376,T2M,1990,   10.31,   11.96,   13.47,   14.92,   19.16,   22.89,   26.22,   25.87,   22.88,   20.37,   15.77,   10.39,   17.89
40.38567,17.96376,T2M,1991,    9.78,    9.43,   13.15,   13.33,   15.83,   22.16,   25.20,   25.92,   23.48,   18.56,   14.85,    8.28,   16.70
