LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
38.84029,-97.61141,T2M,1981,    0.01,    2.43,    8.16,   17.46,   16.75,   24.78,   27.10,   24.80,   21.35,   12.95,    6.61,   -0.53,   13.54
38.84029,-97.61141,T2M,1982,   -5.12,   -1.77,    5.86,   10.84,   18.51,   20.63,   26.36,   26.65,   21.32,   13.77,    4.43,    0.36,   11.90
38.84029,-97.61141,T2M,1983,   -1.05,    1.24,    5.76,    8.40,   15.91,   22.35,   29.32,   30.85,   23.05,   14.63,    5.93,   -9.22,   12.32
38.84029,-97.61141,T2M,1984,   -2.70,    3.07,    2.80,    9.59,   16.59,   23.80,   27.45,   28.26,   20.77,   13.06,    5.49,    0.06,   12.38
38.84029,-97.61141,T2M,1985,   -5.58,   -1.59,    7.56,   14.11,   18.92,   21.92,   27.63,   24.28,   20.01,   12.67,    1.51,   -3.83,   11.54
38.84029,-97.61141,T2M,1986,    0.92,    1.18,    9.00,   14.07,   18.50,   24.88,   28.03,   24.15,   22.11,   13.09,    3.00,    0.49,   13.36
38.84029,-97.61141,T2M,1987,   -0.70,    3.57,    7.30,   12.59,   19.79,   23.87,   26.59,   25.18,   20.75,   11.89,    6.77,    0.53,   13.23
38.84029,-97.61141,T2M,1988,   -3.61,   -0.81,    6.12,   11.98,   20.55,   26.87,   27.67,   28.67,   21.92,   12.58,    6.70,    1.89,   13.42
38.84029,-97.61141,T2M,1989,    2.23,   -3.48,    7.21,   15.24,   19.59,   21.69,   26.33,   25.35,   18.03,   13.88,    5.60,   -3.84,   12.42
38.84029,-97.61141,T2M,1990,    1.56,    1.57,    7.57,   11.89,   16.68,   26.59,   27.18,   26.10,   23.41,   13.69,    8.30,   -2.17,   13.59
38.84029,-97.61141,T2M,1991,   -3.48,    4.06,    8.25,   14.49,   20.89,   25.85,   29.20,   26.55,   21.41,   14.12,    1.55,    1.35,   13.74
38.84029,-97.61141,T2M,1992,    1.32,    4.54,    8.29,   13.51,   18.18,   21.16,   24.69,   21.86,   20.51,   12.64,    2.25,   -1.61,   12.30
38.84029,-97.61141,T2M,1993,   -3.87,   -1.25,    4.14,    9.85,   16.76,   22.10,   25.12,   24.33,   17.12,   10.98,    2.52,    0.58,   10.77
38.84029,-97.61141,T2M,1994,   -3.42,   -2.23,    7.21,   11.59,   19.38,   26.55,   25.25,   26.71,   21.46,   14.82,    6.58,    0.11,   12.92
38.84029,-97.61141,T2M,1995,   -0.86,    3.23,    6.99,   10.92,   15.14,   21.14,   25.75,   27.07,   19.90,   13.73,    4.95,   -0.16,   12.37
38.84029,-97.61141,T2M,1996,   -3.42,    1.74,    3.11,   12.32,   20.07,   24.82,   26.98,   24.69,   18.79,   12.93,    2.90,   -1.17,   12.01
38.84029,-97.61141,T2M,1997,   -2.56,    1.13,    7.90,    9.76,   17.18,   23.93,   26.89,   24.70,   21.54,   14.25,    3.96,   -0.94,   12.38
