LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
37.06462,15.29073,T2M,1981,    9.11,   10.02,   13.29,   15.68,   18.52,   24.11,   25.40,   26.39,   24.13,   21.05,   14.16,   12.65,   17.92
37.06462,15.29073,T2M,1982,   12.22,   10.61,   11.47,   14.38,   18.28,   24.30,   27.35,   27.06,   24.86,   20.43,   15.58,   11.69,   18.23
37.06462,15.29073,T2M,1983,   10.91,    9.88,   12.41,   15.23,   19.07,   22.42,   27.23,   26.36,   23.44,   19.23,   15.93,   11.83,   17.88
37.06462,15.29073,T2M,1984,   11.15,   10.45,   11.61,   14.10,   18.23,   22.34,   26.12,   25.65,   22.70,   19.41,   16.45,   12.72,   17.60
37.06462,15.29073,T2M,1985,   10.27,   11.39,   12.23,   15.07,   18.90,   23.66,   26.58,   26.68,   23.83,   19.53,   16.16,   13.14,   18.16
37.06462,15.29073,T2M,1986,   10.96,   10.89,   12.63,   14.64,   19.99,   23.08,   25.85,   27.85,   24.03,   20.34,   15.60,   11.57,   18.16
37.06462,15.29073,T2M,1987,   10.59,   11.15,    9.81,   14.26,   16.92,   22.40,   27.57,   27.35,   25.87,   21.35,   15.94,   13.50,   18.10
37.06462,15.29073,T2M,1988,   12.45,   11.37,   12.52,   15.85,   19.93,   23.74,   28.64,   27.94,   23.41,   20.43,   14.50,   11.23,   18.53
37.06462,15.29073,T2M,1989,   10.94,   11.59,   13.35,   15.15,   17.81,   22.24,   26.24,   26.54,   23.68,   18.18,   15.61,   13.60,   17.95
37.06462,15.29073,T2M,1990,   11.68,   13.17,   13.67,   14.91,   18.85,   23.57,   26.54,   26.08,   24.22,   21.47,   16.43,   11.56,   18.54
37.06462,15.29073,T2M,1991,   10.95,   10.76,   13.93,   13.95,   16.24,   22.28,   26.09,   26.69,   23.80,   20.23,   15.10,    9.73,   17.52
37.06462,15.29073,T2M,1992,   11.02,   10.20,   11.96,   14.57,   17.63,   21.47,   24.28,   27.04,   23.65,   20.38,   16.50,   12.68,   17.64
37.06462,15.29073,T2M,1993,   10.73,    9.73,   11.47,   14.81,   19.28,   23.24,   25.97,   27.70,   23.94,   20.32,   15.71,   12.84,   18.03
37.06462,15.29073,T2M,1994,   11.74,   11.56,   13.71,   14.43,   19.85,   23.13,   26.85,   28.87,   24.87,   20.36,   16.63,   12.73,   18.78
37.06462,15.29073,T2M,1995,   10.23,   12.61,   11.80,   13.71,   18.54,   23.03,   26.85,   26.43,   22.49,   19.00,   14.36,   13.58,   17.75
37.06462,15.29073,T2M,1996,   12.20,   10.64,   11.68,   13.84,   18.05,   22.02,   25.18,   26.42,   21.86,   17.61,   15.25,   12.79,   17.32
