LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
40.43654,18.04183,T2M,1981,    8.58,   10.00,   13.25,   15.25,   18.50,   23.71,   25.04,   25.89,   23.60,   20.71,   13.63,   12.41,   17.59
40.43654,18.04183,T2M,1982,   11.59,   10.33,   12.06,   14.25,   18.21,   23.99,   26.16,   25.94,   24.73,   20.45,   15.91,   12.83,   18.08
40.43654,18.04183,T2M,1983,   11.51,    9.90,   12.48,   15.53,   19.55,   21.78,   26.10,   25.56,   22.93,   18.91,   14.73,   12.00,   17.63
40.43654,18.04183,T2M,1984,   11.11,   10.57,   11.57,   13.99,   17.86,   21.45,   24.91,   24.88,   22.75,   19.58,   16.02,   12.45,   17.28
40.43654,18.04183,T2M,1985,   10.06,    9.94,   12.39,   14.91,   19.49,   23.11,   25.86,   26.04,   23.32,   19.24,   15.86,   13.36,   17.85
40.43654,18.04183,T2M,1986,   11.12,   10.61,   12.79,   15.27,   20.01,   22.70,   24.96,   27.01,   23.56,   19.87,   15.41,   11.55,   17.95
40.43654,18.04183,T2M,1987,   10.57,   11.33,    9.47,   14.55,   17.04,   21.70,   26.63,   26.17,   25.12,   20.35,   15.68,   12.79,   17.65
40.43654,18.04183,T2M,1988,   12.62,   11.11,   11.95,   14.61,   19.08,   22.74,   27.52,   26.99,   22.89,   19.82,   13.16,   11.10,   17.83
40.43654,18.04183,T2M,1989,   10.78,   11.94,   13.92,   15.64,   17.72,   21.52,   25.51,   25.36,   22.90,   17.69,   14.41,   12.03,   17.48
40.43654,18.04183,T2M,1990,   10.88,   12.31,   13.68,   15.06,   18.98,   22.56,   25.75,   25.59,   22.79,   20.43,   16.23,   11.01,   17.97
40.43654,18.04183,T2M,1991,   10.35,   10.05,   13.44,   13.67,   16.01,   21.76,   24.68,   25.49,   23.45,   18.79,   15.32,    9.00,   16.87
40.43654,18.04183,T2M,1992,   10.40,    9.99,   12.15,   15.01,   18.54,   21.85,   24.62,   27.70,   23.64,   20.27,   16.11,   12.09,   17.72
40.43654,18.04183,T2M,1993,   10.43,    9.19,   11.02,   14.72,   19.16,   23.28,   25.36,   27.18,   23.55,   20.40,   15.02,   13.44,   17.78
