LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
40.4644,17.247,T2M,1981,24.77,24.86,24.27,22.31,21.68,19.73,18.52,20.01,22.38,21.48,23.8,23.82,22.28
40.4644,17.247,T2M,1982,22.93,23.97,23.08,20.54,19.11,20.46,19.45,20.45,20.36,22.12,24.55,23.14,21.66
40.4644,17.247,T2M,1983,24.31,24.86,24.06,22.3,21.8,19.64,19.35,18.54,19.55,21.02,23,23.62,21.82
40.4644,17.247,T2M,1984,25.14,25.59,23.95,22.12,22.58,21.34,20.37,19.91,20.57,23.12,23.05,23.11,22.56
40.4644,17.247,T2M,1985,23.35,24.95,24.54,23.15,20.34,18.05,18.03,20.3,19.88,22.08,22.8,23.1,21.7
40.4644,17.247,T2M,1986,24.73,25.09,24.5,23.38,21.97,19.45,18.59,20.51,20.42,21.69,24.29,23.82,22.35
40.4644,17.247,T2M,1987,25.21,24.21,23.59,23.61,20.78,18.67,20,19.11,19.98,21.88,22.98,24.19,22.01
40.4644,17.247,T2M,1988,25.91,24.4,23.84,22.59,20.97,18.09,16.73,18.46,20.52,21.11,21.69,23.41,21.47
40.4644,17.247,T2M,1989,24.4,24.85,24.08,23.1,19.77,18.9,17.4,18.89,20.12,19.89,22.15,23.22,21.37
40.4644,17.247,T2M,1990,25.73,25.4,25.26,24.3,20.23,19.14,18.71,18.52,19.25,22.49,24.4,23.82,22.25
40.4644,17.247,T2M,1991,23.96,24.33,23.5,22.31,20.2,19.91,18.28,19.09,19.33,21.36,22.73,24.92,21.64
40.4644,17.247,T2M,1992,24.04,24.07,24.02,23.08,22.03,20.95,18.83,18.97,20.11,21.53,21.79,22.46,21.81
40.4644,17.247,T2M,1993,24.66,24.62,24.7,23.35,20.52,18.8,19.7,18.93,20.75,23.19,24.52,24.33,22.33
40.4644,17.247,T2M,1994,23.9,26.71,23.59,21.95,21.73,18.85,18.76,18.78,20.53,22.9,23.93,24.85,22.18
40.4644,17.247,T2M,1995,26.11,25.21,24.45,22.13,20.7,19.5,20.32,21.43,21.27,21.16,22.3,23.45,22.32
40.4644,17.247,T2M,1996,25.38,25.51,24.65,22.51,19.58,18.61,17.45,18.35,19.2,21.64,21.81,24,21.55
40.4644,17.247,T2M,1997,24.17,24.2,22.76,21.71,19.77,19.51,19.6,19.82,21.97,22.51,24.42,25.19,22.12
40.4644,17.247,T2M,1998,25.8,25.89,24.95,23.55,20.51,18.42,19.43,21.47,21.83,21.56,21.7,24.57,22.46
40.4644,17.247,T2M,1999,25.34,25.38,24.4,22.01,19.72,18.88,19.12,18.74,21.11,20.38,21.33,23.6,21.65
40.4644,17.247,T2M,2000,24.6,24.45,23.47,22.42,20.37,20.1,18.22,19.52,20.68,23.8,23.29,24.1,22.08
40.4644,17.247,T2M,2001,25.23,25.99,24.87,23.99,21.13,20.74,19.85,20.8,20.87,21.89,23.43,24.19,22.73
40.4644,17.247,T2M,2002,24.63,24.05,25.23,23.73,21.94,21.51,19.41,21.96,20.32,24.22,23.94,24.55,22.96
40.4644,17.247,T2M,2003,25.08,25.59,24.55,22.99,20.48,20.64,19.76,19.1,20.31,21.67,23.1,24.24,22.27
40.4644,17.247,T2M,2004,23.41,23.63,23.22,23.35,20.63,19.22,18.57,18.97,21.42,21.44,22.71,23.46,21.66
