LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
44.77764,10.88431,T2M,1981,    0.78,    2.38,    9.43,   12.51,   16.18,   21.54,   22.67,   23.27,   19.37,   13.89,    7.03,    3.36,   12.76
44.77764,10.88431,T2M,1982,    2.46,    2.69,    6.80,   11.14,   17.25,   23.22,   25.88,   23.41,   21.04,   13.54,    8.71,    5.38,   13.52
44.77764,10.88431,T2M,1983,    5.33,    1.75,    8.32,   11.91,   15.93,   21.04,   27.53,   23.66,   20.08,   14.17,    6.49,    3.29,   13.37
44.77764,10.88431,T2M,1984,    3.16,    2.50,    5.87,   10.55,   13.20,   19.32,   24.26,   22.00,   17.94,   13.27,    7.94,    4.09,   12.04
44.77764,10.88431,T2M,1985,   -1.37,    2.93,    6.38,   11.21,   15.67,   19.98,   25.37,   24.82,   22.15,   14.82,    5.95,    5.24,   12.82
44.77764,10.88431,T2M,1986,    2.28,    0.30,    6.04,   10.97,   18.60,   19.94,   22.58,   24.34,   19.24,   14.64,    7.91,    3.11,   12.57
44.77764,10.88431,T2M,1987,    0.37,    3.42,    4.20,   11.88,   14.91,   20.41,   24.94,   24.29,   22.53,   13.92,    8.16,    4.22,   12.81
44.77764,10.88431,T2M,1988,    5.04,    4.86,    7.61,   11.95,   16.59,   19.28,   25.20,   25.46,   19.87,   15.70,    4.66,    3.50,   13.35
44.77764,10.88431,T2M,1989,    2.74,    5.97,   10.73,   11.72,   16.97,   20.22,   23.38,   23.76,   17.98,   12.95,    6.04,    3.58,   13.05
44.77764,10.88431,T2M,1990,    2.80,    7.39,   10.03,   10.97,   17.97,   21.19,   24.30,   24.06,   19.59,   14.51,    7.45,    1.33,   13.50
44.77764,10.88431,T2M,1991,    2.30,    1.38,    9.81,   10.22,   13.44,   20.31,   26.03,   25.65,   21.21,   12.00,    6.82,    1.37,   12.62
44.77764,10.88431,T2M,1992,    2.31,    4.67,    8.33,   11.89,   17.99,   19.75,   23.96,   26.37,   19.97,   12.56,    8.73,    3.34,   13.35
44.77764,10.88431,T2M,1993,    2.86,    3.16,    6.98,   11.78,   18.02,   22.86,   23.81,   26.16,   18.51,   12.84,    5.58,    4.77,   13.18
44.77764,10.88431,T2M,1994,    4.73,    3.54,   11.03,   11.29,   17.23,   21.06,   26.33,   26.98,   18.78,   12.34,    9.67,    4.75,   14.05
44.77764,10.88431,T2M,1995,    2.18,    6.10,    6.57,   11.64,   16.26,   18.91,   25.56,   22.65,   17.44,   14.65,    6.98,    3.65,   12.76
44.77764,10.88431,T2M,1996,    3.28,    1.83,    5.47,   12.09,   16.49,   21.60,   23.18,   23.02,   16.10,   12.96,    8.43,    3.10,   12.33
44.77764,10.88431,T2M,1997,    2.78,    5.90,    9.46,   10.47,   17.43,   21.11,   23.56,   24.18,   21.31,   14.31,    8.11,    4.37,   13.63
44.77764,10.88431,T2M,1998,    3.47,    6.51,    7.77,   12.02,   17.44,   22.89,   26.23,   26.36,   19.07,   13.87,    6.00,    2.32,   13.71
44.77764,10.88431,T2M,1999,    3.86,    3.74,    8.99,   12.70,   18.57,   21.56,   24.55,   24.55,   20.93,   14.29,    6.25,    3.38,   13.68
44.77764,10.88431,T2M,2000,    2.23,    5.68,    9.11,   13.28,   19.33,   23.24,   23.58,   25.34,   19.94,   14.23,    9.24,    5.42,   14.24
44.77764,10.88431,T2M,2001,    3.66,    5.31,   10.30,   11.02,   18.19,   21.63,   25.11,   26.50,   17.50,   17.02,    6.97,    1.48,   13.79
44.77764,10.88431,T2M,2002,    2.36,    6.53,   10.38,   11.91,   17.55,   24.12,   24.28,   22.93,   18.02,   14.53,   10.54,    4.71,   14.03
44.77764,10.88431,T2M,2003,    2.81,    1.26,    8.47,   10.98,   19.61,   26.87,   27.30,   29.27,   19.26,   12.32,    8.87,    4.34,   14.36
44.77764,10.88431,T2M,2004,    2.38,    4.10,    6.60,   11.85,   15.12,   21.66,   24.89,   25.13,   20.35,   15.88,    8.39,    4.27,   13.41
44.77764,10.88431,T2M,2005,    2.59,    1.49,    7.40,   11.23,   18.51,   23.42,   25.50,   22.90,   19.64,   13.33,    6.69,    1.90,   12.95
44.77764,10.88431,T2M,2006,    0.20,    3.75,    6.51,   12.91,   17.63,   23.06,   27.56,   22.02,   20.85,   15.76,    9.83,    5.15,   13.82
44.77764,10.88431,T2M,2007,    6.44,    7.13,    9.31,   15.58,   19.27,   21.99,   26.33,   23.97,   19.10,   13.34,    7.00,    3.11,   14.42
44.77764,10.88431,T2M,2008,    4.60,    5.14,    8.21,   12.35,   17.40,   21.87,   24.96,   25.93,   18.81,   15.77,    8.22,    3.59,   13.94
44.77764,10.88431,T2M,2009,    1.56,    4.10,    8.19,   13.11,   19.37,   21.90,   25.64,   27.27,   20.97,   13.70,    8.94,    2.61,   14.00
44.77764,10.88431,T2M,2010,    0.29,    3.21,    7.11,   12.31,   16.44,   21.57,   25.84,   23.36,   18.71,   12.13,    8.33,    1.37,   12.60
44.77764,10.88431,T2M,2011,    1.59,    4.56,    7.55,   14.31,   18.64,   21.96,   23.59,   26.73,   22.72,   13.84,    7.71,    4.72,   14.04
44.77764,10.88431,T2M,2012,    2.97,    0.89,   11.39,   12.27,   17.75,   24.73,   27.06,   27.97,   19.63,   14.58,    9.61,    2.61,   14.34
44.77764,10.88431,T2M,2013,    2.86,    2.37,    6.36,   12.69,   15.21,   20.55,   25.39,   25.36,   20.62,   15.05,    8.59,    5.17,   13.42
44.77764,10.88431,T2M,2014,    5.77,    6.89,    9.91,   13.72,   16.71,   22.35,   22.96,   22.59,   19.08,   15.76,   11.00,    5.46,   14.39
44.77764,10.88431,T2M,2015,    4.59,    3.44,    8.42,   12.52,   17.99,   23.13,   28.97,   25.91,   19.81,   13.60,    9.27,    6.45,   14.58
44.77764,10.88431,T2M,2016,    4.07,    6.84,    8.21,   13.46,   16.75,   21.33,   26.36,   24.32,   21.81,   13.29,    8.46,    4.55,   14.14
44.77764,10.88431,T2M,2017,    0.59,    6.36,   11.36,   13.74,   18.63,   25.30,   26.94,   27.67,   18.16,   14.99,    7.84,    3.74,   14.66
44.77764,10.88431,T2M,2018,    5.75,    2.14,    5.93,   14.96,   18.47,   22.95,   26.55,   26.16,   21.49,   15.77,    9.52,    4.27,   14.57
44.77764,10.88431,T2M,2019,    2.53,    6.53,   10.25,   12.79,   14.40,   24.93,   26.71,   26.14,   20.48,   16.17,    9.64,    5.57,   14.72
44.77764,10.88431,RH2M,1981,   77.50,   80.74,   82.08,   69.82,   65.12,   57.05,   57.94,   55.84,   71.44,   76.77,   75.24,   82.84,   70.98
44.77764,10.88431,RH2M,1982,   87.74,   82.83,   74.02,   67.05,   62.63,   53.39,   50.51,   55.29,   64.21,   78.84,   87.83,   87.30,   70.90
44.77764,10.88431,RH2M,1983,   86.13,   81.60,   80.79,   75.66,   69.34,   57.73,   43.79,   51.95,   58.89,   65.00,   72.77,   79.03,   68.47
44.77764,10.88431,RH2M,1984,   78.99,   76.40,   75.44,   74.30,   76.81,   65.30,   46.24,   60.01,   65.24,   82.49,   88.89,   90.93,   73.40
44.77764,10.88431,RH2M,1985,   86.46,   85.39,   85.67,   74.77,   74.35,   63.93,   49.11,   44.74,   47.47,   60.23,   81.74,   88.84,   70.13
44.77764,10.88431,RH2M,1986,   82.94,   87.28,   83.60,   80.71,   69.65,   66.67,   58.87,   52.78,   58.22,   63.05,   80.32,   78.81,   71.79
44.77764,10.88431,RH2M,1987,   83.62,   84.67,   71.07,   70.64,   62.81,   55.09,   51.93,   51.90,   59.11,   79.26,   83.65,   92.05,   70.40
44.77764,10.88431,RH2M,1988,   90.01,   77.92,   70.49,   75.28,   73.22,   68.84,   53.20,   46.71,   53.78,   74.03,   75.60,   78.11,   69.74
44.77764,10.88431,RH2M,1989,   85.55,   76.73,   66.32,   74.07,   61.97,   57.83,   63.84,   56.61,   72.00,   69.34,   80.83,   87.30,   70.98
44.77764,10.88431,RH2M,1990,   87.02,   78.96,   65.33,   73.63,   60.57,   59.58,   49.29,   48.02,   58.07,   80.44,   82.61,   84.09,   68.89
44.77764,10.88431,RH2M,1991,   87.11,   81.56,   79.90,   71.40,   70.89,   61.35,   48.73,   47.80,   58.76,   75.67,   86.04,   81.03,   70.78
44.77764,10.88431,RH2M,1992,   92.14,   79.69,   73.24,   71.21,   61.34,   62.26,   56.31,   50.89,   58.87,   82.49,   88.23,   89.56,   72.17
44.77764,10.88431,RH2M,1993,   88.86,   74.89,   72.18,   76.05,   65.75,   55.15,   49.05,   44.90,   68.46,   87.52,   89.03,   86.71,   71.51
44.77764,10.88431,RH2M,1994,   86.69,   86.33,   74.59,   74.02,   68.48,   61.80,   50.78,   46.77,   76.90,   79.17,   92.38,   90.93,   73.94
44.77764,10.88431,RH2M,1995,   81.89,   84.98,   75.03,   73.32,   69.64,   66.95,   55.65,   59.27,   68.19,   74.22,   77.44,   91.77,   73.12
44.77764,10.88431,RH2M,1996,   92.94,   84.21,   79.57,   74.46,   71.06,   58.17,   52.37,   58.46,   69.43,   82.28,   87.17,   88.98,   74.90
44.77764,10.88431,RH2M,1997,   92.53,   83.71,   71.71,   64.77,   62.72,   66.37,   56.50,   54.62,   51.91,   63.87,   84.14,   87.22,   69.93
44.77764,10.88431,RH2M,1998,   88.00,   75.59,   67.55,   71.45,   62.25,   54.61,   46.79,   42.26,   64.67,   74.73,   79.60,   82.75,   67.45
44.77764,10.88431,RH2M,1999,   82.85,   66.77,   71.48,   70.23,   67.14,   58.36,   53.33,   57.80,   64.85,   77.79,   85.40,   85.82,   70.18
44.77764,10.88431,RH2M,2000,   84.38,   78.89,   73.06,   73.66,   64.52,   53.21,   49.19,   50.61,   62.12,   85.16,   86.73,   92.65,   71.16
44.77764,10.88431,RH2M,2001,   92.10,   81.91,   85.87,   75.01,   72.41,   55.19,   51.68,   47.88,   61.99,   73.87,   79.08,   79.59,   71.33
44.77764,10.88431,RH2M,2002,   81.75,   81.15,   64.70,   71.84,   68.57,   55.08,   57.52,   64.97,   70.89,   77.93,   88.45,   92.85,   72.92
44.77764,10.88431,RH2M,2003,   87.79,   75.05,   71.63,   72.60,   59.66,   51.88,   44.58,   42.88,   56.50,   72.89,   88.56,   85.30,   67.38
44.77764,10.88431,RH2M,2004,   85.84,   86.59,   81.50,   77.84,   70.46,   61.61,   49.76,   53.70,   57.73,   78.47,   82.97,   87.70,   72.80
44.77764,10.88431,RH2M,2005,   83.33,   75.37,   74.12,   72.83,   61.34,   52.08,   49.47,   57.12,   68.35,   83.11,   89.24,   88.01,   71.17
44.77764,10.88431,RH2M,2006,   88.06,   81.87,   78.84,   73.45,   64.50,   46.34,   43.36,   59.31,   63.60,   73.27,   81.22,   87.88,   70.09
44.77764,10.88431,RH2M,2007,   85.98,   81.96,   73.12,   63.41,   58.67,   64.23,   39.45,   51.39,   56.20,   73.04,   75.42,   82.24,   67.00
44.77764,10.88431,RH2M,2008,   88.19,   82.50,   75.35,   70.37,   68.20,   67.12,   53.82,   46.46,   59.42,   70.17,   85.08,   88.99,   71.25
44.77764,10.88431,RH2M,2009,   90.65,   79.96,   76.95,   80.24,   63.87,   60.68,   52.41,   46.15,   59.34,   69.45,   89.13,   87.01,   71.24
44.77764,10.88431,RH2M,2010,   88.92,   87.43,   81.31,   73.67,   70.95,   64.00,   55.06,   60.30,   66.17,   76.20,   90.15,   88.29,   75.12
44.77764,10.88431,RH2M,2011,   91.26,   84.04,   79.94,   68.11,   58.53,   65.20,   54.38,   44.16,   57.06,   64.74,   86.65,   82.02,   69.56
44.77764,10.88431,RH2M,2012,   77.57,   73.43,   60.79,   70.50,   59.03,   50.18,   41.79,   39.97,   67.97,   79.64,   88.69,   87.45,   66.35
44.77764,10.88431,RH2M,2013,   90.13,   85.59,   86.43,   80.59,   76.62,   66.22,   54.90,   47.81,   59.96,   78.83,   80.83,   86.18,   74.44
44.77764,10.88431,RH2M,2014,   90.65,   88.07,   76.19,   74.04,   64.90,   58.37,   63.42,   65.38,   71.12,   76.61,   89.87,   90.42,   75.68
44.77764,10.88431,RH2M,2015,   85.81,   86.13,   78.38,   69.76,   70.36,   56.97,   45.73,   51.07,   57.52,   77.26,   81.80,   93.18,   71.09
44.77764,10.88431,RH2M,2016,   82.10,   83.89,   78.52,   71.97,   66.63,   66.33,   50.27,   51.89,   56.75,   76.96,   84.64,   84.40,   71.14
44.77764,10.88431,RH2M,2017,   80.96,   84.76,   66.71,   64.59,   59.67,   48.32,   41.48,   40.40,   68.47,   66.76,   83.89,   83.69,   65.65
44.77764,10.88431,RH2M,2018,   89.10,   83.08,   84.25,   71.79,   71.87,   58.67,   53.69,   53.82,   61.15,   73.61,   86.98,   85.86,   72.77
