LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
42.96593,12.49025,T2M,1981,    1.20,    3.52,    9.38,   12.41,   15.72,   21.09,   22.21,   23.17,   19.31,   14.81,    6.69,    5.81,   13.00
42.96593,12.49025,T2M,1982,    5.64,    4.03,    6.39,   10.42,   16.22,   22.17,   25.37,   23.47,   21.26,   14.02,    9.81,    6.48,   13.83
42.96593,12.49025,T2M,1983,    4.99,    2.73,    8.13,   11.41,   15.63,   20.09,   26.29,   22.83,   19.41,   13.87,    8.68,    5.29,   13.35
42.96593,12.49025,T2M,1984,    4.65,    3.61,    6.04,   10.00,   13.47,   18.81,   23.64,   21.74,   17.73,   13.69,   10.58,    5.98,   12.52
42.96593,12.49025,T2M,1985,    1.97,    4.62,    6.94,   11.12,   16.10,   20.25,   25.67,   24.25,   22.20,   14.99,    8.50,    6.97,   13.69
42.96593,12.49025,T2M,1986,    4.27,    3.13,    7.43,   10.68,   17.71,   18.67,   22.49,   24.01,   19.25,   15.46,    9.10,    4.03,   13.08
42.96593,12.49025,T2M,1987,    3.26,    4.80,    3.87,   11.04,   14.19,   19.80,   24.55,   24.20,   22.48,   15.74,    9.03,    6.32,   13.32
42.96593,12.49025,T2M,1988,    6.39,    5.08,    7.09,   11.63,   16.36,   19.00,   25.36,   24.81,   19.12,   16.48,    6.36,    4.49,   13.55
42.96593,12.49025,T2M,1989,    4.15,    6.90,   10.52,   11.38,   15.60,   19.12,   23.02,   23.69,   18.71,   12.86,    7.78,    6.20,   13.37
42.96593,12.49025,T2M,1990,    4.71,    8.20,    9.69,   10.47,   16.87,   20.94,   24.32,   23.32,   19.16,   16.39,    8.74,    3.46,   13.89
42.96593,12.49025,T2M,1991,    4.20,    3.86,    9.82,    9.22,   11.95,   19.58,   24.80,   24.89,   20.40,   12.92,    8.35,    2.10,   12.73
42.96593,12.49025,T2M,1992,    4.19,    5.09,    7.89,   11.14,   17.06,   18.42,   22.99,   25.98,   20.45,   14.54,   10.64,    5.94,   13.72
42.96593,12.49025,T2M,1993,    4.39,    3.76,    6.61,   11.45,   17.46,   21.99,   23.45,   26.17,   19.09,   14.56,    7.86,    6.78,   13.70
42.96593,12.49025,T2M,1994,    5.69,    5.01,   10.57,   10.33,   16.72,   20.88,   25.82,   26.71,   20.43,   14.35,   10.65,    6.52,   14.54
42.96593,12.49025,T2M,1995,    3.46,    7.23,    6.64,   10.62,   15.38,   18.99,   25.44,   22.09,   17.20,   15.06,    7.95,    7.28,   13.15
42.96593,12.49025,T2M,1996,    6.24,    3.58,    6.46,   11.65,   15.76,   20.89,   22.67,   22.73,   15.86,   12.81,    9.83,    5.64,   12.88
42.96593,12.49025,T2M,1997,    6.45,    6.22,    8.57,    8.56,   16.60,   20.97,   23.25,   23.39,   21.16,   14.55,    9.73,    6.42,   13.87
42.96593,12.49025,T2M,1998,    5.40,    6.46,    7.01,   11.47,   16.18,   22.07,   25.35,   25.34,   18.75,   13.75,    7.36,    3.94,   13.63
42.96593,12.49025,T2M,1999,    4.72,    3.44,    8.02,   11.26,   17.89,   21.45,   23.11,   24.78,   20.33,   15.30,    8.39,    5.14,   13.72
