LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
45.73011,7.38744,T2M,1981,   -9.59,   -8.50,   -2.13,    2.37,    4.82,    9.71,   10.32,   11.79,    8.39,    2.28,   -1.91,   -8.73,    1.62
45.73011,7.38744,T2M,1982,   -6.28,   -7.24,   -6.58,   -1.53,    6.08,    9.99,   13.27,   11.05,    9.91,    2.20,   -1.56,   -6.28,    1.97
45.73011,7.38744,T2M,1983,   -5.02,   -9.69,   -3.28,   -0.71,    3.93,    9.89,   15.38,   11.18,    8.71,    4.29,   -0.62,   -6.41,    2.38
45.73011,7.38744,T2M,1984,   -8.48,   -9.60,   -6.48,   -1.98,    2.37,    8.49,   11.50,   10.58,    6.17,    3.91,   -1.18,   -5.54,    0.85
45.73011,7.38744,T2M,1985,  -12.39,   -5.55,   -6.35,   -0.40,    4.79,    8.11,   13.11,   11.49,   10.69,    5.41,   -5.48,   -4.04,    1.66
45.73011,7.38744,T2M,1986,   -9.42,  -11.40,   -4.46,   -2.06,    7.16,    9.90,   11.76,   11.42,    9.26,    5.12,   -0.93,   -6.18,    1.76
45.73011,7.38744,T2M,1987,   -9.73,   -6.26,   -7.09,    0.83,    3.85,    8.14,   12.08,   11.85,   11.21,    3.90,   -2.01,   -3.14,    2.01
45.73011,7.38744,T2M,1988,   -5.66,   -7.83,   -5.87,    1.01,    6.32,    8.68,   12.28,   12.57,    8.38,    5.58,   -1.58,   -5.55,    2.40
45.73011,7.38744,T2M,1989,   -4.62,   -4.09,    0.04,   -1.27,    7.25,    8.59,   12.48,   11.92,    8.04,    4.78,   -1.41,   -3.71,    3.22
45.73011,7.38744,T2M,1990,   -5.01,   -2.64,   -0.60,   -0.30,    7.28,    9.04,   12.53,   12.53,    7.92,    4.90,   -3.47,   -8.91,    2.81
45.73011,7.38744,T2M,1991,   -7.02,   -8.86,   -0.63,    0.10,    3.36,    8.54,   13.58,   13.93,   10.21,    2.36,   -2.74,   -6.05,    2.30
45.73011,7.38744,T2M,1992,   -6.05,   -5.83,   -2.84,    0.95,    7.54,    8.10,   12.21,   13.48,    8.10,    0.76,   -0.44,   -5.76,    2.55
45.73011,7.38744,T2M,1993,   -5.04,   -6.24,   -3.78,    1.48,    6.84,   10.09,   10.38,   12.37,    6.49,    1.93,   -3.27,   -5.51,    2.20
45.73011,7.38744,T2M,1994,   -6.64,   -7.82,   -0.86,   -0.92,    6.69,    9.88,   14.27,   13.18,    6.90,    3.45,    1.86,   -3.48,    3.12
45.73011,7.38744,T2M,1995,   -9.04,   -4.24,   -6.30,    0.31,    5.67,    8.27,   13.82,   10.82,    5.26,    6.60,   -2.92,   -6.37,    1.86
45.73011,7.38744,T2M,1996,   -6.48,   -9.61,   -5.69,    1.77,    5.81,   10.45,   10.93,   10.27,    5.19,    3.01,   -3.13,   -6.88,    1.34
