LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
46.16676,10.03662,T2M,1981,   -9.73,   -7.13,   -0.37,    3.57,    6.09,   10.76,   11.29,   12.34,    9.11,    2.85,   -2.41,   -8.61,    2.36
46.16676,10.03662,T2M,1982,   -6.32,   -7.34,   -5.11,    0.51,    6.99,   11.25,   13.86,   12.04,   10.88,    3.47,   -0.17,   -6.15,    2.88
46.16676,10.03662,T2M,1983,   -4.32,   -8.83,   -1.69,    1.57,    5.44,   10.74,   15.84,   12.21,    9.74,    5.21,   -0.37,   -5.48,    3.42
46.16676,10.03662,T2M,1984,   -8.72,   -8.99,   -5.80,   -0.19,    3.57,    9.43,   12.43,   11.56,    7.25,    5.03,    0.27,   -5.09,    1.76
46.16676,10.03662,T2M,1985,  -11.39,   -6.59,   -4.88,    0.92,    6.30,    9.07,   14.06,   12.40,   11.25,    5.71,   -4.65,   -4.22,    2.39
46.16676,10.03662,T2M,1986,   -9.25,  -10.23,   -3.17,    0.08,    8.81,   10.37,   12.24,   12.31,    9.71,    5.87,   -0.09,   -5.19,    2.70
46.16676,10.03662,T2M,1987,   -9.25,   -5.27,   -6.95,    1.92,    4.67,    9.16,   13.09,   12.49,   12.21,    4.97,   -1.03,   -3.54,    2.74
46.16676,10.03662,T2M,1988,   -5.33,   -7.82,   -4.95,    2.32,    7.41,    9.30,   13.47,   13.24,    9.03,    6.09,   -2.22,   -6.21,    2.90
46.16676,10.03662,T2M,1989,   -3.58,   -2.25,    0.47,    0.87,    7.25,    9.16,   12.66,   12.25,    8.59,    5.01,   -1.68,   -3.81,    3.79
46.16676,10.03662,T2M,1990,   -5.15,   -2.31,    0.56,    0.80,    8.16,   10.17,   13.46,   13.19,    8.48,    5.58,   -2.83,   -9.85,    3.39
46.16676,10.03662,T2M,1991,   -6.54,   -8.92,    0.85,    0.69,    3.62,    9.79,   14.41,   14.27,   10.71,    3.20,   -2.32,   -6.67,    2.83
46.16676,10.03662,T2M,1992,   -5.78,   -5.14,   -1.96,    1.01,    8.19,    9.29,   13.04,   14.82,    8.97,    2.11,   -0.24,   -5.37,    3.27
46.16676,10.03662,T2M,1993,   -5.02,   -5.58,   -3.88,    2.32,    7.81,   11.11,   11.45,   13.17,    7.31,    3.63,   -2.43,   -5.07,    2.95
46.16676,10.03662,T2M,1994,   -6.29,   -7.17,    0.36,    0.60,    7.38,   10.78,   15.07,   14.35,    8.74,    4.13,    1.69,   -3.92,    3.88
46.16676,10.03662,T2M,1995,   -9.75,   -4.07,   -5.03,    1.85,    6.75,    9.02,   14.83,   11.57,    6.41,    7.34,   -2.75,   -6.07,    2.55
46.16676,10.03662,T2M,1996,   -5.71,   -9.13,   -4.88,    2.85,    6.92,   11.64,   11.68,   11.44,    5.40,    3.63,   -2.40,   -6.45,    2.12
46.16676,10.03662,T2M,1997,   -4.97,   -4.20,   -0.20,    0.84,    7.27,   10.08,   11.45,   13.12,   11.26,    4.33,   -1.39,   -5.48,    3.55
46.16676,10.03662,T2M,1998,   -6.95,   -2.45,   -2.87,    0.76,    7.47,   11.54,   13.44,   13.88,    7.93,    3.61,   -3.79,   -6.35,    3.05
46.16676,10.03662,T2M,1999,   -5.98,   -8.16,   -2.24,    2.03,    8.71,   10.19,   13.04,   12.72,   10.33,    4.94,   -3.49,   -7.55,    2.95
46.16676,10.03662,T2M,2000,   -8.49,   -4.81,   -2.07,    2.58,    8.70,   12.22,   10.82,   13.48,    9.55,    5.02,   -1.84,   -4.17,    3.44
46.16676,10.03662,T2M,2001,   -6.85,   -5.73,   -0.91,   -0.41,    8.63,   10.02,   13.26,   14.40,    5.85,    7.56,   -1.47,   -7.68,    3.12
