LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
44.47838,11.38187,T2M,1981,   -0.11,    1.66,    8.29,   11.29,   14.79,   19.97,   21.43,   22.04,   18.18,   13.26,    6.12,    3.79,   11.78
44.47838,11.38187,T2M,1982,    2.66,    2.07,    5.55,    9.83,   15.92,   21.94,   24.62,   22.22,   19.84,   12.62,    8.50,    5.07,   12.63
44.47838,11.38187,T2M,1983,    4.57,    1.12,    7.32,   10.68,   14.60,   19.50,   26.03,   22.10,   18.91,   12.97,    6.10,    3.14,   12.33
44.47838,11.38187,T2M,1984,    2.81,    1.56,    4.64,    9.32,   12.01,   17.91,   22.95,   20.78,   16.89,   12.35,    7.97,    4.03,   11.13
44.47838,11.38187,T2M,1985,   -1.04,    2.45,    5.55,   10.03,   14.59,   18.98,   24.33,   23.62,   20.67,   13.74,    5.96,    5.36,   12.08
44.47838,11.38187,T2M,1986,    2.19,    0.02,    5.16,   10.03,   17.32,   18.61,   21.49,   23.05,   17.75,   13.64,    7.26,    2.65,   11.67
44.47838,11.38187,T2M,1987,    0.19,    2.74,    3.00,   10.68,   13.78,   19.21,   23.68,   23.00,   21.37,   13.50,    7.52,    4.19,   11.95
44.47838,11.38187,T2M,1988,    4.98,    4.07,    6.43,   10.89,   15.35,   18.05,   24.14,   23.97,   18.17,   14.82,    4.20,    3.17,   12.39
44.47838,11.38187,T2M,1989,    2.30,    5.45,    9.68,   10.70,   15.28,   18.75,   22.02,   22.38,   16.85,   12.00,    5.63,    3.74,   12.11
44.47838,11.38187,T2M,1990,    2.71,    6.95,    8.87,    9.68,   16.40,   19.95,   22.85,   22.46,   18.05,   14.14,    7.01,    1.22,   12.56
44.47838,11.38187,T2M,1991,    2.13,    1.00,    8.78,    8.74,   11.94,   18.92,   24.60,   24.20,   19.75,   11.28,    6.63,    0.91,   11.64
44.47838,11.38187,T2M,1992,    2.02,    3.98,    7.28,   10.55,   16.14,   18.19,   22.44,   25.07,   19.00,   12.44,    8.73,    3.34,   12.46
44.47838,11.38187,T2M,1993,    2.30,    2.20,    5.91,   10.67,   16.62,   21.29,   22.59,   24.82,   17.45,   12.52,    5.42,    4.70,   12.27
44.47838,11.38187,T2M,1994,    4.26,    2.88,   10.12,    9.88,   16.01,   19.90,   24.79,   26.02,   18.20,   11.86,    9.26,    4.74,   13.23
44.47838,11.38187,T2M,1995,    1.81,    5.65,    5.56,   10.30,   14.91,   17.68,   24.14,   21.19,   16.43,   13.86,    6.54,    3.80,   11.86
44.47838,11.38187,T2M,1996,    3.68,    1.33,    4.74,   10.97,   15.18,   20.30,   21.86,   21.91,   15.08,   12.10,    8.19,    3.43,   11.60
44.47838,11.38187,T2M,1997,    3.27,    5.08,    8.39,    8.72,   16.01,   20.21,   22.63,   22.76,   19.86,   13.24,    7.87,    4.38,   12.75
44.47838,11.38187,T2M,1998,    3.55,    5.45,    6.51,   10.94,   15.89,   21.75,   25.02,   24.95,   18.05,   12.92,    5.46,    1.82,   12.74
44.47838,11.38187,T2M,1999,    3.49,    2.50,    7.82,   11.36,   17.33,   20.62,   22.94,   23.67,   19.56,   13.66,    5.88,    3.12,   12.73
44.47838,11.38187,T2M,2000,    1.75,    4.77,    7.97,   12.14,   18.12,   21.74,   21.90,   24.47,   18.75,   13.63,    9.16,    5.68,   13.36
44.47838,11.38187,T2M,2001,    3.87,    4.39,    9.87,    9.69,   16.80,   20.32,   23.68,   24.99,   16.47,   16.03,    6.41,    1.16,   12.87
44.47838,11.38187,T2M,2002,    1.83,    6.19,    9.20,   10.92,   16.45,   22.82,   23.01,   21.88,   16.71,   13.66,    9.95,    4.69,   13.14
44.47838,11.38187,T2M,2003,    2.23,    0.42,    7.20,    9.76,   18.32,   25.42,   25.89,   27.35,   17.79,   11.73,    8.73,    3.93,   13.31
44.47838,11.38187,T2M,2004,    2.00,    3.74,    5.66,   10.55,   13.47,   20.06,   23.77,   23.91,   19.00,   15.36,    7.80,    4.24,   12.49
44.47838,11.38187,T2M,2005,    1.88,    0.38,    6.32,    9.98,   17.04,   21.76,   24.26,   21.63,   18.16,   12.77,    6.54,    1.95,   11.96
44.47838,11.38187,T2M,2006,    0.03,    3.10,    5.48,   11.72,   15.95,   21.01,   25.61,   20.99,   19.71,   14.66,    9.36,    5.26,   12.79
44.47838,11.38187,T2M,2007,    6.14,    6.57,    8.25,   14.09,   17.73,   20.78,   24.93,   22.46,   17.58,   12.33,    6.37,    2.36,   13.34
44.47838,11.38187,T2M,2008,    4.47,    4.31,    7.18,   11.14,   16.10,   20.80,   23.82,   24.53,   17.56,   14.84,    7.74,    3.57,   13.04
44.47838,11.38187,T2M,2009,    1.48,    3.24,    7.15,   11.93,   18.03,   20.22,   24.34,   25.77,   19.31,   12.47,    8.69,    2.93,   13.02
44.47838,11.38187,T2M,2010,    0.03,    2.86,    6.17,   10.92,   14.87,   20.08,   24.37,   21.97,   17.62,   11.39,    7.88,    1.77,   11.71
44.47838,11.38187,T2M,2011,    1.86,    3.61,    6.32,   12.79,   16.85,   20.72,   22.12,   25.11,   21.52,   12.79,    7.22,    4.83,   13.03
44.47838,11.38187,T2M,2012,    2.55,   -0.51,    9.90,   11.08,   16.08,   23.23,   25.39,   26.24,   18.36,   13.95,    9.34,    2.83,   13.25
