LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
45.4384,10.9916,T2M,1981,5.52,6.28,10.39,12.96,15.32,20.51,21.68,23.48,20.23,15.07,10.68,7.57,14.18
45.4384,10.9916,T2M,1982,8.47,7.77,8.9,12.01,16.34,20.73,25.11,22.44,20.78,14.88,11.87,8.44,14.85
45.4384,10.9916,T2M,1983,7.87,5.8,9.74,11.6,14.61,20.05,25.25,22.82,19.87,15.83,11.78,8.2,14.51
45.4384,10.9916,T2M,1984,6.56,6.28,8.28,11.72,13.21,18.35,22.6,21.87,17.44,15.04,12.31,8.61,13.55
45.4384,10.9916,T2M,1985,3.3,8.49,8.16,12.17,14.47,19.03,23.92,22.07,21.41,16.88,8.8,9.27,14.03
45.4384,10.9916,T2M,1986,6.06,5.05,8.94,10.71,17.35,19.82,23.26,23.16,20.07,16.52,11.87,7.48,14.25
45.4384,10.9916,T2M,1987,5.05,7.15,7.89,12.48,14.6,18.95,23.41,23.46,22.08,16.32,10.67,9.48,14.34
45.4384,10.9916,T2M,1988,8.69,7.52,8.89,12.22,16.31,19.5,23.38,23.59,19.51,16.72,10.58,7.96,14.6
45.4384,10.9916,T2M,1989,7.94,8.88,11.45,11.38,17.61,20.22,24.23,23.72,19.51,15.55,10.94,9.36,15.11
45.4384,10.9916,T2M,1990,8.02,10.56,11.25,12.15,17.92,20.08,23.29,23.56,19.85,16.86,10.31,6.49,15.06
45.4384,10.9916,T2M,1991,7.69,6.49,11.54,11.5,14.62,19.22,23.9,24.09,21.12,14.21,10.07,7.09,14.35
45.4384,10.9916,T2M,1992,7.38,8.08,10.38,12.86,17.81,18.19,22.62,24.17,19.29,13.93,11.76,8.94,14.64
45.4384,10.9916,T2M,1993,8,7.4,9.63,12.38,16.82,20.78,21.98,23.89,18.73,14.47,9.6,8.02,14.35
45.4384,10.9916,T2M,1994,7.49,7.61,11.64,10.91,16.61,20.39,25.33,25.01,18.57,15.25,13.17,9.26,15.16
45.4384,10.9916,T2M,1995,6.56,9.44,8.82,12.47,15.5,19.19,24.75,23.15,17.52,16.99,11.01,8.47,14.52
45.4384,10.9916,T2M,1996,9.1,6.14,8.89,12.58,15.7,20.57,22.45,22.13,16.95,14.4,10.38,8.7,14.03
45.4384,10.9916,T2M,1997,8.32,8.92,11.69,12.56,16.66,19.38,21.99,23.68,20.82,16.55,11.92,8.46,15.12
45.4384,10.9916,T2M,1998,8.2,9.66,10.56,11.69,17.02,20.39,23.57,23.61,18.64,14.36,8.83,7.33,14.52
45.4384,10.9916,T2M,1999,7.73,6.61,10.53,12.33,17.46,20.37,23.7,23.54,21.14,16.33,9.81,7.29,14.79
45.4384,10.9916,T2M,2000,7,8.92,10.17,12.22,17.64,21.31,21.38,23.83,20.05,15.53,11.01,10.12,14.95
45.4384,10.9916,T2M,2001,8.43,8.37,11.62,11.73,16.86,20.55,23.21,24.22,17.74,17.87,10.83,6.75,14.9
45.4384,10.9916,T2M,2002,7.64,9.3,11.68,13.36,16.07,21.78,22.8,22.46,18.93,15.98,12.79,9.6,15.23
