LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
36.98099,14.55058,T2M,1981,   10.34,   10.96,   13.67,   15.98,   18.66,   23.53,   24.97,   26.16,   24.21,   21.44,   15.19,   14.02,   18.31
36.98099,14.55058,T2M,1982,   13.14,   11.68,   12.22,   14.85,   18.53,   23.80,   27.13,   26.60,   24.81,   20.94,   16.64,   12.84,   18.64
36.98099,14.55058,T2M,1983,   11.68,   11.02,   13.02,   15.50,   19.03,   22.39,   26.68,   25.90,   23.59,   19.92,   16.93,   12.76,   18.25
36.98099,14.55058,T2M,1984,   12.11,   11.34,   12.39,   14.66,   18.29,   21.91,   25.52,   25.24,   22.80,   20.07,   17.31,   13.68,   17.97
36.98099,14.55058,T2M,1985,   11.54,   12.25,   12.95,   15.24,   18.83,   23.23,   26.21,   26.37,   23.96,   20.39,   17.29,   14.12,   18.57
36.98099,14.55058,T2M,1986,   12.16,   11.87,   13.24,   14.95,   19.71,   22.69,   25.21,   27.30,   24.36,   21.02,   16.28,   12.63,   18.49
36.98099,14.55058,T2M,1987,   11.67,   12.11,   10.81,   14.70,   17.00,   22.00,   27.15,   26.77,   26.19,   22.07,   17.10,   14.42,   18.53
36.98099,14.55058,T2M,1988,   13.37,   12.50,   13.32,   16.29,   19.81,   23.48,   27.87,   27.33,   23.74,   21.19,   15.90,   12.35,   18.95
36.98099,14.55058,T2M,1989,   11.72,   12.30,   13.95,   15.54,   17.82,   22.17,   25.84,   26.34,   24.07,   19.16,   16.76,   14.73,   18.40
36.98099,14.55058,T2M,1990,   12.59,   13.77,   14.28,   15.40,   18.96,   23.29,   26.05,   26.19,   24.43,   22.22,   17.44,   12.81,   18.98
36.98099,14.55058,T2M,1991,   11.89,   11.69,   14.35,   14.38,   16.39,   22.04,   25.44,   26.49,   24.36,   21.17,   16.19,   10.89,   17.98
36.98099,14.55058,T2M,1992,   11.90,   10.99,   12.63,   14.74,   17.62,   21.32,   24.22,   27.05,   23.81,   21.16,   17.52,   13.82,   18.09
36.98099,14.55058,T2M,1993,   11.60,   10.72,   12.19,   15.19,   19.16,   23.03,   25.42,   27.27,   24.13,   21.12,   16.80,   13.90,   18.43
36.98099,14.55058,T2M,1994,   12.72,   12.49,   14.08,   14.79,   19.54,   22.66,   26.43,   28.31,   25.04,   21.30,   17.57,   13.83,   19.11
