-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  47.2781   Longitude 4.2225 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 358.17 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
47.2781,4.2225,T2M,1981,   -0.53,   -0.18,    7.30,    9.02,   11.65,   14.64,   16.69,   17.15,   14.54,    9.27,    4.01,    1.48,    8.81
47.2781,4.2225,T2M,1982,    2.79,    2.62,    3.98,    7.03,   12.51,   16.65,   18.91,   16.65,   16.48,    9.49,    6.42,    2.20,    9.68
47.2781,4.2225,T2M,1983,    2.65,   -0.55,    4.64,    7.68,   10.19,   16.64,   21.00,   17.82,   14.46,    9.39,    4.42,    1.48,    9.21
47.2781,4.2225,T2M,1984,    1.27,    0.38,    2.99,    7.47,    9.41,   14.76,   17.29,   17.21,   12.83,    9.90,    7.66,    1.91,    8.61
47.2781,4.2225,T2M,1985,   -5.04,    0.67,    2.74,    8.05,   11.71,   14.22,   18.33,   16.26,   15.56,   10.12,    1.03,    2.13,    8.02
47.2781,4.2225,T2M,1986,    0.92,   -3.77,    3.49,    5.46,   13.19,   16.66,   17.81,   16.62,   13.67,   11.56,    5.60,    1.97,    8.68
47.2781,4.2225,T2M,1987,   -4.59,    0.81,    2.26,    9.50,   10.33,   14.52,   17.93,   17.17,   16.69,   11.11,    4.57,    2.24,    8.58
47.2781,4.2225,T2M,1988,    4.40,    2.08,    4.03,    9.40,   13.54,   15.65,   16.92,   17.81,   14.00,   11.07,    3.69,    3.25,    9.68
47.2781,4.2225,T2M,1989,    1.30,    3.14,    7.72,    7.05,   14.74,   15.30,   18.73,   18.39,   14.99,   10.90,    4.10,    2.85,    9.98
47.2781,4.2225,T2M,1990,    1.86,    6.57,    6.76,    7.41,   15.08,   15.87,   19.33,   20.66,   14.52,   12.22,    4.74,   -0.54,   10.40
47.2781,4.2225,T2M,1991,    1.32,   -0.37,    7.86,    7.40,   10.48,   14.74,   20.53,   21.12,   17.74,    8.86,    4.41,    0.17,    9.59
47.2781,4.2225,T2M,1992,   -0.74,    2.15,    5.85,    8.36,   14.69,   15.89,   19.63,   20.76,   14.73,    7.70,    6.92,    2.52,    9.90
47.2781,4.2225,T2M,1993,    3.28,    0.84,    4.89,    9.90,   13.89,   17.00,   17.36,   18.35,   13.36,    8.43,    1.64,    3.41,    9.42
47.2781,4.2225,T2M,1994,    2.55,    2.72,    7.79,    7.21,   12.93,   16.26,   20.71,   18.76,   13.64,   10.15,    7.98,    4.03,   10.45
47.2781,4.2225,T2M,1995,    1.38,    4.96,    4.03,    8.14,   12.56,   14.47,   20.00,   18.34,   12.38,   13.10,    4.44,    1.04,    9.60
47.2781,4.2225,T2M,1996,    2.76,    0.19,    3.54,    8.47,   11.61,   16.40,   17.26,   17.10,   12.01,    9.65,    4.19,    0.56,    8.67
47.2781,4.2225,T2M,1997,   -1.07,    4.28,    6.91,    7.88,   12.86,   15.56,   17.48,   21.19,   15.46,    9.58,    6.04,    2.96,    9.96
47.2781,4.2225,T2M,1998,    2.29,    2.92,    5.59,    7.68,   13.67,   16.23,   17.56,   18.95,   14.21,    9.30,    1.87,    1.52,    9.36
47.2781,4.2225,T2M,1999,    2.64,    1.14,    6.07,    8.74,   14.61,   14.86,   18.75,   18.28,   16.58,    9.89,    2.48,    2.33,    9.76
47.2781,4.2225,T2M,2000,    0.52,    4.00,    4.98,    8.70,   14.34,   16.62,   15.90,   18.65,   15.42,   10.12,    6.37,    4.70,   10.04
47.2781,4.2225,T2M,2001,    2.59,    3.04,    7.36,    7.27,   14.47,   15.41,   19.02,   19.72,   12.09,   13.41,    2.82,   -0.43,    9.79
47.2781,4.2225,T2M,2002,    1.13,    5.00,    6.71,    9.28,   12.57,   18.71,   18.57,   18.31,   13.88,   10.43,    7.21,    4.66,   10.56
47.2781,4.2225,T2M,2003,   -0.05,   -0.06,    6.93,    9.46,   13.96,   21.88,   21.14,   24.57,   15.41,    7.95,    6.40,    2.14,   10.87
47.2781,4.2225,T2M,2004,    1.50,    2.00,    4.18,    8.78,   12.04,   16.94,   18.15,   18.70,   15.44,   11.83,    4.26,    0.70,    9.57
47.2781,4.2225,T2M,2005,    1.32,   -0.46,    4.88,    9.14,   13.25,   17.79,   18.73,   16.96,   15.43,   12.98,    3.72,    0.04,    9.54
47.2781,4.2225,T2M,2006,   -0.50,    0.10,    4.19,    8.53,   12.85,   17.19,   22.25,   15.67,   17.07,   13.15,    7.24,    2.37,   10.06
47.2781,4.2225,T2M,2007,    3.90,    5.21,    5.39,   12.92,   14.20,   16.83,   16.73,   16.43,   12.86,    9.27,    3.62,    1.37,    9.91
47.2781,4.2225,T2M,2008,    3.02,    3.69,    4.44,    7.61,   14.70,   16.25,   17.60,   16.86,   12.24,    9.15,    4.96,    0.42,    9.26
47.2781,4.2225,T2M,2009,   -1.69,    0.81,    4.51,   10.28,   14.44,   16.05,   18.20,   19.25,   14.71,    9.78,    7.39,    1.33,    9.63
47.2781,4.2225,T2M,2010,   -2.03,    0.52,    4.14,    9.27,   11.05,   16.42,   19.65,   17.25,   13.29,    9.04,    4.86,   -1.49,    8.54
47.2781,4.2225,T2M,2011,    1.31,    2.70,    6.20,   11.81,   14.71,   16.28,   16.08,   18.41,   16.34,   10.70,    7.35,    4.42,   10.56
47.2781,4.2225,T2M,2012,    2.72,   -2.40,    7.27,    7.85,   13.87,   16.40,   17.07,   18.79,   14.23,   10.88,    5.59,    3.11,    9.67
47.2781,4.2225,T2M,2013,    0.14,   -0.62,    3.18,    8.29,    9.84,   15.45,   19.96,   17.40,   14.68,   11.99,    4.11,    2.21,    8.94
47.2781,4.2225,T2M,2014,    3.78,    4.12,    6.71,   10.13,   12.16,   17.00,   18.16,   16.13,   15.67,   12.64,    7.68,    2.46,   10.58
47.2781,4.2225,T2M,2015,    1.60,    0.87,    6.05,    9.82,   13.19,   17.47,   20.45,   19.74,   13.35,    8.82,    7.66,    5.59,   10.44
47.2781,4.2225,T2M,2016,    2.92,    3.63,    4.47,    8.14,   12.49,   16.24,   18.74,   18.80,   16.67,    8.92,    4.96,    1.81,    9.83
47.2781,4.2225,T2M,2017,   -1.81,    4.40,    8.07,    8.45,   14.06,   18.71,   19.31,   18.87,   13.54,   11.24,    4.57,    2.07,   10.16
47.2781,4.2225,T2M,2018,    5.21,   -1.02,    4.42,   11.56,   14.74,   17.78,   20.91,   19.80,   16.37,   11.29,    6.11,    3.95,   11.00
47.2781,4.2225,T2M,2019,    0.39,    4.02,    6.91,    9.23,   11.43,   18.63,   21.56,   20.25,   16.04,   12.08,    5.51,    4.59,   10.93
47.2781,4.2225,RH2M,1981,   92.69,   88.83,   89.90,   81.96,   83.44,   81.88,   81.97,   81.89,   82.75,   89.89,   92.58,   95.36,   86.93
47.2781,4.2225,RH2M,1982,   95.25,   92.15,   87.57,   79.79,   79.14,   81.15,   79.26,   79.71,   79.42,   90.25,   91.31,   95.19,   85.83
47.2781,4.2225,RH2M,1983,   94.97,   91.88,   90.75,   88.98,   86.74,   79.43,   78.11,   81.22,   82.47,   85.66,   90.98,   92.65,   86.96
47.2781,4.2225,RH2M,1984,   94.80,   90.57,   84.66,   76.31,   82.94,   79.56,   75.05,   77.13,   84.51,   90.11,   91.44,   94.99,   85.17
47.2781,4.2225,RH2M,1985,   91.77,   89.92,   88.91,   81.86,   84.75,   80.09,   76.57,   76.50,   74.30,   79.11,   90.38,   93.31,   83.93
47.2781,4.2225,RH2M,1986,   93.18,   87.72,   87.74,   84.17,   82.53,   78.99,   73.13,   73.21,   77.62,   86.67,   91.32,   94.73,   84.24
47.2781,4.2225,RH2M,1987,   87.86,   93.20,   82.20,   78.70,   77.47,   82.32,   80.26,   77.20,   78.80,   87.57,   93.84,   94.97,   84.47
47.2781,4.2225,RH2M,1988,   94.48,   91.19,   90.53,   81.15,   84.05,   80.05,   78.12,   74.98,   80.68,   88.18,   91.42,   95.85,   85.89
47.2781,4.2225,RH2M,1989,   94.93,   88.93,   82.04,   82.79,   74.97,   74.38,   73.01,   67.43,   70.15,   78.65,   86.43,   91.53,   80.39
47.2781,4.2225,RH2M,1990,   92.64,   88.11,   80.14,   77.28,   69.78,   71.81,   57.97,   53.74,   63.16,   78.43,   91.49,   93.88,   76.45
47.2781,4.2225,RH2M,1991,   89.68,   87.33,   81.27,   72.50,   68.66,   68.61,   57.56,   53.13,   64.06,   84.76,   91.59,   91.71,   75.83
47.2781,4.2225,RH2M,1992,   91.09,   87.62,   81.35,   74.21,   69.96,   75.06,   67.08,   59.89,   70.58,   85.52,   93.45,   93.75,   79.09
47.2781,4.2225,RH2M,1993,   91.67,   84.91,   76.72,   77.95,   76.60,   75.30,   69.02,   57.96,   76.33,   88.19,   88.79,   96.18,   79.93
47.2781,4.2225,RH2M,1994,   92.55,   89.96,   87.17,   82.93,   79.58,   79.17,   74.25,   72.76,   81.52,   84.30,   93.69,   92.74,   84.17
47.2781,4.2225,RH2M,1995,   91.65,   90.44,   83.53,   83.36,   76.22,   79.05,   74.93,   72.67,   79.65,   86.91,   86.89,   91.77,   83.04
47.2781,4.2225,RH2M,1996,   93.39,   88.24,   79.22,   72.14,   79.68,   70.31,   67.53,   68.82,   68.82,   82.11,   92.36,   90.27,   79.40
47.2781,4.2225,RH2M,1997,   93.52,   87.61,   83.91,   68.82,   75.86,   76.69,   74.27,   67.62,   70.57,   78.21,   90.97,   93.30,   80.09
47.2781,4.2225,RH2M,1998,   91.54,   88.51,   77.48,   82.22,   74.83,   73.67,   69.90,   59.16,   77.59,   87.72,   89.44,   93.05,   80.36
47.2781,4.2225,RH2M,1999,   92.91,   90.24,   85.32,   82.07,   81.08,   76.82,   75.25,   71.16,   75.02,   87.73,   91.67,   94.47,   83.62
47.2781,4.2225,RH2M,2000,   93.70,   89.38,   83.42,   80.99,   78.71,   75.42,   77.51,   70.29,   74.36,   84.69,   91.80,   92.48,   82.72
47.2781,4.2225,RH2M,2001,   90.43,   86.02,   86.67,   80.25,   77.33,   70.56,   68.28,   63.79,   77.28,   81.31,   89.46,   88.60,   79.95
47.2781,4.2225,RH2M,2002,   92.69,   87.75,   76.08,   68.59,   71.08,   63.73,   62.64,   68.05,   69.86,   80.34,   92.85,   94.80,   77.33
47.2781,4.2225,RH2M,2003,   89.47,   82.25,   74.32,   67.87,   73.84,   63.43,   54.53,   46.25,   61.04,   81.70,   89.94,   91.68,   72.98
47.2781,4.2225,RH2M,2004,   92.84,   83.52,   78.42,   78.23,   71.36,   67.25,   68.54,   73.25,   72.08,   85.77,   93.07,   94.17,   79.88
47.2781,4.2225,RH2M,2005,   91.75,   87.48,   84.87,   79.96,   76.48,   73.96,   71.64,   67.64,   73.96,   82.17,   89.78,   92.64,   80.99
47.2781,4.2225,RH2M,2006,   92.38,   90.43,   85.05,   77.62,   82.09,   75.24,   69.80,   76.31,   78.73,   87.88,   91.21,   92.89,   83.27
47.2781,4.2225,RH2M,2007,   94.13,   90.19,   83.90,   73.13,   80.43,   80.18,   77.74,   80.74,   80.36,   86.09,   90.66,   92.03,   84.12
47.2781,4.2225,RH2M,2008,   91.24,   88.40,   84.65,   82.52,   77.97,   81.50,   76.51,   79.25,   81.00,   87.42,   92.27,   93.65,   84.68
47.2781,4.2225,RH2M,2009,   91.61,   89.22,   82.30,   81.37,   79.04,   78.28,   74.58,   71.72,   77.46,   82.11,   91.32,   93.34,   82.65
47.2781,4.2225,RH2M,2010,   91.28,   89.95,   80.47,   76.07,   78.80,   78.01,   72.36,   73.50,   77.77,   81.21,   93.69,   93.17,   82.14
47.2781,4.2225,RH2M,2011,   92.27,   92.28,   81.48,   74.33,   71.43,   73.58,   72.92,   74.54,   76.69,   81.63,   92.41,   94.58,   81.45
47.2781,4.2225,RH2M,2012,   92.78,   80.66,   80.43,   79.36,   78.73,   80.98,   76.30,   72.68,   74.35,   84.32,   93.20,   93.85,   82.32
47.2781,4.2225,RH2M,2013,   93.99,   89.25,   84.54,   81.27,   85.35,   80.68,   79.47,   78.20,   83.52,   89.30,   91.22,   92.45,   85.76
47.2781,4.2225,RH2M,2014,   94.04,   91.36,   80.94,   79.09,   78.48,   74.07,   80.12,   79.21,   79.67,   88.67,   94.38,   94.73,   84.54
47.2781,4.2225,RH2M,2015,   93.75,   88.74,   82.78,   76.28,   79.33,   76.21,   69.50,   71.11,   76.30,   87.38,   92.42,   95.93,   82.45
47.2781,4.2225,RH2M,2016,   94.09,   89.14,   83.94,   81.24,   81.24,   84.79,   78.82,   74.97,   75.21,   85.08,   91.89,   94.79,   84.59
47.2781,4.2225,RH2M,2017,   90.83,   91.13,   84.96,   73.46,   79.55,   74.51,   74.18,   72.68,   74.75,   81.68,   91.11,   94.83,   81.94
47.2781,4.2225,RH2M,2018,   94.50,   85.99,   88.55,   79.50,   79.96,   80.10,   71.66,   69.40,   66.38,   78.61,   92.17,   93.25,   81.66
47.2781,4.2225,RH2M,2019,   92.37,   83.19,   77.77,   74.95,   74.02,   69.93,   53.77,   58.50,   61.38,   84.36,   92.83,   91.54,   76.17
