-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  43.6488   Longitude 2.3436 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 380.18 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
43.6488,2.34358,T2M,1981,    2.31,    2.49,    9.02,   10.57,   12.26,   17.30,   18.50,   21.10,   17.82,   12.20,    7.41,    4.65,   11.35
43.6488,2.34358,T2M,1982,    6.18,    5.96,    5.88,    9.56,   13.26,   18.60,   23.23,   19.43,   18.37,   11.36,    8.16,    4.23,   12.05
43.6488,2.34358,T2M,1983,    4.01,    2.61,    6.70,    9.33,   12.34,   17.87,   24.29,   20.26,   18.09,   12.83,    9.43,    4.19,   11.89
43.6488,2.34358,T2M,1984,    3.83,    2.85,    4.80,    9.56,   10.52,   17.09,   21.61,   19.45,   15.46,   12.31,    9.86,    4.02,   10.97
43.6488,2.34358,T2M,1985,   -2.14,    6.05,    4.59,   10.21,   12.05,   16.39,   22.26,   20.50,   20.13,   14.94,    3.72,    4.32,   11.11
43.6488,2.34358,T2M,1986,    3.05,    1.07,    5.80,    6.90,   15.04,   18.34,   22.12,   21.38,   18.98,   14.37,    7.95,    4.57,   11.70
43.6488,2.34358,T2M,1987,   -0.30,    3.81,    5.54,   11.17,   12.34,   17.29,   21.33,   22.31,   20.80,   14.11,    7.02,    6.46,   11.86
43.6488,2.34358,T2M,1988,    6.51,    4.25,    5.58,   10.50,   14.08,   17.17,   20.37,   21.81,   17.93,   14.79,    7.48,    3.68,   12.04
43.6488,2.34358,T2M,1989,    4.38,    6.08,    8.78,    8.55,   16.29,   19.67,   23.14,   22.45,   17.50,   13.29,    9.02,    7.22,   13.08
43.6488,2.34358,T2M,1990,    4.81,    8.87,    8.64,    9.36,   17.32,   18.94,   23.63,   23.09,   18.73,   14.46,    6.95,    1.35,   13.04
43.6488,2.34358,T2M,1991,    3.74,    3.51,    9.64,    8.88,   12.89,   18.50,   23.33,   24.36,   19.93,   10.97,    6.92,    3.74,   12.26
43.6488,2.34358,T2M,1992,    1.88,    4.57,    7.25,   10.02,   16.14,   15.65,   20.71,   23.03,   17.48,   10.23,    9.17,    5.53,   11.83
43.6488,2.34358,T2M,1993,    4.59,    3.71,    6.75,   10.17,   14.67,   18.23,   19.60,   22.35,   16.08,   11.12,    5.65,    5.72,   11.61
43.6488,2.34358,T2M,1994,    3.95,    4.85,    9.27,    8.00,   14.93,   17.73,   23.49,   23.42,   16.14,   12.49,   10.15,    5.37,   12.54
43.6488,2.34358,T2M,1995,    3.13,    6.92,    5.81,    9.83,   13.84,   17.46,   22.81,   21.59,   14.70,   15.35,    7.54,    5.58,   12.08
43.6488,2.34358,T2M,1996,    7.33,    2.68,    6.23,    9.84,   13.31,   18.58,   21.17,   19.41,   14.76,   11.45,    6.63,    5.41,   11.44
43.6488,2.34358,T2M,1997,    3.97,    6.90,    9.01,   10.31,   14.96,   17.21,   19.51,   22.75,   18.54,   14.10,    8.91,    5.01,   12.63
43.6488,2.34358,T2M,1998,    4.98,    6.46,    7.48,    8.79,   14.60,   18.47,   21.24,   21.83,   17.02,   11.49,    4.64,    3.44,   11.74
43.6488,2.34358,T2M,1999,    4.61,    2.90,    7.65,   10.23,   15.73,   17.46,   21.88,   22.00,   19.12,   13.09,    5.08,    3.72,   12.02
43.6488,2.34358,T2M,2000,    2.33,    6.22,    7.05,   10.08,   15.44,   18.58,   19.77,   22.21,   18.36,   11.99,    7.87,    7.12,   12.27
43.6488,2.34358,T2M,2001,    5.27,    4.30,   10.09,    8.93,   15.10,   19.32,   21.63,   22.59,   15.50,   16.17,    5.03,    1.22,   12.16
43.6488,2.34358,T2M,2002,    5.03,    6.38,    9.18,   11.16,   13.88,   20.63,   21.25,   20.46,   16.88,   13.58,    8.93,    6.60,   12.87
43.6488,2.34358,T2M,2003,    1.80,    3.05,    8.95,   11.58,   15.99,   24.29,   24.16,   26.82,   17.83,   11.38,    9.28,    4.86,   13.39
43.6488,2.34358,T2M,2004,    3.98,    4.00,    5.86,    9.13,   13.31,   19.54,   21.35,   21.73,   18.30,   14.87,    5.61,    4.25,   11.86
43.6488,2.34358,T2M,2005,    3.21,    1.11,    6.08,   10.24,   14.99,   21.30,   22.30,   19.93,   17.07,   14.88,    6.35,    1.00,   11.60
43.6488,2.34358,T2M,2006,    3.17,    2.41,    7.64,   10.67,   14.63,   19.93,   25.37,   18.82,   19.17,   15.51,    9.98,    4.19,   12.68
43.6488,2.34358,T2M,2007,    5.24,    6.60,    6.85,   13.55,   14.52,   18.00,   19.84,   19.91,   16.39,   11.97,    5.03,    3.79,   11.83
43.6488,2.34358,T2M,2008,    5.58,    6.89,    6.32,    9.68,   14.67,   17.57,   20.53,   20.90,   16.46,   12.27,    6.24,    2.80,   11.68
43.6488,2.34358,T2M,2009,    2.62,    3.43,    6.72,    9.93,   15.63,   18.69,   21.62,   23.06,   18.38,   13.14,    9.05,    3.26,   12.18
43.6488,2.34358,T2M,2010,    0.97,    2.89,    5.65,   11.10,   12.29,   17.66,   22.61,   20.84,   16.86,   11.36,    6.47,    1.90,   10.92
43.6488,2.34358,T2M,2011,    2.92,    4.62,    7.78,   12.97,   16.64,   18.09,   19.24,   22.10,   19.45,   14.00,   10.57,    5.92,   12.90
43.6488,2.34358,T2M,2012,    3.90,   -1.49,    8.63,    9.07,   14.91,   19.49,   20.59,   23.51,   17.44,   13.79,    8.27,    4.86,   11.97
43.6488,2.34358,T2M,2013,    2.29,    2.21,    6.57,    9.27,   11.06,   15.84,   22.48,   20.92,   17.67,   14.85,    5.81,    4.60,   11.19
43.6488,2.34358,T2M,2014,    6.06,    5.63,    7.73,   11.81,   12.91,   19.79,   19.75,   19.07,   19.05,   15.75,   10.82,    3.84,   12.71
43.6488,2.34358,T2M,2015,    3.24,    2.40,    7.67,   11.38,   14.61,   20.37,   23.73,   21.37,   16.16,   12.29,    9.44,    8.55,   12.67
43.6488,2.34358,T2M,2016,    5.99,    5.82,    6.26,   10.02,   13.20,   17.67,   21.29,   21.68,   19.36,   12.99,    8.31,    6.04,   12.41
43.6488,2.34358,T2M,2017,    1.36,    7.30,    9.49,   10.55,   15.34,   21.43,   21.55,   22.30,   15.46,   13.92,    6.22,    3.21,   12.37
43.6488,2.34358,T2M,2018,    6.60,    1.68,    6.61,   12.02,   14.23,   18.74,   22.90,   22.98,   19.87,   13.28,    9.10,    6.24,   12.92
