-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  45.4949   Longitude 6.3847 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 1637.69 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
45.49491,6.38467,T2M,1981,   -8.27,   -7.02,   -0.84,    3.99,    5.97,   10.84,   11.49,   13.10,    9.88,    3.83,   -0.09,   -6.55,    3.08
45.49491,6.38467,T2M,1982,   -4.15,   -4.67,   -4.99,    0.55,    7.42,   11.05,   14.84,   12.47,   11.38,    3.86,    0.12,   -4.69,    3.64
45.49491,6.38467,T2M,1983,   -3.48,   -8.23,   -1.89,    1.35,    4.93,   11.14,   16.76,   12.84,   10.18,    5.56,    1.32,   -4.26,    3.93
45.49491,6.38467,T2M,1984,   -6.50,   -8.08,   -4.75,   -0.13,    3.72,    9.66,   12.83,   12.15,    7.55,    5.18,    1.09,   -3.37,    2.48
45.49491,6.38467,T2M,1985,  -10.71,   -3.38,   -4.57,    1.60,    5.89,    9.25,   14.31,   12.70,   12.32,    7.20,   -4.17,   -1.76,    3.26
45.49491,6.38467,T2M,1986,   -7.56,   -9.06,   -2.66,   -0.63,    8.77,   11.26,   13.09,   13.11,   10.97,    6.67,    0.72,   -4.50,    3.43
45.49491,6.38467,T2M,1987,   -8.21,   -4.81,   -5.02,    3.00,    4.83,    9.25,   13.18,   13.09,   12.69,    5.88,   -0.78,   -0.85,    3.56
45.49491,6.38467,T2M,1988,   -3.10,   -6.16,   -4.31,    3.06,    7.66,   10.03,   13.30,   14.05,    9.84,    7.06,    0.03,   -3.84,    4.01
45.49491,6.38467,T2M,1989,   -1.86,   -1.11,    1.69,    0.77,    8.58,    9.74,   14.18,   13.94,   10.02,    6.48,    0.76,   -1.07,    5.23
45.49491,6.38467,T2M,1990,   -2.48,   -0.81,    1.26,    1.20,    8.67,   10.22,   14.08,   14.61,    9.49,    6.59,   -1.74,   -7.32,    4.52
45.49491,6.38467,T2M,1991,   -5.28,   -6.62,    2.26,    1.55,    4.47,    9.68,   15.49,   16.15,   12.13,    3.93,   -1.16,   -4.50,    4.08
45.49491,6.38467,T2M,1992,   -5.09,   -4.36,   -0.52,    2.50,    8.79,    9.15,   13.45,   14.78,    9.49,    2.30,    1.35,   -4.20,    4.00
45.49491,6.38467,T2M,1993,   -2.86,   -3.40,   -0.47,    2.89,    8.12,   11.52,   11.61,   14.06,    7.93,    3.50,   -1.38,   -3.91,    4.02
