-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  5.0578   Longitude 9.2289 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 398.76 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
5.05777,9.22895,T2M,1981,   23.41,   24.87,   24.46,   24.74,   23.88,   23.67,   22.18,   22.19,   22.50,   23.16,   23.44,   23.41,   23.48
5.05777,9.22895,T2M,1982,   23.65,   24.17,   24.06,   24.20,   23.90,   22.96,   22.15,   21.61,   22.39,   22.43,   23.28,   23.41,   23.18
5.05777,9.22895,T2M,1983,   24.13,   26.69,   28.00,   25.56,   24.14,   23.08,   22.12,   21.40,   22.35,   22.86,   23.10,   22.96,   23.85
5.05777,9.22895,T2M,1984,   22.85,   23.98,   24.22,   23.92,   23.75,   23.08,   22.26,   22.46,   22.78,   23.08,   23.21,   22.98,   23.21
5.05777,9.22895,T2M,1985,   23.63,   24.79,   24.88,   23.88,   23.41,   22.69,   21.96,   22.16,   22.34,   23.20,   23.77,   23.16,   23.31
5.05777,9.22895,T2M,1986,   23.61,   24.29,   23.66,   24.29,   23.90,   23.06,   21.94,   21.85,   22.22,   22.82,   23.50,   23.12,   23.18
5.05777,9.22895,T2M,1987,   23.68,   24.44,   24.24,   24.72,   24.35,   23.35,   23.13,   22.75,   23.16,   23.44,   24.31,   24.03,   23.79
5.05777,9.22895,T2M,1988,   24.27,   25.34,   24.97,   24.64,   24.56,   23.46,   22.49,   22.64,   22.60,   23.30,   23.87,   23.40,   23.79
5.05777,9.22895,T2M,1989,   23.51,   25.16,   25.11,   24.39,   23.84,   23.17,   22.35,   22.28,   22.67,   23.08,   24.30,   23.64,   23.61
5.05777,9.22895,T2M,1990,   24.33,   25.50,   27.26,   25.40,   24.18,   23.46,   22.51,   22.65,   22.79,   23.56,   23.96,   23.73,   24.10
5.05777,9.22895,T2M,1991,   23.86,   24.94,   25.02,   24.29,   24.12,   23.74,   22.51,   22.44,   23.27,   22.82,   24.24,   23.61,   23.73
5.05777,9.22895,T2M,1992,   23.52,   25.52,   25.43,   24.70,   24.23,   23.22,   22.09,   21.71,   22.46,   22.87,   23.44,   23.52,   23.55
5.05777,9.22895,T2M,1993,   23.83,   25.55,   24.68,   24.56,   24.47,   23.40,   22.54,   22.38,   22.95,   23.46,   23.69,   23.78,   23.76
5.05777,9.22895,T2M,1994,   24.23,   24.81,   24.98,   24.71,   24.44,   23.29,   22.50,   22.49,   22.76,   23.06,   23.42,   23.63,   23.69
5.05777,9.22895,T2M,1995,   24.08,   24.75,   25.01,   24.82,   24.48,   23.65,   22.71,   22.83,   23.06,   23.29,   24.13,   23.78,   23.87
5.05777,9.22895,T2M,1996,   24.19,   25.55,   24.67,   24.65,   24.48,   23.33,   22.42,   22.24,   22.53,   23.09,   23.47,   23.50,   23.67
5.05777,9.22895,T2M,1997,   23.92,   25.42,   25.11,   24.04,   24.22,   23.27,   22.54,   22.42,   23.62,   24.30,   24.38,   23.99,   23.93
5.05777,9.22895,T2M,1998,   24.72,   27.08,   27.87,   26.13,   25.37,   24.28,   22.92,   22.84,   23.09,   23.64,   24.50,   24.19,   24.70
5.05777,9.22895,T2M,1999,   24.47,   24.87,   25.10,   24.68,   24.65,   23.95,   22.73,   22.77,   22.92,   23.04,   24.00,   24.12,   23.93
5.05777,9.22895,T2M,2000,   24.90,   25.52,   26.32,   25.04,   24.94,   23.44,   22.53,   22.44,   22.89,   23.25,   24.11,   23.46,   24.06
5.05777,9.22895,T2M,2001,   23.48,   24.08,   24.81,   24.76,   24.67,   23.23,   22.36,   22.35,   22.78,   23.91,   24.06,   24.00,   23.71
5.05777,9.22895,T2M,2002,   23.97,   25.56,   25.99,   25.07,   24.91,   23.72,   23.24,   22.69,   23.46,   23.63,   24.06,   24.01,   24.18
5.05777,9.22895,T2M,2003,   24.39,   25.29,   24.97,   24.91,   24.78,   23.50,   22.94,   22.98,   23.32,   24.20,   24.40,   23.81,   24.12
5.05777,9.22895,T2M,2004,   24.35,   25.52,   26.49,   25.31,   24.65,   23.60,   23.00,   22.91,   23.57,   24.02,   24.09,   24.20,   24.31
5.05777,9.22895,T2M,2005,   24.10,   25.76,   25.40,   25.36,   24.57,   23.88,   23.38,   22.89,   23.50,   23.72,   24.56,   24.22,   24.27
5.05777,9.22895,T2M,2006,   24.82,   25.27,   24.82,   24.94,   24.44,   24.14,   23.17,   22.77,   23.23,   24.14,   24.04,   23.34,   24.08
5.05777,9.22895,T2M,2007,   24.48,   25.42,   26.25,   25.03,   25.08,   23.58,   22.97,   22.95,   23.38,   23.61,   24.11,   23.61,   24.20
5.05777,9.22895,T2M,2008,   23.63,   24.63,   25.27,   24.68,   24.51,   23.71,   22.89,   22.97,   23.57,   24.15,   24.66,   24.43,   24.09
5.05777,9.22895,T2M,2009,   24.60,   25.26,   25.38,   24.84,   24.52,   24.02,   23.28,   23.12,   23.77,   23.66,   24.49,   24.49,   24.28
5.05777,9.22895,T2M,2010,   25.00,   25.62,   25.70,   25.67,   25.16,   24.19,   23.08,   23.20,   23.27,   23.63,   24.21,   24.18,   24.40
5.05777,9.22895,T2M,2011,   24.49,   24.69,   25.27,   24.86,   24.71,   23.98,   23.17,   22.82,   23.16,   23.52,   24.20,   24.00,   24.07
5.05777,9.22895,T2M,2012,   24.79,   25.08,   25.58,   24.89,   24.17,   23.72,   22.69,   22.65,   23.17,   23.65,   24.23,   24.36,   24.08
5.05777,9.22895,T2M,2013,   24.88,   25.32,   24.89,   24.92,   24.67,   23.71,   22.67,   22.52,   23.25,   23.74,   24.34,   24.17,   24.08
5.05777,9.22895,T2M,2014,   24.61,   25.34,   25.10,   24.89,   24.78,   24.31,   23.28,   22.82,   23.05,   23.68,   24.52,   24.63,   24.24
5.05777,9.22895,T2M,2015,   24.58,   25.44,   25.16,   25.05,   24.93,   23.73,   23.38,   23.26,   23.59,   23.93,   24.71,   24.47,   24.34
5.05777,9.22895,T2M,2016,   25.68,   27.51,   25.74,   25.46,   24.90,   23.78,   23.11,   23.07,   23.34,   24.18,   25.09,   24.98,   24.73
5.05777,9.22895,T2M,2017,   24.91,   25.82,   25.74,   25.26,   25.13,   24.43,   23.30,   23.05,   23.48,   24.07,   24.42,   24.77,   24.52
5.05777,9.22895,T2M,2018,   24.47,   25.70,   24.87,   24.74,   24.75,   23.99,   23.40,   23.23,   23.77,   24.08,   24.99,   24.75,   24.39
5.05777,9.22895,T2M,2019,   25.02,   25.53,   25.58,   26.33,   25.39,   24.24,   23.60,   23.30,   23.67,   23.51,   25.02,   25.10,   24.68
5.05777,9.22895,RH2M,1981,   75.46,   72.34,   83.54,   87.59,   91.46,   90.77,   92.80,   90.83,   92.51,   92.21,   88.26,   80.78,   86.63
5.05777,9.22895,RH2M,1982,   81.89,   75.34,   87.08,   90.43,   91.82,   93.04,   93.35,   92.66,   92.98,   93.29,   86.34,   83.05,   88.52
5.05777,9.22895,RH2M,1983,   67.17,   66.19,   56.25,   82.97,   91.48,   92.22,   92.33,   92.37,   92.21,   91.52,   87.95,   83.84,   83.12
5.05777,9.22895,RH2M,1984,   71.85,   82.60,   86.66,   90.01,   90.59,   91.23,   91.88,   92.46,   90.77,   91.79,   87.68,   77.34,   87.07
5.05777,9.22895,RH2M,1985,   80.34,   58.02,   79.04,   88.89,   92.08,   91.58,   91.40,   92.26,   91.73,   89.71,   88.45,   79.81,   85.45
5.05777,9.22895,RH2M,1986,   75.40,   80.40,   84.88,   88.85,   90.04,   90.00,   91.33,   91.87,   92.03,   92.15,   90.10,   80.36,   87.31
5.05777,9.22895,RH2M,1987,   77.34,   86.18,   86.62,   87.77,   90.72,   91.09,   92.79,   93.30,   91.67,   92.12,   85.98,   79.03,   87.89
5.05777,9.22895,RH2M,1988,   80.04,   76.88,   86.50,   89.93,   89.89,   91.69,   92.54,   91.65,   93.17,   92.55,   87.19,   83.49,   87.99
5.05777,9.22895,RH2M,1989,   68.37,   59.90,   77.82,   87.89,   89.89,   91.70,   92.56,   93.38,   92.79,   92.14,   86.48,   78.20,   84.40
5.05777,9.22895,RH2M,1990,   79.81,   65.19,   63.25,   82.70,   89.78,   91.23,   91.77,   90.67,   91.80,   90.34,   89.41,   87.98,   84.61
