-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  42.2277   Longitude 13.855 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 858.88 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
42.22769,13.85499,T2M,1981,   -1.39,    1.15,    6.95,    9.24,   12.97,   18.37,   19.35,   20.55,   16.78,   12.71,    5.04,    3.25,   10.47
42.22769,13.85499,T2M,1982,    3.31,    1.72,    4.08,    7.75,   13.65,   20.24,   22.52,   20.44,   18.46,   11.45,    7.50,    4.10,   11.32
42.22769,13.85499,T2M,1983,    3.47,    0.54,    5.80,    9.32,   13.95,   16.97,   22.98,   19.90,   16.72,   11.59,    6.39,    3.33,   10.98
42.22769,13.85499,T2M,1984,    2.38,    1.31,    3.19,    7.15,   11.44,   16.76,   21.33,   18.91,   15.53,   11.57,    8.35,    4.05,   10.19
42.22769,13.85499,T2M,1985,   -0.24,    2.29,    4.45,    8.58,   13.64,   17.51,   22.52,   21.87,   18.97,   12.23,    6.40,    5.16,   11.17
42.22769,13.85499,T2M,1986,    2.00,    0.79,    5.15,    8.46,   15.38,   15.71,   19.31,   21.62,   16.90,   12.96,    7.00,    2.19,   10.69
42.22769,13.85499,T2M,1987,    1.00,    2.42,    0.69,    8.20,   11.28,   16.94,   21.83,   21.29,   20.29,   13.38,    7.07,    4.79,   10.81
42.22769,13.85499,T2M,1988,    4.20,    2.51,    4.25,    8.94,   13.98,   16.90,   23.49,   22.46,   16.54,   13.97,    4.03,    2.38,   11.18
42.22769,13.85499,T2M,1989,    2.79,    4.66,    7.94,    8.87,   12.40,   15.64,   20.04,   20.45,   16.24,   10.33,    5.52,    3.89,   10.77
42.22769,13.85499,T2M,1990,    3.18,    6.03,    7.57,    7.73,   13.69,   18.27,   21.39,   20.27,   16.31,   13.73,    6.73,    1.41,   11.39
42.22769,13.85499,T2M,1991,    2.16,    1.25,    7.00,    6.36,    8.97,   16.95,   20.86,   20.99,   17.52,   10.45,    6.19,    0.41,    9.98
42.22769,13.85499,T2M,1992,    2.18,    2.68,    5.33,    8.29,   13.19,   15.37,   19.30,   23.19,   17.71,   12.02,    8.66,    3.86,   11.01
42.22769,13.85499,T2M,1993,    2.21,    1.27,    4.00,    8.94,   14.68,   19.03,   21.12,   23.35,   16.39,   12.56,    5.94,    4.55,   11.24
42.22769,13.85499,T2M,1994,    3.42,    2.63,    8.23,    7.53,   14.04,   17.90,   21.89,   23.80,   18.39,   11.97,    8.53,    4.61,   11.98
42.22769,13.85499,T2M,1995,    1.10,    4.83,    3.79,    8.03,   12.89,   16.67,   22.18,   18.73,   14.60,   12.63,    4.96,    5.28,   10.52
42.22769,13.85499,T2M,1996,    3.89,    1.17,    3.71,    8.70,   13.24,   17.90,   19.64,   20.02,   13.19,   10.12,    7.37,    3.51,   10.24
42.22769,13.85499,T2M,1997,    4.44,    3.86,    5.70,    5.41,   14.31,   19.44,   20.74,   19.91,   17.95,   11.65,    7.45,    3.97,   11.28
42.22769,13.85499,T2M,1998,    3.37,    5.11,    4.01,    9.14,   13.31,   20.24,   23.47,   22.27,   15.71,   11.32,    5.12,    1.95,   11.29
42.22769,13.85499,T2M,1999,    2.54,    0.75,    5.06,    8.41,   14.91,   17.97,   19.32,   21.84,   17.26,   13.00,    6.08,    2.88,   10.90
42.22769,13.85499,T2M,2000,    1.27,    2.91,    5.35,    9.90,   15.43,   19.06,   19.99,   22.56,   16.38,   12.18,    8.20,    5.32,   11.57
42.22769,13.85499,T2M,2001,    4.05,    3.00,    8.43,    7.57,   14.31,   17.27,   21.36,   22.96,   15.08,   14.70,    6.21,    0.23,   11.33
42.22769,13.85499,T2M,2002,    0.88,    5.19,    7.08,    9.08,   14.29,   20.23,   20.93,   19.70,   14.63,   11.70,    8.85,    4.82,   11.48
42.22769,13.85499,T2M,2003,    2.75,   -0.73,    5.20,    7.90,   16.23,   22.21,   23.46,   24.12,   15.88,   11.48,    8.45,    3.52,   11.79
42.22769,13.85499,T2M,2004,    1.41,    3.51,    4.61,    8.74,   10.91,   17.37,   21.33,   21.49,   16.85,   14.56,    7.09,    5.28,   11.12
42.22769,13.85499,T2M,2005,    1.03,   -0.98,    4.79,    8.25,   14.35,   18.08,   21.68,   19.03,   16.43,   11.80,    6.53,    2.15,   10.33
42.22769,13.85499,T2M,2006,    0.92,    2.24,    4.19,   10.01,   14.21,   17.97,   21.65,   19.41,   17.48,   13.30,    7.55,    4.75,   11.19
42.22769,13.85499,T2M,2007,    5.03,    5.05,    6.52,   11.39,   14.87,   19.32,   23.52,   21.78,   15.26,   11.20,    5.15,    2.42,   11.84
42.22769,13.85499,T2M,2008,    3.76,    3.59,    5.88,    8.69,   13.91,   19.03,   22.22,   23.33,   16.06,   13.15,    7.55,    3.30,   11.74
42.22769,13.85499,T2M,2009,    2.74,    1.36,    4.86,    9.76,   15.85,   17.31,   22.09,   22.84,   16.96,   10.69,    7.80,    3.69,   11.39
42.22769,13.85499,T2M,2010,    1.68,    2.70,    5.23,    9.01,   12.28,   17.29,   22.12,   21.61,   15.80,   10.82,    7.64,    2.27,   10.75
42.22769,13.85499,T2M,2011,    2.55,    3.18,    4.99,    9.89,   13.31,   18.39,   20.42,   23.02,   20.00,   11.56,    7.51,    4.26,   11.63
42.22769,13.85499,T2M,2012,    1.91,   -0.63,    7.54,    9.11,   13.27,   21.30,   23.74,   23.98,   16.83,   13.20,    9.11,    2.40,   11.86
42.22769,13.85499,T2M,2013,    2.68,    1.46,    5.35,   10.47,   12.25,   16.85,   21.13,   22.17,   17.40,   14.05,    7.79,    4.23,   11.38
42.22769,13.85499,T2M,2014,    4.82,    5.70,    6.33,    9.28,   12.20,   17.49,   18.89,   20.82,   16.34,   13.45,    9.71,    4.11,   11.63
42.22769,13.85499,T2M,2015,    2.70,    2.25,    5.17,    8.71,   14.42,   18.37,   24.71,   21.91,   17.14,   11.97,    8.47,    5.27,   11.82
42.22769,13.85499,T2M,2016,    3.63,    5.65,    5.55,   10.99,   12.69,   17.92,   22.48,   20.65,   16.54,   11.68,    7.54,    3.98,   11.62
