-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  40.5006   Longitude 16.082 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 378.65 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
40.50058,16.08196,T2M,1981,    2.91,    4.98,   10.06,   12.36,   16.80,   22.88,   23.53,   24.52,   20.97,   17.19,    8.50,    7.06,   14.37
40.50058,16.08196,T2M,1982,    6.99,    4.95,    7.59,   11.14,   17.01,   24.06,   25.93,   24.75,   22.41,   15.90,   10.93,    7.63,   15.00
40.50058,16.08196,T2M,1983,    5.94,    4.40,    8.73,   13.41,   18.61,   20.59,   26.05,   23.97,   20.82,   15.31,    9.54,    6.70,   14.57
40.50058,16.08196,T2M,1984,    6.12,    5.48,    6.94,   10.26,   15.72,   20.41,   24.65,   23.23,   19.70,   15.70,   11.32,    7.24,   13.93
40.50058,16.08196,T2M,1985,    3.95,    5.16,    8.32,   12.01,   17.51,   21.72,   25.98,   25.59,   21.74,   15.55,   11.06,    8.13,   14.79
40.50058,16.08196,T2M,1986,    5.71,    5.55,    9.28,   12.86,   19.50,   20.91,   24.06,   26.21,   21.32,   16.22,   10.77,    5.75,   14.90
40.50058,16.08196,T2M,1987,    5.43,    6.73,    4.86,   11.94,   15.28,   21.79,   26.59,   25.68,   24.12,   17.37,   10.80,    7.68,   14.90
40.50058,16.08196,T2M,1988,    7.93,    6.27,    8.11,   12.53,   18.38,   22.16,   28.64,   26.86,   20.34,   16.56,    7.74,    5.74,   15.15
40.50058,16.08196,T2M,1989,    5.73,    7.57,   10.97,   13.26,   16.16,   20.07,   24.69,   24.37,   20.47,   13.66,    9.19,    6.99,   14.47
40.50058,16.08196,T2M,1990,    5.89,    8.83,   10.81,   12.00,   17.78,   22.65,   25.76,   23.90,   20.60,   17.81,   11.07,    5.32,   15.24
40.50058,16.08196,T2M,1991,    5.09,    5.04,   10.64,    9.64,   13.25,   22.21,   25.03,   24.76,   21.50,   15.38,   10.28,    3.28,   13.89
40.50058,16.08196,T2M,1992,    5.31,    5.53,    8.73,   12.66,   17.28,   20.73,   23.66,   27.11,   21.44,   16.69,   12.04,    6.86,   14.87
40.50058,16.08196,T2M,1993,    5.12,    4.00,    7.43,   12.11,   18.17,   23.01,   25.61,   27.11,   21.12,   17.46,   10.42,    8.53,   15.08
40.50058,16.08196,T2M,1994,    7.15,    6.67,   10.51,   11.73,   18.36,   22.30,   25.68,   27.92,   23.46,   16.13,   11.48,    7.65,   15.81
40.50058,16.08196,T2M,1995,    5.19,    8.20,    7.34,   11.10,   16.98,   21.88,   25.70,   22.76,   18.93,   15.44,    8.54,    9.17,   14.31
40.50058,16.08196,T2M,1996,    7.15,    4.81,    6.85,   11.26,   17.10,   22.12,   24.22,   25.06,   17.63,   13.66,   11.27,    7.47,   14.08
40.50058,16.08196,T2M,1997,    7.38,    6.60,    8.18,    8.73,   18.42,   24.42,   25.31,   23.55,   21.02,   15.03,   11.42,    7.51,   14.85
40.50058,16.08196,T2M,1998,    6.53,    7.79,    6.59,   12.36,   16.41,   24.05,   27.30,   26.87,   20.33,   15.95,    9.26,    5.05,   14.91
40.50058,16.08196,T2M,1999,    6.03,    4.71,    8.99,   12.32,   19.41,   23.53,   24.59,   27.18,   21.37,   17.12,   10.86,    7.74,   15.39
40.50058,16.08196,T2M,2000,    4.52,    6.15,    8.96,   14.05,   19.91,   23.55,   25.69,   27.01,   20.84,   16.11,   12.35,    8.61,   15.67
40.50058,16.08196,T2M,2001,    7.80,    6.78,   12.18,   11.51,   18.72,   22.23,   26.02,   26.58,   20.02,   18.46,   10.46,    3.94,   15.46
40.50058,16.08196,T2M,2002,    4.22,    8.85,   10.96,   12.64,   18.14,   23.83,   25.73,   23.88,   18.73,   15.35,   12.72,    8.45,   15.33
40.50058,16.08196,T2M,2003,    7.32,    3.39,    7.72,   11.33,   19.84,   25.70,   27.36,   27.63,   19.76,   15.83,   11.76,    7.16,   15.48
40.50058,16.08196,T2M,2004,    4.99,    6.43,    8.04,   12.47,   14.65,   21.31,   25.47,   25.32,   20.86,   18.76,   10.88,    9.09,   14.88
40.50058,16.08196,T2M,2005,    4.77,    3.78,    8.39,   11.47,   18.06,   22.16,   26.22,   24.22,   20.34,   14.93,   10.46,    6.24,   14.32
40.50058,16.08196,T2M,2006,    4.63,    5.77,    8.08,   12.98,   17.87,   21.99,   24.57,   24.15,   20.85,   16.95,   10.32,    7.94,   14.73
40.50058,16.08196,T2M,2007,    7.79,    8.27,    9.91,   13.62,   18.36,   23.95,   27.60,   26.84,   19.31,   15.00,    9.35,    5.98,   15.55
40.50058,16.08196,T2M,2008,    6.95,    6.47,    9.77,   12.39,   17.85,   22.99,   26.30,   27.17,   20.05,   16.51,   11.51,    7.22,   15.47
40.50058,16.08196,T2M,2009,    7.10,    4.86,    8.14,   12.69,   18.83,   21.87,   25.75,   26.61,   21.18,   14.69,   10.93,    8.12,   15.13
40.50058,16.08196,T2M,2010,    5.70,    6.69,    8.93,   12.32,   16.42,   21.44,   25.19,   25.91,   19.67,   14.71,   11.60,    6.23,   14.61
40.50058,16.08196,T2M,2011,    6.02,    6.27,    8.30,   12.54,   16.27,   22.01,   25.16,   26.98,   23.89,   15.17,   11.15,    7.69,   15.17
40.50058,16.08196,T2M,2012,    4.86,    4.60,   10.49,   12.70,   17.07,   25.42,   28.10,   27.82,   22.13,   17.38,   13.08,    6.42,   15.87
40.50058,16.08196,T2M,2013,    6.35,    5.54,    9.03,   13.39,   17.10,   21.57,   24.76,   26.09,   21.17,   17.46,   11.94,    7.39,   15.21
40.50058,16.08196,T2M,2014,    7.92,    9.06,    9.53,   12.12,   15.89,   21.94,   23.63,   25.77,   20.05,   16.58,   12.82,    7.47,   15.27
40.50058,16.08196,T2M,2015,    6.08,    5.93,    8.68,   11.77,   18.24,   21.84,   28.17,   26.27,   22.43,   16.23,   11.54,    7.77,   15.48
40.50058,16.08196,T2M,2016,    6.71,    9.41,    9.11,   14.62,   16.43,   21.80,   26.14,   24.55,   19.57,   15.77,   11.44,    6.32,   15.17
40.50058,16.08196,T2M,2017,    3.39,    8.13,   10.45,   12.82,   18.49,   25.33,   27.55,   28.04,   20.14,   15.78,   10.39,    6.04,   15.59
40.50058,16.08196,T2M,2018,    7.78,    6.15,    9.39,   15.64,   19.01,   22.23,   26.23,   25.16,   21.79,   17.02,   12.05,    7.46,   15.88
40.50058,16.08196,T2M,2019,    4.25,    6.53,   10.52,   13.24,   15.16,   25.54,   26.83,   27.99,   22.38,   18.37,   13.02,    8.65,   16.09
40.50058,16.08196,RH2M,1981,   79.46,   82.17,   79.47,   71.83,   61.43,   47.52,   45.12,   48.14,   60.02,   65.85,   72.32,   82.10,   66.19
