-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  40.8607   Longitude 14.844 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 295.73 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
40.86068,14.84399,T2M,1981,    5.01,    6.38,   10.93,   13.28,   16.39,   21.53,   22.68,   23.98,   20.95,   17.55,   10.19,    9.24,   14.89
40.86068,14.84399,T2M,1982,    8.79,    6.67,    8.68,   12.12,   16.96,   22.30,   25.15,   24.15,   22.57,   16.85,   12.68,    9.56,   15.59
40.86068,14.84399,T2M,1983,    8.10,    6.35,    9.80,   13.14,   17.16,   20.41,   25.68,   24.00,   20.96,   16.13,   11.68,    8.85,   15.25
40.86068,14.84399,T2M,1984,    8.18,    7.04,    8.39,   11.53,   15.63,   19.24,   23.58,   22.80,   19.65,   16.53,   13.55,    9.40,   14.65
40.86068,14.84399,T2M,1985,    5.99,    7.25,    9.47,   12.53,   17.15,   20.63,   24.78,   24.33,   22.27,   16.92,   12.68,   10.35,   15.41
40.86068,14.84399,T2M,1986,    8.04,    7.07,   10.13,   12.90,   18.65,   19.98,   23.66,   25.23,   21.34,   17.73,   12.47,    7.88,   15.48
40.86068,14.84399,T2M,1987,    7.17,    7.90,    6.14,   12.28,   14.82,   20.76,   25.16,   24.75,   23.95,   18.28,   12.63,    9.86,   15.35
40.86068,14.84399,T2M,1988,    9.72,    7.96,    9.20,   13.00,   17.79,   20.84,   26.57,   25.64,   20.43,   17.94,    9.73,    7.68,   15.58
40.86068,14.84399,T2M,1989,    7.60,    8.88,   11.95,   13.27,   16.15,   19.45,   24.19,   24.30,   20.60,   15.32,   11.11,    9.19,   15.21
40.86068,14.84399,T2M,1990,    8.05,   10.56,   11.56,   12.38,   17.21,   21.37,   24.45,   23.76,   20.45,   18.61,   12.45,    7.46,   15.73
40.86068,14.84399,T2M,1991,    7.17,    6.82,   11.68,   10.96,   13.52,   20.34,   24.11,   24.72,   21.91,   16.29,   11.91,    5.27,   14.60
40.86068,14.84399,T2M,1992,    7.43,    7.42,    9.99,   12.58,   17.38,   20.12,   23.32,   26.02,   21.61,   17.44,   13.68,    9.14,   15.54
40.86068,14.84399,T2M,1993,    7.36,    5.97,    8.63,   12.82,   18.05,   22.05,   23.64,   26.12,   21.17,   17.90,   11.93,   10.44,   15.57
