-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  40.0616   Longitude 9.0978 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 480.22 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
40.06161,9.09776,T2M,1981,    4.59,    5.31,   10.59,   12.77,   15.36,   21.08,   22.03,   23.27,   20.63,   16.29,    9.99,    8.53,   14.26
40.06161,9.09776,T2M,1982,    8.68,    7.33,    7.89,   11.44,   16.67,   22.63,   26.54,   24.18,   21.15,   15.43,   11.53,    7.54,   15.13
40.06161,9.09776,T2M,1983,    6.45,    5.22,    9.17,   12.48,   16.46,   21.26,   27.32,   23.28,   20.45,   15.41,   11.87,    7.73,   14.82
40.06161,9.09776,T2M,1984,    6.44,    5.81,    7.55,   10.86,   13.74,   19.41,   24.26,   21.99,   18.32,   14.84,   12.30,    7.67,   13.62
40.06161,9.09776,T2M,1985,    4.21,    8.47,    7.52,   11.82,   15.32,   20.18,   25.76,   23.63,   21.40,   15.95,   10.08,    8.41,   14.43
40.06161,9.09776,T2M,1986,    6.15,    5.85,    8.98,   11.11,   18.40,   19.56,   23.28,   24.73,   20.70,   16.54,   11.14,    6.87,   14.50
40.06161,9.09776,T2M,1987,    5.85,    6.99,    6.50,   12.28,   14.84,   20.20,   24.85,   25.25,   23.46,   17.57,   11.07,    9.49,   14.91
40.06161,9.09776,T2M,1988,    8.27,    6.57,    8.37,   12.48,   16.80,   20.15,   25.29,   24.51,   19.38,   17.17,    9.75,    6.80,   14.66
40.06161,9.09776,T2M,1989,    6.57,    7.64,   11.22,   11.44,   16.17,   20.16,   24.32,   24.63,   19.32,   14.60,   11.19,    9.40,   14.77
40.06161,9.09776,T2M,1990,    7.07,   10.23,   10.12,   11.01,   16.82,   21.16,   23.91,   23.19,   20.36,   17.73,   10.08,    5.42,   14.79
40.06161,9.09776,T2M,1991,    6.08,    6.17,   10.61,    9.71,   12.75,   19.61,   24.85,   24.82,   21.37,   14.87,   10.03,    5.88,   13.95
