-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  37.5878   Longitude 14.1551 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 440.05 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
37.5878,14.15506,T2M,1981,    6.21,    7.29,   11.43,   14.39,   17.35,   23.66,   23.94,   25.36,   22.60,   19.08,   11.43,    9.92,   16.11
37.5878,14.15506,T2M,1982,    9.81,    7.95,    9.11,   12.38,   17.04,   23.83,   27.00,   26.06,   23.73,   17.93,   12.66,    8.84,   16.41
37.5878,14.15506,T2M,1983,    8.18,    7.06,   10.03,   13.97,   18.29,   21.98,   27.13,   25.44,   21.83,   17.10,   13.38,    8.96,   16.17
37.5878,14.15506,T2M,1984,    8.51,    7.86,    9.04,   11.92,   17.18,   21.61,   25.40,   24.62,   20.83,   17.46,   13.95,    9.72,   15.70
37.5878,14.15506,T2M,1985,    7.13,    9.10,    9.57,   12.97,   17.41,   22.76,   26.22,   25.41,   22.51,   17.07,   13.49,   10.48,   16.22
37.5878,14.15506,T2M,1986,    8.09,    8.03,   10.31,   12.97,   19.25,   21.44,   24.92,   26.91,   22.21,   18.25,   12.81,    8.64,   16.21
37.5878,14.15506,T2M,1987,    7.82,    8.59,    7.27,   12.33,   15.39,   21.68,   27.13,   26.84,   25.02,   19.62,   13.14,   11.12,   16.37
37.5878,14.15506,T2M,1988,    9.94,    8.58,   10.01,   14.28,   19.32,   22.96,   28.13,   26.82,   21.45,   18.60,   11.76,    8.46,   16.73
37.5878,14.15506,T2M,1989,    8.19,    8.90,   11.47,   13.58,   16.84,   21.20,   25.41,   25.72,   22.23,   15.80,   12.95,   10.94,   16.15
37.5878,14.15506,T2M,1990,    8.76,   10.84,   11.44,   12.80,   17.90,   23.16,   25.69,   24.97,   22.81,   19.77,   13.25,    8.46,   16.69
37.5878,14.15506,T2M,1991,    8.01,    7.79,   11.94,   11.37,   14.25,   21.80,   25.34,   25.84,   22.50,   18.12,   12.17,    6.95,   15.55
37.5878,14.15506,T2M,1992,    8.12,    7.57,    9.84,   12.64,   16.94,   20.39,   23.51,   25.91,   22.20,   18.32,   14.40,   10.13,   15.86
37.5878,14.15506,T2M,1993,    7.90,    6.75,    9.13,   13.08,   18.48,   23.08,   25.52,   27.22,   22.76,   18.66,   12.90,   10.10,   16.36
37.5878,14.15506,T2M,1994,    9.18,    9.05,   11.74,   12.25,   19.30,   22.23,   25.80,   28.26,   23.54,   18.57,   14.09,   10.06,   17.06
37.5878,14.15506,T2M,1995,    7.19,   10.04,    9.02,   11.86,   17.27,   22.26,   26.07,   24.90,   21.06,   17.20,   11.94,   11.01,   15.86
37.5878,14.15506,T2M,1996,    9.61,    7.76,    9.22,   11.85,   16.67,   21.00,   24.51,   25.59,   19.71,   15.31,   12.98,   10.19,   15.40
37.5878,14.15506,T2M,1997,    9.60,    8.91,    9.85,   10.85,   18.59,   24.10,   25.40,   24.21,   21.17,   17.24,   13.19,    9.87,   16.13
37.5878,14.15506,T2M,1998,    8.59,    9.06,    8.72,   13.31,   16.81,   23.91,   26.77,   25.98,   21.33,   17.19,   11.34,    7.80,   15.94
37.5878,14.15506,T2M,1999,    7.81,    6.82,    9.92,   12.55,   19.68,   23.98,   24.69,   27.98,   22.87,   19.19,   13.59,    9.68,   16.62
37.5878,14.15506,T2M,2000,    6.70,    7.80,   10.61,   13.26,   19.12,   22.63,   25.48,   26.58,   21.68,   17.27,   14.18,   11.01,   16.39
37.5878,14.15506,T2M,2001,    9.61,    8.52,   12.58,   12.49,   18.28,   22.26,   25.84,   26.28,   21.96,   20.29,   13.11,    7.74,   16.64
37.5878,14.15506,T2M,2002,    6.88,   10.01,   11.66,   13.46,   17.68,   23.84,   25.63,   24.98,   20.63,   17.27,   14.37,    9.97,   16.40
37.5878,14.15506,T2M,2003,    8.86,    5.76,    9.35,   12.61,   19.01,   25.11,   27.66,   27.60,   21.70,   18.71,   14.15,    9.63,   16.75
37.5878,14.15506,T2M,2004,    7.35,    8.54,    9.84,   12.84,   15.10,   21.63,   25.37,   25.89,   21.61,   19.75,   13.23,   10.94,   16.03
37.5878,14.15506,T2M,2005,    6.77,    6.06,    9.77,   12.00,   17.96,   21.90,   25.53,   24.39,   21.78,   17.65,   13.04,    8.60,   15.51
37.5878,14.15506,T2M,2006,    6.99,    7.96,    9.81,   13.53,   18.83,   22.84,   25.69,   25.24,   21.79,   18.52,   13.12,   11.00,   16.33
37.5878,14.15506,T2M,2007,    9.65,    9.47,   10.81,   14.11,   17.71,   23.81,   26.23,   26.52,   21.66,   17.61,   12.39,    9.03,   16.63
37.5878,14.15506,T2M,2008,    9.02,    8.18,   10.27,   13.05,   18.15,   22.72,   26.10,   26.49,   22.05,   17.87,   13.40,    9.56,   16.43
37.5878,14.15506,T2M,2009,    9.02,    6.66,    9.55,   12.60,   18.09,   21.58,   26.04,   26.74,   21.84,   16.28,   13.04,   10.16,   16.03
37.5878,14.15506,T2M,2010,    8.15,    8.54,   10.15,   13.32,   16.12,   20.97,   25.89,   26.00,   20.87,   16.89,   13.39,    9.33,   15.85
37.5878,14.15506,T2M,2011,    8.60,    7.79,    9.66,   13.43,   16.22,   21.19,   25.40,   26.26,   23.36,   16.59,   13.44,    9.76,   16.02
37.5878,14.15506,T2M,2012,    7.43,    6.22,   10.41,   13.36,   16.43,   24.01,   26.93,   27.63,   22.44,   19.03,   14.63,    8.95,   16.49
37.5878,14.15506,T2M,2013,    8.39,    7.00,   10.73,   14.03,   17.01,   21.27,   24.98,   26.04,   21.81,   19.65,   13.03,    9.62,   16.19
37.5878,14.15506,T2M,2014,    9.37,    9.84,    9.98,   13.02,   16.62,   22.37,   24.48,   25.92,   22.53,   18.65,   14.83,    9.95,   16.50
37.5878,14.15506,T2M,2015,    8.47,    7.40,    9.91,   12.75,   18.14,   21.97,   27.27,   26.04,   22.98,   18.22,   13.64,   10.17,   16.47
37.5878,14.15506,T2M,2016,    8.97,   10.67,   10.00,   15.15,   17.26,   22.39,   26.13,   24.97,   21.38,   19.01,   13.96,    9.69,   16.65
37.5878,14.15506,T2M,2017,    6.45,    9.61,   10.84,   13.14,   18.46,   24.72,   26.62,   27.83,   21.32,   17.00,   12.48,    8.01,   16.41
37.5878,14.15506,T2M,2018,    9.53,    7.85,   10.81,   14.81,   18.44,   22.01,   26.08,   24.74,   22.69,   17.72,   13.85,    9.87,   16.59
37.5878,14.15506,T2M,2019,    6.46,    8.05,   10.91,   12.87,   14.97,   25.20,   26.94,   27.37,   22.79,   19.31,   13.49,   11.02,   16.66
37.5878,14.15506,RH2M,1981,   76.99,   78.86,   75.23,   64.42,   58.05,   47.47,   51.34,   49.08,   59.08,   62.58,   71.94,   83.62,   64.82
37.5878,14.15506,RH2M,1982,   83.94,   77.93,   76.36,   74.91,   66.40,   52.35,   44.75,   48.50,   55.74,   72.33,   83.28,   85.43,   68.44
37.5878,14.15506,RH2M,1983,   84.79,   78.72,   78.96,   65.49,   55.26,   50.58,   41.39,   54.07,   59.49,   71.15,   80.84,   85.89,   67.16
37.5878,14.15506,RH2M,1984,   82.65,   80.12,   75.76,   70.04,   56.70,   47.33,   41.28,   50.91,   62.72,   74.24,   76.87,   85.35,   66.96
37.5878,14.15506,RH2M,1985,   85.49,   82.88,   80.23,   74.14,   66.59,   52.90,   45.30,   46.98,   58.58,   69.31,   80.81,   84.07,   68.85
37.5878,14.15506,RH2M,1986,   79.38,   83.15,   81.31,   69.79,   59.23,   53.99,   51.14,   48.04,   60.39,   69.57,   81.99,   80.82,   68.13
37.5878,14.15506,RH2M,1987,   81.98,   82.59,   73.82,   67.89,   64.67,   53.01,   43.70,   50.19,   54.36,   70.45,   76.80,   83.28,   66.81
37.5878,14.15506,RH2M,1988,   85.18,   76.54,   75.61,   66.95,   55.79,   50.68,   41.87,   47.48,   62.90,   72.03,   79.35,   82.67,   66.38
37.5878,14.15506,RH2M,1989,   82.24,   78.50,   71.05,   64.47,   60.76,   52.09,   49.48,   51.55,   62.31,   72.44,   81.21,   85.72,   67.59
37.5878,14.15506,RH2M,1990,   84.83,   79.74,   71.04,   72.83,   62.54,   50.92,   47.70,   53.58,   59.02,   73.97,   77.47,   83.08,   68.00
37.5878,14.15506,RH2M,1991,   82.98,   82.01,   79.14,   74.12,   64.80,   54.47,   48.23,   52.01,   67.61,   74.00,   80.04,   79.45,   69.81
37.5878,14.15506,RH2M,1992,   83.40,   80.57,   78.18,   72.93,   65.57,   60.01,   59.48,   54.99,   59.85,   74.02,   79.67,   85.32,   71.15
37.5878,14.15506,RH2M,1993,   83.77,   78.12,   73.18,   67.73,   61.46,   52.12,   45.92,   44.94,   57.55,   73.44,   82.43,   86.09,   67.16
37.5878,14.15506,RH2M,1994,   84.90,   83.20,   72.24,   72.75,   56.64,   52.82,   52.16,   45.77,   60.06,   72.93,   80.31,   84.96,   68.12
37.5878,14.15506,RH2M,1995,   85.36,   83.01,   77.15,   71.25,   60.82,   55.77,   50.40,   59.25,   67.28,   71.21,   79.65,   88.85,   70.76
37.5878,14.15506,RH2M,1996,   85.50,   85.53,   83.54,   77.58,   73.78,   64.30,   51.19,   57.44,   67.99,   77.77,   80.63,   85.65,   74.20
37.5878,14.15506,RH2M,1997,   87.07,   79.29,   75.52,   71.87,   57.93,   52.61,   48.41,   59.19,   71.95,   79.73,   87.55,   87.76,   71.52
37.5878,14.15506,RH2M,1998,   86.80,   80.86,   74.53,   75.04,   67.82,   47.40,   44.35,   53.71,   65.50,   78.10,   79.81,   83.32,   69.71
37.5878,14.15506,RH2M,1999,   83.06,   80.33,   76.88,   71.88,   59.39,   48.49,   51.76,   45.59,   64.02,   68.51,   78.94,   85.34,   67.77
37.5878,14.15506,RH2M,2000,   83.64,   79.91,   78.31,   74.17,   65.09,   55.83,   45.86,   45.75,   63.89,   74.64,   80.32,   85.85,   69.39
37.5878,14.15506,RH2M,2001,   87.60,   81.35,   77.14,   71.92,   63.12,   51.06,   46.97,   50.57,   60.43,   64.07,   77.78,   81.40,   67.70
37.5878,14.15506,RH2M,2002,   81.88,   82.37,   71.40,   69.54,   63.60,   50.69,   50.89,   54.45,   67.29,   73.83,   81.50,   88.04,   69.54
37.5878,14.15506,RH2M,2003,   85.25,   80.05,   76.42,   76.77,   62.29,   53.41,   45.86,   48.56,   69.33,   77.86,   85.17,   85.81,   70.48
37.5878,14.15506,RH2M,2004,   84.15,   84.49,   82.81,   80.40,   73.04,   61.70,   52.36,   51.37,   63.16,   67.89,   81.95,   86.37,   72.42
37.5878,14.15506,RH2M,2005,   84.56,   83.43,   76.68,   79.28,   68.66,   63.76,   51.75,   55.94,   66.21,   76.80,   79.38,   83.39,   72.40
37.5878,14.15506,RH2M,2006,   85.72,   82.86,   80.13,   73.47,   61.53,   50.58,   55.27,   51.42,   63.33,   70.63,   75.88,   83.63,   69.47
