-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  39.6134   Longitude 2.8804 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 38.48 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
39.61341,2.88044,T2M,1981,   11.20,   10.92,   13.98,   15.01,   17.66,   21.78,   23.30,   25.10,   23.87,   20.64,   17.05,   14.66,   17.97
39.61341,2.88044,T2M,1982,   13.30,   12.27,   12.62,   14.63,   17.43,   22.49,   26.30,   25.18,   23.04,   20.03,   16.16,   13.13,   18.09
39.61341,2.88044,T2M,1983,   11.89,   10.52,   12.98,   14.67,   17.51,   21.60,   26.01,   25.04,   23.66,   20.61,   17.39,   13.56,   18.00
39.61341,2.88044,T2M,1984,   12.08,   11.39,   11.83,   14.86,   15.91,   20.03,   24.26,   24.44,   22.15,   18.91,   16.99,   13.28,   17.19
39.61341,2.88044,T2M,1985,    9.92,   12.76,   12.11,   15.38,   16.74,   21.36,   25.54,   24.97,   24.28,   21.05,   15.24,   13.57,   17.77
39.61341,2.88044,T2M,1986,   11.88,   11.12,   12.84,   13.42,   18.92,   21.23,   24.59,   25.85,   23.94,   20.75,   16.80,   13.47,   17.95
39.61341,2.88044,T2M,1987,   11.37,   11.52,   12.35,   14.86,   17.08,   21.34,   25.01,   26.03,   25.52,   21.13,   16.09,   14.40,   18.10
39.61341,2.88044,T2M,1988,   13.50,   12.14,   13.02,   15.14,   18.29,   21.40,   24.55,   25.88,   23.22,   21.11,   16.62,   13.14,   18.19
39.61341,2.88044,T2M,1989,   12.52,   13.10,   14.08,   14.57,   18.30,   22.31,   25.59,   26.71,   22.84,   20.14,   17.16,   15.26,   18.59
39.61341,2.88044,T2M,1990,   13.09,   14.35,   14.06,   14.82,   19.01,   22.18,   25.10,   25.80,   24.53,   20.92,   15.83,   12.05,   18.50
39.61341,2.88044,T2M,1991,   12.09,   11.54,   13.79,   13.97,   15.94,   20.68,   25.25,   26.23,   24.83,   19.01,   15.30,   13.05,   17.68
39.61341,2.88044,T2M,1992,   11.35,   11.95,   13.15,   14.56,   18.25,   19.49,   24.03,   26.59,   23.32,   19.00,   16.45,   13.77,   17.68
39.61341,2.88044,T2M,1993,   12.28,   11.83,   13.07,   15.02,   18.18,   22.21,   23.84,   25.63,   22.83,   18.50,   15.15,   13.57,   17.71
39.61341,2.88044,T2M,1994,   12.01,   12.19,   14.41,   14.56,   18.80,   21.84,   26.32,   27.22,   23.13,   19.71,   17.69,   14.27,   18.56
39.61341,2.88044,T2M,1995,   11.91,   13.45,   13.07,   15.26,   18.24,   20.88,   25.33,   25.56,   22.06,   20.56,   17.08,   14.81,   18.22
