-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  43.263   Longitude -2.9311 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 325.25 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
43.26302,-2.93112,T2M,1981,    7.02,    6.50,   10.59,   10.81,   13.17,   16.59,   17.96,   19.54,   18.05,   14.56,   11.54,    8.84,   12.97
43.26302,-2.93112,T2M,1982,    8.60,    8.36,    8.71,   10.41,   13.67,   17.57,   19.27,   18.36,   18.50,   13.53,   10.59,    7.88,   12.98
43.26302,-2.93112,T2M,1983,    7.33,    6.25,    9.25,   10.20,   12.06,   16.89,   20.70,   19.00,   18.26,   15.02,   12.61,    8.19,   13.02
43.26302,-2.93112,T2M,1984,    7.69,    6.13,    7.07,   12.02,   10.46,   15.81,   19.21,   18.83,   16.70,   13.90,   11.11,    7.88,   12.25
43.26302,-2.93112,T2M,1985,    4.03,    9.08,    7.55,   11.19,   12.19,   16.38,   19.67,   18.60,   19.38,   15.87,    8.46,    8.49,   12.59
43.26302,-2.93112,T2M,1986,    7.45,    6.31,    8.79,    7.41,   13.96,   16.24,   18.50,   18.74,   17.97,   15.37,   10.24,    8.36,   12.49
43.26302,-2.93112,T2M,1987,    5.19,    7.09,    9.01,   12.42,   12.57,   16.01,   18.84,   20.20,   20.69,   14.82,   10.57,    9.17,   13.08
43.26302,-2.93112,T2M,1988,    9.01,    7.62,    8.67,   11.41,   14.22,   16.33,   18.40,   19.46,   17.78,   15.29,   11.18,    7.57,   13.10
43.26302,-2.93112,T2M,1989,    7.09,    8.59,   10.67,    9.39,   16.14,   17.96,   20.98,   20.79,   17.81,   15.57,   12.20,   10.84,   14.04
43.26302,-2.93112,T2M,1990,    8.11,   11.36,   10.56,   10.41,   16.23,   17.29,   21.02,   21.57,   19.50,   15.40,   10.12,    5.82,   13.97
43.26302,-2.93112,T2M,1991,    6.49,    6.60,   10.12,    9.58,   12.01,   15.82,   19.52,   21.62,   20.02,   12.67,   10.03,    7.48,   12.70
43.26302,-2.93112,T2M,1992,    5.42,    7.05,    8.64,   10.57,   15.72,   14.93,   19.52,   20.77,   17.16,   12.07,   12.01,    8.37,   12.70
43.26302,-2.93112,T2M,1993,    8.20,    6.93,    9.20,   10.79,   14.25,   17.12,   17.85,   19.42,   16.11,   12.25,    9.35,    9.24,   12.60
43.26302,-2.93112,T2M,1994,    7.38,    8.14,   10.80,    9.77,   14.42,   16.84,   20.34,   20.80,   16.52,   14.52,   12.14,    9.11,   13.44
43.26302,-2.93112,T2M,1995,    7.93,    9.26,    9.05,   10.50,   14.70,   16.52,   20.84,   20.24,   16.08,   16.80,   11.49,    8.57,   13.53
43.26302,-2.93112,T2M,1996,    9.23,    6.44,    9.17,   11.21,   13.56,   17.62,   19.24,   18.72,   16.39,   13.98,   10.52,    7.63,   12.83
43.26302,-2.93112,T2M,1997,    7.14,   10.20,   11.22,   11.97,   15.25,   16.39,   17.48,   20.93,   18.82,   16.44,   11.19,    8.59,   13.82
43.26302,-2.93112,T2M,1998,    8.13,    9.42,   10.42,   10.21,   13.94,   16.76,   18.43,   20.24,   18.18,   13.50,    9.76,    7.50,   13.06
43.26302,-2.93112,T2M,1999,    7.19,    6.92,    9.55,   11.24,   15.33,   16.47,   19.58,   20.15,   19.18,   14.74,    8.92,    8.10,   13.16
43.26302,-2.93112,T2M,2000,    5.75,    9.26,    8.99,   10.68,   15.13,   17.72,   18.80,   19.94,   18.61,   13.98,    9.95,    9.43,   13.20
