-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  41.8037   Longitude -4.7472 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 795.17 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
41.80373,-4.74716,T2M,1981,    2.56,    3.30,    8.42,    8.90,   12.15,   18.59,   19.96,   21.17,   17.86,   12.29,    9.23,    5.21,   11.68
41.80373,-4.74716,T2M,1982,    4.78,    5.35,    6.75,    9.68,   14.17,   18.67,   21.89,   20.33,   17.14,   10.70,    6.34,    3.82,   11.67
41.80373,-4.74716,T2M,1983,    3.03,    2.93,    7.97,    7.97,   10.72,   18.65,   21.76,   18.95,   19.18,   13.34,    9.71,    4.21,   11.58
41.80373,-4.74716,T2M,1984,    3.46,    3.24,    4.17,   12.41,    8.87,   17.05,   21.69,   19.46,   16.39,   11.66,    7.36,    3.94,   10.82
41.80373,-4.74716,T2M,1985,    0.61,    6.24,    5.23,   10.20,   12.13,   17.98,   22.53,   20.73,   21.06,   14.34,    5.48,    4.93,   11.81
41.80373,-4.74716,T2M,1986,    3.21,    4.07,    6.90,    6.03,   15.26,   18.87,   22.44,   20.52,   18.31,   13.51,    6.84,    3.84,   11.70
41.80373,-4.74716,T2M,1987,    2.30,    4.33,    7.96,   11.17,   13.54,   18.38,   20.95,   23.24,   21.16,   11.13,    6.94,    5.71,   12.28
41.80373,-4.74716,T2M,1988,    5.13,    4.28,    6.98,    9.47,   12.76,   15.67,   19.30,   21.09,   17.99,   12.78,    7.53,    3.04,   11.36
41.80373,-4.74716,T2M,1989,    3.01,    5.16,    8.87,    7.65,   16.15,   19.23,   23.75,   22.29,   16.49,   13.75,    8.82,    7.13,   12.75
41.80373,-4.74716,T2M,1990,    2.94,    7.59,    7.64,    8.12,   15.15,   19.03,   22.91,   22.41,   19.48,   12.02,    5.89,    1.72,   12.10
41.80373,-4.74716,T2M,1991,    1.98,    2.65,    7.33,    8.37,   12.23,   18.49,   22.14,   23.47,   19.29,    9.62,    6.21,    3.08,   11.29
41.80373,-4.74716,T2M,1992,    0.81,    3.64,    7.20,    9.94,   16.01,   14.51,   22.86,   22.42,   16.92,    9.57,    8.46,    4.42,   11.43
41.80373,-4.74716,T2M,1993,    3.21,    3.39,    6.97,    8.69,   12.80,   18.24,   20.49,   21.37,   14.19,    9.00,    5.72,    5.14,   10.82
41.80373,-4.74716,T2M,1994,    3.63,    4.41,    9.82,    8.58,   13.68,   18.40,   23.63,   22.30,   14.84,   12.55,    8.47,    4.93,   12.16
41.80373,-4.74716,T2M,1995,    4.32,    6.19,    7.42,   10.70,   15.63,   18.95,   22.67,   21.47,   15.00,   14.65,    8.89,    5.02,   12.62
41.80373,-4.74716,T2M,1996,    5.07,    2.97,    6.52,   10.35,   12.72,   19.03,   21.29,   19.62,   15.38,   11.58,    7.31,    4.18,   11.36
41.80373,-4.74716,T2M,1997,    3.05,    6.97,   10.54,   12.38,   13.98,   16.01,   19.28,   21.81,   18.94,   13.96,    7.57,    4.40,   12.44
41.80373,-4.74716,T2M,1998,    4.16,    6.52,    8.71,    7.83,   12.81,   18.15,   20.76,   22.02,   17.24,   10.99,    6.35,    2.78,   11.56
41.80373,-4.74716,T2M,1999,    2.44,    3.43,    7.12,    9.83,   14.70,   18.44,   22.25,   21.00,   17.01,   11.84,    4.64,    3.66,   11.41
41.80373,-4.74716,T2M,2000,    0.73,    6.72,    7.54,    7.92,   14.88,   19.14,   19.86,   20.52,   17.90,   11.26,    6.25,    5.45,   11.53
41.80373,-4.74716,T2M,2001,    4.51,    4.75,    9.16,    9.03,   13.49,   18.94,   19.63,   21.20,   15.69,   13.35,    4.45,    0.68,   11.28
41.80373,-4.74716,T2M,2002,    3.98,    4.78,    7.84,   10.35,   12.70,   19.72,   20.85,   19.87,   16.45,   12.68,    7.47,    5.91,   11.92
41.80373,-4.74716,T2M,2003,    2.81,    3.44,    8.73,    9.77,   14.28,   21.17,   21.48,   24.33,   18.16,   10.85,    7.61,    3.75,   12.25
41.80373,-4.74716,T2M,2004,    4.94,    4.15,    5.87,    8.65,   12.76,   20.69,   21.38,   20.43,   18.12,   12.68,    6.32,    3.51,   11.65
41.80373,-4.74716,T2M,2005,    2.39,    1.53,    7.07,   10.53,   15.45,   21.94,   22.31,   21.74,   17.45,   12.70,    5.60,    2.87,   11.86
41.80373,-4.74716,T2M,2006,    2.05,    2.93,    8.17,   11.03,   15.93,   20.51,   23.90,   19.90,   19.07,   14.30,    9.52,    3.39,   12.61
41.80373,-4.74716,T2M,2007,    3.55,    6.08,    6.49,   10.82,   13.43,   16.71,   20.22,   19.30,   16.88,   12.05,    5.56,    2.70,   11.18
41.80373,-4.74716,T2M,2008,    5.10,    6.21,    6.93,   10.37,   12.75,   17.67,   20.37,   20.86,   16.10,   11.16,    4.95,    3.03,   11.31
41.80373,-4.74716,T2M,2009,    2.69,    4.23,    8.06,    8.80,   15.34,   19.41,   21.71,   22.65,   17.96,   13.93,    8.41,    3.70,   12.29
41.80373,-4.74716,T2M,2010,    2.64,    3.19,    5.77,   11.05,   12.50,   17.11,   22.40,   21.50,   17.56,   11.18,    5.81,    2.87,   11.18
41.80373,-4.74716,T2M,2011,    3.14,    5.03,    6.88,   13.09,   16.21,   18.25,   19.65,   21.55,   19.29,   14.18,    8.47,    4.09,   12.52
41.80373,-4.74716,T2M,2012,    3.72,    2.21,    8.32,    7.57,   15.45,   19.67,   21.22,   22.22,   17.79,   11.88,    6.54,    4.38,   11.79
