-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  42.6527   Longitude -6.6232 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 955.01 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
42.65266,-6.62317,T2M,1981,    3.20,    2.95,    6.71,    7.04,    8.98,   15.98,   17.85,   19.36,   15.32,    9.94,    8.93,    4.68,   10.12
42.65266,-6.62317,T2M,1982,    4.37,    4.63,    5.28,    8.24,   10.86,   15.14,   18.13,   17.45,   15.73,    9.28,    5.73,    3.78,    9.91
42.65266,-6.62317,T2M,1983,    2.78,    2.01,    6.57,    5.59,    7.93,   15.21,   17.43,   16.26,   16.84,   11.86,    8.98,    5.03,    9.75
42.65266,-6.62317,T2M,1984,    3.50,    2.66,    3.16,   10.99,    6.67,   14.61,   18.22,   17.05,   13.95,   10.65,    6.14,    3.98,    9.31
42.65266,-6.62317,T2M,1985,    0.63,    4.93,    3.94,    8.19,    9.80,   14.42,   19.31,   17.27,   19.36,   12.68,    4.71,    4.88,   10.03
42.65266,-6.62317,T2M,1986,    2.81,    2.79,    5.15,    3.79,   11.48,   14.78,   19.25,   16.79,   15.59,   12.09,    6.29,    4.01,    9.62
42.65266,-6.62317,T2M,1987,    2.39,    3.72,    6.58,    9.04,   11.08,   14.82,   18.42,   20.29,   18.48,    8.98,    6.47,    5.56,   10.52
42.65266,-6.62317,T2M,1988,    4.40,    3.54,    5.77,    7.47,   10.26,   13.64,   16.61,   18.12,   16.16,   11.16,    7.35,    3.38,    9.84
42.65266,-6.62317,T2M,1989,    3.33,    4.45,    7.28,    5.80,   14.45,   16.53,   21.08,   19.50,   14.85,   12.74,    7.23,    6.31,   11.18
42.65266,-6.62317,T2M,1990,    2.79,    6.64,    6.82,    6.68,   13.53,   15.72,   21.27,   20.07,   17.07,   10.31,    5.43,    1.83,   10.71
42.65266,-6.62317,T2M,1991,    2.26,    2.01,    5.79,    6.61,   11.01,   14.94,   18.79,   20.64,   16.68,    8.10,    5.81,    4.29,    9.79
42.65266,-6.62317,T2M,1992,    0.99,    3.64,    6.16,    7.89,   13.43,   12.13,   19.46,   18.38,   13.76,    7.89,    8.18,    3.93,    9.68
42.65266,-6.62317,T2M,1993,    4.25,    2.95,    5.74,    6.74,   10.08,   15.31,   17.08,   18.06,   12.13,    7.51,    5.22,    5.54,    9.26
42.65266,-6.62317,T2M,1994,    3.76,    3.36,    8.23,    6.75,   10.50,   16.05,   19.64,   18.57,   12.69,   11.02,    8.16,    5.40,   10.39
42.65266,-6.62317,T2M,1995,    4.17,    5.16,    6.22,    9.19,   12.76,   16.33,   19.30,   18.91,   12.72,   12.75,    7.83,    4.31,   10.84
42.65266,-6.62317,T2M,1996,    3.84,    2.26,    5.13,    8.65,   10.28,   16.88,   18.61,   16.47,   13.46,   10.20,    6.25,    3.54,    9.65
42.65266,-6.62317,T2M,1997,    2.34,    6.09,    9.95,   11.14,   11.48,   12.83,   17.23,   18.75,   16.89,   13.05,    6.63,    4.28,   10.92
42.65266,-6.62317,T2M,1998,    3.96,    5.75,    7.92,    5.57,   11.05,   15.33,   17.89,   20.69,   15.18,   10.06,    6.74,    3.21,   10.31
42.65266,-6.62317,T2M,1999,    3.03,    3.38,    5.83,    7.93,   11.80,   15.38,   19.73,   17.74,   14.62,    9.92,    4.49,    3.87,    9.86
42.65266,-6.62317,T2M,2000,    0.77,    6.07,    6.33,    5.90,   12.32,   16.97,   16.99,   17.31,   15.66,    9.66,    5.28,    4.73,    9.84
42.65266,-6.62317,T2M,2001,    3.79,    3.98,    7.07,    7.32,   11.65,   16.70,   17.03,   18.37,   14.21,   11.50,    4.36,    1.10,    9.79
42.65266,-6.62317,T2M,2002,    3.96,    4.49,    6.81,    8.46,    9.93,   15.84,   17.55,   16.74,   14.82,   11.18,    6.37,    5.23,   10.15
42.65266,-6.62317,T2M,2003,    2.16,    2.90,    7.29,    8.03,   11.73,   17.48,   18.18,   21.25,   16.16,    9.14,    6.72,    3.84,   10.45
42.65266,-6.62317,T2M,2004,    4.70,    3.50,    4.48,    6.94,   11.41,   18.87,   18.24,   17.31,   15.90,   10.20,    5.68,    3.24,   10.06
42.65266,-6.62317,T2M,2005,    2.80,    1.09,    5.83,    8.42,   12.31,   18.89,   19.38,   19.41,   15.37,   11.53,    5.25,    2.87,   10.32
42.65266,-6.62317,T2M,2006,    1.73,    2.20,    6.68,    9.12,   12.99,   17.94,   20.74,   17.69,   16.87,   12.09,    8.46,    3.44,   10.88
42.65266,-6.62317,T2M,2007,    3.75,    4.76,    5.40,    9.16,   11.05,   13.91,   16.67,   16.67,   15.44,   11.27,    6.00,    3.43,    9.82
42.65266,-6.62317,T2M,2008,    5.04,    5.76,    5.47,    8.42,   10.80,   15.44,   17.66,   17.79,   14.17,   10.10,    4.65,    3.00,    9.87
42.65266,-6.62317,T2M,2009,    2.32,    3.66,    6.83,    6.65,   12.55,   16.78,   17.30,   19.19,   16.11,   12.81,    6.94,    2.94,   10.38
42.65266,-6.62317,T2M,2010,    2.00,    2.12,    4.30,    9.45,   10.67,   14.91,   19.65,   19.22,   16.02,    9.98,    5.09,    2.07,    9.67
42.65266,-6.62317,T2M,2011,    3.02,    4.22,    5.59,   11.41,   13.71,   15.29,   16.13,   18.06,   16.73,   13.34,    7.13,    4.48,   10.79
42.65266,-6.62317,T2M,2012,    3.48,    2.46,    7.91,    5.91,   12.83,   15.65,   17.64,   18.23,   16.07,   10.18,    5.26,    4.43,   10.04
42.65266,-6.62317,T2M,2013,    3.92,    2.51,    4.52,    6.81,    8.28,   13.39,   20.19,   18.54,   16.71,   11.50,    5.60,    3.23,    9.65
42.65266,-6.62317,T2M,2014,    4.08,    3.06,    6.37,   10.16,   10.81,   15.28,   17.64,   17.03,   16.34,   13.88,    6.76,    3.77,   10.47
42.65266,-6.62317,T2M,2015,    3.20,    1.93,    6.09,    9.57,   12.37,   17.88,   20.11,   18.06,   13.96,   10.73,    8.48,    6.04,   10.75
42.65266,-6.62317,T2M,2016,    4.48,    3.71,    4.24,    6.65,   10.86,   15.30,   19.73,   20.13,   16.53,   12.17,    6.07,    5.33,   10.46
42.65266,-6.62317,T2M,2017,    2.68,    5.16,    6.90,   10.34,   14.15,   18.71,   19.33,   18.88,   14.40,   14.04,    6.44,    3.98,   11.29
42.65266,-6.62317,T2M,2018,    3.78,    1.86,    3.59,    8.29,   11.32,   15.55,   17.70,   19.77,   18.45,   10.91,    6.01,    6.02,   10.32
42.65266,-6.62317,T2M,2019,    3.05,    5.19,    6.78,    7.63,   11.95,   14.52,   19.64,   18.98,   15.43,   11.53,    5.77,    5.29,   10.52
42.65266,-6.62317,RH2M,1981,   85.86,   80.76,   82.16,   76.62,   76.41,   59.27,   52.02,   50.96,   61.28,   86.46,   73.98,   93.91,   73.31
42.65266,-6.62317,RH2M,1982,   90.45,   85.84,   78.00,   70.70,   71.29,   65.83,   55.16,   54.35,   59.97,   83.89,   90.18,   92.47,   74.79
42.65266,-6.62317,RH2M,1983,   85.22,   90.51,   80.11,   83.00,   80.33,   65.34,   68.52,   70.68,   58.84,   65.85,   88.21,   80.42,   76.33
42.65266,-6.62317,RH2M,1984,   94.06,   85.90,   80.88,   75.17,   80.06,   71.98,   55.65,   56.72,   64.05,   78.15,   92.50,   93.95,   77.39
42.65266,-6.62317,RH2M,1985,   91.61,   88.48,   86.24,   77.73,   75.28,   69.37,   56.61,   51.68,   46.40,   59.84,   85.58,   84.01,   72.64
42.65266,-6.62317,RH2M,1986,   93.67,   93.23,   84.73,   80.65,   71.48,   59.69,   47.08,   55.99,   70.49,   77.92,   81.58,   90.23,   75.44
42.65266,-6.62317,RH2M,1987,   88.45,   89.21,   78.70,   76.76,   62.75,   62.29,   58.11,   49.56,   57.90,   87.25,   90.48,   91.73,   74.34
42.65266,-6.62317,RH2M,1988,   94.72,   86.97,   77.39,   82.54,   79.41,   74.19,   63.59,   51.30,   52.76,   70.85,   79.02,   82.98,   74.60
42.65266,-6.62317,RH2M,1989,   78.68,   74.01,   73.80,   78.88,   62.75,   60.00,   46.71,   54.03,   54.16,   64.37,   89.71,   93.52,   69.16
42.65266,-6.62317,RH2M,1990,   89.84,   89.33,   72.73,   79.64,   65.52,   61.57,   43.15,   47.06,   59.69,   77.84,   86.67,   87.06,   71.53
42.65266,-6.62317,RH2M,1991,   87.33,   89.12,   85.05,   75.45,   65.87,   58.84,   52.56,   45.32,   63.87,   81.10,   87.42,   81.21,   72.64
42.65266,-6.62317,RH2M,1992,   81.83,   71.22,   73.38,   72.27,   59.85,   70.08,   51.94,   56.50,   68.20,   85.10,   88.42,   93.47,   72.67
42.65266,-6.62317,RH2M,1993,   84.06,   79.27,   75.28,   78.37,   76.42,   68.32,   55.62,   53.74,   75.08,   87.45,   86.54,   96.19,   76.33
42.65266,-6.62317,RH2M,1994,   90.27,   87.11,   76.67,   74.05,   73.47,   55.69,   51.38,   55.08,   69.93,   75.87,   82.66,   89.74,   73.41
42.65266,-6.62317,RH2M,1995,   89.99,   86.53,   78.66,   64.42,   68.25,   56.07,   55.24,   53.83,   73.61,   70.64,   84.80,   93.93,   72.92
42.65266,-6.62317,RH2M,1996,   93.40,   91.06,   83.07,   76.05,   75.17,   58.80,   53.22,   63.13,   66.38,   77.42,   89.84,   91.48,   76.55
42.65266,-6.62317,RH2M,1997,   93.12,   87.11,   61.35,   62.11,   71.57,   73.25,   61.94,   60.15,   62.37,   73.54,   92.60,   93.07,   74.26
42.65266,-6.62317,RH2M,1998,   91.25,   83.68,   74.15,   85.62,   73.00,   64.18,   55.36,   48.39,   69.16,   79.49,   85.54,   84.84,   74.46
42.65266,-6.62317,RH2M,1999,   89.30,   84.05,   78.38,   76.38,   74.19,   59.54,   51.06,   59.79,   73.85,   82.15,   88.92,   91.93,   75.74
42.65266,-6.62317,RH2M,2000,   88.77,   85.63,   71.98,   82.02,   73.31,   55.30,   58.99,   55.16,   61.37,   82.23,   93.02,   94.49,   75.16
42.65266,-6.62317,RH2M,2001,   95.24,   85.72,   90.66,   78.44,   71.97,   55.97,   60.84,   57.20,   61.14,   79.69,   83.85,   82.59,   75.25
42.65266,-6.62317,RH2M,2002,   88.34,   86.57,   74.96,   66.29,   71.24,   63.09,   54.84,   60.27,   64.71,   81.26,   92.47,   95.05,   74.87
42.65266,-6.62317,RH2M,2003,   91.47,   89.73,   80.43,   78.36,   70.04,   63.50,   58.06,   53.29,   61.50,   81.79,   90.29,   94.50,   76.00
42.65266,-6.62317,RH2M,2004,   91.48,   82.01,   81.81,   74.48,   69.44,   54.31,   51.38,   60.94,   63.44,   79.97,   83.75,   93.12,   73.85
42.65266,-6.62317,RH2M,2005,   89.08,   82.98,   75.92,   76.20,   65.80,   50.92,   48.12,   48.43,   57.59,   72.44,   89.94,   89.44,   70.49
42.65266,-6.62317,RH2M,2006,   89.33,   81.66,   85.81,   74.20,   66.63,   54.95,   52.69,   56.04,   59.73,   82.99,   89.12,   89.40,   73.52
42.65266,-6.62317,RH2M,2007,   91.83,   90.44,   81.09,   75.98,   76.07,   69.71,   60.65,   60.56,   55.10,   69.19,   71.65,   81.58,   73.58
42.65266,-6.62317,RH2M,2008,   86.57,   79.93,   79.94,   74.26,   76.32,   65.89,   54.86,   54.54,   62.47,   72.99,   91.97,   90.36,   74.15
42.65266,-6.62317,RH2M,2009,   92.40,   81.29,   70.75,   74.92,   63.87,   60.87,   56.05,   55.01,   56.97,   73.19,   90.89,   92.15,   72.31
42.65266,-6.62317,RH2M,2010,   94.05,   88.32,   82.61,   74.48,   72.46,   70.57,   53.76,   49.86,   58.05,   75.40,   91.33,   91.84,   75.14
42.65266,-6.62317,RH2M,2011,   92.19,   85.72,   82.47,   73.11,   70.85,   59.08,   60.90,   56.81,   59.20,   55.48,   87.00,   88.54,   72.54
42.65266,-6.62317,RH2M,2012,   87.49,   75.65,   62.12,   78.10,   68.22,   62.30,   52.96,   49.49,   57.16,   76.15,   88.36,   92.71,   70.86
42.65266,-6.62317,RH2M,2013,   93.53,   90.90,   88.27,   80.78,   75.14,   68.40,   54.55,   51.85,   59.09,   79.27,   89.15,   84.38,   76.18
42.65266,-6.62317,RH2M,2014,   94.63,   91.20,   77.44,   77.34,   67.14,   60.15,   57.86,   59.67,   64.82,   70.10,   92.87,   91.31,   75.26
42.65266,-6.62317,RH2M,2015,   86.70,   91.74,   77.35,   71.65,   66.68,   53.38,   50.78,   54.73,   61.59,   78.14,   84.77,   86.42,   71.88
42.65266,-6.62317,RH2M,2016,   94.16,   90.53,   84.83,   80.70,   75.57,   70.11,   52.78,   48.13,   59.35,   70.78,   88.40,   85.54,   74.99
42.65266,-6.62317,RH2M,2017,   84.96,   85.09,   78.41,   59.87,   67.11,   55.99,   53.10,   51.98,   62.37,   54.23,   76.22,   90.22,   68.21
42.65266,-6.62317,RH2M,2018,   92.79,   87.33,   89.32,   80.21,   73.97,   74.18,   70.83,   52.97,   55.39,   69.25,   91.13,   88.21,   77.07
42.65266,-6.62317,RH2M,2019,   86.35,   80.14,   73.55,   77.04,   64.83,   62.84,   54.16,   55.16,   63.29,   78.39,   95.48,   88.26,   73.22
