-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  43.2811   Longitude -2.1793 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 317.28 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
43.28112,-2.1793,T2M,1981,    6.79,    6.21,   10.44,   10.86,   13.10,   16.55,   17.91,   19.52,   17.94,   14.36,   11.12,    8.55,   12.82
43.28112,-2.1793,T2M,1982,    8.53,    8.10,    8.51,   10.34,   13.61,   17.58,   19.44,   18.34,   18.46,   13.37,   10.43,    7.66,   12.89
43.28112,-2.1793,T2M,1983,    6.96,    5.99,    9.00,   10.17,   12.04,   16.85,   20.79,   19.01,   18.09,   14.77,   12.34,    7.69,   12.85
43.28112,-2.1793,T2M,1984,    7.46,    5.81,    6.91,   11.76,   10.49,   15.84,   19.19,   18.80,   16.50,   13.77,   11.12,    7.49,   12.11
43.28112,-2.1793,T2M,1985,    3.48,    8.88,    7.28,   11.20,   12.20,   16.43,   19.77,   18.51,   19.23,   15.74,    7.96,    8.06,   12.41
43.28112,-2.1793,T2M,1986,    7.24,    5.92,    8.67,    7.38,   14.04,   16.29,   18.54,   18.77,   17.93,   15.24,   10.01,    8.09,   12.39
43.28112,-2.1793,T2M,1987,    4.62,    6.78,    8.71,   12.32,   12.45,   15.84,   18.82,   20.10,   20.57,   14.79,   10.28,    8.84,   12.87
43.28112,-2.1793,T2M,1988,    8.86,    7.34,    8.40,   11.33,   14.23,   16.31,   18.32,   19.31,   17.51,   15.10,   10.83,    7.14,   12.91
43.28112,-2.1793,T2M,1989,    6.66,    8.42,   10.47,    9.23,   16.14,   17.93,   20.93,   20.69,   17.74,   15.30,   12.04,   10.67,   13.89
43.28112,-2.1793,T2M,1990,    7.91,   11.20,   10.31,   10.36,   16.21,   17.25,   20.92,   21.51,   19.36,   15.35,    9.95,    5.46,   13.83
43.28112,-2.1793,T2M,1991,    6.30,    6.38,   10.11,    9.49,   12.01,   15.80,   19.59,   21.72,   19.94,   12.57,    9.81,    7.21,   12.62
43.28112,-2.1793,T2M,1992,    5.11,    6.83,    8.51,   10.45,   15.63,   14.97,   19.51,   20.72,   17.08,   12.00,   11.87,    8.22,   12.59
43.28112,-2.1793,T2M,1993,    7.87,    6.61,    9.01,   10.70,   14.33,   17.19,   17.84,   19.50,   16.09,   12.13,    9.07,    9.06,   12.49
43.28112,-2.1793,T2M,1994,    7.10,    8.03,   10.73,    9.64,   14.46,   16.81,   20.39,   20.82,   16.44,   14.39,   11.97,    8.86,   13.34
43.28112,-2.1793,T2M,1995,    7.52,    9.10,    8.79,   10.41,   14.52,   16.48,   20.87,   20.20,   15.91,   16.59,   11.22,    8.32,   13.36
43.28112,-2.1793,T2M,1996,    9.18,    6.21,    8.93,   11.05,   13.55,   17.59,   19.13,   18.63,   16.14,   13.77,   10.32,    7.34,   12.68
43.28112,-2.1793,T2M,1997,    6.99,    9.96,   10.98,   11.87,   15.19,   16.36,   17.47,   20.94,   18.66,   16.16,   11.03,    8.33,   13.68
43.28112,-2.1793,T2M,1998,    7.86,    9.01,   10.18,   10.14,   13.87,   16.70,   18.35,   20.19,   18.03,   13.33,    9.37,    7.24,   12.88
43.28112,-2.1793,T2M,1999,    7.06,    6.61,    9.40,   11.18,   15.41,   16.47,   19.48,   20.14,   19.05,   14.66,    8.56,    7.78,   13.03
