-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  41.3528   Longitude -1.6423 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 960.82 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
41.35277,-1.64229,T2M,1981,    2.32,    2.40,    8.18,    8.68,   12.23,   18.49,   19.41,   19.90,   17.54,   12.03,    8.52,    4.31,   11.21
41.35277,-1.64229,T2M,1982,    4.43,    4.48,    5.76,    8.93,   13.51,   19.13,   22.37,   19.59,   16.11,   10.11,    6.00,    3.08,   11.16
41.35277,-1.64229,T2M,1983,    3.43,    2.03,    7.38,    8.28,   11.81,   18.90,   23.20,   19.14,   18.70,   12.92,    9.10,    4.11,   11.64
41.35277,-1.64229,T2M,1984,    2.81,    2.20,    3.41,   10.95,    8.34,   16.51,   22.45,   19.41,   15.79,   11.20,    7.20,    3.00,   10.29
41.35277,-1.64229,T2M,1985,   -0.52,    5.87,    4.32,    9.87,   11.37,   18.31,   22.72,   21.23,   19.38,   13.78,    4.92,    4.32,   11.32
41.35277,-1.64229,T2M,1986,    2.49,    2.74,    6.22,    5.50,   15.69,   18.31,   21.20,   21.05,   17.69,   12.22,    6.31,    3.34,   11.12
41.35277,-1.64229,T2M,1987,    1.49,    3.66,    7.00,   11.42,   12.73,   18.28,   20.21,   22.86,   20.73,   11.63,    6.33,    5.15,   11.83
41.35277,-1.64229,T2M,1988,    4.59,    3.31,    6.30,    9.12,   13.03,   15.08,   19.86,   21.56,   17.54,   12.62,    6.88,    2.46,   11.06
41.35277,-1.64229,T2M,1989,    2.59,    4.66,    8.35,    6.99,   14.92,   18.10,   22.20,   22.06,   15.90,   12.79,    8.21,    6.28,   11.98
41.35277,-1.64229,T2M,1990,    2.76,    7.77,    7.20,    7.72,   15.38,   19.79,   22.87,   21.97,   18.70,   11.74,    5.74,    1.01,   11.91
41.35277,-1.64229,T2M,1991,    1.80,    2.17,    7.22,    7.35,   10.84,   18.44,   22.35,   23.71,   18.25,    9.00,    5.32,    2.71,   10.82
41.35277,-1.64229,T2M,1992,    0.35,    3.11,    5.66,    9.40,   15.17,   13.82,   21.53,   22.46,   17.41,    9.23,    8.27,    3.81,   10.88
41.35277,-1.64229,T2M,1993,    2.91,    2.39,    6.26,    8.63,   13.19,   18.42,   20.34,   21.63,   14.89,    8.45,    4.93,    4.65,   10.61
41.35277,-1.64229,T2M,1994,    2.49,    4.14,    9.27,    7.79,   14.73,   18.74,   24.71,   23.25,   14.86,   11.63,    8.40,    4.26,   12.08
41.35277,-1.64229,T2M,1995,    3.34,    6.00,    6.48,    9.80,   14.53,   17.55,   22.92,   20.06,   14.23,   14.03,    8.16,    4.42,   11.83
41.35277,-1.64229,T2M,1996,    4.33,    2.12,    5.84,    9.58,   12.87,   18.41,   20.68,   19.26,   14.56,   11.19,    6.64,    3.76,   10.80
41.35277,-1.64229,T2M,1997,    2.92,    6.78,    9.24,   11.02,   13.98,   16.41,   18.28,   21.08,   17.65,   13.41,    6.89,    3.71,   11.81
41.35277,-1.64229,T2M,1998,    3.18,    5.93,    8.20,    7.78,   12.34,   18.61,   21.44,   21.01,   17.05,   10.58,    5.35,    2.73,   11.22
41.35277,-1.64229,T2M,1999,    2.73,    2.68,    6.26,    9.38,   15.39,   17.90,   21.61,   21.61,   16.94,   11.77,    3.68,    3.11,   11.15
41.35277,-1.64229,T2M,2000,    0.54,    6.30,    7.13,    8.17,   15.30,   19.15,   20.63,   21.48,   18.11,   10.99,    5.43,    4.52,   11.49
41.35277,-1.64229,T2M,2001,    3.96,    3.87,    9.37,    9.29,   13.61,   20.00,   20.97,   22.13,   15.61,   13.74,    3.51,    0.68,   11.45
41.35277,-1.64229,T2M,2002,    3.51,    4.88,    7.37,    9.70,   12.91,   20.04,   20.41,   19.13,   15.76,   12.03,    7.05,    5.38,   11.55
41.35277,-1.64229,T2M,2003,    2.13,    2.42,    8.31,    9.71,   14.18,   22.32,   22.92,   24.02,   16.83,   10.39,    7.29,    3.62,   12.07
41.35277,-1.64229,T2M,2004,    4.44,    3.48,    4.88,    7.81,   11.96,   19.59,   20.73,   21.10,   17.92,   13.02,    5.63,    3.26,   11.18
41.35277,-1.64229,T2M,2005,    2.02,    0.51,    6.57,   10.48,   15.70,   21.60,   22.30,   20.82,   16.46,   12.67,    5.16,    1.93,   11.42
41.35277,-1.64229,T2M,2006,    1.50,    2.26,    7.92,   10.74,   16.05,   19.91,   23.91,   19.07,   18.29,   14.55,    9.03,    3.05,   12.25
41.35277,-1.64229,T2M,2007,    3.68,    5.84,    5.87,   10.07,   13.31,   17.90,   21.10,   19.52,   16.33,   11.39,    4.80,    2.83,   11.08
41.35277,-1.64229,T2M,2008,    4.75,    5.82,    6.43,   10.27,   13.00,   16.89,   21.24,   21.48,   15.97,   10.79,    4.36,    2.61,   11.16
41.35277,-1.64229,T2M,2009,    1.82,    3.37,    7.02,    8.23,   15.83,   20.29,   23.00,   22.98,   16.85,   13.40,    8.35,    3.07,   12.07
41.35277,-1.64229,T2M,2010,    1.52,    2.63,    5.38,   10.70,   11.76,   16.77,   22.84,   21.35,   16.84,   10.83,    4.98,    2.64,   10.74
41.35277,-1.64229,T2M,2011,    2.82,    4.85,    6.12,   12.76,   15.65,   18.55,   20.06,   22.92,   19.40,   13.09,    8.23,    4.07,   12.41
41.35277,-1.64229,T2M,2012,    3.46,    0.42,    7.68,    8.34,   15.88,   20.84,   21.51,   23.82,   17.22,   12.15,    6.50,    3.98,   11.86
41.35277,-1.64229,T2M,2013,    3.55,    2.67,    6.19,    8.61,   10.14,   15.95,   22.94,   20.64,   17.73,   13.49,    5.18,    2.98,   10.89
41.35277,-1.64229,T2M,2014,    4.55,    3.97,    7.06,   12.59,   13.31,   18.67,   19.81,   21.29,   18.97,   15.17,    8.24,    3.32,   12.29
41.35277,-1.64229,T2M,2015,    2.77,    2.13,    6.98,   10.75,   15.65,   19.72,   24.62,   21.58,   15.54,   12.30,    9.15,    6.82,   12.40
41.35277,-1.64229,T2M,2016,    5.34,    4.64,    5.11,    8.48,   13.10,   18.86,   22.38,   22.10,   18.82,   13.62,    6.08,    4.85,   11.97
41.35277,-1.64229,T2M,2017,    1.70,    5.86,    8.80,   11.11,   16.57,   21.54,   22.26,   22.15,   16.14,   14.27,    6.20,    3.12,   12.52
41.35277,-1.64229,T2M,2018,    3.89,    1.76,    5.44,   10.35,   12.89,   17.61,   21.99,   22.07,   19.12,   11.42,    7.11,    5.70,   11.67
41.35277,-1.64229,T2M,2019,    2.18,    6.07,    7.83,    8.95,   12.93,   20.24,   23.36,   22.36,   17.41,   13.61,    6.43,    5.99,   12.32
41.35277,-1.64229,RH2M,1981,   79.36,   69.39,   65.35,   66.50,   57.30,   48.21,   48.87,   52.96,   53.97,   64.57,   66.07,   81.74,   62.85
41.35277,-1.64229,RH2M,1982,   83.73,   75.96,   66.62,   63.67,   58.56,   51.42,   40.38,   51.98,   59.24,   73.58,   77.97,   84.46,   65.57
41.35277,-1.64229,RH2M,1983,   68.79,   73.67,   65.64,   59.21,   55.13,   47.95,   38.55,   56.68,   50.05,   58.03,   80.74,   71.91,   60.43
41.35277,-1.64229,RH2M,1984,   80.49,   73.02,   68.48,   58.79,   68.90,   57.04,   36.78,   47.77,   53.10,   64.21,   80.90,   83.11,   64.36
41.35277,-1.64229,RH2M,1985,   81.76,   75.61,   68.54,   62.19,   64.98,   54.74,   44.44,   40.19,   46.65,   56.85,   74.23,   72.99,   61.85
41.35277,-1.64229,RH2M,1986,   82.07,   76.79,   66.15,   66.94,   51.94,   48.61,   42.64,   37.97,   61.43,   73.82,   74.68,   81.39,   63.60
41.35277,-1.64229,RH2M,1987,   80.48,   79.69,   65.54,   60.29,   54.37,   46.64,   54.64,   42.40,   47.00,   70.13,   81.47,   82.84,   63.72
41.35277,-1.64229,RH2M,1988,   85.42,   73.98,   62.54,   71.22,   65.86,   67.95,   53.81,   45.46,   48.22,   63.18,   72.73,   77.67,   65.63
41.35277,-1.64229,RH2M,1989,   73.74,   68.76,   62.31,   65.88,   57.30,   53.63,   43.77,   44.18,   57.52,   59.82,   79.55,   86.09,   62.65
41.35277,-1.64229,RH2M,1990,   78.99,   69.36,   60.23,   65.47,   49.39,   45.91,   36.71,   42.99,   52.92,   67.93,   77.52,   78.67,   60.44
41.35277,-1.64229,RH2M,1991,   77.18,   76.67,   71.67,   63.00,   60.92,   47.85,   41.37,   38.03,   57.52,   70.62,   77.35,   79.89,   63.42
41.35277,-1.64229,RH2M,1992,   78.43,   64.88,   68.35,   57.27,   52.40,   60.17,   46.65,   41.57,   49.43,   75.50,   71.98,   83.60,   62.54
41.35277,-1.64229,RH2M,1993,   70.89,   74.63,   62.33,   57.49,   57.95,   49.47,   44.01,   40.56,   54.81,   76.78,   77.95,   84.71,   62.56
41.35277,-1.64229,RH2M,1994,   78.94,   71.41,   61.97,   60.22,   52.16,   44.12,   33.32,   39.92,   54.14,   74.35,   76.01,   82.82,   60.72
41.35277,-1.64229,RH2M,1995,   78.07,   68.97,   60.28,   53.04,   53.29,   52.49,   40.16,   50.87,   57.73,   59.83,   73.37,   86.71,   61.19
41.35277,-1.64229,RH2M,1996,   84.40,   74.14,   67.02,   61.89,   58.17,   50.87,   46.26,   53.13,   57.10,   62.67,   77.44,   85.68,   64.88
41.35277,-1.64229,RH2M,1997,   89.64,   70.41,   55.99,   57.41,   61.27,   59.02,   61.02,   54.13,   60.95,   66.33,   83.34,   83.75,   66.93
41.35277,-1.64229,RH2M,1998,   82.17,   69.50,   63.26,   65.04,   66.18,   52.57,   43.70,   46.21,   56.44,   66.41,   76.53,   77.57,   63.76
41.35277,-1.64229,RH2M,1999,   77.21,   77.44,   67.63,   58.92,   54.07,   53.17,   47.26,   46.67,   59.99,   70.72,   77.45,   81.05,   64.21
41.35277,-1.64229,RH2M,2000,   78.02,   67.59,   59.36,   64.52,   57.31,   47.64,   42.56,   40.11,   45.36,   68.41,   78.60,   80.31,   60.80
41.35277,-1.64229,RH2M,2001,   84.46,   74.50,   70.96,   60.10,   58.62,   40.25,   43.07,   43.39,   56.80,   66.95,   81.07,   75.43,   62.91
41.35277,-1.64229,RH2M,2002,   80.51,   71.41,   65.81,   57.00,   55.11,   46.35,   47.88,   55.04,   56.75,   70.93,   81.41,   84.60,   64.39
41.35277,-1.64229,RH2M,2003,   81.09,   77.51,   62.52,   63.94,   60.64,   46.48,   38.38,   38.98,   60.92,   75.24,   80.42,   83.88,   64.07
41.35277,-1.64229,RH2M,2004,   81.83,   75.34,   73.13,   68.73,   66.02,   55.24,   47.50,   47.78,   56.14,   63.30,   76.64,   86.84,   66.52
41.35277,-1.64229,RH2M,2005,   75.57,   74.24,   62.02,   58.27,   48.85,   43.48,   38.28,   43.86,   52.85,   66.72,   79.74,   80.43,   60.26
41.35277,-1.64229,RH2M,2006,   82.65,   70.99,   68.12,   61.42,   51.06,   49.49,   43.62,   48.77,   55.74,   67.53,   78.71,   76.03,   62.80
41.35277,-1.64229,RH2M,2007,   78.20,   75.55,   67.04,   70.33,   63.84,   54.89,   42.92,   48.33,   57.86,   68.34,   69.54,   78.19,   64.51
41.35277,-1.64229,RH2M,2008,   77.04,   73.08,   65.00,   59.98,   63.88,   60.98,   44.18,   44.03,   57.25,   70.65,   82.01,   83.27,   65.07
41.35277,-1.64229,RH2M,2009,   82.24,   75.59,   61.39,   66.03,   52.38,   45.54,   37.44,   42.32,   59.20,   60.60,   71.91,   82.22,   61.30
41.35277,-1.64229,RH2M,2010,   82.78,   76.48,   66.67,   64.02,   63.22,   58.57,   44.67,   45.39,   55.81,   61.93,   79.03,   75.34,   64.40
41.35277,-1.64229,RH2M,2011,   81.34,   71.06,   73.73,   60.94,   58.57,   51.46,   45.31,   39.69,   45.46,   57.93,   80.68,   79.00,   62.05
41.35277,-1.64229,RH2M,2012,   78.64,   64.97,   54.65,   64.02,   50.86,   41.80,   38.29,   35.06,   51.67,   67.64,   82.43,   80.78,   59.19
