-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  41.3377   Longitude -1.2249 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 774.74 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
41.33773,-1.22487,T2M,1981,    3.41,    3.44,    9.61,    9.92,   13.64,   19.72,   20.30,   20.99,   18.82,   13.34,    9.54,    5.58,   12.41
41.33773,-1.22487,T2M,1982,    5.61,    5.41,    6.77,   10.18,   14.62,   20.58,   23.79,   20.54,   17.46,   11.38,    7.21,    4.24,   12.36
41.33773,-1.22487,T2M,1983,    4.50,    3.23,    8.27,    9.81,   13.55,   20.10,   24.80,   20.44,   19.68,   14.02,   10.10,    5.06,   12.85
41.33773,-1.22487,T2M,1984,    4.10,    3.26,    4.67,   11.70,    9.72,   17.71,   23.61,   20.63,   16.82,   12.34,    8.53,    3.83,   11.43
41.33773,-1.22487,T2M,1985,    0.38,    7.00,    5.45,   11.17,   12.52,   19.39,   23.99,   22.27,   20.28,   14.91,    5.93,    5.21,   12.40
41.33773,-1.22487,T2M,1986,    3.84,    3.85,    7.36,    6.85,   17.11,   19.35,   22.23,   22.42,   18.86,   13.28,    7.41,    4.44,   12.31
41.33773,-1.22487,T2M,1987,    2.36,    4.62,    7.84,   12.67,   13.71,   19.37,   21.55,   24.10,   21.97,   13.15,    7.36,    6.12,   12.94
41.33773,-1.22487,T2M,1988,    5.82,    4.33,    7.32,   10.46,   14.32,   16.36,   21.03,   22.66,   18.59,   14.14,    7.91,    3.40,   12.23
41.33773,-1.22487,T2M,1989,    3.53,    5.82,    9.51,    8.37,   16.11,   19.25,   23.36,   23.19,   17.12,   13.85,    9.38,    7.28,   13.12
41.33773,-1.22487,T2M,1990,    3.90,    9.12,    8.31,    8.92,   16.67,   20.74,   23.87,   22.95,   19.69,   13.13,    6.96,    2.05,   13.05
41.33773,-1.22487,T2M,1991,    3.00,    3.38,    8.51,    8.41,   11.91,   19.24,   23.24,   25.04,   19.29,   10.26,    6.53,    3.67,   11.93
41.33773,-1.22487,T2M,1992,    1.21,    4.21,    6.67,   10.69,   16.44,   15.04,   22.31,   23.80,   18.52,   10.45,    9.47,    4.81,   11.99
41.33773,-1.22487,T2M,1993,    3.94,    3.37,    7.41,   10.14,   14.81,   19.76,   21.35,   22.88,   16.32,    9.77,    6.08,    5.72,   11.85
41.33773,-1.22487,T2M,1994,    3.65,    5.51,   10.32,    8.96,   16.36,   20.19,   25.97,   24.59,   16.25,   12.74,    9.46,    5.30,   13.33
41.33773,-1.22487,T2M,1995,    4.35,    7.25,    7.48,   10.87,   15.58,   18.60,   24.30,   21.16,   15.49,   15.41,    9.27,    5.56,   12.98
41.33773,-1.22487,T2M,1996,    5.52,    3.23,    6.88,   10.58,   14.27,   19.51,   21.92,   20.36,   15.66,   12.27,    7.82,    4.67,   11.92
41.33773,-1.22487,T2M,1997,    4.00,    7.89,   10.22,   11.99,   15.35,   17.76,   19.33,   22.28,   18.73,   14.58,    8.10,    4.84,   12.95
41.33773,-1.22487,T2M,1998,    4.26,    6.73,    9.29,    9.28,   13.69,   19.75,   22.43,   22.05,   18.48,   11.83,    6.40,    3.75,   12.36
41.33773,-1.22487,T2M,1999,    3.94,    3.73,    7.48,   10.69,   16.75,   18.91,   22.49,   22.96,   18.33,   13.05,    4.82,    4.18,   12.34
41.33773,-1.22487,T2M,2000,    1.61,    7.35,    8.19,    9.77,   16.43,   20.15,   21.75,   22.94,   19.17,   12.13,    6.70,    5.82,   12.68
41.33773,-1.22487,T2M,2001,    5.07,    4.91,   10.83,   10.48,   14.84,   21.00,   22.12,   23.33,   16.56,   15.13,    4.60,    1.72,   12.61
41.33773,-1.22487,T2M,2002,    4.73,    6.18,    8.65,   10.72,   14.07,   21.05,   21.38,   19.98,   16.82,   13.21,    8.19,    6.45,   12.65
41.33773,-1.22487,T2M,2003,    3.27,    3.37,    9.26,   10.98,   15.17,   23.45,   24.06,   25.17,   17.77,   11.51,    8.46,    4.72,   13.16
41.33773,-1.22487,T2M,2004,    5.57,    4.50,    5.96,    8.91,   13.12,   20.73,   21.73,   22.70,   18.92,   14.61,    6.48,    4.18,   12.31
41.33773,-1.22487,T2M,2005,    3.09,    1.44,    7.75,   11.74,   16.94,   22.70,   23.32,   21.61,   17.50,   13.98,    6.41,    2.81,   12.51
41.33773,-1.22487,T2M,2006,    2.41,    3.25,    9.13,   11.93,   17.32,   21.01,   24.99,   19.97,   19.45,   15.80,   10.14,    4.06,   13.34
41.33773,-1.22487,T2M,2007,    4.75,    6.99,    7.07,   11.26,   14.52,   19.38,   22.13,   20.56,   17.43,   12.30,    5.63,    3.93,   12.19
41.33773,-1.22487,T2M,2008,    5.79,    6.80,    7.64,   11.55,   14.28,   17.90,   22.32,   22.55,   17.09,   11.94,    5.44,    3.63,   12.27
