-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  42.3166   Longitude 1.6112 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 1285.15 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
42.31659,1.61116,T2M,1981,   -0.80,   -0.26,    5.83,    6.70,    9.36,   15.50,   16.40,   17.88,   14.55,    9.50,    6.42,    0.90,    8.54
42.31659,1.61116,T2M,1982,    2.11,    1.93,    1.93,    6.84,   10.48,   15.82,   19.71,   17.10,   13.96,    8.28,    4.16,    0.56,    8.61
42.31659,1.61116,T2M,1983,    2.49,   -1.10,    4.41,    5.55,    9.38,   15.45,   20.52,   16.97,   15.78,   10.34,    6.39,    1.96,    9.08
42.31659,1.61116,T2M,1984,    0.23,   -0.41,    0.79,    7.11,    6.73,   13.99,   19.10,   16.00,   12.85,    8.77,    5.52,    0.79,    7.64
42.31659,1.61116,T2M,1985,   -4.66,    3.45,    1.31,    7.22,    8.69,   15.18,   19.84,   18.21,   16.52,   10.94,    2.18,    1.98,    8.43
42.31659,1.61116,T2M,1986,   -0.81,   -1.71,    3.84,    3.80,   12.76,   15.69,   18.54,   18.58,   15.27,   10.33,    4.90,    0.65,    8.55
42.31659,1.61116,T2M,1987,   -1.81,    0.71,    3.25,    7.80,    9.60,   14.60,   17.66,   19.73,   17.53,    9.96,    3.51,    4.09,    8.93
42.31659,1.61116,T2M,1988,    2.11,    0.29,    3.05,    6.73,   10.89,   13.70,   18.50,   18.96,   14.94,   11.27,    5.03,    1.31,    8.93
42.31659,1.61116,T2M,1989,    1.52,    2.57,    6.17,    4.97,   12.34,   15.86,   19.97,   18.84,   13.58,   10.64,    5.78,    3.42,    9.69
42.31659,1.61116,T2M,1990,    1.86,    5.76,    5.39,    5.50,   12.16,   15.73,   19.69,   18.84,   15.70,    9.80,    3.41,   -1.37,    9.39
42.31659,1.61116,T2M,1991,    0.37,    0.31,    5.53,    5.10,    8.31,   15.23,   19.84,   20.67,   15.44,    7.72,    3.57,    1.10,    8.65
42.31659,1.61116,T2M,1992,   -0.58,    1.57,    4.00,    6.54,   12.13,   11.71,   18.08,   19.39,   14.56,    7.18,    6.73,    1.76,    8.61
42.31659,1.61116,T2M,1993,    2.27,    0.10,    3.91,    6.06,   10.77,   15.90,   17.89,   19.02,   12.38,    6.64,    3.89,    2.02,    8.46
42.31659,1.61116,T2M,1994,    0.34,    1.24,    7.36,    4.71,   11.96,   15.95,   21.58,   20.73,   12.56,    9.40,    7.02,    2.68,    9.69
42.31659,1.61116,T2M,1995,   -0.65,    3.88,    3.19,    7.30,   11.06,   14.33,   20.01,   17.55,   11.66,   11.54,    5.23,    2.48,    9.00
42.31659,1.61116,T2M,1996,    2.21,   -0.91,    3.28,    6.59,   10.37,   15.12,   17.70,   16.81,   11.88,    8.79,    4.08,    1.65,    8.17
42.31659,1.61116,T2M,1997,    0.20,    4.56,    7.25,    7.75,   11.62,   14.51,   16.93,   18.39,   15.71,   11.36,    5.07,    1.62,    9.61
42.31659,1.61116,T2M,1998,    0.90,    4.57,    5.28,    4.92,   10.87,   16.17,   19.57,   18.77,   13.98,    8.96,    2.67,    0.92,    9.00
42.31659,1.61116,T2M,1999,    0.43,   -0.05,    4.02,    6.51,   12.83,   15.18,   18.69,   18.88,   15.02,   10.23,    1.53,    0.55,    8.71
42.31659,1.61116,T2M,2000,   -0.26,    4.34,    4.92,    6.22,   12.93,   15.87,   17.16,   18.66,   15.13,    8.36,    3.20,    2.88,    9.13
42.31659,1.61116,T2M,2001,    0.78,    0.96,    6.57,    6.38,   11.49,   16.96,   18.41,   19.92,   12.82,   11.99,    2.64,   -0.36,    9.11
42.31659,1.61116,T2M,2002,    1.75,    2.85,    5.30,    7.30,   10.04,   17.13,   17.98,   16.27,   13.12,    9.88,    4.70,    2.54,    9.11
42.31659,1.61116,T2M,2003,   -0.89,   -1.38,    5.73,    7.15,   12.16,   19.57,   20.25,   21.52,   14.27,    7.99,    5.95,    1.16,    9.52
42.31659,1.61116,T2M,2004,    0.86,    1.82,    2.63,    5.59,    9.61,   16.20,   17.57,   18.25,   14.81,   10.60,    3.40,    1.07,    8.55
42.31659,1.61116,T2M,2005,   -0.07,   -3.01,    3.16,    6.98,   12.76,   18.09,   19.53,   17.22,   14.13,   10.50,    3.63,   -1.07,    8.56
42.31659,1.61116,T2M,2006,   -0.40,    0.69,    4.33,    8.26,   13.15,   17.52,   21.37,   16.14,   15.46,   12.05,    6.66,    1.84,    9.81
42.31659,1.61116,T2M,2007,    2.83,    3.58,    3.24,    8.85,   11.75,   15.71,   18.32,   17.40,   14.07,    9.42,    3.56,    0.85,    9.16
42.31659,1.61116,T2M,2008,    3.09,    3.64,    3.30,    6.91,   10.60,   14.98,   18.79,   18.90,   13.64,    9.40,    2.34,   -0.39,    8.79
42.31659,1.61116,T2M,2009,   -0.25,    0.64,    4.63,    6.27,   13.33,   17.17,   19.49,   20.34,   14.71,   10.99,    5.58,    0.98,    9.55
42.31659,1.61116,T2M,2010,   -1.34,   -0.78,    2.22,    7.77,    9.32,   14.60,   20.36,   18.34,   14.21,    8.41,    2.52,   -0.44,    7.99
42.31659,1.61116,T2M,2011,    0.83,    2.61,    3.94,   10.24,   13.51,   15.74,   17.12,   19.63,   16.61,   11.02,    6.72,    2.16,   10.05
42.31659,1.61116,T2M,2012,    1.51,   -2.85,    5.52,    5.69,   12.61,   18.17,   18.82,   20.90,   14.55,   10.36,    4.87,    1.09,    9.32
42.31659,1.61116,T2M,2013,    0.68,   -1.45,    3.38,    6.72,    8.13,   13.72,   19.20,   18.21,   15.05,   11.71,    2.50,    1.57,    8.35
42.31659,1.61116,T2M,2014,    2.15,    1.38,    4.44,    9.27,   10.37,   16.28,   17.18,   17.64,   15.94,   12.47,    6.37,    0.90,    9.57
42.31659,1.61116,T2M,2015,    0.30,   -1.63,    4.14,    8.15,   12.67,   16.79,   21.73,   18.62,   13.19,    9.61,    6.80,    4.88,    9.68
42.31659,1.61116,T2M,2016,    2.37,    2.09,    2.35,    6.46,   10.28,   15.50,   19.77,   19.35,   15.79,   10.94,    4.74,    3.58,    9.46
42.31659,1.61116,T2M,2017,   -1.30,    3.48,    6.30,    8.04,   12.76,   18.79,   19.54,   19.79,   13.08,   11.85,    3.52,   -0.24,    9.67
42.31659,1.61116,T2M,2018,    2.05,   -2.11,    2.42,    8.03,   10.35,   15.58,   19.17,   18.40,   16.01,    9.51,    4.77,    4.00,    9.08
42.31659,1.61116,T2M,2019,   -0.67,    3.45,    5.11,    6.15,    9.63,   16.73,   20.28,   19.65,   15.26,   11.49,    2.80,    4.11,    9.54
42.31659,1.61116,RH2M,1981,   77.64,   72.35,   73.01,   73.14,   68.40,   60.30,   61.78,   56.94,   67.93,   72.28,   64.36,   82.95,   69.26
42.31659,1.61116,RH2M,1982,   82.27,   84.29,   77.63,   71.80,   70.86,   66.81,   54.76,   64.36,   69.36,   77.17,   83.01,   85.21,   73.89
42.31659,1.61116,RH2M,1983,   63.63,   79.63,   70.31,   68.79,   66.50,   60.29,   46.79,   62.77,   57.76,   64.86,   87.11,   74.50,   66.79
42.31659,1.61116,RH2M,1984,   79.79,   76.44,   74.65,   65.58,   72.62,   66.37,   48.90,   61.61,   61.68,   71.03,   83.54,   78.04,   70.00
42.31659,1.61116,RH2M,1985,   80.67,   76.15,   70.57,   66.76,   72.29,   65.77,   54.35,   51.03,   53.83,   67.19,   75.01,   73.55,   67.21
42.31659,1.61116,RH2M,1986,   81.60,   83.74,   71.08,   73.62,   61.88,   56.58,   48.98,   50.47,   64.63,   75.22,   74.53,   77.59,   68.21
42.31659,1.61116,RH2M,1987,   81.72,   79.27,   73.05,   71.50,   64.65,   59.43,   63.24,   53.50,   60.03,   80.34,   77.21,   80.46,   70.33
