-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  25.6802   Longitude -100.3153 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 869.9 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
25.68021,-100.31525,T2M,1981,   11.24,   14.35,   17.08,   21.37,   23.90,   25.43,   25.43,   25.52,   23.19,   21.13,   17.83,   14.76,   20.13
25.68021,-100.31525,T2M,1982,   14.79,   14.39,   20.76,   23.74,   23.92,   27.78,   27.18,   26.60,   24.54,   20.46,   16.14,   12.81,   21.13
25.68021,-100.31525,T2M,1983,   11.96,   14.21,   17.87,   21.27,   25.77,   26.06,   25.35,   25.12,   22.82,   20.10,   17.81,   11.58,   20.02
25.68021,-100.31525,T2M,1984,    9.58,   13.44,   18.65,   23.53,   24.15,   25.41,   24.99,   25.48,   21.94,   22.00,   16.19,   16.60,   20.18
25.68021,-100.31525,T2M,1985,   10.05,   13.08,   19.16,   21.30,   24.43,   24.89,   25.37,   26.29,   24.38,   21.30,   18.79,   12.27,   20.14
25.68021,-100.31525,T2M,1986,   12.87,   16.71,   18.28,   23.56,   24.58,   24.55,   25.51,   26.12,   24.05,   19.84,   16.73,   11.78,   20.39
25.68021,-100.31525,T2M,1987,   11.51,   13.83,   15.61,   19.33,   24.04,   24.81,   25.01,   26.05,   23.79,   19.59,   15.24,   14.92,   19.51
25.68021,-100.31525,T2M,1988,   10.03,   13.56,   17.29,   21.70,   24.31,   25.28,   25.50,   25.06,   22.93,   19.99,   17.72,   13.45,   19.75
25.68021,-100.31525,T2M,1989,   15.32,   14.85,   18.53,   22.85,   27.61,   27.66,   26.78,   25.30,   22.68,   20.30,   16.85,    9.37,   20.70
25.68021,-100.31525,T2M,1990,   14.30,   16.02,   19.12,   22.76,   26.45,   28.43,   25.80,   26.07,   23.35,   19.96,   17.30,   13.79,   21.13
25.68021,-100.31525,T2M,1991,   12.70,   15.31,   20.84,   24.71,   26.16,   26.35,   24.83,   26.53,   22.13,   20.73,   14.40,   13.43,   20.71
25.68021,-100.31525,T2M,1992,   10.70,   14.39,   18.56,   20.86,   23.03,   27.81,   27.02,   25.73,   24.23,   21.02,   14.69,   15.08,   20.28
25.68021,-100.31525,T2M,1993,   13.59,   15.84,   18.35,   22.35,   24.25,   25.12,   25.88,   26.06,   23.11,   19.82,   15.23,   14.30,   20.35
25.68021,-100.31525,T2M,1994,   13.42,   15.44,   19.10,   22.57,   26.05,   27.72,   28.04,   25.91,   23.30,   22.04,   20.11,   15.64,   21.64
25.68021,-100.31525,T2M,1995,   14.06,   17.33,   19.23,   23.29,   27.69,   26.70,   27.11,   25.26,   24.28,   21.11,   17.29,   13.52,   21.42
25.68021,-100.31525,T2M,1996,   13.25,   16.21,   16.77,   22.20,   27.82,   27.46,   27.99,   25.54,   24.64,   20.57,   17.32,   14.08,   21.16
25.68021,-100.31525,T2M,1997,   11.66,   15.23,   18.78,   19.50,   23.46,   26.72,   27.41,   27.55,   24.60,   19.87,   16.31,   12.14,   20.29
25.68021,-100.31525,T2M,1998,   15.08,   15.34,   17.84,   22.70,   29.17,   29.55,   28.20,   26.82,   24.59,   21.16,   18.60,   13.93,   21.95
25.68021,-100.31525,T2M,1999,   14.56,   18.18,   20.64,   25.25,   27.37,   26.71,   25.47,   26.80,   23.99,   20.01,   17.00,   13.06,   21.60
25.68021,-100.31525,T2M,2000,   15.84,   18.47,   21.81,   24.08,   27.41,   26.40,   27.97,   25.83,   24.86,   19.47,   15.99,   11.82,   21.67
25.68021,-100.31525,T2M,2001,   12.59,   16.81,   17.69,   24.26,   25.87,   27.42,   27.11,   27.05,   23.48,   20.27,   17.17,   13.94,   21.15
25.68021,-100.31525,T2M,2002,   14.12,   13.34,   19.20,   25.31,   27.10,   27.43,   25.73,   26.55,   23.01,   21.36,   15.43,   12.96,   21.00
25.68021,-100.31525,T2M,2003,   12.05,   15.05,   18.69,   23.58,   28.13,   27.43,   25.88,   26.26,   22.83,   20.13,   17.39,   12.57,   20.86
