-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  36.7213   Longitude -4.4216 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 355.87 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
36.72131,-4.42163,T2M,1981,    9.50,   10.15,   14.29,   13.75,   16.92,   22.25,   23.73,   24.09,   22.14,   19.13,   15.94,   12.14,   17.04
36.72131,-4.42163,T2M,1982,   11.20,   10.62,   13.24,   14.42,   17.66,   22.51,   23.90,   23.89,   21.81,   16.49,   12.99,    9.49,   16.55
36.72131,-4.42163,T2M,1983,   10.65,    9.39,   13.51,   13.90,   16.36,   22.58,   24.43,   23.29,   23.60,   19.96,   15.40,   11.70,   17.11
36.72131,-4.42163,T2M,1984,    9.84,   10.16,   10.72,   14.91,   14.41,   19.49,   25.00,   23.90,   22.39,   16.86,   13.57,   11.49,   16.08
36.72131,-4.42163,T2M,1985,    9.25,   12.07,   11.49,   15.14,   16.28,   21.62,   24.66,   24.92,   23.52,   19.66,   14.10,   11.41,   17.03
36.72131,-4.42163,T2M,1986,    9.89,   10.23,   12.23,   12.14,   19.02,   21.45,   24.65,   25.05,   22.50,   18.67,   14.17,   10.91,   16.79
36.72131,-4.42163,T2M,1987,   10.01,   10.96,   13.98,   15.78,   18.07,   21.87,   23.97,   24.53,   23.39,   17.14,   13.37,   12.53,   17.17
36.72131,-4.42163,T2M,1988,   10.99,   10.83,   13.34,   14.88,   16.84,   19.85,   24.44,   26.21,   22.40,   18.15,   14.75,   11.08,   17.00
36.72131,-4.42163,T2M,1989,   10.58,   11.42,   13.59,   13.46,   17.83,   22.31,   25.93,   26.14,   21.84,   18.73,   14.74,   13.20,   17.53
36.72131,-4.42163,T2M,1990,   10.53,   12.90,   13.56,   13.65,   17.74,   21.65,   24.83,   25.35,   23.62,   17.47,   13.20,   10.18,   17.08
