-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  42.6126   Longitude -1.8308 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 530.86 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
42.61256,-1.83078,T2M,1981,    4.22,    3.70,    9.03,    9.79,   12.29,   16.65,   17.75,   19.29,   17.14,   12.64,    8.96,    5.71,   11.48
42.61256,-1.83078,T2M,1982,    6.06,    5.79,    6.64,    9.31,   13.27,   17.95,   20.40,   17.99,   17.25,   11.38,    7.75,    4.78,   11.58
42.61256,-1.83078,T2M,1983,    4.39,    3.32,    7.51,    8.93,   11.61,   17.10,   21.38,   18.61,   17.52,   13.07,   10.36,    4.75,   11.59
42.61256,-1.83078,T2M,1984,    4.44,    3.22,    4.90,   10.63,    9.41,   15.94,   19.84,   18.27,   15.16,   12.08,    8.85,    4.22,   10.60
42.61256,-1.83078,T2M,1985,   -0.14,    6.86,    5.08,   10.29,   11.54,   16.34,   20.45,   18.44,   18.67,   14.41,    5.05,    5.25,   11.04
42.61256,-1.83078,T2M,1986,    4.46,    3.51,    7.16,    6.11,   14.64,   17.11,   19.23,   19.31,   17.75,   13.82,    7.56,    5.07,   11.37
42.61256,-1.83078,T2M,1987,    1.78,    4.76,    7.25,   11.76,   11.97,   16.09,   19.22,   21.07,   20.57,   13.11,    7.67,    6.13,   11.81
42.61256,-1.83078,T2M,1988,    6.26,    4.79,    6.69,   10.18,   13.64,   15.67,   18.20,   19.27,   16.76,   13.60,    8.26,    4.16,   11.48
42.61256,-1.83078,T2M,1989,    3.72,    6.33,    9.20,    7.72,   15.76,   17.96,   21.34,   21.05,   17.08,   13.86,    9.89,    8.00,   12.71
42.61256,-1.83078,T2M,1990,    4.86,    9.18,    8.62,    9.03,   15.89,   17.64,   21.67,   21.90,   19.10,   13.76,    7.42,    2.27,   12.63
42.61256,-1.83078,T2M,1991,    3.45,    3.98,    8.87,    8.18,   11.44,   16.33,   20.69,   22.95,   19.18,   10.48,    7.22,    4.33,   11.47
42.61256,-1.83078,T2M,1992,    2.06,    4.53,    7.04,    9.84,   15.55,   14.47,   20.02,   21.34,   16.52,   10.20,    9.78,    5.70,   11.44
42.61256,-1.83078,T2M,1993,    4.81,    4.04,    7.46,    9.58,   13.86,   17.63,   18.10,   20.14,   15.21,   10.25,    6.57,    6.35,   11.21
42.61256,-1.83078,T2M,1994,    4.18,    5.82,    9.98,    8.31,   14.46,   17.24,   21.82,   21.56,   15.40,   12.76,    9.80,    6.07,   12.33
42.61256,-1.83078,T2M,1995,    4.76,    7.12,    7.07,    9.78,   14.09,   16.76,   21.72,   20.17,   14.64,   15.20,    8.96,    5.70,   12.20
42.61256,-1.83078,T2M,1996,    6.48,    3.50,    7.04,    9.99,   13.21,   17.87,   19.60,   18.47,   14.82,   12.13,    8.16,    4.78,   11.37
42.61256,-1.83078,T2M,1997,    4.54,    7.99,    9.85,   11.18,   14.88,   15.97,   17.50,   20.81,   17.78,   14.41,    8.31,    5.26,   12.40
42.61256,-1.83078,T2M,1998,    4.97,    6.81,    8.73,    8.74,   13.37,   17.07,   18.66,   20.29,   17.25,   11.43,    6.54,    4.32,   11.54
42.61256,-1.83078,T2M,1999,    4.21,    4.11,    7.70,   10.08,   15.37,   16.41,   19.70,   20.23,   18.06,   12.89,    5.45,    4.65,   11.62
42.61256,-1.83078,T2M,2000,    2.39,    7.13,    7.49,    9.69,   15.07,   18.11,   18.93,   20.23,   17.85,   12.04,    7.13,    6.61,   11.90
42.61256,-1.83078,T2M,2001,    5.59,    5.36,   10.37,    9.35,   13.73,   17.50,   18.93,   20.90,   15.37,   15.20,    5.46,    2.01,   11.70
42.61256,-1.83078,T2M,2002,    5.33,    6.42,    8.96,   10.18,   13.03,   18.18,   19.02,   18.61,   16.70,   13.39,    8.70,    6.97,   12.16
