-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  41.2891   Longitude 1.5896 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 195.51 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
41.28908,1.58956,T2M,1981,    8.18,    8.17,   12.59,   13.38,   16.28,   21.22,   22.30,   23.91,   21.65,   17.88,   14.34,   10.33,   15.90
41.28908,1.58956,T2M,1982,   10.00,    9.63,   10.55,   13.23,   16.17,   21.66,   25.09,   23.60,   21.54,   16.75,   12.65,    9.25,   15.88
41.28908,1.58956,T2M,1983,    9.22,    7.74,   11.31,   12.99,   16.28,   20.66,   24.87,   23.36,   22.07,   17.99,   14.34,    9.98,   15.95
41.28908,1.58956,T2M,1984,    8.42,    8.34,    9.35,   13.32,   13.99,   19.16,   23.57,   22.86,   20.33,   16.60,   13.57,    9.57,   14.94
41.28908,1.58956,T2M,1985,    5.41,   10.50,   10.12,   14.02,   15.13,   20.61,   24.73,   23.56,   22.85,   18.78,   11.46,   10.10,   15.63
41.28908,1.58956,T2M,1986,    8.27,    8.03,   11.13,   11.48,   18.10,   20.69,   23.77,   24.35,   22.06,   17.87,   13.57,    9.35,   15.77
41.28908,1.58956,T2M,1987,    7.54,    8.89,   10.70,   13.92,   15.97,   20.27,   24.00,   24.70,   23.83,   17.99,   12.46,   11.18,   15.99
41.28908,1.58956,T2M,1988,   10.05,    9.07,   11.34,   13.38,   17.00,   20.18,   23.91,   24.80,   21.84,   18.69,   13.09,    9.30,   16.08
41.28908,1.58956,T2M,1989,    9.34,   10.41,   12.48,   12.64,   17.54,   21.24,   24.74,   25.18,   20.90,   18.02,   13.98,   11.42,   16.53
41.28908,1.58956,T2M,1990,    9.43,   12.20,   12.29,   13.12,   18.28,   21.35,   24.62,   24.87,   22.63,   18.07,   12.16,    7.73,   16.42
41.28908,1.58956,T2M,1991,    8.66,    8.69,   12.24,   12.40,   15.12,   20.20,   24.50,   25.42,   22.70,   15.93,   11.82,    9.28,   15.62
41.28908,1.58956,T2M,1992,    7.49,    9.03,   11.43,   13.69,   17.60,   18.25,   23.17,   25.10,   21.05,   15.66,   13.76,   10.24,   15.56
41.28908,1.58956,T2M,1993,    9.00,    8.93,   11.08,   13.42,   17.03,   21.49,   22.85,   24.22,   20.28,   15.41,   11.76,    9.89,   15.48
41.28908,1.58956,T2M,1994,    8.73,    9.48,   13.00,   12.73,   17.67,   21.52,   25.76,   25.93,   20.86,   16.84,   14.53,   10.43,   16.50
41.28908,1.58956,T2M,1995,    8.55,   11.03,   11.16,   13.99,   17.21,   19.91,   24.58,   24.13,   19.85,   18.60,   13.71,   10.66,   16.15
41.28908,1.58956,T2M,1996,   10.57,    8.46,   10.74,   13.63,   16.57,   21.21,   23.35,   23.65,   19.63,   16.50,   12.57,   10.23,   15.62
41.28908,1.58956,T2M,1997,    8.89,   10.82,   13.12,   14.37,   17.22,   20.58,   22.60,   24.52,   21.75,   19.01,   13.39,    9.90,   16.38
41.28908,1.58956,T2M,1998,    9.60,   10.78,   12.30,   12.98,   17.08,   20.99,   24.34,   24.94,   21.42,   16.99,   11.89,    9.74,   16.12
41.28908,1.58956,T2M,1999,    9.28,    8.94,   11.70,   13.98,   18.10,   20.97,   24.00,   24.87,   22.27,   17.70,   10.83,    8.90,   16.01
41.28908,1.58956,T2M,2000,    7.87,   11.06,   11.90,   13.18,   18.27,   21.19,   23.07,   24.17,   21.52,   16.93,   11.74,   10.71,   15.99
41.28908,1.58956,T2M,2001,    9.34,    9.53,   13.59,   13.68,   17.54,   22.01,   23.59,   24.99,   20.54,   19.35,   11.83,    7.57,   16.17
41.28908,1.58956,T2M,2002,    9.19,   10.33,   12.23,   13.92,   16.07,   21.95,   23.27,   22.74,   20.75,   17.50,   13.44,   10.72,   16.04
41.28908,1.58956,T2M,2003,    8.19,    8.15,   11.80,   13.74,   17.69,   24.17,   25.51,   27.35,   21.25,   16.26,   13.23,    9.63,   16.46
41.28908,1.58956,T2M,2004,    9.32,    9.15,   10.30,   12.57,   15.83,   21.82,   23.26,   24.79,   21.84,   18.91,   12.17,    9.92,   15.84
41.28908,1.58956,T2M,2005,    7.94,    7.11,   10.31,   13.72,   18.11,   22.96,   24.74,   23.58,   21.23,   18.39,   12.43,    7.59,   15.72
41.28908,1.58956,T2M,2006,    8.19,    8.77,   11.57,   14.68,   18.30,   21.71,   26.52,   23.89,   22.02,   19.50,   15.03,   10.28,   16.75
41.28908,1.58956,T2M,2007,    9.91,   10.86,   11.46,   14.85,   18.11,   21.57,   23.65,   23.39,   21.35,   17.42,   12.13,    9.40,   16.21
41.28908,1.58956,T2M,2008,   10.24,   10.68,   11.38,   13.89,   16.54,   20.92,   23.85,   24.71,   21.37,   17.34,   11.57,    8.77,   15.96
41.28908,1.58956,T2M,2009,    8.24,    9.24,   11.39,   13.37,   18.41,   22.36,   24.59,   25.72,   21.94,   18.51,   13.83,    9.48,   16.47
41.28908,1.58956,T2M,2010,    7.55,    8.22,    9.96,   13.85,   16.44,   20.74,   25.47,   24.37,   21.61,   16.92,   11.60,    8.57,   15.48
41.28908,1.58956,T2M,2011,    8.59,    9.86,   11.22,   15.80,   18.71,   20.99,   22.95,   24.78,   22.99,   19.10,   14.90,   10.30,   16.72
41.28908,1.58956,T2M,2012,    9.33,    6.79,   12.09,   13.06,   18.00,   22.64,   23.70,   25.83,   21.95,   18.15,   12.95,    9.71,   16.22
41.28908,1.58956,T2M,2013,    8.84,    8.11,   11.10,   13.30,   15.37,   20.03,   25.14,   24.59,   22.05,   19.71,   12.35,    9.75,   15.91
41.28908,1.58956,T2M,2014,    9.70,    9.89,   11.90,   15.20,   16.95,   21.89,   23.66,   23.94,   22.70,   19.82,   14.77,    9.93,   16.73
41.28908,1.58956,T2M,2015,    9.11,    8.20,   11.82,   14.39,   18.76,   22.85,   26.48,   24.62,   20.91,   17.47,   14.17,   12.14,   16.80
