-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  41.2138   Longitude 0.8116 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 296.64 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
41.21381,0.81163,T2M,1981,    6.66,    6.25,   12.15,   12.72,   15.78,   22.22,   22.62,   24.06,   21.28,   16.33,   12.51,    8.38,   15.13
41.21381,0.81163,T2M,1982,    8.43,    8.41,    9.61,   13.19,   16.63,   22.34,   25.78,   23.39,   20.45,   15.04,   10.54,    6.89,   15.10
41.21381,0.81163,T2M,1983,    6.55,    6.05,   10.51,   12.51,   16.47,   21.60,   25.77,   23.38,   21.71,   16.73,   12.71,    7.52,   15.18
41.21381,0.81163,T2M,1984,    6.52,    6.53,    7.79,   13.16,   13.52,   20.02,   24.87,   22.97,   19.58,   15.32,   11.88,    6.74,   14.09
41.21381,0.81163,T2M,1985,    2.61,    9.52,    8.76,   13.92,   15.03,   21.60,   25.57,   24.02,   22.70,   17.40,    9.05,    7.59,   14.84
41.21381,0.81163,T2M,1986,    6.60,    6.38,   10.20,   10.70,   18.66,   21.65,   24.44,   24.33,   21.55,   16.34,   11.10,    7.09,   14.97
41.21381,0.81163,T2M,1987,    5.19,    7.35,   10.18,   14.09,   16.35,   21.09,   24.49,   25.09,   23.55,   16.14,   10.09,    8.56,   15.22
41.21381,0.81163,T2M,1988,    8.31,    7.23,   10.15,   12.79,   16.91,   20.09,   24.23,   24.88,   21.39,   17.31,   11.09,    6.47,   15.10
41.21381,0.81163,T2M,1989,    6.75,    8.79,   11.99,   11.88,   18.09,   22.38,   26.06,   25.45,   19.98,   16.54,   12.43,    9.61,   15.88
41.21381,0.81163,T2M,1990,    6.85,   11.20,   11.26,   12.32,   18.37,   21.76,   25.61,   25.21,   22.16,   16.42,   10.00,    5.03,   15.54
41.21381,0.81163,T2M,1991,    6.11,    6.66,   11.59,   11.73,   15.30,   21.24,   25.34,   26.32,   22.11,   14.09,    9.75,    7.00,   14.82
41.21381,0.81163,T2M,1992,    4.32,    6.99,   10.25,   13.53,   17.82,   17.98,   23.80,   25.30,   20.41,   13.95,   11.89,    7.96,   14.54
41.21381,0.81163,T2M,1993,    6.09,    7.01,   10.03,   12.99,   17.07,   22.07,   23.51,   24.38,   19.35,   13.74,    9.51,    7.87,   14.51
41.21381,0.81163,T2M,1994,    6.62,    8.26,   12.64,   12.27,   18.29,   22.48,   26.65,   26.36,   19.68,   15.35,   12.43,    7.97,   15.80
41.21381,0.81163,T2M,1995,    6.59,    9.68,   10.23,   13.78,   17.58,   20.87,   25.57,   24.21,   19.01,   17.80,   12.11,    8.60,   15.54
41.21381,0.81163,T2M,1996,    8.89,    6.60,    9.76,   13.24,   16.78,   21.98,   24.34,   23.72,   18.75,   15.16,   10.90,    8.05,   14.88
41.21381,0.81163,T2M,1997,    7.00,    9.72,   12.67,   14.35,   17.62,   20.82,   22.80,   24.25,   21.38,   17.78,   11.28,    7.63,   15.64
41.21381,0.81163,T2M,1998,    7.59,    9.23,   11.44,   12.26,   16.94,   21.80,   25.05,   24.89,   20.83,   15.18,    9.29,    6.68,   15.14
41.21381,0.81163,T2M,1999,    6.77,    6.87,   10.53,   13.62,   18.16,   21.63,   24.83,   25.18,   21.20,   16.04,    8.02,    6.63,   15.01
41.21381,0.81163,T2M,2000,    4.92,    9.76,   11.19,   12.71,   18.60,   21.90,   23.46,   24.47,   20.86,   15.19,    9.63,    8.59,   15.12
41.21381,0.81163,T2M,2001,    7.63,    7.73,   13.32,   13.38,   17.68,   22.93,   23.64,   25.47,   19.58,   17.90,    8.65,    4.37,   15.24
41.21381,0.81163,T2M,2002,    7.15,    8.78,   11.55,   13.49,   16.01,   22.08,   23.94,   22.53,   19.72,   16.07,   11.34,    8.75,   15.15
