-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  42.4103   Longitude -7.7262 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 650.43 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
42.4103,-7.72618,T2M,1981,    4.81,    4.83,    8.46,    9.03,   10.29,   17.74,   20.06,   22.24,   17.16,   11.61,   10.43,    6.75,   11.99
42.4103,-7.72618,T2M,1982,    6.17,    6.51,    7.42,   10.57,   12.39,   16.11,   19.36,   19.95,   17.74,   10.84,    7.45,    5.43,   11.69
42.4103,-7.72618,T2M,1983,    4.16,    4.21,    8.63,    7.48,    9.44,   16.44,   18.09,   18.39,   18.55,   13.69,   10.63,    6.51,   11.39
42.4103,-7.72618,T2M,1984,    5.40,    4.79,    5.41,   12.83,    8.90,   16.42,   19.22,   19.33,   16.32,   12.18,    7.93,    6.11,   11.25
42.4103,-7.72618,T2M,1985,    3.03,    6.96,    6.12,   10.29,   11.58,   15.59,   20.64,   18.69,   21.39,   14.35,    6.78,    6.30,   11.83
42.4103,-7.72618,T2M,1986,    4.61,    5.22,    6.92,    6.01,   12.48,   15.60,   21.63,   18.16,   17.19,   13.97,    7.95,    5.67,   11.33
42.4103,-7.72618,T2M,1987,    4.20,    5.90,    8.57,   10.29,   12.73,   16.18,   21.03,   22.25,   20.21,   10.62,    8.34,    7.49,   12.35
42.4103,-7.72618,T2M,1988,    6.38,    5.64,    7.73,    9.18,   11.59,   15.28,   17.50,   19.45,   18.39,   12.84,    9.17,    4.48,   11.49
42.4103,-7.72618,T2M,1989,    4.88,    6.30,    8.81,    7.81,   15.86,   18.30,   23.71,   21.78,   17.42,   15.02,    9.03,    8.23,   13.15
42.4103,-7.72618,T2M,1990,    4.60,    8.46,    8.54,    8.74,   14.81,   17.54,   23.31,   22.44,   19.11,   12.11,    6.99,    3.64,   12.55
42.4103,-7.72618,T2M,1991,    4.22,    4.09,    7.68,    8.63,   13.28,   16.54,   20.46,   22.16,   18.31,   10.05,    7.65,    5.75,   11.61
42.4103,-7.72618,T2M,1992,    2.59,    5.27,    7.93,    9.54,   14.65,   14.22,   21.46,   19.83,   15.51,    9.89,    9.74,    5.61,   11.38
42.4103,-7.72618,T2M,1993,    5.46,    4.90,    7.57,    8.53,   11.43,   16.39,   18.89,   20.24,   13.97,    9.34,    6.96,    7.26,   10.95
42.4103,-7.72618,T2M,1994,    5.66,    5.22,    9.92,    8.58,   11.49,   16.81,   20.68,   19.66,   14.64,   12.91,    9.51,    7.12,   11.90
42.4103,-7.72618,T2M,1995,    6.04,    7.00,    8.21,   10.99,   13.99,   18.21,   20.80,   21.57,   14.99,   14.49,    9.67,    6.45,   12.74
42.4103,-7.72618,T2M,1996,    5.84,    4.38,    7.03,   10.46,   11.79,   18.36,   20.84,   18.65,   15.61,   11.80,    8.11,    5.39,   11.54
42.4103,-7.72618,T2M,1997,    4.54,    7.77,   11.47,   12.92,   12.45,   13.88,   19.44,   20.30,   19.06,   14.76,    8.77,    6.38,   12.67
42.4103,-7.72618,T2M,1998,    5.89,    7.55,    9.75,    7.48,   12.90,   16.08,   19.60,   23.38,   16.74,   11.63,    8.38,    4.65,   12.04
42.4103,-7.72618,T2M,1999,    4.80,    5.19,    7.67,    9.61,   13.00,   16.64,   21.70,   18.96,   16.20,   11.50,    6.22,    5.58,   11.47
42.4103,-7.72618,T2M,2000,    2.28,    7.73,    8.27,    7.48,   13.50,   17.28,   18.24,   18.92,   17.00,   11.35,    7.31,    6.82,   11.36
42.4103,-7.72618,T2M,2001,    5.99,    6.20,    8.92,    9.25,   13.28,   17.47,   18.70,   19.88,   16.92,   12.95,    5.85,    2.39,   11.52
42.4103,-7.72618,T2M,2002,    5.51,    6.15,    8.40,    9.86,   11.19,   17.15,   19.53,   19.05,   16.58,   12.85,    8.17,    7.08,   11.83
42.4103,-7.72618,T2M,2003,    4.22,    4.90,    8.90,    9.64,   13.19,   18.04,   19.14,   22.68,   18.14,   11.11,    8.43,    5.64,   12.04
42.4103,-7.72618,T2M,2004,    6.58,    5.39,    6.45,    8.85,   12.87,   20.45,   20.18,   18.44,   17.60,   11.80,    7.05,    5.01,   11.74
42.4103,-7.72618,T2M,2005,    4.45,    3.02,    7.85,    9.99,   13.41,   20.44,   21.10,   21.89,   17.24,   13.44,    7.10,    4.73,   12.11
42.4103,-7.72618,T2M,2006,    3.49,    4.07,    8.34,   10.85,   14.09,   18.95,   22.28,   20.50,   18.11,   13.65,   10.25,    5.11,   12.52
42.4103,-7.72618,T2M,2007,    5.53,    6.67,    7.45,   10.81,   12.59,   14.97,   17.79,   18.86,   18.50,   13.46,    8.06,    5.09,   11.67
42.4103,-7.72618,T2M,2008,    6.77,    7.49,    7.20,   10.14,   12.00,   16.55,   18.66,   18.99,   15.96,   11.89,    6.49,    5.00,   11.44
42.4103,-7.72618,T2M,2009,    4.27,    5.83,    8.88,    8.25,   13.55,   17.76,   18.07,   20.95,   18.54,   14.28,    8.78,    5.04,   12.05
42.4103,-7.72618,T2M,2010,    4.16,    4.16,    6.20,   11.04,   12.37,   16.74,   21.69,   21.91,   18.14,   11.58,    6.99,    4.39,   11.66
42.4103,-7.72618,T2M,2011,    4.89,    6.01,    7.51,   13.17,   15.41,   17.00,   18.48,   19.80,   18.24,   15.26,    8.53,    5.99,   12.56
