-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  42.3199   Longitude -8.1523 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 485.64 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
42.31992,-8.15226,T2M,1981,    6.06,    5.99,    9.49,    9.94,   11.02,   17.63,   19.88,   22.04,   17.44,   12.40,   11.42,    8.17,   12.66
42.31992,-8.15226,T2M,1982,    7.51,    7.67,    8.45,   11.50,   12.87,   16.01,   18.89,   19.95,   18.10,   11.79,    8.67,    6.66,   12.36
42.31992,-8.15226,T2M,1983,    5.43,    5.38,    9.64,    8.47,   10.27,   16.82,   18.04,   18.57,   18.61,   14.23,   11.78,    7.75,   12.12
42.31992,-8.15226,T2M,1984,    6.76,    6.01,    6.72,   13.53,    9.82,   16.96,   18.94,   19.43,   16.72,   12.95,    9.05,    7.41,   12.04
42.31992,-8.15226,T2M,1985,    4.50,    8.24,    7.29,   11.11,   12.21,   15.86,   20.28,   18.43,   21.24,   15.06,    8.05,    7.54,   12.50
42.31992,-8.15226,T2M,1986,    5.88,    6.37,    7.84,    6.99,   12.76,   15.36,   21.21,   17.90,   17.41,   14.59,    9.01,    7.03,   11.91
42.31992,-8.15226,T2M,1987,    5.54,    7.09,    9.48,   11.02,   13.25,   16.04,   20.96,   21.86,   20.23,   11.63,    9.50,    8.80,   12.99
42.31992,-8.15226,T2M,1988,    7.69,    6.94,    8.68,   10.04,   12.21,   15.95,   17.50,   19.12,   18.65,   13.55,   10.39,    5.88,   12.23
42.31992,-8.15226,T2M,1989,    6.26,    7.46,    9.56,    8.77,   16.17,   18.40,   23.49,   21.73,   17.89,   15.95,   10.19,    9.55,   13.84
42.31992,-8.15226,T2M,1990,    6.04,    9.59,    9.61,    9.72,   15.31,   17.51,   22.87,   22.30,   19.45,   13.07,    8.12,    5.05,   13.24
42.31992,-8.15226,T2M,1991,    5.70,    5.42,    8.64,    9.54,   14.14,   16.55,   20.22,   21.78,   18.59,   11.00,    8.81,    6.92,   12.32
42.31992,-8.15226,T2M,1992,    3.89,    6.59,    8.95,   10.34,   14.72,   14.70,   21.15,   19.61,   15.78,   10.80,   10.89,    7.11,   12.07
42.31992,-8.15226,T2M,1993,    6.82,    6.40,    8.58,    9.48,   12.17,   16.80,   18.73,   20.17,   14.63,   10.53,    8.18,    8.51,   11.79
42.31992,-8.15226,T2M,1994,    6.91,    6.42,   10.71,    9.48,   11.99,   16.84,   19.92,   19.31,   15.13,   13.68,   10.61,    8.46,   12.50
42.31992,-8.15226,T2M,1995,    7.28,    8.14,    9.29,   11.92,   14.55,   18.17,   20.65,   21.72,   15.61,   15.11,   10.87,    7.90,   13.47
42.31992,-8.15226,T2M,1996,    7.24,    5.70,    8.18,   11.19,   12.42,   18.39,   20.70,   18.74,   16.16,   12.61,    9.16,    6.60,   12.28
42.31992,-8.15226,T2M,1997,    5.94,    8.94,   12.32,   13.65,   13.17,   14.36,   19.40,   20.11,   19.21,   15.60,   10.15,    7.83,   13.42
42.31992,-8.15226,T2M,1998,    7.26,    8.75,   10.77,    8.53,   13.69,   16.27,   19.39,   23.38,   17.09,   12.40,    9.49,    6.02,   12.79
42.31992,-8.15226,T2M,1999,    6.35,    6.34,    8.70,   10.47,   13.55,   16.46,   21.17,   18.81,   16.69,   12.43,    7.51,    6.91,   12.16
42.31992,-8.15226,T2M,2000,    3.74,    8.74,    9.34,    8.39,   13.97,   17.21,   18.10,   18.92,   17.10,   12.00,    8.53,    8.20,   12.03
42.31992,-8.15226,T2M,2001,    7.29,    7.41,    9.87,   10.11,   13.77,   17.25,   18.59,   19.65,   17.39,   13.82,    7.14,    3.84,   12.21
42.31992,-8.15226,T2M,2002,    6.90,    7.43,    9.33,   10.45,   11.62,   16.60,   19.19,   19.06,   17.01,   13.83,    9.48,    8.35,   12.47
42.31992,-8.15226,T2M,2003,    5.58,    6.15,    9.86,   10.62,   13.69,   17.93,   18.79,   22.55,   18.53,   12.00,    9.60,    6.97,   12.73
42.31992,-8.15226,T2M,2004,    7.80,    6.57,    7.45,    9.75,   13.46,   19.95,   19.86,   18.30,   17.82,   12.52,    8.29,    6.25,   12.35
42.31992,-8.15226,T2M,2005,    5.86,    4.27,    8.78,   10.65,   13.48,   19.97,   20.67,   21.83,   17.47,   14.17,    8.41,    6.20,   12.70
42.31992,-8.15226,T2M,2006,    4.84,    5.24,    9.29,   11.58,   14.39,   18.68,   21.89,   20.77,   18.22,   14.58,   11.51,    6.52,   13.17
42.31992,-8.15226,T2M,2007,    6.84,    7.87,    8.58,   11.63,   13.14,   15.30,   17.57,   18.95,   18.90,   14.32,    9.32,    6.43,   12.43
42.31992,-8.15226,T2M,2008,    8.06,    8.72,    8.18,   11.00,   12.49,   16.54,   18.20,   18.73,   16.27,   12.57,    7.67,    6.24,   12.06
42.31992,-8.15226,T2M,2009,    5.59,    6.94,    9.82,    9.09,   13.90,   17.39,   17.62,   20.53,   18.84,   14.97,   10.06,    6.39,   12.63
42.31992,-8.15226,T2M,2010,    5.51,    5.45,    7.30,   11.86,   13.10,   17.12,   21.36,   21.76,   18.27,   12.43,    8.19,    5.73,   12.38
42.31992,-8.15226,T2M,2011,    6.29,    7.19,    8.60,   13.93,   15.87,   17.05,   18.49,   19.51,   18.34,   15.83,    9.57,    7.19,   13.19
42.31992,-8.15226,T2M,2012,    6.29,    5.25,   10.25,    8.52,   14.03,   15.95,   18.74,   18.70,   18.49,   12.65,    8.23,    7.79,   12.10
42.31992,-8.15226,T2M,2013,    6.98,    5.77,    7.70,    9.58,   10.91,   15.21,   21.69,   20.93,   19.56,   14.18,    8.33,    6.26,   12.30
42.31992,-8.15226,T2M,2014,    7.38,    6.45,    9.07,   12.12,   12.79,   16.26,   19.26,   18.53,   18.06,   15.68,    9.60,    6.46,   12.67
42.31992,-8.15226,T2M,2015,    6.05,    5.36,    8.65,   11.84,   14.16,   19.28,   20.75,   19.17,   16.42,   13.53,   10.98,    9.28,   13.00
42.31992,-8.15226,T2M,2016,    7.89,    6.85,    7.32,    9.33,   12.81,   16.56,   21.22,   21.90,   18.37,   14.56,    8.90,    7.95,   12.83
42.31992,-8.15226,T2M,2017,    5.55,    8.10,    9.34,   12.77,   15.69,   19.48,   20.58,   20.46,   16.44,   16.55,    9.33,    7.07,   13.48
