-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  40.1649   Longitude -4.4075 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 735.69 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
40.16487,-4.40746,T2M,1981,    3.28,    4.21,    9.62,   10.36,   13.96,   22.19,   23.45,   23.86,   20.50,   14.17,   10.27,    6.04,   13.54
40.16487,-4.40746,T2M,1982,    5.40,    5.53,    7.82,   11.25,   16.39,   20.82,   24.22,   24.16,   18.94,   12.13,    7.01,    3.88,   13.18
40.16487,-4.40746,T2M,1983,    3.54,    3.54,    9.49,    9.65,   12.87,   21.76,   24.77,   22.48,   21.88,   15.18,   10.57,    5.13,   13.46
40.16487,-4.40746,T2M,1984,    3.67,    4.07,    4.96,   12.83,   10.40,   18.99,   25.26,   23.03,   19.80,   13.44,    8.24,    4.58,   12.46
40.16487,-4.40746,T2M,1985,    1.85,    7.23,    6.14,   11.66,   13.83,   21.32,   26.32,   25.20,   23.68,   16.72,    7.31,    5.28,   13.91
40.16487,-4.40746,T2M,1986,    3.71,    4.88,    8.13,    7.76,   17.88,   22.30,   26.24,   23.89,   20.05,   14.41,    7.92,    4.59,   13.54
40.16487,-4.40746,T2M,1987,    3.30,    5.26,    9.49,   12.47,   16.30,   21.93,   23.73,   25.51,   23.01,   12.27,    7.42,    6.26,   13.96
40.16487,-4.40746,T2M,1988,    5.29,    4.62,    8.02,   10.61,   14.14,   17.23,   22.66,   24.98,   20.90,   14.28,    8.19,    3.35,   12.89
40.16487,-4.40746,T2M,1989,    3.66,    6.01,   10.11,    9.03,   16.94,   21.45,   26.42,   25.59,   18.57,   14.63,    9.79,    7.55,   14.21
40.16487,-4.40746,T2M,1990,    3.29,    7.87,    8.15,    8.76,   16.17,   22.02,   26.31,   25.33,   20.98,   13.32,    7.01,    2.61,   13.52
40.16487,-4.40746,T2M,1991,    2.72,    3.41,    8.07,    9.72,   14.03,   22.08,   25.79,   26.32,   20.85,   10.71,    6.92,    4.09,   12.95
40.16487,-4.40746,T2M,1992,    1.43,    4.76,    8.68,   12.01,   17.73,   16.46,   24.74,   24.45,   19.62,   11.05,    9.12,    4.93,   12.95
40.16487,-4.40746,T2M,1993,    3.41,    4.45,    8.14,    9.97,   14.03,   19.64,   24.05,   24.09,   17.00,    9.84,    6.32,    4.94,   12.21
40.16487,-4.40746,T2M,1994,    3.52,    4.96,   10.80,   10.24,   15.67,   21.48,   27.05,   25.61,   17.43,   14.04,    9.67,    5.41,   13.89
