-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  41.6085   Longitude -4.4339 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 858.05 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
41.60853,-4.43392,T2M,1981,    2.28,    2.85,    8.01,    8.50,   11.77,   18.09,   19.47,   20.71,   17.47,   11.99,    8.90,    4.75,   11.28
41.60853,-4.43392,T2M,1982,    4.44,    4.88,    6.26,    9.24,   13.66,   18.26,   21.53,   19.88,   16.67,   10.28,    6.08,    3.44,   11.26
41.60853,-4.43392,T2M,1983,    2.85,    2.44,    7.53,    7.64,   10.41,   18.21,   21.69,   18.54,   18.80,   13.08,    9.37,    3.95,   11.26
41.60853,-4.43392,T2M,1984,    2.99,    2.72,    3.76,   11.81,    8.38,   16.50,   21.37,   18.98,   15.91,   11.27,    6.91,    3.44,   10.35
41.60853,-4.43392,T2M,1985,    0.09,    5.97,    4.76,    9.81,   11.65,   17.66,   22.26,   20.51,   20.62,   14.05,    5.17,    4.62,   11.46
41.60853,-4.43392,T2M,1986,    2.70,    3.51,    6.48,    5.55,   14.97,   18.50,   21.90,   20.19,   18.04,   13.08,    6.50,    3.52,   11.30
41.60853,-4.43392,T2M,1987,    1.91,    3.87,    7.51,   10.87,   13.01,   17.90,   20.49,   22.86,   20.85,   10.94,    6.54,    5.35,   11.88
41.60853,-4.43392,T2M,1988,    4.69,    3.93,    6.61,    9.08,   12.46,   15.24,   18.96,   20.81,   17.64,   12.42,    7.19,    2.83,   11.01
41.60853,-4.43392,T2M,1989,    2.78,    4.76,    8.46,    7.07,   15.64,   18.69,   23.16,   21.93,   16.21,   13.38,    8.56,    6.73,   12.34
41.60853,-4.43392,T2M,1990,    2.54,    7.24,    7.25,    7.64,   14.72,   18.69,   22.63,   22.17,   19.17,   11.78,    5.62,    1.39,   11.76
41.60853,-4.43392,T2M,1991,    1.60,    2.20,    6.89,    7.83,   11.60,   17.99,   21.74,   23.15,   18.92,    9.24,    5.83,    2.70,   10.86
41.60853,-4.43392,T2M,1992,    0.62,    3.38,    6.74,    9.51,   15.52,   13.95,   22.23,   22.08,   16.63,    9.20,    8.11,    4.12,   11.04
41.60853,-4.43392,T2M,1993,    3.03,    2.98,    6.55,    8.22,   12.45,   17.80,   20.00,   21.04,   14.00,    8.72,    5.35,    4.69,   10.46
41.60853,-4.43392,T2M,1994,    3.21,    4.05,    9.46,    8.07,   13.33,   18.05,   23.42,   21.99,   14.40,   12.15,    8.18,    4.61,   11.80
41.60853,-4.43392,T2M,1995,    3.98,    5.80,    6.97,   10.23,   15.05,   18.29,   22.25,   20.95,   14.49,   14.26,    8.57,    4.63,   12.17
41.60853,-4.43392,T2M,1996,    4.64,    2.45,    6.06,    9.82,   12.24,   18.32,   20.80,   19.30,   14.97,   11.24,    6.88,    3.91,   10.92
41.60853,-4.43392,T2M,1997,    2.73,    6.63,   10.01,   11.75,   13.62,   15.56,   18.64,   21.41,   18.57,   13.57,    7.09,    3.98,   11.99
41.60853,-4.43392,T2M,1998,    3.79,    6.20,    8.36,    7.36,   12.34,   17.64,   20.27,   21.50,   16.84,   10.52,    5.91,    2.61,   11.14
41.60853,-4.43392,T2M,1999,    2.09,    3.02,    6.68,    9.31,   14.33,   17.91,   21.76,   20.72,   16.81,   11.64,    4.27,    3.28,   11.04
41.60853,-4.43392,T2M,2000,    0.57,    6.44,    7.15,    7.62,   14.59,   18.72,   19.50,   20.26,   17.65,   10.94,    5.80,    4.97,   11.20
41.60853,-4.43392,T2M,2001,    4.08,    4.30,    8.84,    8.61,   13.01,   18.54,   19.38,   21.02,   15.35,   13.16,    4.06,    0.48,   10.95
41.60853,-4.43392,T2M,2002,    3.62,    4.44,    7.51,    9.91,   12.38,   19.42,   20.34,   19.40,   16.25,   12.30,    7.05,    5.57,   11.56
41.60853,-4.43392,T2M,2003,    2.43,    2.94,    8.45,    9.43,   13.80,   20.94,   21.32,   24.03,   17.80,   10.57,    7.30,    3.43,   11.92
41.60853,-4.43392,T2M,2004,    4.61,    3.79,    5.44,    8.22,   12.28,   19.98,   20.85,   20.13,   17.92,   12.50,    6.13,    3.22,   11.28
41.60853,-4.43392,T2M,2005,    2.09,    1.17,    6.73,   10.11,   15.07,   21.49,   21.84,   21.23,   17.04,   12.45,    5.27,    2.54,   11.48
41.60853,-4.43392,T2M,2006,    1.80,    2.58,    7.78,   10.66,   15.55,   20.08,   23.63,   19.41,   18.78,   14.13,    9.19,    3.15,   12.28
41.60853,-4.43392,T2M,2007,    3.25,    5.76,    5.98,   10.43,   12.97,   16.40,   19.85,   18.99,   16.63,   11.68,    5.31,    2.45,   10.84
41.60853,-4.43392,T2M,2008,    4.77,    6.03,    6.48,    9.96,   12.34,   17.02,   19.90,   20.55,   15.80,   10.84,    4.69,    2.78,   10.95
41.60853,-4.43392,T2M,2009,    2.22,    3.83,    7.63,    8.34,   14.97,   19.00,   21.48,   22.47,   17.55,   13.69,    8.06,    3.31,   11.93
41.60853,-4.43392,T2M,2010,    2.19,    2.81,    5.41,   10.71,   11.98,   16.58,   22.03,   21.09,   17.22,   10.88,    5.37,    2.62,   10.79
41.60853,-4.43392,T2M,2011,    2.87,    4.73,    6.55,   12.75,   15.72,   17.82,   19.18,   21.42,   18.99,   13.77,    8.35,    3.77,   12.20
41.60853,-4.43392,T2M,2012,    3.47,    1.72,    7.95,    7.20,   15.07,   19.56,   20.84,   22.07,   17.42,   11.66,    6.28,    4.03,   11.48
41.60853,-4.43392,T2M,2013,    3.27,    2.86,    5.74,    8.46,   10.34,   15.78,   22.32,   20.66,   18.09,   12.59,    5.80,    3.17,   10.81
41.60853,-4.43392,T2M,2014,    4.66,    3.98,    7.56,   12.27,   13.37,   18.23,   19.83,   20.64,   18.37,   15.14,    7.97,    3.30,   12.15
41.60853,-4.43392,T2M,2015,    2.14,    2.42,    7.29,   11.01,   14.93,   19.49,   23.77,   21.27,   15.98,   12.31,    8.84,    6.02,   12.18
41.60853,-4.43392,T2M,2016,    5.29,    4.61,    4.89,    8.20,   12.68,   18.17,   22.03,   22.11,   18.67,   13.62,    6.41,    5.05,   11.84
41.60853,-4.43392,T2M,2017,    2.00,    6.00,    8.58,   11.75,   16.35,   22.00,   21.95,   21.79,   16.77,   15.06,    6.51,    3.50,   12.73
41.60853,-4.43392,T2M,2018,    3.48,    2.22,    5.24,   10.28,   13.20,   17.75,   20.82,   22.17,   20.21,   11.92,    7.14,    5.56,   11.72
41.60853,-4.43392,T2M,2019,    2.42,    5.88,    8.03,    9.38,   13.69,   18.99,   23.02,   22.18,   16.94,   13.12,    6.58,    5.78,   12.21
41.60853,-4.43392,RH2M,1981,   81.87,   71.86,   69.55,   66.88,   60.99,   50.91,   49.96,   48.95,   53.51,   69.37,   65.54,   87.48,   64.74
41.60853,-4.43392,RH2M,1982,   86.56,   77.29,   67.51,   64.38,   58.19,   53.30,   41.96,   48.08,   56.87,   74.49,   80.65,   86.30,   66.23
41.60853,-4.43392,RH2M,1983,   75.47,   77.08,   68.35,   67.47,   66.12,   51.37,   45.03,   61.25,   50.44,   59.73,   83.26,   77.33,   65.17
41.60853,-4.43392,RH2M,1984,   88.16,   74.37,   71.31,   63.66,   70.53,   61.44,   41.37,   49.94,   53.98,   67.67,   85.12,   87.28,   67.89
41.60853,-4.43392,RH2M,1985,   85.33,   80.24,   73.87,   68.65,   66.27,   59.88,   47.68,   43.39,   44.05,   53.97,   78.33,   79.15,   64.97
41.60853,-4.43392,RH2M,1986,   86.62,   81.71,   69.25,   68.50,   56.01,   45.02,   39.10,   42.18,   61.41,   70.06,   75.85,   85.54,   64.99
41.60853,-4.43392,RH2M,1987,   83.43,   81.64,   69.38,   65.65,   53.72,   50.10,   53.50,   41.58,   48.63,   73.44,   83.27,   86.77,   65.84
41.60853,-4.43392,RH2M,1988,   88.29,   76.12,   65.93,   72.83,   69.56,   66.21,   57.38,   45.37,   47.40,   65.31,   74.73,   81.00,   67.49
41.60853,-4.43392,RH2M,1989,   72.88,   68.60,   61.94,   68.46,   54.37,   51.17,   39.59,   43.13,   53.53,   59.74,   81.00,   88.48,   61.83
41.60853,-4.43392,RH2M,1990,   81.81,   79.64,   64.81,   71.15,   58.78,   52.97,   39.54,   40.32,   50.84,   70.01,   81.92,   82.46,   64.40
41.60853,-4.43392,RH2M,1991,   81.43,   80.62,   76.28,   64.91,   59.68,   48.91,   41.99,   38.08,   52.77,   69.90,   78.82,   82.62,   64.57
41.60853,-4.43392,RH2M,1992,   79.70,   65.92,   62.51,   59.52,   50.47,   60.91,   41.47,   41.29,   50.81,   75.81,   76.95,   86.35,   62.63
