-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  41.0274   Longitude 0.4106 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 359.73 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
41.02736,0.41061,T2M,1981,    6.14,    5.61,   12.05,   12.41,   15.68,   22.58,   22.62,   24.02,   21.29,   15.80,   11.86,    7.88,   14.88
41.02736,0.41061,T2M,1982,    7.97,    7.87,    9.12,   13.01,   16.77,   22.73,   26.07,   23.28,   19.99,   14.31,    9.75,    6.28,   14.80
41.02736,0.41061,T2M,1983,    6.02,    5.48,   10.23,   12.32,   16.42,   21.95,   26.50,   23.24,   21.63,   16.40,   12.12,    6.84,   14.98
41.02736,0.41061,T2M,1984,    6.08,    5.83,    7.27,   13.08,   13.09,   20.09,   25.58,   23.13,   19.39,   14.88,   11.21,    5.94,   13.82
41.02736,0.41061,T2M,1985,    1.93,    9.18,    8.19,   13.81,   14.99,   21.97,   26.34,   24.53,   22.56,   16.81,    8.29,    6.95,   14.65
41.02736,0.41061,T2M,1986,    6.22,    5.94,    9.83,   10.21,   19.19,   21.96,   24.97,   24.66,   21.51,   15.74,   10.17,    6.52,   14.80
41.02736,0.41061,T2M,1987,    4.55,    6.90,    9.98,   14.28,   16.34,   21.58,   24.66,   25.64,   23.80,   15.50,    9.54,    7.90,   15.10
41.02736,0.41061,T2M,1988,    7.80,    6.64,    9.59,   12.59,   16.71,   19.63,   24.09,   25.06,   21.33,   16.78,   10.40,    5.73,   14.73
41.02736,0.41061,T2M,1989,    5.83,    8.33,   11.89,   11.41,   18.34,   22.58,   26.41,   25.68,   19.58,   15.95,   11.81,    8.96,   15.62
41.02736,0.41061,T2M,1990,    6.13,   10.89,   10.77,   11.76,   18.56,   22.13,   26.07,   25.44,   22.00,   15.94,    9.38,    4.31,   15.31
41.02736,0.41061,T2M,1991,    5.32,    6.04,   11.23,   11.31,   15.10,   21.55,   25.68,   27.09,   21.80,   13.34,    9.15,    6.19,   14.54
41.02736,0.41061,T2M,1992,    3.35,    6.42,    9.70,   13.55,   18.20,   17.80,   24.11,   25.70,   20.38,   13.26,   11.43,    7.23,   14.29
41.02736,0.41061,T2M,1993,    5.53,    6.24,    9.75,   12.81,   17.17,   22.30,   23.95,   24.83,   19.17,   13.01,    8.68,    7.52,   14.30
41.02736,0.41061,T2M,1994,    6.11,    7.99,   12.55,   11.97,   18.75,   22.94,   27.45,   26.67,   19.30,   14.90,   11.71,    7.36,   15.70
41.02736,0.41061,T2M,1995,    6.11,    9.32,    9.78,   13.48,   17.62,   21.24,   26.29,   24.17,   18.61,   17.63,   11.63,    7.91,   15.35
41.02736,0.41061,T2M,1996,    8.27,    5.90,    9.23,   12.93,   16.81,   21.97,   24.71,   23.65,   18.33,   14.71,   10.34,    7.24,   14.54
41.02736,0.41061,T2M,1997,    6.38,    9.50,   12.34,   14.25,   17.69,   20.69,   22.52,   24.23,   21.17,   17.35,   10.62,    7.10,   15.35
41.02736,0.41061,T2M,1998,    6.90,    8.70,   11.21,   11.95,   16.74,   22.09,   25.27,   25.03,   20.82,   14.56,    8.60,    5.94,   14.86
41.02736,0.41061,T2M,1999,    6.05,    6.26,    9.98,   13.38,   18.43,   21.59,   25.07,   25.51,   20.82,   15.41,    7.17,    6.15,   14.71
41.02736,0.41061,T2M,2000,    4.18,    9.45,   10.77,   12.57,   18.61,   22.17,   23.89,   24.96,   20.89,   14.67,    8.99,    7.96,   14.94
41.02736,0.41061,T2M,2001,    6.98,    7.10,   13.22,   13.14,   17.58,   23.29,   23.94,   25.81,   19.13,   17.40,    7.66,    3.69,   14.97
41.02736,0.41061,T2M,2002,    6.61,    8.40,   11.24,   13.25,   15.89,   22.24,   23.97,   22.57,   19.34,   15.58,   10.74,    8.27,   14.88
41.02736,0.41061,T2M,2003,    5.32,    5.62,   10.82,   13.18,   17.55,   25.41,   26.23,   27.47,   20.07,   14.06,   10.72,    6.86,   15.33
41.02736,0.41061,T2M,2004,    7.45,    6.58,    8.47,   11.49,   15.45,   22.82,   23.92,   25.12,   20.74,   17.09,    8.62,    6.62,   14.56
41.02736,0.41061,T2M,2005,    5.08,    4.05,    9.29,   13.72,   18.68,   24.54,   25.97,   23.41,   20.08,   16.45,    9.29,    4.21,   14.62
41.02736,0.41061,T2M,2006,    4.70,    5.61,   11.02,   14.37,   19.17,   22.94,   27.54,   23.15,   21.31,   17.89,   12.35,    6.15,   15.57
41.02736,0.41061,T2M,2007,    6.74,    8.87,    9.95,   14.04,   17.57,   22.27,   24.37,   23.48,   20.35,   14.88,    8.09,    6.10,   14.76
41.02736,0.41061,T2M,2008,    7.51,    8.87,   10.22,   13.82,   16.32,   20.68,   24.27,   24.96,   19.73,   14.75,    7.77,    5.71,   14.57
41.02736,0.41061,T2M,2009,    5.17,    6.87,   10.22,   12.10,   18.89,   23.94,   26.16,   26.32,   20.60,   16.54,   11.61,    6.13,   15.43
41.02736,0.41061,T2M,2010,    4.63,    5.42,    8.45,   13.44,   15.88,   20.79,   26.60,   24.84,   20.31,   14.19,    8.70,    5.12,   14.08
41.02736,0.41061,T2M,2011,    5.58,    8.09,    9.71,   15.58,   18.90,   21.45,   23.35,   25.90,   22.79,   17.00,   11.84,    7.19,   15.65
41.02736,0.41061,T2M,2012,    6.18,    3.56,   10.83,   12.20,   18.80,   24.14,   24.72,   26.95,   20.94,   15.95,    9.92,    6.77,   15.12
41.02736,0.41061,T2M,2013,    6.54,    6.23,    9.85,   12.40,   13.96,   19.74,   25.77,   24.29,   20.88,   17.74,    9.17,    6.14,   14.45
41.02736,0.41061,T2M,2014,    7.80,    7.66,   10.51,   15.34,   16.99,   22.57,   23.81,   24.42,   22.07,   18.28,   11.99,    6.37,   15.69
41.02736,0.41061,T2M,2015,    6.01,    5.62,   10.60,   13.91,   19.27,   23.48,   27.80,   24.66,   19.43,   15.71,   11.83,    9.39,   15.71
41.02736,0.41061,T2M,2016,    8.41,    8.36,    9.32,   13.01,   16.62,   22.39,   26.24,   25.57,   22.24,   16.82,    9.99,    7.62,   15.57
41.02736,0.41061,T2M,2017,    4.98,    9.15,   11.88,   14.08,   19.07,   24.71,   25.56,   25.67,   19.50,   17.47,    9.56,    6.11,   15.68
41.02736,0.41061,T2M,2018,    8.03,    5.37,    9.54,   13.99,   17.06,   22.16,   26.28,   25.75,   22.37,   15.49,   10.37,    8.35,   15.46
