-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  39.8561   Longitude -4.024 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 680.06 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
39.85608,-4.02395,T2M,1981,    3.45,    4.65,   10.28,   10.76,   14.51,   22.88,   24.36,   24.62,   21.22,   14.92,   10.89,    6.69,   14.15
39.85608,-4.02395,T2M,1982,    5.95,    6.17,    8.43,   11.73,   16.99,   21.66,   24.67,   24.92,   19.58,   12.66,    7.67,    4.21,   13.77
39.85608,-4.02395,T2M,1983,    3.91,    4.04,   10.05,   10.39,   13.54,   22.55,   25.11,   23.24,   22.72,   15.95,   11.08,    5.39,   14.05
39.85608,-4.02395,T2M,1984,    4.20,    4.45,    5.38,   13.32,   10.98,   19.59,   25.88,   24.01,   20.71,   14.01,    8.89,    5.36,   13.08
39.85608,-4.02395,T2M,1985,    2.48,    8.04,    6.74,   12.23,   14.30,   21.97,   27.10,   26.01,   24.43,   17.47,    8.05,    5.82,   14.58
39.85608,-4.02395,T2M,1986,    4.15,    5.54,    8.68,    8.17,   18.37,   22.72,   26.91,   24.52,   20.63,   15.05,    8.41,    5.14,   14.08
39.85608,-4.02395,T2M,1987,    3.97,    5.91,   10.24,   13.11,   17.03,   22.91,   24.21,   25.97,   23.68,   12.87,    7.87,    6.77,   14.59
39.85608,-4.02395,T2M,1988,    5.96,    5.17,    8.52,   11.32,   14.65,   17.85,   23.55,   25.88,   21.59,   14.95,    8.81,    3.50,   13.51
39.85608,-4.02395,T2M,1989,    4.02,    6.42,   10.53,    9.77,   17.42,   22.09,   27.33,   26.22,   19.31,   15.41,   10.52,    8.29,   14.84
39.85608,-4.02395,T2M,1990,    3.68,    8.53,    8.95,    9.50,   16.66,   22.79,   27.10,   26.20,   21.63,   13.96,    7.53,    3.10,   14.17
39.85608,-4.02395,T2M,1991,    3.31,    4.08,    8.69,   10.40,   14.78,   22.96,   26.69,   26.96,   21.47,   11.24,    7.44,    4.34,   13.58
39.85608,-4.02395,T2M,1992,    1.87,    5.12,    9.08,   12.52,   18.12,   16.92,   25.12,   25.05,   20.43,   11.67,    9.44,    5.40,   13.43
39.85608,-4.02395,T2M,1993,    3.65,    5.05,    8.88,   10.53,   14.50,   20.04,   24.93,   24.70,   17.74,   10.48,    6.79,    5.13,   12.75
39.85608,-4.02395,T2M,1994,    3.88,    5.62,   11.22,   10.88,   16.45,   22.47,   27.62,   26.33,   18.16,   14.80,   10.31,    5.88,   14.53
39.85608,-4.02395,T2M,1995,    5.00,    7.55,    9.47,   13.02,   18.49,   22.81,   26.03,   25.29,   17.82,   16.47,   10.67,    7.05,   15.02
39.85608,-4.02395,T2M,1996,    6.37,    4.14,    7.69,   11.88,   14.89,   22.29,   25.42,   23.72,   17.74,   13.67,    8.89,    5.90,   13.58
39.85608,-4.02395,T2M,1997,    4.59,    7.75,   11.37,   14.03,   15.87,   18.77,   23.23,   24.66,   21.54,   15.64,    9.12,    5.79,   14.40
39.85608,-4.02395,T2M,1998,    4.74,    7.60,   10.38,    9.63,   14.47,   21.02,   26.10,   26.40,   20.30,   13.23,    8.32,    4.18,   13.90
39.85608,-4.02395,T2M,1999,    3.69,    5.03,    8.97,   12.66,   17.53,   23.25,   27.02,   25.42,   19.86,   14.01,    5.54,    4.86,   14.05
39.85608,-4.02395,T2M,2000,    2.27,    8.19,    9.77,    9.70,   16.99,   22.58,   24.65,   24.75,   21.31,   13.87,    7.51,    6.24,   14.00
39.85608,-4.02395,T2M,2001,    5.90,    6.08,   10.28,   11.68,   16.18,   23.57,   24.76,   26.04,   20.59,   15.37,    6.00,    2.77,   14.15
39.85608,-4.02395,T2M,2002,    5.04,    6.43,    9.84,   12.46,   15.29,   23.99,   25.60,   24.43,   19.21,   14.44,    9.23,    7.04,   14.46
39.85608,-4.02395,T2M,2003,    3.88,    4.94,   10.30,   12.13,   18.12,   25.89,   26.35,   27.44,   21.33,   13.44,    8.79,    5.03,   14.86
39.85608,-4.02395,T2M,2004,    5.97,    6.12,    7.50,   10.90,   14.20,   24.20,   26.26,   24.52,   22.43,   15.23,    7.81,    4.82,   14.18
39.85608,-4.02395,T2M,2005,    3.73,    3.35,    8.94,   13.01,   18.80,   25.72,   27.09,   25.90,   20.41,   14.89,    7.10,    4.29,   14.50
39.85608,-4.02395,T2M,2006,    3.35,    4.82,    9.58,   14.05,   19.32,   23.85,   27.68,   25.05,   21.73,   16.10,   10.41,    4.31,   15.08
39.85608,-4.02395,T2M,2007,    4.35,    7.37,    7.91,   11.18,   15.43,   19.75,   24.72,   24.41,   20.90,   13.86,    7.83,    4.71,   13.57
39.85608,-4.02395,T2M,2008,    6.21,    7.33,    9.19,   12.76,   14.66,   21.09,   24.85,   25.66,   19.80,   13.82,    5.96,    3.94,   13.80
39.85608,-4.02395,T2M,2009,    3.63,    5.63,   10.03,   11.24,   18.18,   23.60,   26.61,   26.98,   20.74,   16.60,    9.98,    5.45,   14.95
39.85608,-4.02395,T2M,2010,    3.85,    4.82,    7.28,   12.22,   14.53,   20.87,   27.40,   26.64,   20.82,   13.29,    7.10,    5.09,   13.71
39.85608,-4.02395,T2M,2011,    4.46,    6.52,    7.93,   14.38,   18.18,   22.28,   25.35,   26.05,   22.05,   16.74,    9.86,    5.30,   14.97
39.85608,-4.02395,T2M,2012,    4.48,    3.47,    9.42,   10.27,   18.41,   23.84,   26.06,   26.50,   20.69,   14.20,    8.45,    5.14,   14.29
39.85608,-4.02395,T2M,2013,    4.51,    4.68,    7.59,   10.77,   13.99,   20.57,   27.20,   26.51,   22.04,   15.30,    7.12,    4.56,   13.80
39.85608,-4.02395,T2M,2014,    5.82,    5.71,    8.97,   14.81,   17.49,   22.13,   24.77,   25.40,   20.88,   16.64,    9.78,    4.81,   14.82
39.85608,-4.02395,T2M,2015,    4.01,    4.41,    9.63,   13.16,   19.29,   23.96,   29.29,   25.81,   19.88,   15.12,   10.48,    8.41,   15.36
39.85608,-4.02395,T2M,2016,    6.94,    6.56,    7.45,   10.86,   14.84,   22.66,   27.96,   27.16,   22.54,   16.29,    8.34,    6.25,   14.85
39.85608,-4.02395,T2M,2017,    3.45,    6.95,    9.79,   13.96,   19.13,   26.34,   26.29,   26.32,   20.93,   18.17,    8.94,    5.09,   15.49
39.85608,-4.02395,T2M,2018,    5.18,    4.42,    7.37,   11.32,   15.59,   20.94,   25.36,   27.84,   23.68,   14.97,    9.29,    6.64,   14.44
39.85608,-4.02395,T2M,2019,    4.27,    7.52,   10.66,   11.51,   18.41,   23.07,   27.66,   26.17,   20.87,   16.13,    8.70,    7.48,   15.26
39.85608,-4.02395,RH2M,1981,   76.45,   68.63,   67.13,   64.64,   55.96,   38.75,   31.54,   34.78,   41.35,   55.03,   59.40,   81.66,   56.23
39.85608,-4.02395,RH2M,1982,   86.99,   81.35,   68.86,   60.14,   50.04,   45.47,   32.43,   31.26,   48.77,   67.48,   80.41,   85.69,   61.44
39.85608,-4.02395,RH2M,1983,   76.55,   75.18,   63.12,   60.69,   56.68,   39.09,   26.54,   39.41,   39.37,   48.74,   83.40,   81.04,   57.36
39.85608,-4.02395,RH2M,1984,   86.16,   72.44,   72.31,   65.79,   68.25,   53.57,   30.56,   32.41,   37.67,   56.93,   82.78,   83.08,   61.79
39.85608,-4.02395,RH2M,1985,   81.74,   82.03,   68.85,   62.59,   57.23,   46.74,   27.67,   23.56,   32.73,   42.24,   72.38,   78.79,   56.20
39.85608,-4.02395,RH2M,1986,   82.26,   81.80,   68.44,   65.61,   47.88,   33.11,   24.72,   25.97,   53.74,   66.50,   72.25,   78.72,   58.25
39.85608,-4.02395,RH2M,1987,   80.07,   80.22,   64.74,   62.75,   47.01,   34.09,   43.64,   33.45,   41.06,   71.97,   79.58,   89.58,   60.59
39.85608,-4.02395,RH2M,1988,   89.78,   77.23,   65.79,   68.65,   64.45,   59.45,   44.73,   24.97,   30.80,   61.16,   76.36,   76.96,   61.64
39.85608,-4.02395,RH2M,1989,   75.57,   69.83,   57.64,   64.46,   50.12,   41.91,   27.46,   28.88,   49.62,   57.43,   79.03,   90.58,   57.60
39.85608,-4.02395,RH2M,1990,   85.04,   80.07,   69.76,   68.34,   52.13,   36.44,   28.20,   30.21,   46.66,   66.02,   75.88,   81.04,   59.85
39.85608,-4.02395,RH2M,1991,   78.03,   77.81,   76.04,   58.12,   45.18,   35.73,   26.59,   27.38,   45.30,   68.11,   73.61,   81.46,   57.67
39.85608,-4.02395,RH2M,1992,   76.85,   66.14,   57.07,   51.61,   46.52,   53.60,   33.94,   32.89,   35.77,   69.71,   73.68,   83.84,   56.78
39.85608,-4.02395,RH2M,1993,   69.43,   69.25,   57.68,   56.34,   56.71,   50.70,   32.43,   31.50,   47.55,   74.52,   81.30,   87.91,   59.54
39.85608,-4.02395,RH2M,1994,   82.01,   73.41,   60.49,   52.73,   53.27,   33.41,   21.36,   25.98,   42.46,   64.15,   73.46,   81.66,   55.27
39.85608,-4.02395,RH2M,1995,   80.65,   71.60,   57.21,   45.05,   41.62,   37.06,   29.54,   30.73,   44.87,   51.90,   74.42,   86.03,   54.12
39.85608,-4.02395,RH2M,1996,   89.98,   77.20,   75.04,   65.00,   63.00,   40.23,   29.64,   33.89,   52.41,   59.49,   72.61,   88.29,   62.20
39.85608,-4.02395,RH2M,1997,   90.83,   79.90,   60.33,   57.26,   57.96,   53.71,   42.26,   35.77,   47.69,   63.60,   86.98,   88.62,   63.64
39.85608,-4.02395,RH2M,1998,   89.22,   79.75,   67.53,   70.99,   66.73,   51.49,   30.80,   29.23,   49.41,   60.49,   72.63,   75.57,   61.85
39.85608,-4.02395,RH2M,1999,   75.44,   68.13,   61.81,   51.50,   49.69,   33.80,   27.61,   30.38,   50.36,   71.10,   78.05,   84.17,   56.78
39.85608,-4.02395,RH2M,2000,   77.27,   68.27,   57.21,   69.72,   60.35,   37.89,   29.90,   27.03,   37.15,   57.46,   79.96,   85.29,   57.24
39.85608,-4.02395,RH2M,2001,   89.04,   78.10,   82.31,   63.46,   57.32,   32.91,   29.47,   30.56,   42.71,   70.81,   74.83,   78.52,   60.78
