-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  41.5217   Longitude -5.394 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 767.08 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
41.52171,-5.39397,T2M,1981,    2.70,    3.56,    8.59,    9.06,   12.22,   18.87,   20.28,   21.44,   18.01,   12.38,    9.38,    5.49,   11.88
41.52171,-5.39397,T2M,1982,    4.95,    5.60,    6.99,    9.91,   14.35,   18.77,   22.02,   20.63,   17.39,   10.89,    6.47,    4.00,   11.87
41.52171,-5.39397,T2M,1983,    3.07,    3.21,    8.17,    8.02,   10.73,   18.80,   21.56,   19.17,   19.38,   13.39,    9.87,    4.35,   11.69
41.52171,-5.39397,T2M,1984,    3.76,    3.49,    4.34,   12.67,    9.12,   17.30,   21.76,   19.75,   16.71,   11.88,    7.60,    4.24,   11.06
41.52171,-5.39397,T2M,1985,    0.92,    6.30,    5.44,   10.28,   12.29,   17.97,   22.59,   20.84,   21.37,   14.42,    5.63,    5.11,   11.96
41.52171,-5.39397,T2M,1986,    3.48,    4.36,    7.03,    6.22,   15.23,   18.96,   22.88,   20.68,   18.39,   13.70,    6.99,    4.05,   11.88
41.52171,-5.39397,T2M,1987,    2.53,    4.64,    8.16,   11.20,   13.84,   18.58,   21.22,   23.47,   21.28,   11.11,    7.14,    5.89,   12.46
41.52171,-5.39397,T2M,1988,    5.31,    4.40,    7.10,    9.56,   12.75,   15.75,   19.35,   21.11,   18.20,   12.95,    7.69,    3.05,   11.46
41.52171,-5.39397,T2M,1989,    3.13,    5.35,    9.04,    7.98,   16.40,   19.47,   24.09,   22.57,   16.64,   13.93,    8.88,    7.31,   12.96
41.52171,-5.39397,T2M,1990,    3.15,    7.70,    7.84,    8.33,   15.28,   19.13,   23.05,   22.51,   19.62,   12.00,    6.00,    1.90,   12.23
41.52171,-5.39397,T2M,1991,    2.21,    2.90,    7.51,    8.61,   12.64,   18.68,   22.37,   23.60,   19.45,    9.78,    6.40,    3.33,   11.51
41.52171,-5.39397,T2M,1992,    0.86,    3.71,    7.43,   10.16,   16.20,   14.82,   23.28,   22.48,   17.00,    9.74,    8.66,    4.55,   11.60
41.52171,-5.39397,T2M,1993,    3.29,    3.57,    7.15,    8.87,   12.83,   18.33,   20.70,   21.49,   14.19,    9.07,    5.88,    5.41,   10.95
41.52171,-5.39397,T2M,1994,    3.87,    4.53,    9.88,    8.80,   13.66,   18.48,   23.65,   22.41,   15.10,   12.73,    8.61,    5.09,   12.29
41.52171,-5.39397,T2M,1995,    4.54,    6.36,    7.64,   10.94,   15.88,   19.37,   22.84,   21.81,   15.28,   14.88,    9.01,    5.23,   12.86
41.52171,-5.39397,T2M,1996,    5.26,    3.23,    6.68,   10.57,   12.87,   19.38,   21.53,   19.78,   15.58,   11.77,    7.52,    4.33,   11.57
41.52171,-5.39397,T2M,1997,    3.19,    7.13,   10.83,   12.73,   14.07,   16.15,   19.64,   21.97,   19.07,   14.13,    7.85,    4.66,   12.65
41.52171,-5.39397,T2M,1998,    4.33,    6.59,    8.81,    7.99,   13.00,   18.36,   21.05,   22.39,   17.44,   11.31,    6.67,    2.89,   11.77
41.52171,-5.39397,T2M,1999,    2.66,    3.71,    7.32,   10.07,   14.75,   18.71,   22.61,   21.08,   17.00,   11.80,    4.82,    3.89,   11.59
41.52171,-5.39397,T2M,2000,    0.74,    6.77,    7.72,    7.95,   14.84,   19.29,   19.95,   20.62,   18.01,   11.40,    6.46,    5.67,   11.63
41.52171,-5.39397,T2M,2001,    4.69,    4.90,    9.19,    9.15,   13.63,   18.97,   19.60,   21.14,   15.81,   13.32,    4.64,    0.77,   11.36
