-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Interannual Averages/Sums 
Dates (month/day/year): 01/01/1981 through 12/31/2019 
Location: Latitude  41.3947   Longitude -5.21 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 817.64 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M MERRA2 1/2x1/2 Relative Humidity at 2 Meters (%) 
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
41.39472,-5.21004,T2M,1981,    2.75,    3.63,    8.68,    9.02,   12.25,   19.54,   20.93,   22.09,   18.49,   12.61,    9.89,    5.54,   12.17
41.39472,-5.21004,T2M,1982,    4.87,    5.67,    6.96,    9.95,   14.52,   18.76,   22.03,   21.15,   17.65,   10.97,    6.51,    3.89,   11.95
41.39472,-5.21004,T2M,1983,    3.45,    3.16,    8.30,    8.16,   10.71,   19.07,   21.83,   19.67,   19.76,   13.72,    9.88,    4.64,   11.91
41.39472,-5.21004,T2M,1984,    3.75,    3.42,    4.18,   12.52,    8.92,   17.51,   22.30,   20.27,   17.28,   12.18,    7.75,    4.36,   11.22
41.39472,-5.21004,T2M,1985,    1.07,    6.52,    5.32,   10.32,   12.27,   18.43,   23.28,   21.63,   22.13,   14.80,    5.88,    5.22,   12.26
41.39472,-5.21004,T2M,1986,    3.38,    4.42,    6.96,    6.28,   15.37,   19.33,   23.69,   21.03,   18.67,   13.64,    7.10,    4.29,   12.07
41.39472,-5.21004,T2M,1987,    2.68,    4.75,    8.25,   11.03,   13.93,   18.79,   21.56,   23.89,   21.50,   11.16,    7.05,    6.01,   12.59
41.39472,-5.21004,T2M,1988,    5.22,    4.35,    7.16,    9.42,   12.59,   15.64,   19.77,   21.63,   18.83,   13.22,    7.73,    2.88,   11.56
41.39472,-5.21004,T2M,1989,    3.35,    5.37,    8.92,    7.85,   16.30,   19.56,   24.41,   23.15,   16.88,   14.07,    8.85,    7.16,   13.05
41.39472,-5.21004,T2M,1990,    3.13,    7.54,    7.69,    8.05,   15.17,   19.44,   23.57,   23.12,   19.85,   12.00,    6.00,    2.13,   12.34
41.39472,-5.21004,T2M,1991,    2.19,    2.86,    7.43,    8.45,   12.58,   18.87,   22.81,   23.97,   19.44,    9.77,    6.35,    3.60,   11.58
41.39472,-5.21004,T2M,1992,    0.90,    3.97,    7.38,   10.23,   16.31,   14.83,   23.77,   22.63,   17.38,    9.69,    8.79,    4.53,   11.73
41.39472,-5.21004,T2M,1993,    3.30,    3.40,    7.08,    8.67,   12.75,   18.30,   21.30,   21.93,   14.34,    8.89,    5.93,    5.44,   11.00
41.39472,-5.21004,T2M,1994,    3.55,    4.43,    9.80,    8.69,   13.72,   18.71,   24.10,   22.77,   15.20,   12.80,    8.91,    5.17,   12.38
41.39472,-5.21004,T2M,1995,    4.46,    6.44,    7.68,   11.11,   15.84,   19.79,   23.04,   22.19,   15.40,   15.04,    9.28,    5.48,   13.03
41.39472,-5.21004,T2M,1996,    5.19,    3.11,    6.56,   10.49,   12.87,   19.77,   22.11,   20.34,   15.72,   11.93,    7.60,    4.43,   11.70
41.39472,-5.21004,T2M,1997,    3.30,    7.13,   11.01,   12.89,   13.93,   16.19,   20.17,   22.40,   19.58,   14.17,    7.75,    4.75,   12.80
41.39472,-5.21004,T2M,1998,    4.19,    6.72,    8.82,    7.79,   12.74,   18.46,   21.71,   23.26,   17.79,   11.42,    6.64,    3.13,   11.92
41.39472,-5.21004,T2M,1999,    2.78,    3.39,    7.09,    9.98,   14.82,   19.09,   23.35,   21.58,   17.22,   11.97,    4.77,    3.97,   11.72
41.39472,-5.21004,T2M,2000,    0.95,    7.00,    7.83,    7.85,   14.81,   19.48,   20.44,   21.19,   18.50,   11.56,    6.48,    5.56,   11.82
41.39472,-5.21004,T2M,2001,    4.79,    4.88,    9.10,    9.16,   13.76,   19.48,   20.08,   21.83,   16.64,   13.53,    4.54,    1.14,   11.62
41.39472,-5.21004,T2M,2002,    4.31,    5.09,    8.04,   10.51,   12.77,   20.22,   21.61,   20.55,   16.54,   12.81,    7.65,    6.01,   12.22
41.39472,-5.21004,T2M,2003,    2.80,    3.55,    8.67,    9.73,   14.50,   21.54,   21.97,   25.07,   18.63,   11.06,    7.74,    4.02,   12.49
41.39472,-5.21004,T2M,2004,    5.13,    4.46,    6.02,    8.88,   12.80,   21.50,   22.35,   20.93,   18.68,   12.97,    6.49,    3.50,   12.00
41.39472,-5.21004,T2M,2005,    2.56,    1.57,    7.25,   10.62,   15.73,   22.63,   23.11,   22.70,   17.92,   12.97,    5.68,    3.11,   12.22
41.39472,-5.21004,T2M,2006,    2.04,    3.16,    7.96,   11.22,   16.03,   20.84,   24.56,   20.93,   19.56,   14.31,    9.56,    3.49,   12.86
41.39472,-5.21004,T2M,2007,    3.86,    6.09,    6.66,   10.50,   13.54,   16.88,   20.69,   20.17,   17.69,   12.27,    5.83,    3.13,   11.47
41.39472,-5.21004,T2M,2008,    5.46,    6.27,    6.97,   10.61,   12.75,   18.26,   21.06,   21.75,   16.63,   11.45,    4.95,    3.32,   11.64
41.39472,-5.21004,T2M,2009,    2.81,    4.46,    8.55,    8.98,   15.63,   19.95,   22.35,   23.46,   18.67,   14.21,    8.64,    4.12,   12.71
41.39472,-5.21004,T2M,2010,    2.90,    3.40,    5.85,   11.06,   12.79,   17.80,   23.37,   22.66,   18.23,   11.44,    6.05,    3.49,   11.64
41.39472,-5.21004,T2M,2011,    3.43,    5.25,    6.72,   13.17,   16.69,   18.75,   20.71,   22.20,   19.86,   14.84,    8.36,    4.33,   12.90
41.39472,-5.21004,T2M,2012,    3.77,    2.39,    8.53,    7.68,   15.74,   19.79,   21.96,   22.59,   18.13,   12.13,    6.66,    4.61,   12.04
41.39472,-5.21004,T2M,2013,    4.03,    3.35,    6.05,    8.94,   11.13,   16.79,   23.43,   22.07,   19.07,   13.01,    6.06,    3.81,   11.53
41.39472,-5.21004,T2M,2014,    5.22,    4.45,    7.93,   12.69,   14.37,   18.82,   21.19,   21.57,   18.76,   15.64,    8.35,    3.46,   12.75
41.39472,-5.21004,T2M,2015,    2.63,    3.13,    7.96,   11.33,   15.93,   20.72,   24.90,   22.13,   16.92,   12.76,    9.35,    6.75,   12.94
41.39472,-5.21004,T2M,2016,    5.85,    5.04,    5.33,    8.61,   12.86,   18.90,   23.32,   23.67,   19.63,   14.34,    6.98,    5.37,   12.52
41.39472,-5.21004,T2M,2017,    2.45,    6.29,    8.77,   12.44,   16.99,   22.79,   22.72,   22.70,   17.65,   16.22,    7.18,    4.05,   13.39
41.39472,-5.21004,T2M,2018,    4.11,    2.91,    5.72,   10.42,   13.72,   18.49,   21.51,   23.64,   21.49,   12.71,    7.71,    6.26,   12.44
41.39472,-5.21004,T2M,2019,    2.88,    6.49,    8.66,   10.02,   15.24,   19.40,   24.26,   23.11,   17.75,   13.78,    7.30,    6.49,   12.99
41.39472,-5.21004,RH2M,1981,   79.78,   71.07,   68.75,   65.50,   60.15,   46.11,   42.86,   42.59,   49.66,   68.68,   64.51,   85.83,   62.11
41.39472,-5.21004,RH2M,1982,   85.43,   78.19,   67.50,   62.46,   54.25,   51.77,   38.68,   42.12,   53.17,   73.19,   80.66,   86.81,   64.44
41.39472,-5.21004,RH2M,1983,   75.36,   77.38,   68.01,   67.12,   66.60,   49.02,   43.76,   54.86,   46.94,   56.88,   84.13,   76.80,   63.82
41.39472,-5.21004,RH2M,1984,   88.05,   73.41,   71.95,   64.47,   70.30,   59.04,   38.86,   43.55,   47.49,   64.44,   83.36,   86.30,   65.92
41.39472,-5.21004,RH2M,1985,   83.61,   81.15,   73.67,   68.73,   64.18,   57.30,   42.48,   37.01,   38.41,   50.15,   77.34,   79.06,   62.63
41.39472,-5.21004,RH2M,1986,   86.30,   82.06,   71.94,   67.81,   54.46,   40.77,   32.35,   37.29,   60.10,   68.94,   75.61,   84.28,   63.37
41.39472,-5.21004,RH2M,1987,   83.18,   81.80,   70.58,   67.93,   52.69,   48.00,   49.72,   37.28,   47.30,   74.63,   81.82,   86.85,   65.05
41.39472,-5.21004,RH2M,1988,   88.73,   77.23,   66.10,   73.06,   70.33,   65.04,   54.24,   39.80,   40.92,   63.03,   74.26,   81.42,   66.15
41.39472,-5.21004,RH2M,1989,   72.76,   67.15,   60.88,   68.07,   52.05,   50.08,   34.92,   38.13,   51.45,   58.98,   82.35,   89.50,   60.44
41.39472,-5.21004,RH2M,1990,   81.38,   82.39,   68.16,   71.37,   58.31,   50.58,   37.98,   36.97,   48.37,   71.43,   80.73,   82.23,   64.02
41.39472,-5.21004,RH2M,1991,   80.59,   80.31,   77.02,   65.18,   55.32,   45.74,   37.32,   33.76,   50.41,   69.45,   77.97,   81.10,   62.74
41.39472,-5.21004,RH2M,1992,   78.08,   65.82,   61.10,   57.16,   47.40,   56.83,   33.99,   38.98,   47.14,   74.74,   76.40,   85.78,   60.26
41.39472,-5.21004,RH2M,1993,   72.57,   72.18,   63.06,   63.80,   61.30,   53.74,   40.87,   39.25,   62.74,   78.43,   79.11,   89.74,   64.67
41.39472,-5.21004,RH2M,1994,   83.57,   77.91,   65.34,   61.82,   61.44,   46.73,   34.16,   36.29,   55.00,   68.15,   76.89,   85.70,   62.65
41.39472,-5.21004,RH2M,1995,   83.45,   75.50,   64.73,   52.37,   52.24,   45.54,   40.11,   40.03,   56.72,   54.48,   76.58,   87.74,   60.70
41.39472,-5.21004,RH2M,1996,   86.91,   79.53,   72.33,   66.43,   64.00,   47.38,   40.08,   46.51,   55.86,   65.70,   78.07,   87.72,   65.84
41.39472,-5.21004,RH2M,1997,   88.49,   78.73,   53.62,   55.19,   60.77,   58.69,   53.05,   44.77,   52.75,   67.88,   87.36,   88.86,   65.77
41.39472,-5.21004,RH2M,1998,   87.37,   77.09,   70.05,   75.56,   68.68,   55.92,   44.49,   39.38,   56.87,   69.50,   79.75,   80.02,   66.97
41.39472,-5.21004,RH2M,1999,   82.79,   78.53,   69.04,   61.87,   59.75,   47.49,   38.17,   43.08,   61.23,   73.62,   79.86,   85.98,   65.03
41.39472,-5.21004,RH2M,2000,   79.47,   75.67,   62.49,   74.33,   66.50,   47.99,   44.95,   39.34,   45.44,   69.02,   84.54,   86.15,   64.61
41.39472,-5.21004,RH2M,2001,   89.66,   79.99,   82.13,   70.41,   66.03,   48.01,   50.12,   44.45,   52.80,   71.92,   79.13,   77.84,   67.66
41.39472,-5.21004,RH2M,2002,   85.07,   77.75,   68.49,   58.74,   59.56,   46.09,   39.48,   43.51,   58.33,   74.16,   85.60,   88.70,   65.39
41.39472,-5.21004,RH2M,2003,   84.86,   82.77,   72.19,   71.75,   61.82,   49.13,   41.82,   37.87,   51.50,   74.61,   85.46,   89.46,   66.83
41.39472,-5.21004,RH2M,2004,   87.65,   77.93,   73.55,   66.36,   65.21,   47.37,   37.24,   46.46,   46.31,   66.77,   78.60,   88.69,   65.17
41.39472,-5.21004,RH2M,2005,   79.83,   74.79,   65.57,   65.06,   52.48,   37.08,   34.13,   34.83,   41.36,   64.27,   82.53,   85.72,   59.72
41.39472,-5.21004,RH2M,2006,   85.22,   75.51,   76.13,   66.27,   53.37,   46.06,   37.97,   43.35,   47.21,   71.80,   82.79,   81.88,   63.91
41.39472,-5.21004,RH2M,2007,   84.43,   83.27,   69.74,   68.17,   66.98,   59.55,   45.15,   46.29,   53.49,   68.02,   70.74,   83.81,   66.54
41.39472,-5.21004,RH2M,2008,   83.59,   77.21,   70.58,   65.44,   68.60,   56.87,   43.06,   40.13,   54.71,   67.91,   84.41,   86.32,   66.52
41.39472,-5.21004,RH2M,2009,   86.46,   76.10,   60.46,   63.63,   51.04,   49.42,   34.94,   39.99,   48.28,   64.82,   79.07,   83.96,   61.41
41.39472,-5.21004,RH2M,2010,   85.92,   80.92,   74.79,   69.23,   63.51,   59.75,   43.19,   39.34,   52.48,   63.45,   80.95,   84.16,   66.36
41.39472,-5.21004,RH2M,2011,   85.28,   78.36,   76.21,   65.76,   59.72,   49.93,   43.21,   41.80,   42.01,   49.84,   80.68,   83.49,   62.94
41.39472,-5.21004,RH2M,2012,   81.30,   66.63,   56.43,   72.77,   55.55,   45.70,   36.05,   34.97,   50.54,   67.62,   83.86,   86.79,   61.47
41.39472,-5.21004,RH2M,2013,   86.26,   81.23,   81.05,   70.98,   65.04,   55.75,   43.21,   39.99,   50.43,   71.38,   81.07,   78.34,   66.97
41.39472,-5.21004,RH2M,2014,   85.81,   82.35,   67.64,   66.09,   51.57,   45.16,   43.35,   41.41,   55.84,   63.95,   83.49,   86.30,   64.28
41.39472,-5.21004,RH2M,2015,   80.94,   80.46,   65.93,   62.88,   51.34,   47.24,   34.97,   38.81,   50.40,   69.40,   74.88,   78.34,   61.17
41.39472,-5.21004,RH2M,2016,   88.50,   80.64,   76.78,   72.80,   67.01,   55.48,   42.00,   36.56,   45.83,   59.70,   81.70,   84.25,   65.88
41.39472,-5.21004,RH2M,2017,   81.45,   76.94,   68.12,   52.60,   55.84,   42.49,   41.75,   37.15,   45.61,   47.31,   69.28,   85.36,   58.57
41.39472,-5.21004,RH2M,2018,   84.57,   76.32,   78.98,   72.66,   66.96,   63.66,   51.67,   39.67,   46.80,   62.00,   81.59,   81.03,   67.10
41.39472,-5.21004,RH2M,2019,   82.45,   68.04,   60.91,   66.03,   49.13,   40.88,   37.36,   39.22,   54.60,   66.81,   86.45,   82.43,   61.13
