LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
41.4953,2.29429,T2M,1981,    9.31,    9.15,   12.86,   13.79,   16.46,   20.92,   22.13,   23.99,   22.17,   18.64,   15.16,   11.60,   16.39
41.4953,2.29429,T2M,1982,   11.03,   10.47,   11.07,   13.35,   16.16,   21.28,   24.67,   23.61,   21.94,   17.54,   13.79,   10.70,   16.33
41.4953,2.29429,T2M,1983,   10.46,    8.84,   11.78,   13.35,   16.16,   20.25,   24.39,   23.39,   22.21,   18.61,   15.10,   11.21,   16.36
41.4953,2.29429,T2M,1984,    9.73,    9.43,   10.24,   13.45,   14.35,   18.86,   22.94,   22.95,   20.63,   17.35,   14.54,   11.10,   15.48
41.4953,2.29429,T2M,1985,    6.95,   11.20,   10.77,   14.22,   15.32,   20.23,   24.40,   23.53,   23.03,   19.44,   12.46,   11.30,   16.09
41.4953,2.29429,T2M,1986,    9.56,    9.05,   11.65,   11.97,   17.89,   20.24,   23.61,   24.27,   22.42,   18.67,   14.69,   10.83,   16.29
41.4953,2.29429,T2M,1987,    8.91,    9.87,   11.18,   13.96,   15.84,   20.01,   23.81,   24.49,   24.04,   18.98,   13.82,   12.39,   16.48
41.4953,2.29429,T2M,1988,   11.23,   10.22,   11.73,   13.71,   17.00,   20.18,   23.58,   24.68,   22.08,   19.25,   14.06,   10.75,   16.56
41.4953,2.29429,T2M,1989,   10.47,   11.26,   12.79,   13.05,   17.41,   20.87,   24.23,   25.10,   21.38,   18.71,   15.03,   12.49,   16.94
41.4953,2.29429,T2M,1990,   10.73,   12.76,   12.71,   13.56,   18.38,   21.08,   24.23,   24.86,   22.85,   19.02,   13.49,    9.29,   16.94
41.4953,2.29429,T2M,1991,   10.00,    9.66,   12.62,   12.77,   15.06,   19.67,   24.16,   25.14,   23.11,   16.75,   12.94,   10.62,   16.08
41.4953,2.29429,T2M,1992,    9.05,   10.04,   11.96,   13.80,   17.54,   18.48,   22.83,   25.07,   21.44,   16.56,   14.66,   11.46,   16.10
