LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
38.35375,-0.49017,T2M,1981,   10.65,   10.77,   14.73,   14.90,   17.93,   21.86,   23.38,   24.49,   23.49,   20.28,   16.85,   13.88,   17.81
38.35375,-0.49017,T2M,1982,   12.43,   12.01,   12.91,   14.62,   17.37,   22.89,   25.79,   25.05,   22.80,   19.26,   14.98,   11.83,   17.70
38.35375,-0.49017,T2M,1983,   11.50,   10.36,   13.51,   15.13,   17.66,   21.48,   25.30,   24.77,   24.09,   20.73,   17.12,   12.95,   17.93
38.35375,-0.49017,T2M,1984,   11.53,   11.35,   11.58,   15.45,   16.08,   19.99,   24.14,   24.15,   22.57,   18.70,   16.01,   12.76,   17.04
38.35375,-0.49017,T2M,1985,    9.71,   12.93,   12.29,   15.64,   16.96,   21.70,   24.74,   24.75,   23.78,   20.64,   15.41,   12.68,   17.62
38.35375,-0.49017,T2M,1986,   11.24,   11.26,   12.70,   13.45,   18.76,   21.10,   24.30,   25.63,   23.61,   19.75,   16.07,   12.53,   17.57
38.35375,-0.49017,T2M,1987,   11.03,   11.58,   13.54,   15.64,   17.74,   21.77,   24.22,   25.41,   24.42,   19.52,   14.95,   13.51,   17.81
38.35375,-0.49017,T2M,1988,   12.70,   11.69,   13.62,   15.52,   18.44,   21.11,   24.44,   25.53,   22.93,   20.24,   16.23,   12.19,   17.91
38.35375,-0.49017,T2M,1989,   11.59,   12.75,   13.84,   14.53,   18.03,   22.06,   25.33,   26.58,   22.67,   19.65,   16.64,   14.60,   18.22
38.35375,-0.49017,T2M,1990,   11.90,   13.98,   13.76,   14.54,   18.28,   22.21,   24.71,   25.25,   24.45,   19.93,   15.09,   11.35,   17.98
38.35375,-0.49017,T2M,1991,   10.91,   10.79,   13.54,   14.24,   16.45,   21.22,   24.73,   26.03,   24.52,   17.84,   14.55,   12.08,   17.28
38.35375,-0.49017,T2M,1992,   10.28,   11.31,   13.02,   15.12,   18.19,   19.27,   23.50,   25.84,   22.57,   18.26,   15.78,   12.94,   17.19
38.35375,-0.49017,T2M,1993,   11.06,   11.22,   12.59,   15.34,   17.92,   21.81,   23.57,   24.97,   21.95,   17.35,   14.25,   12.58,   17.08
38.35375,-0.49017,T2M,1994,   11.40,   12.13,   14.20,   15.19,   19.03,   21.67,   25.58,   26.75,   22.39,   19.12,   16.85,   13.35,   18.18
38.35375,-0.49017,T2M,1995,   11.89,   13.57,   13.41,   15.32,   18.44,   20.91,   24.71,   25.38,   22.08,   20.13,   16.99,   14.08,   18.11
