LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
37.34001,-4.58115,T2M,1981,    6.79,    8.23,   13.40,   12.86,   17.17,   24.47,   25.85,   25.64,   22.75,   18.86,   14.98,   10.00,   16.80
37.34001,-4.58115,T2M,1982,    9.04,    8.84,   12.13,   13.83,   18.31,   24.22,   25.19,   25.96,   22.18,   15.68,   11.08,    6.85,   16.15
37.34001,-4.58115,T2M,1983,    8.27,    7.31,   12.92,   13.26,   16.23,   24.39,   25.24,   24.70,   24.68,   19.74,   13.83,    9.08,   16.69
37.34001,-4.58115,T2M,1984,    6.84,    7.79,    9.04,   14.66,   13.51,   20.42,   26.78,   25.36,   23.01,   16.57,   12.00,    8.98,   15.43
37.34001,-4.58115,T2M,1985,    6.47,   10.78,    9.53,   14.44,   15.98,   22.73,   26.58,   27.07,   25.25,   19.77,   12.07,    9.22,   16.68
37.34001,-4.58115,T2M,1986,    7.10,    8.31,   10.97,   10.77,   20.00,   22.99,   27.35,   26.46,   23.32,   18.10,   12.35,    8.16,   16.38
37.34001,-4.58115,T2M,1987,    7.61,    9.21,   13.19,   15.64,   18.82,   23.99,   25.79,   26.30,   24.29,   15.91,   11.20,   10.74,   16.93
37.34001,-4.58115,T2M,1988,    8.72,    8.47,   11.89,   14.30,   16.70,   20.30,   26.60,   28.05,   23.64,   17.46,   13.13,    7.97,   16.46
37.34001,-4.58115,T2M,1989,    8.06,    9.58,   12.77,   12.70,   18.62,   24.07,   28.54,   27.68,   22.26,   18.47,   13.27,   11.43,   17.34
37.34001,-4.58115,T2M,1990,    7.46,   11.02,   12.53,   12.56,   18.01,   22.51,   26.99,   27.05,   24.25,   16.72,   11.01,    7.52,   16.50
37.34001,-4.58115,T2M,1991,    7.05,    7.19,   11.20,   12.66,   17.23,   24.06,   27.42,   27.82,   23.80,   14.93,   10.75,    8.75,   16.13
37.34001,-4.58115,T2M,1992,    6.34,    9.07,   12.34,   15.02,   19.39,   18.91,   26.46,   26.34,   22.63,   14.26,   12.27,    8.96,   16.02
37.34001,-4.58115,T2M,1993,    7.65,    8.61,   11.64,   13.05,   16.17,   22.41,   26.86,   26.09,   20.03,   14.04,   10.93,    8.32,   15.53
37.34001,-4.58115,T2M,1994,    7.32,    8.61,   13.56,   13.37,   18.33,   24.03,   29.01,   27.61,   21.01,   17.46,   13.43,    9.05,   16.95
37.34001,-4.58115,T2M,1995,    7.58,   10.70,   12.60,   15.05,   20.69,   23.01,   26.72,   26.89,   20.46,   19.52,   14.01,   10.79,   17.38
37.34001,-4.58115,T2M,1996,    9.70,    7.39,   10.56,   13.85,   16.08,   22.03,   25.14,   24.17,   19.51,   16.36,   11.78,    9.50,   15.53
