LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
41.37874,-0.76393,T2M,1981,    4.55,    4.34,   10.81,   11.07,   14.78,   21.13,   21.45,   22.34,   20.01,   14.47,   10.53,    6.68,   13.56
41.37874,-0.76393,T2M,1982,    6.72,    6.37,    7.70,   11.49,   15.73,   21.76,   25.12,   21.81,   18.59,   12.59,    8.28,    5.13,   13.48
41.37874,-0.76393,T2M,1983,    5.23,    4.20,    9.12,   11.03,   14.99,   21.22,   26.25,   21.77,   20.53,   15.16,   10.96,    5.89,   13.92
41.37874,-0.76393,T2M,1984,    5.11,    4.29,    5.85,   12.44,   11.15,   18.84,   24.78,   21.95,   17.98,   13.49,    9.67,    4.71,   12.54
41.37874,-0.76393,T2M,1985,    1.13,    8.01,    6.58,   12.43,   13.71,   20.65,   25.47,   23.59,   21.37,   15.78,    6.96,    6.08,   13.50
41.37874,-0.76393,T2M,1986,    5.02,    4.85,    8.51,    8.30,   18.44,   20.69,   23.77,   23.83,   20.23,   14.35,    8.53,    5.41,   13.55
41.37874,-0.76393,T2M,1987,    3.27,    5.62,    8.72,   13.62,   14.93,   20.50,   23.09,   25.31,   23.13,   14.28,    8.32,    6.97,   14.02
41.37874,-0.76393,T2M,1988,    6.69,    5.30,    8.22,   11.47,   15.47,   17.75,   22.33,   23.85,   19.81,   15.38,    8.96,    4.43,   13.34
41.37874,-0.76393,T2M,1989,    4.42,    6.96,   10.63,    9.65,   17.30,   20.64,   24.74,   24.51,   18.24,   14.75,   10.43,    8.00,   14.24
41.37874,-0.76393,T2M,1990,    4.87,   10.05,    9.40,   10.02,   17.79,   21.69,   25.09,   24.12,   20.75,   14.46,    8.07,    3.07,   14.14
41.37874,-0.76393,T2M,1991,    4.01,    4.59,    9.72,    9.61,   13.22,   20.25,   24.35,   26.41,   20.38,   11.50,    7.73,    4.66,   13.09
41.37874,-0.76393,T2M,1992,    2.12,    5.26,    7.93,   12.07,   17.63,   16.31,   23.22,   24.91,   19.48,   11.62,   10.41,    5.83,   13.09
41.37874,-0.76393,T2M,1993,    4.78,    4.52,    8.52,   11.42,   16.17,   21.04,   22.66,   24.15,   17.77,   11.04,    7.17,    6.61,   13.04
41.37874,-0.76393,T2M,1994,    4.79,    6.69,   11.44,   10.14,   17.76,   21.68,   27.25,   25.83,   17.64,   13.72,   10.42,    6.27,   14.53
41.37874,-0.76393,T2M,1995,    5.19,    8.30,    8.40,   11.97,   16.64,   19.91,   25.64,   22.58,   16.87,   16.57,   10.39,    6.57,   14.13
41.37874,-0.76393,T2M,1996,    6.66,    4.28,    7.88,   11.63,   15.56,   20.65,   23.39,   21.80,   16.73,   13.36,    8.94,    5.71,   13.08
41.37874,-0.76393,T2M,1997,    5.00,    8.66,   11.23,   13.05,   16.52,   19.04,   20.65,   23.31,   19.78,   15.80,    9.23,    5.91,   14.05
41.37874,-0.76393,T2M,1998,    5.40,    7.58,   10.29,   10.54,   15.12,   20.94,   23.79,   23.48,   19.72,   12.94,    7.34,    4.68,   13.52
41.37874,-0.76393,T2M,1999,    4.91,    4.78,    8.56,   11.87,   17.83,   20.11,   23.75,   24.36,   19.56,   14.14,    5.82,    5.17,   13.46
41.37874,-0.76393,T2M,2000,    2.78,    8.35,    9.24,   11.17,   17.53,   21.13,   22.90,   24.30,   20.21,   13.25,    7.73,    6.81,   13.80
41.37874,-0.76393,T2M,2001,    5.92,    5.84,   12.02,   11.62,   16.11,   22.11,   23.26,   24.68,   17.64,   16.20,    5.82,    2.61,   13.71
41.37874,-0.76393,T2M,2002,    5.59,    7.27,    9.81,   11.83,   14.94,   21.85,   22.57,   21.16,   17.94,   14.29,    9.30,    7.33,   13.69
41.37874,-0.76393,T2M,2003,    4.24,    4.26,   10.04,   12.09,   16.18,   24.37,   25.19,   26.36,   18.76,   12.62,    9.53,    5.66,   14.17
41.37874,-0.76393,T2M,2004,    6.54,    5.42,    7.04,   10.07,   14.21,   21.96,   22.86,   24.13,   19.94,   15.88,    7.40,    5.19,   13.41
41.37874,-0.76393,T2M,2005,    4.01,    2.41,    8.67,   12.79,   18.07,   23.74,   24.61,   22.59,   18.60,   15.13,    7.64,    3.53,   13.55
41.37874,-0.76393,T2M,2006,    3.31,    4.24,   10.13,   13.11,   18.36,   22.09,   26.32,   21.24,   20.47,   16.78,   11.14,    4.99,   14.41
41.37874,-0.76393,T2M,2007,    5.73,    7.88,    8.29,   12.43,   15.71,   20.64,   23.09,   21.79,   18.64,   13.30,    6.85,    4.98,   13.31
41.37874,-0.76393,T2M,2008,    6.63,    7.62,    8.72,   12.59,   15.38,   18.97,   23.23,   23.76,   18.26,   13.08,    6.41,    4.53,   13.29
41.37874,-0.76393,T2M,2009,    3.91,    5.44,    8.88,   10.63,   18.20,   22.80,   25.52,   25.40,   19.07,   15.46,   10.63,    5.02,   14.30
41.37874,-0.76393,T2M,2010,    3.45,    4.35,    7.45,   12.56,   14.11,   19.13,   25.12,   23.50,   18.85,   12.98,    7.32,    4.01,   12.79
41.37874,-0.76393,T2M,2011,    4.56,    6.90,    8.22,   14.56,   17.62,   20.17,   21.81,   25.34,   21.64,   15.32,   10.36,    6.13,   14.42
41.37874,-0.76393,T2M,2012,    5.15,    2.06,    9.66,   10.80,   18.02,   23.15,   23.53,   26.43,   19.60,   14.58,    8.50,    5.94,   14.00
41.37874,-0.76393,T2M,2013,    5.66,    4.67,    8.55,   10.92,   12.12,   18.11,   24.86,   22.78,   19.64,   16.11,    7.44,    4.96,   13.04
41.37874,-0.76393,T2M,2014,    6.81,    6.32,    9.21,   14.44,   15.51,   21.44,   22.13,   23.52,   21.17,   17.27,   10.55,    5.18,   14.50
41.37874,-0.76393,T2M,2015,    4.97,    4.16,    9.05,   12.77,   17.92,   22.02,   26.85,   23.86,   17.86,   14.55,   10.92,    8.57,   14.53
41.37874,-0.76393,T2M,2016,    7.53,    7.01,    7.53,   11.27,   15.49,   21.06,   24.76,   24.33,   21.07,   15.55,    8.33,    6.40,   14.22
41.37874,-0.76393,T2M,2017,    3.66,    7.86,   10.90,   12.96,   18.53,   23.69,   24.62,   24.47,   17.93,   16.23,    8.33,    5.23,   14.57
41.37874,-0.76393,T2M,2018,    6.48,    3.92,    8.03,   12.68,   15.32,   20.28,   24.80,   24.15,   20.92,   13.87,    9.07,    7.59,   13.99
41.37874,-0.76393,T2M,2019,    4.12,    7.81,    9.90,   11.06,   15.03,   22.50,   25.59,   24.79,   19.89,   15.89,    8.73,    8.06,   14.49
41.37874,-0.76393,RH2M,1981,   76.83,   67.90,   60.27,   64.10,   53.65,   45.19,   47.86,   51.22,   51.77,   60.52,   64.89,   73.59,   59.79
41.37874,-0.76393,RH2M,1982,   78.98,   76.79,   65.99,   60.35,   55.35,   48.96,   39.35,   50.38,   57.41,   69.42,   75.31,   80.83,   63.18
41.37874,-0.76393,RH2M,1983,   68.33,   71.22,   64.91,   54.26,   48.40,   46.21,   36.63,   54.47,   50.32,   55.01,   79.35,   70.22,   58.18
41.37874,-0.76393,RH2M,1984,   74.75,   71.67,   64.44,   57.30,   63.63,   53.65,   36.97,   45.25,   50.71,   60.89,   76.09,   80.79,   61.31
41.37874,-0.76393,RH2M,1985,   78.16,   71.46,   64.59,   56.58,   61.40,   51.30,   41.03,   39.14,   46.33,   58.89,   69.56,   70.80,   59.04
41.37874,-0.76393,RH2M,1986,   76.38,   71.07,   63.41,   62.12,   47.16,   45.20,   40.07,   37.25,   58.04,   71.79,   72.72,   77.92,   60.18
41.37874,-0.76393,RH2M,1987,   77.64,   76.28,   65.01,   57.17,   51.48,   44.92,   49.08,   41.83,   45.72,   67.88,   79.57,   81.45,   61.43
41.37874,-0.76393,RH2M,1988,   81.79,   72.31,   62.56,   69.74,   63.54,   64.39,   51.28,   45.49,   47.50,   58.82,   71.28,   74.45,   63.55
41.37874,-0.76393,RH2M,1989,   73.98,   65.68,   59.75,   60.74,   53.58,   49.68,   41.14,   44.96,   57.81,   60.72,   76.39,   82.67,   60.54
41.37874,-0.76393,RH2M,1990,   75.86,   66.30,   58.82,   62.88,   48.45,   47.74,   36.39,   44.18,   53.67,   63.69,   74.26,   75.48,   58.91
41.37874,-0.76393,RH2M,1991,   73.52,   72.43,   68.58,   60.79,   57.24,   47.57,   41.43,   36.63,   56.67,   66.10,   72.50,   79.97,   61.05
41.37874,-0.76393,RH2M,1992,   77.27,   64.34,   66.41,   53.56,   49.98,   58.26,   48.33,   42.57,   53.42,   72.00,   69.74,   80.08,   61.34
41.37874,-0.76393,RH2M,1993,   69.51,   72.15,   61.14,   53.84,   53.40,   45.94,   41.03,   40.83,   50.62,   70.36,   75.14,   80.39,   59.46
41.37874,-0.76393,RH2M,1994,   72.72,   67.36,   59.02,   56.84,   47.24,   38.79,   32.77,   40.21,   50.26,   74.78,   75.74,   79.70,   57.90
41.37874,-0.76393,RH2M,1995,   73.45,   64.78,   59.57,   52.62,   50.94,   49.79,   37.52,   48.90,   52.24,   57.15,   67.11,   81.75,   57.96
41.37874,-0.76393,RH2M,1996,   81.56,   70.68,   65.90,   60.68,   53.50,   48.89,   42.29,   52.02,   55.70,   60.29,   72.82,   82.00,   62.18
41.37874,-0.76393,RH2M,1997,   87.11,   69.20,   57.24,   57.55,   57.69,   56.08,   57.58,   53.39,   59.17,   63.05,   76.43,   77.95,   64.35
41.37874,-0.76393,RH2M,1998,   78.51,   68.64,   60.16,   57.19,   59.46,   49.12,   40.72,   43.10,   51.87,   63.06,   72.24,   74.82,   59.86
41.37874,-0.76393,RH2M,1999,   74.17,   74.37,   64.92,   55.75,   53.84,   51.63,   47.23,   45.35,   56.36,   65.85,   73.66,   74.78,   61.41
41.37874,-0.76393,RH2M,2000,   74.81,   64.55,   58.59,   57.97,   55.84,   48.28,   42.32,   38.62,   46.03,   66.79,   73.52,   76.21,   58.62
41.37874,-0.76393,RH2M,2001,   79.71,   71.22,   63.61,   56.80,   55.62,   39.45,   42.42,   42.26,   54.29,   63.63,   76.54,   74.62,   59.96
41.37874,-0.76393,RH2M,2002,   77.23,   67.11,   63.46,   56.78,   55.40,   45.46,   47.44,   54.98,   56.89,   66.93,   75.51,   79.26,   62.20
41.37874,-0.76393,RH2M,2003,   75.98,   75.67,   62.18,   61.08,   59.43,   47.75,   39.36,   38.67,   61.74,   71.81,   76.92,   80.57,   62.50
41.37874,-0.76393,RH2M,2004,   76.79,   72.53,   69.46,   65.99,   63.22,   51.92,   46.77,   43.85,   56.47,   57.49,   73.28,   83.76,   63.43
41.37874,-0.76393,RH2M,2005,   72.36,   70.96,   58.55,   54.07,   46.92,   43.63,   37.44,   45.90,   53.75,   65.31,   75.90,   77.00,   58.40
41.37874,-0.76393,RH2M,2006,   81.59,   68.99,   64.10,   58.38,   48.50,   47.22,   42.71,   45.80,   55.84,   66.06,   74.37,   72.99,   60.49
