LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
41.78655,-1.50582,T2M,1981,    3.38,    3.26,    8.98,    9.45,   12.97,   18.63,   19.47,   20.26,   18.06,   12.79,    9.11,    5.28,   11.85
41.78655,-1.50582,T2M,1982,    5.15,    5.06,    6.45,    9.49,   13.97,   19.68,   22.52,   19.46,   16.87,   11.00,    6.89,    4.10,   11.76
41.78655,-1.50582,T2M,1983,    4.19,    2.81,    7.84,    9.08,   12.44,   19.07,   23.32,   19.50,   18.73,   13.41,    9.79,    4.74,   12.13
41.78655,-1.50582,T2M,1984,    3.76,    2.95,    4.30,   11.03,    9.27,   16.88,   22.31,   19.61,   16.14,   11.80,    7.94,    3.66,   10.82
41.78655,-1.50582,T2M,1985,   -0.01,    6.53,    5.09,   10.52,   11.97,   18.21,   22.65,   20.95,   19.66,   14.48,    5.23,    4.98,   11.71
41.78655,-1.50582,T2M,1986,    3.68,    3.66,    7.01,    6.24,   16.18,   18.67,   21.25,   21.22,   18.21,   13.11,    7.10,    4.30,   11.78
41.78655,-1.50582,T2M,1987,    2.06,    4.49,    7.58,   12.08,   13.01,   18.33,   20.48,   23.02,   21.12,   12.43,    7.14,    5.58,   12.31
41.78655,-1.50582,T2M,1988,    5.47,    4.14,    6.99,    9.85,   13.78,   15.74,   19.89,   21.54,   18.00,   13.42,    7.59,    3.47,   11.69
41.78655,-1.50582,T2M,1989,    3.19,    5.60,    9.05,    7.83,   15.73,   18.85,   22.62,   22.44,   16.78,   13.44,    9.00,    6.90,   12.67
41.78655,-1.50582,T2M,1990,    3.78,    8.69,    7.95,    8.66,   16.19,   19.72,   23.11,   22.44,   19.34,   12.87,    6.67,    1.72,   12.62
41.78655,-1.50582,T2M,1991,    2.69,    3.18,    8.23,    7.99,   11.57,   18.42,   22.57,   24.18,   18.95,    9.91,    6.36,    3.52,   11.52
41.78655,-1.50582,T2M,1992,    1.10,    3.86,    6.61,   10.24,   15.97,   14.67,   21.71,   23.04,   17.66,   10.01,    9.17,    4.68,   11.59
41.78655,-1.50582,T2M,1993,    3.80,    3.29,    7.09,    9.57,   14.02,   18.90,   20.24,   21.77,   15.56,    9.44,    5.81,    5.49,   11.30
41.78655,-1.50582,T2M,1994,    3.51,    5.15,    9.98,    8.58,   15.32,   18.98,   24.53,   23.22,   15.61,   12.34,    9.17,    5.14,   12.68
