LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
39.17485,-6.15298,T2M,1981,    5.89,    7.52,   12.54,   12.59,   16.11,   25.67,   27.21,   26.90,   22.95,   16.99,   13.94,    9.35,   16.52
39.17485,-6.15298,T2M,1982,    7.95,    8.19,   10.62,   13.83,   18.78,   23.65,   24.94,   26.89,   21.87,   14.50,   10.15,    6.38,   15.69
39.17485,-6.15298,T2M,1983,    5.98,    6.22,   12.19,   12.25,   14.80,   24.30,   25.29,   25.21,   24.61,   17.96,   12.89,    7.31,   15.80
39.17485,-6.15298,T2M,1984,    6.15,    6.20,    7.38,   14.66,   12.55,   20.73,   26.32,   26.14,   23.28,   16.48,   10.79,    7.55,   14.87
39.17485,-6.15298,T2M,1985,    4.74,    9.87,    8.52,   13.19,   14.87,   21.98,   27.66,   26.97,   26.60,   19.74,   10.55,    8.03,   16.09
39.17485,-6.15298,T2M,1986,    6.33,    7.90,   10.10,    9.66,   18.94,   23.97,   28.79,   25.08,   22.16,   17.37,   10.83,    7.11,   15.74
39.17485,-6.15298,T2M,1987,    6.20,    8.31,   11.84,   14.13,   18.52,   24.41,   26.57,   27.44,   25.41,   14.44,    9.87,    9.08,   16.40
39.17485,-6.15298,T2M,1988,    8.07,    7.39,   10.34,   12.65,   15.88,   19.64,   24.29,   26.92,   24.23,   17.32,   11.88,    5.62,   15.38
39.17485,-6.15298,T2M,1989,    6.31,    8.71,   12.28,   11.73,   19.23,   24.24,   29.81,   27.50,   22.26,   17.71,   12.41,   10.42,   16.94
39.17485,-6.15298,T2M,1990,    5.76,   10.00,   11.12,   11.39,   17.99,   23.39,   29.46,   28.59,   24.01,   15.84,    9.48,    5.69,   16.10
39.17485,-6.15298,T2M,1991,    5.55,    6.16,   10.56,   12.14,   17.72,   24.97,   28.39,   28.40,   23.61,   13.87,    9.88,    6.66,   15.71
39.17485,-6.15298,T2M,1992,    4.00,    7.10,   11.42,   14.34,   19.98,   19.10,   28.11,   26.49,   21.95,   13.68,   11.34,    7.43,   15.44
39.17485,-6.15298,T2M,1993,    5.53,    7.38,   11.07,   12.41,   15.67,   21.85,   27.62,   26.16,   19.01,   12.68,    9.07,    7.29,   14.69
39.17485,-6.15298,T2M,1994,    6.11,    7.29,   12.72,   12.73,   17.03,   23.16,   27.56,   26.70,   20.31,   17.04,   12.13,    8.57,   16.00
39.17485,-6.15298,T2M,1995,    7.42,    9.39,   11.51,   15.23,   20.24,   24.40,   26.98,   27.53,   19.87,   19.18,   13.12,    9.49,   17.08
39.17485,-6.15298,T2M,1996,    8.54,    6.08,    9.62,   13.56,   15.90,   23.50,   27.17,   24.97,   19.78,   15.95,   10.92,    8.08,   15.37
39.17485,-6.15298,T2M,1997,    6.44,    9.34,   13.53,   16.27,   16.97,   19.56,   24.97,   26.27,   23.54,   17.36,   11.51,    8.26,   16.21
39.17485,-6.15298,T2M,1998,    7.11,    9.83,   12.07,   11.16,   16.14,   22.08,   28.04,   29.04,   22.08,   15.37,   10.84,    6.08,   15.86
39.17485,-6.15298,T2M,1999,    5.86,    7.08,   11.24,   14.78,   18.40,   24.57,   28.50,   25.89,   21.40,   15.79,    7.81,    7.07,   15.76
39.17485,-6.15298,T2M,2000,    4.48,    9.68,   11.78,   11.19,   17.45,   23.38,   25.84,   25.92,   23.09,   15.59,    9.67,    8.45,   15.56
39.17485,-6.15298,T2M,2001,    7.85,    8.33,   11.66,   12.54,   16.93,   23.68,   25.48,   26.65,   22.53,   16.79,    8.22,    5.20,   15.53
39.17485,-6.15298,T2M,2002,    6.88,    7.85,   11.25,   13.59,   16.64,   24.42,   27.19,   25.75,   20.61,   16.41,   10.92,    9.03,   15.93
39.17485,-6.15298,T2M,2003,    5.70,    6.87,   11.35,   12.96,   18.76,   25.66,   26.29,   28.98,   23.22,   15.23,   10.54,    7.01,   16.10
39.17485,-6.15298,T2M,2004,    7.70,    8.03,    9.36,   12.58,   15.90,   26.28,   27.98,   25.33,   23.69,   16.60,    9.28,    6.24,   15.76
39.17485,-6.15298,T2M,2005,    4.86,    5.29,   10.68,   14.28,   19.56,   27.00,   28.15,   27.84,   22.52,   16.68,    8.73,    6.18,   16.04
39.17485,-6.15298,T2M,2006,    4.96,    6.68,   10.30,   14.72,   19.72,   24.64,   28.88,   27.39,   23.46,   17.32,   12.28,    5.64,   16.38
