LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
38.47348,-1.32853,T2M,1981,    6.67,    7.50,   13.91,   13.45,   17.86,   23.03,   23.98,   24.52,   22.86,   18.28,   13.32,    9.80,   16.31
38.47348,-1.32853,T2M,1982,    9.22,    9.13,   11.33,   13.72,   17.56,   24.15,   27.61,   25.49,   21.58,   16.42,   11.14,    7.50,   16.28
38.47348,-1.32853,T2M,1983,    7.96,    6.87,   12.47,   14.37,   18.33,   23.53,   27.15,   24.70,   23.74,   18.51,   13.42,    8.31,   16.67
38.47348,-1.32853,T2M,1984,    7.37,    7.97,    8.64,   14.59,   14.96,   21.59,   26.41,   24.02,   21.96,   16.10,   12.46,    8.24,   15.37
38.47348,-1.32853,T2M,1985,    5.26,   10.87,    9.77,   15.25,   16.29,   23.13,   26.21,   25.70,   23.12,   18.16,   11.28,    8.38,   16.14
38.47348,-1.32853,T2M,1986,    6.96,    8.05,   11.08,   11.79,   19.97,   22.47,   25.54,   26.69,   22.71,   16.56,   11.68,    7.64,   15.98
38.47348,-1.32853,T2M,1987,    7.04,    8.90,   12.33,   15.70,   18.48,   22.95,   25.24,   26.01,   24.37,   16.64,   10.90,    9.63,   16.56
38.47348,-1.32853,T2M,1988,    9.11,    8.06,   12.14,   14.75,   18.38,   20.84,   25.51,   26.40,   21.94,   17.69,   12.00,    7.16,   16.20
38.47348,-1.32853,T2M,1989,    7.08,    9.54,   12.20,   12.72,   18.09,   22.63,   26.51,   27.23,   21.00,   16.84,   13.08,   10.94,   16.53
38.47348,-1.32853,T2M,1990,    7.22,   11.72,   11.62,   12.68,   17.91,   23.70,   25.89,   25.70,   23.66,   16.78,   11.03,    6.78,   16.24
38.47348,-1.32853,T2M,1991,    6.49,    6.90,   11.51,   12.92,   16.07,   22.59,   26.27,   27.41,   23.17,   14.79,   10.62,    7.69,   15.59
38.47348,-1.32853,T2M,1992,    5.58,    7.96,   10.91,   14.86,   18.83,   19.25,   24.60,   26.27,   21.84,   15.14,   12.66,    8.65,   15.57
38.47348,-1.32853,T2M,1993,    6.98,    7.64,   10.55,   13.94,   17.62,   22.55,   24.74,   25.50,   20.74,   14.40,   10.32,    8.58,   15.34
38.47348,-1.32853,T2M,1994,    7.32,    8.92,   13.22,   13.85,   20.16,   22.99,   27.96,   28.21,   21.23,   16.90,   13.46,    9.02,   16.99
38.47348,-1.32853,T2M,1995,    7.90,   11.20,   11.64,   14.30,   19.44,   21.83,   26.33,   25.60,   20.51,   18.14,   13.54,   10.26,   16.76
38.47348,-1.32853,T2M,1996,    9.18,    7.41,   10.90,   14.74,   17.80,   22.58,   25.30,   25.32,   19.38,   16.20,   11.64,    8.57,   15.78
38.47348,-1.32853,T2M,1997,    8.19,   10.78,   13.01,   15.03,   18.77,   22.71,   23.89,   25.04,   22.23,   18.05,   12.09,    8.78,   16.58
38.47348,-1.32853,T2M,1998,    8.21,    9.85,   12.92,   13.97,   17.06,   23.23,   26.29,   25.76,   22.40,   16.28,   11.55,    7.48,   16.29
38.47348,-1.32853,T2M,1999,    7.29,    8.09,   11.37,   15.71,   20.53,   23.58,   26.32,   27.24,   22.14,   17.30,    9.55,    7.84,   16.47
38.47348,-1.32853,T2M,2000,    5.93,   11.28,   12.54,   13.74,   19.61,   23.30,   25.94,   26.08,   22.44,   16.33,   10.29,    9.14,   16.40
38.47348,-1.32853,T2M,2001,    8.42,    8.94,   14.44,   15.42,   18.34,   25.07,   25.73,   26.63,   21.61,   18.61,    9.77,    6.67,   16.68
38.47348,-1.32853,T2M,2002,    7.80,    9.71,   11.87,   14.36,   17.36,   23.44,   25.08,   24.82,   21.78,   17.18,   12.29,    9.84,   16.33
38.47348,-1.32853,T2M,2003,    6.75,    7.47,   11.67,   14.37,   18.78,   25.83,   27.60,   27.52,   22.48,   16.54,   11.87,    8.04,   16.63
38.47348,-1.32853,T2M,2004,    8.91,    9.04,   11.02,   12.96,   16.16,   23.95,   25.26,   26.45,   23.46,   18.44,   10.81,    7.92,   16.22
38.47348,-1.32853,T2M,2005,    6.21,    6.04,   10.91,   14.85,   20.14,   24.74,   27.21,   25.18,   20.94,   17.43,   10.43,    7.24,   16.01
38.47348,-1.32853,T2M,2006,    6.05,    7.69,   12.73,   16.18,   19.77,   22.92,   27.38,   25.45,   22.54,   19.29,   13.41,    8.08,   16.84
38.47348,-1.32853,T2M,2007,    8.12,   10.42,   11.26,   13.63,   19.46,   23.35,   25.88,   25.33,   21.47,   16.30,   10.49,    8.06,   16.18
38.47348,-1.32853,T2M,2008,    8.83,    9.87,   12.33,   15.57,   17.34,   22.28,   26.14,   26.20,   21.72,   16.50,    9.27,    6.96,   16.11
38.47348,-1.32853,T2M,2009,    6.97,    8.28,   11.36,   13.41,   19.23,   24.94,   27.67,   26.29,   21.04,   18.64,   13.35,    8.35,   16.68
38.47348,-1.32853,T2M,2010,    6.68,    7.65,   10.03,   14.13,   17.30,   21.70,   26.63,   25.52,   21.86,   15.87,   10.24,    7.14,   15.44
38.47348,-1.32853,T2M,2011,    7.25,    9.02,   10.65,   16.10,   18.98,   23.25,   26.02,   26.67,   22.97,   18.14,   12.76,    8.53,   16.74
38.47348,-1.32853,T2M,2012,    7.88,    5.54,   10.81,   13.96,   20.17,   25.73,   25.99,   28.36,   22.13,   16.97,   11.78,    8.54,   16.53
38.47348,-1.32853,T2M,2013,    8.20,    7.95,   11.38,   14.13,   16.89,   21.53,   25.62,   25.28,   21.86,   19.69,   10.87,    7.78,   15.98
38.47348,-1.32853,T2M,2014,    8.90,    9.39,   11.89,   17.88,   18.72,   23.29,   25.51,   26.39,   24.08,   19.37,   12.65,    8.11,   17.22
38.47348,-1.32853,T2M,2015,    7.72,    7.67,   12.55,   14.91,   20.91,   23.79,   28.58,   26.41,   21.33,   17.58,   12.68,   11.13,   17.17
38.47348,-1.32853,T2M,2016,    9.76,   10.16,   11.13,   15.09,   18.10,   23.92,   26.52,   25.67,   23.22,   18.72,   11.98,    9.57,   17.01
38.47348,-1.32853,T2M,2017,    6.86,    9.78,   12.55,   14.47,   19.16,   25.07,   26.17,   25.85,   22.01,   18.82,   11.97,    8.04,   16.77
38.47348,-1.32853,T2M,2018,    8.72,    7.45,   11.21,   14.62,   18.21,   22.79,   27.08,   26.88,   23.19,   16.85,   11.70,   10.27,   16.64
38.47348,-1.32853,T2M,2019,    7.84,    9.76,   12.51,   13.66,   18.76,   23.30,   27.17,   26.83,   22.17,   18.10,   11.23,   10.55,   16.87
38.47348,-1.32853,RH2M,1981,   65.56,   62.05,   55.67,   62.10,   46.66,   47.39,   45.78,   51.25,   48.88,   53.48,   68.50,   66.17,   56.07
38.47348,-1.32853,RH2M,1982,   69.68,   72.48,   59.94,   59.99,   56.54,   44.67,   34.95,   47.57,   54.56,   55.93,   67.42,   71.29,   57.81
38.47348,-1.32853,RH2M,1983,   66.05,   64.71,   54.96,   46.84,   40.64,   44.90,   34.99,   46.73,   49.65,   56.27,   77.69,   70.49,   54.41
38.47348,-1.32853,RH2M,1984,   68.84,   63.48,   61.68,   57.92,   56.31,   43.03,   39.54,   50.33,   48.32,   61.20,   75.18,   74.67,   58.37
38.47348,-1.32853,RH2M,1985,   68.68,   67.48,   57.51,   51.94,   54.76,   46.78,   38.93,   43.66,   57.55,   64.65,   66.51,   75.30,   57.76
38.47348,-1.32853,RH2M,1986,   66.05,   64.78,   59.40,   53.56,   45.29,   47.26,   44.27,   40.09,   55.94,   75.53,   73.09,   70.04,   57.89
38.47348,-1.32853,RH2M,1987,   72.63,   68.21,   60.13,   52.74,   47.46,   42.67,   49.98,   46.84,   50.42,   66.61,   69.02,   80.62,   58.92
38.47348,-1.32853,RH2M,1988,   75.69,   65.86,   52.39,   56.86,   54.30,   57.00,   45.28,   46.35,   50.71,   62.26,   76.81,   68.45,   59.28
38.47348,-1.32853,RH2M,1989,   80.69,   67.65,   60.28,   56.73,   52.12,   47.52,   43.94,   46.27,   67.49,   66.40,   75.66,   82.13,   62.20
38.47348,-1.32853,RH2M,1990,   79.56,   65.25,   66.72,   60.62,   55.92,   44.87,   43.12,   49.50,   56.90,   64.54,   64.84,   71.27,   60.26
38.47348,-1.32853,RH2M,1991,   69.60,   70.05,   67.55,   54.19,   45.51,   48.12,   40.68,   40.68,   54.10,   64.29,   66.33,   74.84,   57.92
38.47348,-1.32853,RH2M,1992,   74.44,   67.13,   61.60,   46.92,   50.86,   53.57,   46.90,   42.51,   58.63,   59.54,   62.15,   77.20,   58.44
38.47348,-1.32853,RH2M,1993,   64.57,   75.09,   61.24,   47.77,   52.45,   46.48,   47.65,   45.47,   48.97,   62.79,   76.35,   69.39,   58.08
38.47348,-1.32853,RH2M,1994,   66.95,   58.32,   59.15,   45.39,   44.43,   41.22,   37.17,   40.55,   48.37,   70.25,   69.63,   68.33,   54.14
