LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
49.09191,-1.24543,T2M,1981,    6.39,    3.91,    9.02,    9.13,   12.04,   14.17,   16.31,   17.44,   15.91,   11.40,    8.92,    5.19,   10.86
49.09191,-1.24543,T2M,1982,    5.27,    5.80,    7.09,    8.99,   12.49,   16.11,   16.94,   16.75,   16.54,   12.03,    9.92,    6.42,   11.22
49.09191,-1.24543,T2M,1983,    7.47,    3.65,    7.15,    8.18,   10.97,   14.95,   18.91,   17.60,   15.63,   12.27,    9.05,    5.94,   11.03
49.09191,-1.24543,T2M,1984,    6.42,    5.03,    6.04,    8.92,   10.18,   14.74,   16.95,   17.65,   15.08,   12.65,   10.10,    6.63,   10.88
49.09191,-1.24543,T2M,1985,    2.14,    3.55,    5.63,    9.23,   11.85,   14.13,   17.22,   16.23,   16.35,   12.54,    6.84,    7.41,   10.30
49.09191,-1.24543,T2M,1986,    6.02,    0.47,    6.13,    6.56,   11.80,   15.41,   16.53,   15.67,   13.48,   13.70,    9.36,    7.49,   10.29
49.09191,-1.24543,T2M,1987,    0.79,    4.37,    5.43,   10.40,   11.09,   14.24,   16.98,   17.42,   16.67,   12.32,    8.47,    6.20,   10.39
49.09191,-1.24543,T2M,1988,    7.66,    6.09,    7.57,    9.72,   12.78,   14.71,   16.01,   17.03,   15.26,   12.87,    7.96,    8.14,   11.34
49.09191,-1.24543,T2M,1989,    6.01,    7.04,    9.36,    8.29,   14.31,   15.70,   18.88,   18.44,   17.05,   14.40,    8.41,    6.85,   12.10
49.09191,-1.24543,T2M,1990,    7.47,    9.32,    8.90,    9.26,   14.25,   14.69,   18.28,   19.64,   16.02,   14.07,    9.00,    5.73,   12.24
49.09191,-1.24543,T2M,1991,    5.22,    2.60,    8.76,    8.97,   11.09,   13.71,   17.51,   18.52,   17.25,   12.08,    8.67,    4.94,   10.83
49.09191,-1.24543,T2M,1992,    4.16,    5.59,    7.91,    8.96,   13.96,   15.65,   17.58,   17.88,   15.22,   10.75,   10.43,    6.17,   11.20
49.09191,-1.24543,T2M,1993,    7.51,    5.19,    7.59,   10.13,   12.77,   15.54,   16.15,   16.39,   14.18,   10.59,    5.75,    7.84,   10.84
