LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
29.03972,-13.63628,T2M,1981,   17.36,   16.88,   18.30,   17.88,   18.81,   21.29,   21.47,   22.32,   22.67,   22.16,   21.62,   19.36,   20.03
29.03972,-13.63628,T2M,1982,   18.46,   17.93,   17.56,   18.16,   19.10,   19.99,   21.31,   21.97,   22.31,   21.40,   20.05,   17.92,   19.69
29.03972,-13.63628,T2M,1983,   17.21,   17.13,   18.13,   17.88,   18.71,   20.53,   21.94,   21.88,   22.34,   22.62,   21.27,   19.47,   19.94
29.03972,-13.63628,T2M,1984,   17.51,   16.95,   17.49,   18.74,   18.74,   19.70,   20.98,   21.88,   22.62,   21.39,   20.23,   18.71,   19.58
29.03972,-13.63628,T2M,1985,   17.38,   17.58,   17.02,   18.10,   18.71,   21.23,   21.41,   21.83,   22.53,   22.08,   21.11,   19.09,   19.85
29.03972,-13.63628,T2M,1986,   17.66,   17.34,   17.01,   17.25,   18.40,   19.53,   20.69,   21.79,   22.72,   21.49,   19.76,   18.27,   19.34
29.03972,-13.63628,T2M,1987,   17.91,   17.67,   18.65,   18.84,   19.92,   21.29,   21.90,   22.92,   23.55,   22.43,   20.61,   19.28,   20.43
29.03972,-13.63628,T2M,1988,   17.68,   17.17,   17.36,   18.04,   19.46,   20.51,   21.49,   22.01,   22.28,   22.09,   20.61,   18.62,   19.79
29.03972,-13.63628,T2M,1989,   17.44,   17.26,   17.49,   17.34,   19.44,   21.27,   22.25,   23.17,   22.94,   22.83,   20.53,   19.43,   20.14
29.03972,-13.63628,T2M,1990,   17.43,   18.10,   18.44,   17.95,   19.31,   20.72,   21.84,   22.97,   23.54,   22.72,   20.95,   19.27,   20.28
29.03972,-13.63628,T2M,1991,   17.72,   16.89,   17.33,   17.41,   17.92,   19.57,   20.87,   22.38,   23.57,   21.78,   20.01,   19.18,   19.57
29.03972,-13.63628,T2M,1992,   17.48,   17.31,   17.45,   17.86,   18.98,   20.03,   20.92,   22.06,   21.80,   21.19,   19.84,   18.06,   19.42
29.03972,-13.63628,T2M,1993,   17.11,   16.94,   17.59,   17.44,   19.03,   20.35,   21.22,   22.34,   22.30,   21.03,   18.98,   17.90,   19.37
29.03972,-13.63628,T2M,1994,   16.86,   16.92,   16.57,   17.19,   18.74,   20.42,   21.48,   22.13,   21.64,   21.40,   20.60,   19.44,   19.46
29.03972,-13.63628,T2M,1995,   17.90,   17.90,   17.77,   18.28,   19.29,   20.72,   22.24,   22.53,   22.32,   22.21,   21.48,   19.55,   20.19
29.03972,-13.63628,T2M,1996,   18.56,   17.13,   17.73,   18.26,   20.04,   20.44,   21.54,   22.28,   22.33,   21.73,   20.14,   18.98,   19.94
29.03972,-13.63628,T2M,1997,   18.02,   18.21,   18.73,   19.15,   20.04,   21.66,   21.87,   22.32,   22.85,   22.66,   21.44,   19.87,   20.58
29.03972,-13.63628,T2M,1998,   18.71,   19.56,   19.32,   18.63,   19.10,   20.48,   21.20,   22.11,   22.35,   21.47,   20.76,   18.44,   20.18
29.03972,-13.63628,T2M,1999,   17.25,   16.55,   17.21,   17.83,   19.12,   20.36,   21.46,   23.14,   23.14,   22.16,   20.42,   18.36,   19.77
29.03972,-13.63628,T2M,2000,   17.07,   17.43,   18.08,   18.11,   19.18,   20.20,   21.34,   22.37,   22.43,   21.39,   19.73,   19.04,   19.71
29.03972,-13.63628,T2M,2001,   18.10,   17.54,   18.46,   18.13,   19.03,   20.35,   21.09,   22.14,   23.14,   22.86,   20.51,   19.76,   20.11
29.03972,-13.63628,T2M,2002,   18.71,   18.27,   18.14,   18.03,   18.47,   19.69,   20.38,   21.43,   22.58,   22.74,   20.78,   19.30,   19.89
29.03972,-13.63628,T2M,2003,   17.88,   17.32,   18.15,   18.61,   19.19,   20.65,   21.63,   23.27,   23.21,   22.62,   20.64,   19.16,   20.21
29.03972,-13.63628,T2M,2004,   17.81,   18.41,   17.84,   18.00,   18.63,   20.68,   21.87,   23.82,   23.17,   22.59,   20.74,   18.63,   20.19
29.03972,-13.63628,T2M,2005,   17.09,   16.37,   17.89,   18.09,   19.32,   20.66,   21.51,   22.64,   22.91,   22.44,   20.20,   18.69,   19.84
29.03972,-13.63628,T2M,2006,   16.85,   16.76,   17.28,   18.58,   19.07,   20.95,   21.66,   22.58,   23.44,   22.89,   21.74,   18.68,   20.05
29.03972,-13.63628,T2M,2007,   17.50,   17.27,   17.25,   17.97,   18.98,   20.30,   21.22,   21.78,   22.08,   22.02,   20.61,   18.65,   19.65
29.03972,-13.63628,T2M,2008,   18.19,   18.40,   17.92,   19.21,   19.44,   20.48,   21.60,   22.07,   22.66,   21.40,   19.38,   17.87,   19.89
29.03972,-13.63628,T2M,2009,   16.85,   16.95,   17.63,   17.53,   18.70,   21.29,   22.66,   22.48,   22.68,   22.80,   21.17,   20.14,   20.09
29.03972,-13.63628,T2M,2010,   18.59,   19.15,   18.72,   19.02,   19.20,   20.28,   21.33,   22.55,   23.05,   22.63,   20.84,   20.40,   20.49
29.03972,-13.63628,T2M,2011,   18.83,   17.57,   17.53,   18.68,   20.12,   21.35,   21.59,   22.01,   22.56,   22.34,   20.38,   18.42,   20.13
29.03972,-13.63628,T2M,2012,   17.43,   15.78,   17.03,   17.40,   19.59,   20.71,   21.30,   22.78,   23.67,   22.91,   21.37,   18.84,   19.92
