LAT,LON,PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
39.29395,-2.5269,T2M,1981,    3.04,    4.34,   10.05,   10.29,   14.24,   22.33,   23.27,   23.58,   20.57,   14.46,   10.58,    5.93,   13.60
39.29395,-2.5269,T2M,1982,    5.81,    5.81,    8.21,   11.38,   16.39,   21.59,   24.59,   24.02,   19.29,   12.52,    7.66,    3.83,   13.47
39.29395,-2.5269,T2M,1983,    4.27,    3.92,    9.67,   10.30,   14.11,   22.43,   24.89,   22.65,   22.20,   15.71,   10.76,    5.23,   13.90
39.29395,-2.5269,T2M,1984,    3.72,    4.30,    5.23,   12.98,   10.71,   19.53,   26.13,   23.32,   19.82,   13.44,    8.77,    5.03,   12.77
39.29395,-2.5269,T2M,1985,    1.95,    7.92,    6.29,   12.00,   13.56,   21.91,   25.87,   25.24,   23.10,   16.49,    7.90,    5.73,   14.02
39.29395,-2.5269,T2M,1986,    3.21,    4.87,    8.15,    7.66,   18.07,   21.89,   25.47,   24.27,   20.69,   14.35,    8.35,    4.46,   13.51
39.29395,-2.5269,T2M,1987,    3.68,    5.32,    9.65,   12.96,   16.82,   22.02,   23.86,   25.36,   23.08,   13.10,    7.54,    6.69,   14.22
39.29395,-2.5269,T2M,1988,    5.65,    4.82,    8.35,   11.30,   14.78,   17.83,   23.90,   25.43,   20.66,   14.45,    8.80,    3.32,   13.31
39.29395,-2.5269,T2M,1989,    4.30,    6.35,    9.95,    9.41,   16.44,   20.94,   26.25,   25.63,   18.80,   14.57,   10.28,    8.25,   14.32
39.29395,-2.5269,T2M,1990,    3.87,    8.44,    9.14,    9.21,   15.99,   22.24,   25.71,   25.33,   21.61,   13.49,    7.36,    3.11,   13.82
39.29395,-2.5269,T2M,1991,    3.29,    3.85,    8.55,   10.26,   14.11,   22.10,   25.78,   26.52,   20.82,   11.04,    7.14,    4.35,   13.21
39.29395,-2.5269,T2M,1992,    2.05,    5.14,    8.35,   12.10,   17.01,   16.09,   23.97,   24.46,   20.20,   11.17,    8.97,    5.55,   12.95
39.29395,-2.5269,T2M,1993,    3.93,    4.96,    8.21,    9.98,   14.41,   20.19,   24.51,   24.34,   17.14,   10.49,    7.03,    4.55,   12.53
39.29395,-2.5269,T2M,1994,    3.55,    5.06,   10.98,   10.17,   16.62,   22.12,   27.24,   26.33,   18.01,   14.20,   10.19,    5.33,   14.21
39.29395,-2.5269,T2M,1995,    4.06,    7.59,    8.97,   12.27,   17.90,   21.59,   25.54,   24.11,   17.16,   15.79,   10.44,    6.91,   14.40
39.29395,-2.5269,T2M,1996,    6.13,    3.68,    7.73,   11.76,   14.71,   21.56,   24.10,   23.25,   16.68,   13.16,    8.35,    5.62,   13.09
39.29395,-2.5269,T2M,1997,    4.87,    7.44,   10.84,   13.07,   15.56,   18.74,   22.27,   23.30,   20.36,   15.04,    8.80,    5.14,   13.82
39.29395,-2.5269,T2M,1998,    4.63,    7.34,   10.12,    9.34,   13.90,   21.14,   25.24,   25.15,   19.69,   12.79,    8.03,    4.12,   13.50
39.29395,-2.5269,T2M,1999,    3.67,    4.49,    8.52,   12.19,   17.77,   22.59,   26.27,   25.49,   19.06,   14.09,    5.75,    4.77,   13.78
39.29395,-2.5269,T2M,2000,    2.48,    7.97,    9.69,    9.46,   17.12,   22.55,   24.58,   24.68,   20.80,   13.47,    7.13,    5.98,   13.85
39.29395,-2.5269,T2M,2001,    5.54,    5.76,   10.52,   12.23,   15.60,   23.30,   24.58,   25.91,   20.32,   15.70,    5.95,    2.77,   14.07
39.29395,-2.5269,T2M,2002,    4.95,    6.40,    9.45,   11.88,   14.51,   23.14,   24.40,   23.71,   19.03,   14.09,    8.70,    6.97,   13.98
